<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATG,D,20040109,000000,0.828509,0.87907,0.82452,0.85955,15038492.212099632,0
ATG,D,20040112,000000,0.855781,0.855781,0.805,0.828509,1186172.8568929492,0
ATG,D,20040113,000000,0.82452,0.843963,0.808997,0.840043,1889879.1410627163,0
ATG,D,20040114,000000,0.82452,0.828509,0.816832,0.816832,172860.84360109764,0
ATG,D,20040115,000000,0.808997,0.820601,0.808997,0.820601,247856.91199036012,0
ATG,D,20040116,000000,0.820601,0.820601,0.793395,0.797391,361151.30902268284,0
ATG,D,20040119,000000,0.797391,0.797391,0.766054,0.766054,623745.7708040569,0
ATG,D,20040120,000000,0.770117,0.785637,0.770117,0.770117,314776.96852969326,0
ATG,D,20040121,000000,0.770117,0.789625,0.770117,0.785637,588305.3411990363,0
ATG,D,20040122,000000,0.777805,0.793395,0.777805,0.793395,112387.25879448514,0
ATG,D,20040123,000000,0.797391,0.836267,0.793395,0.808997,386556.6942002907,0
ATG,D,20040126,000000,0.82452,0.82452,0.816832,0.820601,114186.37034520057,0
ATG,D,20040127,000000,0.832276,0.836267,0.80116,0.80116,754568.0638179156,0
ATG,D,20040128,000000,0.805,0.805,0.785637,0.789625,83870.3067433061,0
ATG,D,20040129,000000,0.777805,0.785637,0.777805,0.78165,296876.8425721193,0
ATG,D,20040130,000000,0.777805,0.789625,0.777805,0.789625,306064.0298319198,0
ATG,D,20040202,000000,0.793395,0.797391,0.789625,0.797391,166262.7226188791,0
ATG,D,20040203,000000,0.797391,0.805,0.789625,0.789625,107690.2679490223,0
ATG,D,20040204,000000,0.789625,0.80116,0.785637,0.80116,134522.53470136767,0
ATG,D,20040205,000000,0.808997,0.808997,0.777805,0.785637,195626.1532081123,0
ATG,D,20040206,000000,0.777805,0.789625,0.777805,0.777805,82337.27069395132,0
ATG,D,20040209,000000,0.805,0.805,0.789625,0.80116,199271.2497139584,0
ATG,D,20040210,000000,0.80116,0.808997,0.80116,0.808997,225785.05304236602,0
ATG,D,20040211,000000,0.797391,0.808997,0.797391,0.805,168582.95613603687,0
ATG,D,20040212,000000,0.808997,0.808997,0.80116,0.805,23817.203946632486,0
ATG,D,20040213,000000,0.805,0.816832,0.797391,0.80116,155483.21823947935,0
ATG,D,20040216,000000,0.789625,0.80116,0.789625,0.80116,12677.877257075108,0
ATG,D,20040217,000000,0.805,0.82452,0.805,0.82452,164043.1290582192,0
ATG,D,20040218,000000,0.82452,0.836267,0.82452,0.836267,278597.59349082847,0
ATG,D,20040219,000000,0.82452,0.832276,0.816832,0.82452,198479.91635753374,0
ATG,D,20040220,000000,0.808997,0.843963,0.808997,0.843963,184324.1482327345,0
ATG,D,20040223,000000,0.832276,0.855781,0.832276,0.843963,125491.13257966096,0
ATG,D,20040224,000000,0.847874,0.855781,0.836267,0.851794,529785.274451731,0
ATG,D,20040225,000000,0.851794,0.886759,0.851794,0.886759,256573.98657675186,0
ATG,D,20040226,000000,0.882836,0.964515,0.882836,0.952899,808385.6252016309,0
ATG,D,20040227,000000,0.960665,0.960665,0.921855,0.960665,554607.4993335884,0
ATG,D,20040301,000000,0.976112,0.984028,0.917873,0.972347,689816.5915462533,0
ATG,D,20040302,000000,0.972347,0.972347,0.952899,0.968356,592530.8407415503,0
ATG,D,20040303,000000,0.960665,0.964515,0.952899,0.952899,136474.6741311055,0
ATG,D,20040304,000000,0.945143,0.945143,0.929552,0.937302,260114.30723750414,0
ATG,D,20040305,000000,0.925632,0.937302,0.925632,0.933535,370866.5113966155,0
ATG,D,20040308,000000,0.933535,0.941227,0.898351,0.941227,588252.9532765006,0
ATG,D,20040309,000000,0.925632,0.933535,0.917873,0.917873,38656.77232366323,0
ATG,D,20040310,000000,0.898351,0.917873,0.898351,0.91004,233441.96151188656,0
ATG,D,20040311,000000,0.906111,0.906111,0.906111,0.906111,190606.5630501135,0
ATG,D,20040312,000000,0.894588,0.917873,0.894588,0.917873,48323.722663659384,0
ATG,D,20040315,000000,0.917873,0.917873,0.847874,0.882836,114663.37616632142,0
ATG,D,20040316,000000,0.85955,0.902281,0.85955,0.898351,21866.443146420297,0
ATG,D,20040317,000000,0.902281,0.917873,0.902281,0.917873,88782.3637971307,0
ATG,D,20040318,000000,0.925632,0.925632,0.906111,0.906111,19437.297895552663,0
ATG,D,20040319,000000,0.906111,0.906111,0.87907,0.890603,71668.05667780385,0
ATG,D,20040322,000000,0.898351,0.902281,0.890603,0.890603,73412.0230468976,0
ATG,D,20040323,000000,0.886759,0.890603,0.886759,0.890603,157917.8780085144,0
ATG,D,20040324,000000,0.890603,0.890603,0.867382,0.87907,28307.400360976888,0
ATG,D,20040325,000000,0.867382,0.898351,0.867382,0.898351,28519.70931025716,0
ATG,D,20040326,000000,0.906111,0.906111,0.871149,0.906111,32423.988169766366,0
ATG,D,20040329,000000,0.906111,0.906111,0.87907,0.898351,126123.92353887566,0
ATG,D,20040330,000000,0.87907,0.898351,0.87907,0.890603,46530.12563109574,0
ATG,D,20040331,000000,0.890603,0.890603,0.871149,0.87907,83659.37642356713,0
ATG,D,20040401,000000,0.87907,0.886759,0.87907,0.886759,13363.056138846752,0
ATG,D,20040402,000000,0.890603,0.898351,0.890603,0.898351,33009.90572459933,0
ATG,D,20040405,000000,0.882836,0.890603,0.87907,0.87907,106210.99845175796,0
ATG,D,20040406,000000,0.882836,0.894588,0.882836,0.894588,81652.09181218078,0
ATG,D,20040407,000000,0.87907,0.890603,0.87907,0.890603,2327.1266648481464,0
ATG,D,20040408,000000,0.894588,0.894588,0.87907,0.890603,166418.5077569953,0
ATG,D,20040413,000000,0.906111,0.906111,0.87907,0.890603,154853.18453932492,0
ATG,D,20040414,000000,0.898351,0.902281,0.898351,0.902281,8502.008378032247,0
ATG,D,20040415,000000,0.902281,0.902281,0.87907,0.902281,28049.596636848375,0
ATG,D,20040416,000000,0.898351,0.902281,0.890603,0.894588,51125.09789053842,0
ATG,D,20040419,000000,0.898351,0.898351,0.87907,0.898351,61211.151610934416,0
ATG,D,20040420,000000,0.898351,0.898351,0.87907,0.894588,74786.51669906142,0
ATG,D,20040421,000000,0.867382,0.890603,0.867382,0.886759,256626.37449929875,0
ATG,D,20040422,000000,0.875146,0.898351,0.875146,0.890603,310973.3296266596,0
ATG,D,20040423,000000,0.898351,0.914096,0.898351,0.898351,89677.09436910003,0
ATG,D,20040426,000000,0.902281,0.914096,0.886759,0.914096,43306.88976473652,0
ATG,D,20040427,000000,0.914096,0.945143,0.914096,0.941227,124961.73883599321,0
ATG,D,20040428,000000,0.945143,0.952899,0.933535,0.933535,181528.28752402507,0
ATG,D,20040429,000000,0.917873,0.917873,0.871149,0.898351,27251.370132732907,0
ATG,D,20040430,000000,0.898351,0.898351,0.871149,0.882836,165678.1836936042,0
ATG,D,20040504,000000,0.871149,0.898351,0.871149,0.882836,154224.52946875087,0
ATG,D,20040505,000000,0.890603,0.890603,0.875146,0.87907,112865.64324513053,0
ATG,D,20040506,000000,0.867382,0.87907,0.867382,0.87907,205291.7249185582,0
ATG,D,20040507,000000,0.87907,0.87907,0.867382,0.867382,75943.18688378314,0
ATG,D,20040510,000000,0.843963,0.871149,0.843963,0.863462,56246.70663456069,0
ATG,D,20040511,000000,0.87907,0.87907,0.843963,0.863462,143975.7974625322,0
ATG,D,20040512,000000,0.863462,0.863462,0.863462,0.863462,6285.1720764471165,0
ATG,D,20040513,000000,0.863462,0.87907,0.773958,0.851794,206504.91891444064,0
ATG,D,20040514,000000,0.851794,0.871149,0.851794,0.863462,13835.926071335896,0
ATG,D,20040517,000000,0.863462,0.863462,0.863462,0.863462,129822.78659680436,0
ATG,D,20040518,000000,0.863462,0.87907,0.863462,0.87907,26353.88230167987,0
ATG,D,20040519,000000,0.875146,0.875146,0.875146,0.875146,11984.426598060154,0
ATG,D,20040520,000000,0.863462,0.863462,0.863462,0.863462,32747.96611184916,0
ATG,D,20040521,000000,0.851794,0.851794,0.851794,0.851794,2376.757328316482,0
ATG,D,20040524,000000,0.85955,0.863462,0.851794,0.863462,638168.9930597558,0
ATG,D,20040525,000000,0.863462,0.875146,0.863462,0.875146,86404.22783927426,0
ATG,D,20040526,000000,0.890603,0.894588,0.87907,0.894588,32002.127530286187,0
ATG,D,20040528,000000,0.886759,0.886759,0.882836,0.886759,39562.531931959566,0
ATG,D,20040531,000000,0.886759,0.886759,0.886759,0.886759,213.6875788219565,0
ATG,D,20040601,000000,0.886759,0.886759,0.886759,0.886759,55085.90056121953,0
ATG,D,20040602,000000,0.871149,0.890603,0.871149,0.890603,28201.24588633396,0
ATG,D,20040604,000000,0.898351,0.906111,0.863462,0.882836,4224.120912970793,0
ATG,D,20040607,000000,0.898351,0.902281,0.898351,0.898351,111016.90103094073,0
ATG,D,20040608,000000,0.898351,0.898351,0.898351,0.898351,7022.738880768127,0
ATG,D,20040609,000000,0.898351,0.898351,0.87907,0.898351,169381.18264014006,0
ATG,D,20040611,000000,0.898351,0.898351,0.894588,0.894588,518112.4181298842,0
ATG,D,20040615,000000,0.882836,0.882836,0.882836,0.882836,420.48200993999114,0
ATG,D,20040616,000000,0.894588,0.894588,0.882836,0.882836,17267.334998355956,0
ATG,D,20040617,000000,0.890603,0.890603,0.882836,0.890603,10513.428878040235,0
ATG,D,20040618,000000,0.890603,0.890603,0.890603,0.890603,1162.184702883336,0
ATG,D,20040621,000000,0.882836,0.882836,0.882836,0.882836,1741.20911001373,0
ATG,D,20040622,000000,0.87907,0.87907,0.87907,0.87907,1374.493652164499,0
ATG,D,20040623,000000,0.894588,0.894588,0.87907,0.87907,93588.26637631236,0
ATG,D,20040625,000000,0.87907,0.87907,0.87907,0.87907,2161.691119953732,0
ATG,D,20040628,000000,0.843963,0.898351,0.843963,0.898351,13152.125819106663,0
ATG,D,20040629,000000,0.894588,0.894588,0.894588,0.894588,22179.392052178307,0
ATG,D,20040630,000000,0.87907,0.87907,0.863462,0.867382,29313.799925749856,0
ATG,D,20040701,000000,0.863462,0.863462,0.863462,0.863462,69822.0717226877,0
ATG,D,20040702,000000,0.87907,0.87907,0.87907,0.87907,14420.464996629798,0
ATG,D,20040707,000000,0.87907,0.87907,0.851794,0.875146,787628.9788355529,0
ATG,D,20040708,000000,0.875146,0.875146,0.875146,0.875146,15896.977234812666,0
ATG,D,20040709,000000,0.875146,0.875146,0.863462,0.871149,17004.016756065612,0
ATG,D,20040712,000000,0.871149,0.882836,0.871149,0.871149,136263.743811371,0
ATG,D,20040713,000000,0.871149,0.871149,0.871149,0.871149,33907.393555652365,0
ATG,D,20040714,000000,0.863462,0.863462,0.851794,0.851794,13732.528855776676,0
ATG,D,20040715,000000,0.87907,0.87907,0.863462,0.863462,27306.515314362405,0
ATG,D,20040716,000000,0.843963,0.871149,0.843963,0.871149,28942.948579278636,0
ATG,D,20040720,000000,0.832276,0.863462,0.832276,0.863462,8293.83531737352,0
ATG,D,20040722,000000,0.847874,0.847874,0.832276,0.843963,1915124.6052135671,0
ATG,D,20040723,000000,0.82452,0.843963,0.80116,0.843963,11725.244244392576,0
ATG,D,20040726,000000,0.85955,0.87907,0.805,0.87907,13258.280293747357,0
ATG,D,20040728,000000,0.855781,0.855781,0.851794,0.851794,15003.625292383522,0
ATG,D,20040730,000000,0.843963,0.871149,0.82452,0.871149,54189.79135970669,0
ATG,D,20040802,000000,0.832276,0.843963,0.832276,0.843963,1642965.2116781224,0
ATG,D,20040803,000000,0.843963,0.843963,0.843963,0.843963,9927.51132320582,0
ATG,D,20040804,000000,0.843963,0.843963,0.843963,0.843963,163619.8897892033,0
ATG,D,20040805,000000,0.875146,0.875146,0.875146,0.875146,57.90244071304724,0
ATG,D,20040806,000000,0.832276,0.871149,0.820601,0.820601,21337.04940275701,0
ATG,D,20040812,000000,0.820601,0.82452,0.820601,0.82452,14947.101481211612,0
ATG,D,20040816,000000,0.812766,0.816832,0.812766,0.816832,1322.1057296146887,0
ATG,D,20040817,000000,0.770117,0.816832,0.770117,0.789625,203493.9919973785,0
ATG,D,20040818,000000,0.80116,0.80116,0.770117,0.797391,220872.99598854367,0
ATG,D,20040819,000000,0.808997,0.808997,0.789625,0.789625,152054.5665715441,0
ATG,D,20040820,000000,0.789625,0.789625,0.789625,0.789625,228795.9799594394,0
ATG,D,20040823,000000,0.805,0.805,0.797391,0.797391,16003.131709452242,0
ATG,D,20040824,000000,0.805,0.805,0.805,0.805,10935.289517521085,0
ATG,D,20040825,000000,0.816832,0.816832,0.805,0.805,58099.584737378835,0
ATG,D,20040826,000000,0.843963,0.843963,0.843963,0.843963,57.90244071304724,0
ATG,D,20040827,000000,0.805,0.832276,0.789625,0.832276,11409.538079551972,0
ATG,D,20040830,000000,0.832276,0.832276,0.805,0.832276,9293.341734443917,0
ATG,D,20040831,000000,0.789625,0.797391,0.789625,0.797391,24506.51871702579,0
ATG,D,20040901,000000,0.805,0.832276,0.805,0.832276,4015.9478523119546,0
ATG,D,20040902,000000,0.82452,0.82452,0.816832,0.816832,6602.256870828013,0
ATG,D,20040903,000000,0.816832,0.816832,0.773958,0.773958,8606.78422313209,0
ATG,D,20040906,000000,0.816832,0.816832,0.773958,0.773958,8606.78422313209,0
ATG,D,20040907,000000,0.777805,0.777805,0.770117,0.770117,33274.60259642985,0
ATG,D,20040908,000000,0.797391,0.797391,0.797391,0.797391,5444.208056567002,0
ATG,D,20040909,000000,0.789625,0.797391,0.789625,0.789625,282561.1534205744,0
ATG,D,20040910,000000,0.777805,0.777805,0.777805,0.777805,24609.915932585,0
