<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATP,D,20050110,000000,6.34651,6.69932,6.0698,6.14469,480359,0
ATP,D,20050111,000000,6.09462,6.24499,5.89282,6.09462,114516,0
ATP,D,20050112,000000,5.89282,6.11995,5.76713,6.04384,82182.5,0
ATP,D,20050113,000000,6.04384,6.27095,6.04384,6.24499,75945,0
ATP,D,20050114,000000,6.24499,6.34651,6.0698,6.34651,38975.3,0
ATP,D,20050117,000000,6.29571,6.34651,6.24499,6.32119,60131.1,0
ATP,D,20050118,000000,6.32119,6.54775,6.29571,6.44671,71984.7,0
ATP,D,20050119,000000,6.44671,6.49695,6.44671,6.44671,60898.9,0
ATP,D,20050120,000000,6.44671,6.44671,6.44671,6.44671,43470.1,0
ATP,D,20050124,000000,6.44671,6.44671,6.24499,6.34651,17616,0
ATP,D,20050125,000000,6.09462,6.34651,6.09462,6.34651,1715.34,0
ATP,D,20050126,000000,6.24499,6.29571,6.24499,6.29571,23580.6,0
ATP,D,20050127,000000,6.14469,6.34651,6.11995,6.34651,10708.7,0
ATP,D,20050128,000000,6.19485,6.34651,6.19485,6.34651,30554.8,0
ATP,D,20050131,000000,6.29571,6.37126,6.29571,6.37126,2396.26,0
ATP,D,20050201,000000,6.24499,6.44671,6.24499,6.44671,10332.9,0
ATP,D,20050202,000000,6.34651,6.44671,6.34651,6.44671,28122.6,0
ATP,D,20050203,000000,6.37126,6.44671,6.37126,6.44671,28252.8,0
ATP,D,20050204,000000,6.32119,6.44671,6.32119,6.44671,10680.2,0
ATP,D,20050207,000000,6.44671,6.44671,6.42205,6.44671,20670.9,0
ATP,D,20050208,000000,6.44671,6.44671,6.44671,6.44671,5953.46,0
ATP,D,20050209,000000,6.44671,6.44671,6.44671,6.44671,68642.1,0
ATP,D,20050210,000000,6.44671,6.44671,6.44671,6.44671,5169.58,0
ATP,D,20050211,000000,6.47156,6.47156,6.47156,6.47156,10826.6,0
ATP,D,20050214,000000,6.39674,6.39674,6.39674,6.39674,3068.51,0
ATP,D,20050215,000000,6.42205,6.44671,6.42205,6.44671,506.044,0
ATP,D,20050216,000000,6.44671,6.54775,6.44671,6.54775,32958.6,0
ATP,D,20050217,000000,6.64861,6.64861,6.39674,6.49695,5222.92,0
ATP,D,20050218,000000,6.37126,6.54775,6.34651,6.54775,1588.82,0
ATP,D,20050221,000000,6.39674,6.39674,6.39674,6.39674,253.022,0
ATP,D,20050222,000000,6.39674,6.39674,6.39674,6.39674,3971.45,0
ATP,D,20050223,000000,6.47156,6.47156,6.47156,6.47156,3971.45,0
ATP,D,20050224,000000,6.34651,6.49695,6.22025,6.49695,12514.6,0
ATP,D,20050225,000000,6.54775,6.54775,6.52235,6.54775,9926.15,0
ATP,D,20050228,000000,6.39674,6.54775,6.29571,6.54775,13958.3,0
ATP,D,20050301,000000,6.39674,6.54775,6.24499,6.54775,71037.1,0
ATP,D,20050302,000000,6.57307,6.57307,6.54775,6.54775,9266.31,0
ATP,D,20050303,000000,6.39674,6.54775,6.39674,6.54775,3393.47,0
ATP,D,20050304,000000,6.47156,6.59789,6.47156,6.59789,302.634,0
ATP,D,20050307,000000,6.54775,6.54775,6.54775,6.54775,19853.5,0
ATP,D,20050309,000000,6.39674,6.49695,6.39674,6.49695,1588.82,0
ATP,D,20050314,000000,6.34651,6.49695,6.34651,6.49695,2481.84,0
ATP,D,20050316,000000,6.37126,6.39674,6.04384,6.39674,6850.2,0
ATP,D,20050317,000000,6.24499,6.37126,6.09462,6.09462,5644.62,0
ATP,D,20050321,000000,6.14469,6.14469,6.14469,6.14469,2979.21,0
ATP,D,20050322,000000,6.14469,6.14469,6.14469,6.14469,107.906,0
ATP,D,20050323,000000,6.01901,6.14469,6.01901,6.14469,19056,0
ATP,D,20050324,000000,6.01901,6.14469,6.01901,6.14469,20054.4,0
ATP,D,20050329,000000,6.01901,6.01901,6.01901,6.01901,1390.38,0
ATP,D,20050330,000000,5.9175,5.96829,5.84261,5.96829,40048.1,0
ATP,D,20050331,000000,5.99368,6.04384,5.99368,6.04384,1649.6,0
ATP,D,20050405,000000,5.9175,5.9175,5.9175,5.9175,1390.38,0
ATP,D,20050411,000000,5.79189,5.79189,5.66627,5.79189,3255.79,0
ATP,D,20050412,000000,5.89282,5.89282,5.89282,5.89282,994.724,0
ATP,D,20050414,000000,5.79189,5.79189,5.79189,5.79189,894.259,0
ATP,D,20050415,000000,5.86801,5.9175,5.86801,5.9175,27931.6,0
ATP,D,20050418,000000,5.89282,5.89282,5.66627,5.66627,1924.95,0
ATP,D,20050419,000000,5.66627,5.66627,5.66627,5.66627,675.965,0
ATP,D,20050422,000000,5.79189,5.79189,5.79189,5.79189,3377.34,0
ATP,D,20050426,000000,5.66627,5.66627,5.64088,5.66627,52035.7,0
ATP,D,20050427,000000,5.54017,5.64088,5.43964,5.56557,12993.4,0
ATP,D,20050502,000000,5.43964,5.43964,5.43964,5.43964,342.323,0
ATP,D,20050504,000000,5.43964,5.43964,5.43964,5.43964,582.943,0
ATP,D,20050509,000000,5.56557,5.9175,5.54017,5.59088,33522.9,0
ATP,D,20050510,000000,5.59088,5.66627,5.56557,5.66627,2185.41,0
ATP,D,20050513,000000,5.54017,5.54017,5.54017,5.54017,158.758,0
ATP,D,20050517,000000,5.41464,5.41464,5.41464,5.41464,158.758,0
ATP,D,20050518,000000,5.31377,5.49019,5.28878,5.38916,6146.94,0
ATP,D,20050519,000000,5.49019,5.49019,5.49019,5.49019,99.2243,0
ATP,D,20050520,000000,5.36416,5.71626,5.36416,5.51493,4331.14,0
ATP,D,20050523,000000,5.64088,5.7423,5.54017,5.54017,22739.7,0
ATP,D,20050525,000000,5.64088,5.64088,5.51493,5.51493,357.207,0
ATP,D,20050527,000000,5.64088,5.64088,5.64088,5.64088,9059.18,0
ATP,D,20050530,000000,5.64088,5.7423,5.64088,5.7423,18867.5,0
ATP,D,20050531,000000,5.7423,5.94345,5.7423,5.94345,1134.87,0
ATP,D,20050603,000000,5.86801,5.86801,5.81794,5.81794,2104.79,0
ATP,D,20050606,000000,5.7423,5.81794,5.7423,5.81794,20182.2,0
ATP,D,20050607,000000,5.7423,5.81794,5.7423,5.81794,4169.9,0
ATP,D,20050608,000000,5.7423,5.7423,5.71626,5.7423,15983.8,0
ATP,D,20050610,000000,5.7423,5.86801,5.7423,5.86801,8847.09,0
ATP,D,20050613,000000,5.89282,6.14469,5.7423,6.14469,6706.32,0
ATP,D,20050614,000000,5.7423,5.84261,5.7423,5.84261,1013.32,0
ATP,D,20050616,000000,5.7423,5.7423,5.71626,5.71626,1983.24,0
ATP,D,20050620,000000,5.71626,5.71626,5.66627,5.71626,12114,0
ATP,D,20050621,000000,5.66627,5.76713,5.64088,5.76713,4208.35,0
ATP,D,20050622,000000,5.66627,5.66627,5.64088,5.66627,5062.92,0
ATP,D,20050623,000000,5.66627,5.66627,5.66627,5.66627,1291.15,0
ATP,D,20050624,000000,5.56557,5.64088,5.56557,5.64088,1934.87,0
ATP,D,20050627,000000,5.64088,5.64088,5.64088,5.64088,104.185,0
ATP,D,20050628,000000,5.64088,5.64088,5.64088,5.64088,14692.6,0
ATP,D,20050629,000000,5.66627,5.76713,5.66627,5.76713,12544.4,0
ATP,D,20050630,000000,5.71626,5.76713,5.71626,5.76713,7586.94,0
ATP,D,20050704,000000,5.64088,5.7423,5.64088,5.7423,2728.66,0
ATP,D,20050705,000000,5.76713,5.86801,5.76713,5.86801,394.416,0
ATP,D,20050708,000000,5.99368,5.99368,5.99368,5.99368,49.6121,0
ATP,D,20050711,000000,5.86801,5.89282,5.86801,5.89282,477.517,0
ATP,D,20050714,000000,5.76713,5.76713,5.76713,5.76713,357.207,0
ATP,D,20050715,000000,5.7423,5.7423,5.7423,5.7423,220.774,0
ATP,D,20050718,000000,5.7423,5.7423,5.7423,5.7423,198.448,0
ATP,D,20050719,000000,5.7423,5.7423,5.7423,5.7423,179.844,0
ATP,D,20050721,000000,5.6915,5.6915,5.6915,5.6915,2185.41,0
ATP,D,20050722,000000,5.64088,5.64088,5.64088,5.64088,1983.24,0
ATP,D,20050725,000000,5.76713,5.79189,5.76713,5.79189,138.914,0
ATP,D,20050726,000000,5.66627,5.66627,5.66627,5.66627,695.81,0
ATP,D,20050727,000000,5.59088,5.66627,5.51493,5.66627,8791.27,0
ATP,D,20050728,000000,5.79189,5.79189,5.79189,5.79189,99.2243,0
ATP,D,20050801,000000,5.79189,5.79189,5.79189,5.79189,99.2243,0
ATP,D,20050802,000000,5.89282,5.96829,5.79189,5.96829,437.827,0
ATP,D,20050803,000000,5.84261,5.89282,5.84261,5.89282,367.13,0
ATP,D,20050805,000000,6.04384,6.0698,5.89282,6.04384,24554.3,0
ATP,D,20050808,000000,5.9175,6.19485,5.9175,6.11995,5211.75,0
ATP,D,20050809,000000,6.19485,6.44671,6.19485,6.29571,17339.4,0
ATP,D,20050810,000000,6.32119,6.42205,6.32119,6.42205,8632.51,0
ATP,D,20050811,000000,6.29571,6.29571,6.29571,6.29571,1265.11,0
ATP,D,20050812,000000,6.32119,6.32119,6.32119,6.32119,839.685,0
ATP,D,20050816,000000,6.19485,6.24499,6.19485,6.24499,1676.89,0
ATP,D,20050817,000000,6.11995,6.24499,6.11995,6.24499,2208.98,0
ATP,D,20050818,000000,6.29571,6.69932,6.29571,6.54775,13689.2,0
ATP,D,20050819,000000,6.64861,6.69932,6.54775,6.54775,13014.5,0
ATP,D,20050822,000000,6.44671,6.44671,6.44671,6.44671,198.448,0
ATP,D,20050823,000000,6.90057,7.20178,6.84984,7.10156,26827.7,0
ATP,D,20050824,000000,7.52976,7.52976,7.20178,7.27781,22583.4,0
ATP,D,20050825,000000,7.30336,7.30336,6.92507,7.00061,2641.84,0
ATP,D,20050826,000000,7.00061,7.00061,6.87461,6.97595,1194.41,0
ATP,D,20050829,000000,6.90057,7.27781,6.90057,7.27781,2785.72,0
ATP,D,20050830,000000,7.30336,7.35312,7.22816,7.27781,10249.8,0
ATP,D,20050831,000000,7.12631,7.17687,7.12631,7.17687,11421.9,0
ATP,D,20050901,000000,7.30336,7.30336,7.05078,7.20178,2160.61,0
ATP,D,20050902,000000,7.05078,7.05078,6.90057,7.05078,2432.23,0
ATP,D,20050905,000000,7.05078,7.12631,6.97595,7.12631,2559.98,0
ATP,D,20050906,000000,7.00061,7.07543,6.92507,6.92507,818.6,0
ATP,D,20050907,000000,7.02675,7.02675,7.02675,7.02675,945.111,0
ATP,D,20050908,000000,6.87461,7.05078,6.84984,7.05078,2550.06,0
ATP,D,20050909,000000,6.92507,6.92507,6.74899,6.84984,6612.06,0
