<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATR,D,20081218,000000,5.45812,5.45812,4.78659,4.78659,16378.277215881837,0
ATR,D,20081219,000000,4.77944,5.20805,4.77225,5.20805,17426.858136785544,0
ATR,D,20081222,000000,5.20805,5.20805,4.96522,5.02233,15768.483001449975,0
ATR,D,20081223,000000,4.99382,4.99382,4.99382,4.99382,287.6637924602476,0
ATR,D,20081229,000000,5.0009,5.11519,5.0009,5.10809,5238.927685727642,0
ATR,D,20081230,000000,5.11519,5.19387,5.0009,5.10809,10410.247752029145,0
ATR,D,20081231,000000,5.17947,5.20805,5.13669,5.13669,6508.890419261822,0
ATR,D,20090105,000000,5.64392,5.64392,5.02233,5.14379,3288.911839142277,0
ATR,D,20090106,000000,5.0295,5.46528,5.0009,5.46528,18569.559469046304,0
ATR,D,20090107,000000,5.35809,5.71528,5.2153,5.2153,60972.79324520316,0
ATR,D,20090108,000000,5.03658,5.11519,5.02233,5.11519,5716.157940500403,0
ATR,D,20090112,000000,5.07952,5.44386,5.07952,5.13669,2574.3920965797274,0
ATR,D,20090113,000000,5.01518,5.42245,5.01518,5.42245,4589.364283398051,0
ATR,D,20090114,000000,5.42245,5.56532,5.17947,5.49388,23385.6081234621,0
ATR,D,20090115,000000,5.28665,5.28665,5.28665,5.28665,906.7374840682456,0
ATR,D,20090116,000000,5.15812,5.41526,5.15812,5.2153,1676.934089687618,0
ATR,D,20090119,000000,5.52956,5.52956,5.52956,5.52956,1.3256395965910024,0
ATR,D,20090120,000000,5.14379,5.31524,5.04375,5.31524,1230.1935456364504,0
ATR,D,20090121,000000,5.32234,5.32234,5.10809,5.10809,420.22775211934777,0
ATR,D,20090122,000000,5.07226,5.2153,5.07226,5.2153,507.719965494354,0
ATR,D,20090123,000000,5.30809,5.30809,5.00799,5.28665,493.13792993185297,0
ATR,D,20090126,000000,5.30809,5.30809,4.91521,4.98657,4456.80032373895,0
ATR,D,20090127,000000,4.98657,4.98657,4.87946,4.95799,1600.04699308534,0
ATR,D,20090128,000000,4.98657,4.98657,4.98657,4.98657,13.256395965910025,0
ATR,D,20090129,000000,4.92939,4.92939,4.92939,4.92939,1479.4137897955586,0
ATR,D,20090130,000000,4.87229,4.87229,4.81519,4.85803,2702.979137449054,0
ATR,D,20090202,000000,4.92939,4.92939,4.22219,4.49368,9873.363715409789,0
ATR,D,20090203,000000,4.50078,4.50078,4.28646,4.28646,1444.9471602841927,0
ATR,D,20090204,000000,4.28646,4.28646,4.07215,4.15791,3771.4446523014017,0
ATR,D,20090205,000000,3.85783,4.21502,3.64346,4.10075,19752.029989205937,0
ATR,D,20090206,000000,4.10075,4.92231,4.10075,4.37941,5317.1404219265105,0
ATR,D,20090209,000000,4.14358,4.40798,4.14358,4.40798,5333.048097085603,0
ATR,D,20090210,000000,4.51519,4.66514,4.28646,4.66514,14684.10981143899,0
ATR,D,20090211,000000,4.77225,4.92231,4.64364,4.67223,10297.56838631891,0
ATR,D,20090212,000000,4.78659,4.78659,4.78659,4.78659,450.7174628409408,0
ATR,D,20090213,000000,4.78659,4.83661,4.78659,4.83661,612.445493625043,0
ATR,D,20090216,000000,4.71516,4.78659,4.28646,4.28646,4619.853994119644,0
ATR,D,20090217,000000,4.14358,4.14358,3.87217,3.87217,7293.669060443695,0
ATR,D,20090218,000000,3.77924,3.77924,3.70063,3.77207,6616.267226585693,0
ATR,D,20090219,000000,3.86492,3.86492,3.85074,3.85074,1305.7550026421372,0
ATR,D,20090220,000000,3.85074,3.85074,3.85074,3.85074,13.256395965910025,0
ATR,D,20090223,000000,3.67928,3.83642,3.67928,3.83642,1805.5211305569455,0
ATR,D,20090224,000000,3.85074,4.21502,3.47206,4.21502,23070.10589947276,0
ATR,D,20090225,000000,4.10075,4.57227,4.10075,4.28646,4036.5725716196025,0
ATR,D,20090226,000000,4.32222,4.49368,4.32222,4.49368,10149.096751500716,0
ATR,D,20090227,000000,4.28646,4.42933,4.28646,4.42933,1928.8056130399088,0
ATR,D,20090302,000000,4.33649,4.33649,4.31505,4.31505,885.5272505227897,0
ATR,D,20090303,000000,4.14358,4.22928,4.06498,4.12933,17399.01970525691,0
ATR,D,20090304,000000,4.0293,4.27936,4.0293,4.27936,1218.2627892671314,0
ATR,D,20090305,000000,4.30796,4.46518,4.21502,4.46518,2877.9635641990667,0
ATR,D,20090306,000000,4.35797,4.46518,4.07215,4.46518,19323.8483995075,0
ATR,D,20090309,000000,4.21502,4.21502,4.21502,4.21502,1.3256395965910024,0
