<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATS,D,19970605,000000,49426.8,49426.8,49426.8,49426.8,33.24918451528282,0
ATS,D,19970606,000000,46131.6,46131.6,46131.6,46131.6,18.7277033263793,0
ATS,D,19970609,000000,47449.8,47449.8,47449.8,47449.8,13.720296019860704,0
ATS,D,19970610,000000,46131.6,46131.6,46131.6,46131.6,4.573432006620346,0
ATS,D,19970611,000000,47449.8,47449.8,47449.8,47449.8,12.451752835542802,0
ATS,D,19970612,000000,52062.9,52062.9,52062.9,52062.9,26.572641439924915,0
ATS,D,19970613,000000,52062.9,52062.9,52062.9,52062.9,11.18320965122457,0
ATS,D,19970616,000000,50744.7,50744.7,50744.7,50744.7,5.508148037170519,0
ATS,D,19970617,000000,48767.7,48767.7,48767.7,48767.7,11.416888658862112,0
ATS,D,19970618,000000,46131.6,46131.6,46131.6,46131.6,13.920592312121409,0
ATS,D,19970619,000000,46131.6,46131.6,46131.6,46131.6,8.712888713342112,0
ATS,D,19970620,000000,47449.8,47449.8,47449.8,47449.8,4.07269127596842,0
ATS,D,19970623,000000,42836.4,42836.4,42836.4,42836.4,9.881283751529828,0
ATS,D,19970624,000000,42507,42507,42507,42507,12.652049127803508,0
ATS,D,19970625,000000,42836.4,42836.4,42836.4,42836.4,4.406518429736148,0
ATS,D,19970626,000000,40859.4,40859.4,40859.4,40859.4,4.139456706722099,0
ATS,D,19970627,000000,40859.4,40859.4,40859.4,40859.4,4.974024591141754,0
ATS,D,19970630,000000,41518.5,41518.5,41518.5,41518.5,7.377580098270531,0
ATS,D,19970701,000000,40859.4,40859.4,40859.4,40859.4,4.673580152750532,0
ATS,D,19970702,000000,40859.4,40859.4,40859.4,40859.4,3.3048888223022117,0
ATS,D,19970703,000000,40200.3,40200.3,40200.3,40200.3,5.675061614054383,0
ATS,D,19970704,000000,42836.4,42836.4,42836.4,42836.4,2.303407360998526,0
ATS,D,19970707,000000,44154.6,44154.6,44154.6,44154.6,6.843456652242099,0
ATS,D,19970708,000000,44154.6,44154.6,44154.6,44154.6,3.2047406761718595,0
ATS,D,19970709,000000,46131.6,46131.6,46131.6,46131.6,4.339752998982803,0
ATS,D,19970710,000000,47449.8,47449.8,47449.8,47449.8,4.840493729634729,0
ATS,D,19970711,000000,45143.1,45143.1,45143.1,45143.1,2.002962922607404,0
ATS,D,19970714,000000,40859.4,40859.4,40859.4,40859.4,10.548938059065618,0
ATS,D,19970715,000000,41518.5,41518.5,41518.5,41518.5,4.673580152750532,0
ATS,D,19970716,000000,42507,42507,42507,42507,6.876839367618605,0
ATS,D,19970717,000000,41518.5,41518.5,41518.5,41518.5,5.741827044808063,0
ATS,D,19970718,000000,42836.4,42836.4,42836.4,42836.4,5.40799989104,0
ATS,D,19970721,000000,41189.1,41189.1,41189.1,41189.1,3.104592530041474,0
ATS,D,19970722,000000,41847.9,41847.9,41847.9,41847.9,2.7707653762735793,0
ATS,D,19970723,000000,41847.9,41847.9,41847.9,41847.9,1.836049345723473,0
ATS,D,19970724,000000,40859.4,40859.4,40859.4,40859.4,2.8709135224039644,0
ATS,D,19970725,000000,40200.3,40200.3,40200.3,40200.3,3.3048888223022117,0
ATS,D,19970728,000000,38882.4,38882.4,38882.4,38882.4,3.438419683809469,0
ATS,D,19970729,000000,40200.3,40200.3,40200.3,40200.3,4.1060739913452595,0
ATS,D,19970730,000000,41518.5,41518.5,41518.5,41518.5,9.247012159370877,0
ATS,D,19970731,000000,41847.9,41847.9,41847.9,41847.9,3.338271537678951,0
ATS,D,19970801,000000,41189.1,41189.1,41189.1,41189.1,1.1016296074340703,0
ATS,D,19970804,000000,41847.9,41847.9,41847.9,41847.9,2.3367900763752987,0
ATS,D,19970805,000000,40859.4,40859.4,40859.4,40859.4,1.2017777535644556,0
ATS,D,19970806,000000,41847.9,41847.9,41847.9,41847.9,3.7054814068238526,0
ATS,D,19970807,000000,41847.9,41847.9,41847.9,41847.9,3.8723949837077165,0
ATS,D,19970808,000000,42836.4,42836.4,42836.4,42836.4,7.410962813647371,0
ATS,D,19970811,000000,42836.4,42836.4,42836.4,42836.4,4.77372829888105,0
ATS,D,19970812,000000,42177.6,42177.6,42177.6,42177.6,4.07269127596842,0
ATS,D,19970813,000000,42177.6,42177.6,42177.6,42177.6,4.77372829888105,0
ATS,D,19970814,000000,41518.5,41518.5,41518.5,41518.5,2.3367900763752987,0
ATS,D,19970818,000000,38882.4,38882.4,38882.4,38882.4,3.5385678299396544,0
ATS,D,19970819,000000,39541.5,39541.5,39541.5,39541.5,3.2047406761718595,0
ATS,D,19970820,000000,40859.4,40859.4,40859.4,40859.4,2.637234514766421,0
ATS,D,19970821,000000,41189.1,41189.1,41189.1,41189.1,2.27002464562172,0
ATS,D,19970822,000000,40200.3,40200.3,40200.3,40200.3,2.9376789531575436,0
ATS,D,19970825,000000,40859.4,40859.4,40859.4,40859.4,6.275950490836494,0
ATS,D,19970826,000000,40859.4,40859.4,40859.4,40859.4,14.321184896642816,0
ATS,D,19970827,000000,41847.9,41847.9,41847.9,41847.9,9.614222028515444,0
ATS,D,19970828,000000,42836.4,42836.4,42836.4,42836.4,16.15723424236632,0
ATS,D,19970829,000000,45143.1,45143.1,45143.1,45143.1,12.184691112528421,0
ATS,D,19970901,000000,43495.5,43495.5,43495.5,43495.5,10.181728189921051,0
ATS,D,19970902,000000,42836.4,42836.4,42836.4,42836.4,6.342715921590173,0
ATS,D,19970903,000000,43495.5,43495.5,43495.5,43495.5,16.057086096236137,0
ATS,D,19970904,000000,44813.7,44813.7,44813.7,44813.7,21.865678571797545,0
ATS,D,19970905,000000,44154.6,44154.6,44154.6,44154.6,6.442864067720358,0
ATS,D,19970908,000000,45472.5,45472.5,45472.5,45472.5,15.923555234728779,0
ATS,D,19970909,000000,46131.6,46131.6,46131.6,46131.6,11.383505943485272,0
ATS,D,19970910,000000,46131.6,46131.6,46131.6,46131.6,23.301135332999642,0
ATS,D,19970911,000000,45472.5,45472.5,45472.5,45472.5,16.29076510387368,0
ATS,D,19970912,000000,45472.5,45472.5,45472.5,45472.5,2.70399994552,0
ATS,D,19970915,000000,44813.7,44813.7,44813.7,44813.7,30.41165370825579,0
ATS,D,19970916,000000,45472.5,45472.5,45472.5,45472.5,7.277431952140346,0
ATS,D,19970917,000000,44154.6,44154.6,44154.6,44154.6,3.471802399186309,0
ATS,D,19970918,000000,44154.6,44154.6,44154.6,44154.6,7.344197382893692,0
