<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCM,D,20040302,000000,7.66806,7.77762,7.40656,7.42854,435348.4534685008,0
BCM,D,20040303,000000,7.44972,7.47212,7.2102,7.25299,77880.39884340024,0
BCM,D,20040304,000000,7.12383,7.2102,6.94832,7.12383,71027.94411070325,0
BCM,D,20040305,000000,7.01388,7.27619,6.96791,6.9919,40054.34853973533,0
BCM,D,20040308,000000,6.88195,6.94832,6.77276,6.79516,47569.540682711406,0
BCM,D,20040309,000000,6.6624,6.70639,6.55367,6.55367,45238.705715239295,0
BCM,D,20040310,000000,6.55367,6.77276,6.55367,6.77276,14297.62179081337,0
BCM,D,20040311,000000,6.72918,6.72918,6.55367,6.72918,27067.19619415307,0
BCM,D,20040312,000000,6.6624,6.77276,6.62003,6.70639,38621.335195999796,0
BCM,D,20040315,000000,6.68601,6.68601,6.59923,6.6624,10996.439218857158,0
BCM,D,20040316,000000,6.59923,6.6624,6.51008,6.6624,5772.0677091476755,0
BCM,D,20040317,000000,6.6624,6.6624,6.53324,6.55367,105945.4524968037,0
BCM,D,20040318,000000,6.55367,6.55367,6.40089,6.4441,25704.207935277205,0
BCM,D,20040319,000000,6.55367,6.64243,6.16179,6.33692,1928183.2268413042,0
BCM,D,20040322,000000,6.31452,6.38051,6.24817,6.29137,14307.625374364752,0
BCM,D,20040323,000000,6.29137,6.64243,6.24817,6.53324,63862.87739202557,0
BCM,D,20040324,000000,6.46687,6.46687,6.35731,6.40089,17058.610850994923,0
BCM,D,20040325,000000,6.38051,6.38051,6.31452,6.33692,37806.043136562126,0
BCM,D,20040326,000000,6.33692,6.33692,6.22778,6.22778,56620.28290082467,0
BCM,D,20040329,000000,6.24817,6.33692,6.22778,6.24817,41119.73018795756,0
BCM,D,20040330,000000,6.40089,6.40089,6.20458,6.20458,57915.746970728695,0
BCM,D,20040331,000000,6.20458,6.22778,6.18138,6.20458,20919.994101828554,0
BCM,D,20040401,000000,6.22778,6.22778,6.20458,6.22778,6214.726281296347,0
BCM,D,20040402,000000,6.27094,6.31452,6.20458,6.27094,18764.221846505632,0
BCM,D,20040405,000000,6.22778,6.22778,6.07504,6.11821,73056.17067574605,0
BCM,D,20040406,000000,6.11821,6.11821,6.00863,6.00863,14515.199733055937,0
BCM,D,20040407,000000,6.00863,6.00863,5.94228,5.96585,8700.616793814888,0
BCM,D,20040408,000000,6.05222,6.22778,6.02902,6.20458,53038.99998942976,0
BCM,D,20040413,000000,6.29137,6.29137,6.22778,6.29137,27829.96943994598,0
BCM,D,20040414,000000,6.33692,6.38051,6.27094,6.27094,49255.144511119346,0
BCM,D,20040415,000000,6.27094,6.27094,6.18138,6.27094,2816.0087697141603,0
BCM,D,20040416,000000,6.18138,6.27094,6.11821,6.24817,19917.134850802464,0
BCM,D,20040419,000000,6.11821,6.11821,6.00863,6.00863,27995.028568543792,0
BCM,D,20040420,000000,6.00863,6.00863,5.78992,5.81031,36077.92407806081,0
BCM,D,20040421,000000,5.78992,6.00863,5.78992,5.96585,22905.705436777967,0
BCM,D,20040422,000000,5.85549,5.94228,5.85549,5.94228,2380.8528852290237,0
BCM,D,20040423,000000,5.98623,5.98623,5.81031,5.87629,13129.703411189468,0
BCM,D,20040426,000000,5.87629,5.87629,5.85549,5.87629,2503.396783733458,0
