<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCS,D,20211207,000000,26.8172,29.1637,26.3981,28.9122,58872.205057401,0
BCS,D,20211208,000000,28.9122,28.9122,27.9066,28.4849,30357.901146509,0
BCS,D,20211209,000000,27.7557,28.4932,26.0797,28.4513,22996.638139048,0
BCS,D,20211210,000000,27.8228,28.4932,27.4038,28.2417,6996.123360795,0
BCS,D,20211213,000000,27.0854,28.2837,26.5154,28.2837,6839.8054074837,0
BCS,D,20211214,000000,28.2837,28.2837,26.7753,27.9904,6514.0435658502,0
BCS,D,20211215,000000,27.1943,27.9904,26.8339,27.9904,5825.5286111891,0
BCS,D,20211216,000000,27.0015,27.9904,27.0015,27.9904,2672.9176749413,0
BCS,D,20211217,000000,27.9024,28.4094,27.0182,28.4094,4010.5697792311,0
BCS,D,20211220,000000,27.278,28.116,27.2362,28.1119,3728.9588099069,0
BCS,D,20211221,000000,27.2864,28.4932,27.278,28.4932,5205.0298652205,0
BCS,D,20211222,000000,28.4764,28.4932,27.8228,28.4052,1618.0698067948,0
BCS,D,20211223,000000,28.0743,28.0743,27.4875,28.0743,5977.0734972236,0
BCS,D,20211227,000000,27.6552,28.2753,27.5211,28.2753,4304.113416747,0
BCS,D,20211228,000000,27.8228,28.4052,27.6216,28.4052,5530.791706854,0
BCS,D,20211229,000000,27.9736,29.5827,27.7641,29.5827,6864.8640106863,0
BCS,D,20211230,000000,29.3313,30.1526,28.774,30.1526,9672.6208361939,0
BCS,D,20220103,000000,30.1526,30.5883,29.8174,30.3369,10544.898881007,0
BCS,D,20220104,000000,30.3452,33.3287,30.3452,33.1862,16087.623256052,0
BCS,D,20220105,000000,33.2281,34.7785,32.6876,33.8147,12691.585888694,0
BCS,D,20220107,000000,33.9363,33.9363,32.9599,33.1694,5165.6520601879,0
BCS,D,20220110,000000,33.5215,33.8482,33.0187,33.2281,1986.7892539184,0
BCS,D,20220111,000000,33.3538,33.5215,32.2979,32.7672,2287.4924923493,0
BCS,D,20220112,000000,33.1024,33.27,32.5996,33.1024,5158.4924592729,0
BCS,D,20220113,000000,33.1024,33.1024,32.2644,32.6834,2314.9376291902,0
BCS,D,20220114,000000,32.2644,33.0187,31.8454,33.0187,5546.3041755032,0
BCS,D,20220117,000000,33.1024,34.9461,33.1024,34.7785,15165.228004835,0
BCS,D,20220118,000000,34.7785,35.0717,33.689,33.7729,5531.9849736732,0
BCS,D,20220119,000000,33.7729,33.7729,32.0968,32.6834,3465.2468428703,0
BCS,D,20220120,000000,33.4376,35.0843,32.6834,34.2589,13497.040991634,0
BCS,D,20220121,000000,34.3175,34.3175,32.7672,33.4376,5072.5772482926,0
BCS,D,20220124,000000,32.6834,32.6834,30.2698,31.7573,9883.8290631869,0
BCS,D,20220125,000000,30.6721,31.4765,30.6302,30.8397,3095.3341289276,0
BCS,D,20220126,000000,30.8816,31.506,30.1692,31.506,4813.6383485326,0
BCS,D,20220127,000000,30.383,32.0801,30.383,32.0801,1972.4700520884,0
BCS,D,20220128,000000,31.8454,32.3482,30.9235,32.3482,2131.174539038,0
BCS,D,20220131,000000,32.3482,32.3482,31.309,32.2644,2048.8391285152,0
BCS,D,20220201,000000,31.9292,32.2644,31.594,32.2644,2546.4313921092,0
BCS,D,20220202,000000,32.2644,32.2644,31.5269,32.1805,2707.5224126972,0
BCS,D,20220203,000000,32.1805,32.2644,31.8454,32.2225,1603.7506049648,0
BCS,D,20220204,000000,32.2225,32.2225,31.6777,31.8454,869.89151117509,0
BCS,D,20220207,000000,32.013,32.013,31.4598,31.6777,323.37530799513,0
BCS,D,20220208,000000,31.6777,31.6777,30.8859,31.6736,3063.11592481,0
BCS,D,20220209,000000,31.2587,32.6707,31.2587,32.0968,2609.6745335253,0
BCS,D,20220210,000000,32.0172,32.3482,31.8454,31.9333,4145.4089297974,0
BCS,D,20220211,000000,32.013,32.2644,31.8454,32.2644,1762.4550919145,0
BCS,D,20220214,000000,32.2601,32.2601,30.253,31.3676,1439.0797839193,0
BCS,D,20220215,000000,31.0073,32.0968,31.0073,32.0716,1637.1620759016,0
BCS,D,20220216,000000,31.8454,32.4319,31.1372,32.4278,533.39026816909,0
BCS,D,20220217,000000,32.3062,32.3062,31.0116,31.7616,1855.5299038097,0
BCS,D,20220218,000000,31.5102,31.5102,31.0073,31.485,877.05111209011,0
BCS,D,20220221,000000,30.3202,31.3425,29.5827,29.5827,1559.5997326555,0
BCS,D,20220222,000000,28.5853,31.3425,28.5853,30.1692,3201.5348758337,0
BCS,D,20220223,000000,29.9598,30.5883,29.3313,30.1526,960.57978943203,0
BCS,D,20220224,000000,27.1523,29.3145,25.5015,27.32,2213.5099495607,0
BCS,D,20220225,000000,26.2305,29.7461,26.2305,29.6203,4403.1545627382,0
BCS,D,20220228,000000,27.32,29.6623,27.32,28.9122,3299.3827550056,0
BCS,D,20220301,000000,28.9122,28.9122,27.6845,28.1956,4089.3253892964,0
BCS,D,20220302,000000,27.739,28.4094,25.9791,27.651,5886.3852189668,0
BCS,D,20220303,000000,27.6552,27.6552,26.8172,27.6552,1514.255593527,0
BCS,D,20220304,000000,26.3981,27.563,26.3981,27.563,2313.744362371,0
BCS,D,20220307,000000,26.3981,28.8285,25.9791,28.8285,3801.7480858763,0
BCS,D,20220308,000000,26.9177,29.0798,26.9177,27.6594,1754.1022241803,0
BCS,D,20220309,000000,26.8255,28.7446,26.8255,28.4932,662.26308463947,0
BCS,D,20220310,000000,27.6552,29.3145,27.6552,29.2223,834.09350659999,0
BCS,D,20220311,000000,27.6552,29.3313,27.2362,29.3313,2992.7131824789,0
BCS,D,20220314,000000,29.7084,29.7502,29.3313,29.7502,591.86034230844,0
BCS,D,20220315,000000,28.577,29.5827,28.4094,29.5827,653.91021690528,0
BCS,D,20220316,000000,29.5827,29.9975,28.5812,29.8759,1731.430154616,0
BCS,D,20220317,000000,30.0855,30.3369,29.7502,30.3369,2713.4887467931,0
BCS,D,20220318,000000,30.1692,30.6888,29.6665,30.6553,809.03490339741,0
BCS,D,20220321,000000,30.6721,30.6721,29.3313,29.4318,1341.2319047473,0
BCS,D,20220322,000000,29.4988,30.5841,29.4988,30.5841,180.18328969471,0
BCS,D,20220323,000000,30.5883,30.5883,29.7502,30.5883,903.30298211186,0
BCS,D,20220324,000000,29.8341,30.5799,29.8341,30.5799,1028.5959981247,0
BCS,D,20220325,000000,30.0017,30.5883,29.6582,30.5044,578.73440729756,0
BCS,D,20220328,000000,30.1692,30.1692,29.7502,30.1692,608.56607777681,0
BCS,D,20220329,000000,29.8927,31.0031,29.591,31.0031,1855.5299038097,0
