<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDF,D,20020923,000000,0.0899576,0.0899576,0.0899576,0.0899576,1080795.6269773527,0
BDF,D,20021108,000000,0.139025,0.139025,0.139025,0.139025,648476.6425076551,0
BDF,D,20021127,000000,0.0899576,0.0899576,0.0899576,0.0899576,1080795.6269773527,0
BDF,D,20021205,000000,0.147203,0.147203,0.147203,0.147203,432316.5388738425,0
BDF,D,20021218,000000,0.139025,0.139025,0.139025,0.139025,972714.9637614825,0
BDF,D,20030116,000000,0.139025,0.139025,0.139025,0.139025,972714.9637614825,0
BDF,D,20030117,000000,0.139025,0.139025,0.139025,0.139025,108078.217620015,0
BDF,D,20030206,000000,0.0981356,0.147203,0.0981356,0.147203,648476.6425076551,0
BDF,D,20030224,000000,0.0981356,0.147203,0.0981356,0.147203,493825.72022294754,0
BDF,D,20030225,000000,0.147203,0.147203,0.0981356,0.0981356,63863.0673595425,0
BDF,D,20030226,000000,0.0981356,0.0981356,0.0981356,0.0981356,9727.357513262501,0
BDF,D,20030227,000000,0.0981356,0.0981356,0.0981356,0.0981356,87544.994821435,0
BDF,D,20030304,000000,0.130847,0.130847,0.130847,0.130847,2160.6839378925,0
BDF,D,20030307,000000,0.0981356,0.106314,0.0981356,0.106314,1403.7720207700002,0
BDF,D,20030310,000000,0.106314,0.106314,0.106314,0.106314,4701.6580312375,0
BDF,D,20030410,000000,0.0981356,0.130847,0.0981356,0.130847,742506.1347386226,0
BDF,D,20030411,000000,0.0981356,0.130847,0.0899576,0.0899576,2031407.295401345,0
BDF,D,20030414,000000,0.0899576,0.0981356,0.0490678,0.0490678,687980.35235347,0
BDF,D,20030415,000000,0.114492,0.163559,0.114492,0.163559,1296953.2850153102,0
BDF,D,20030417,000000,0.147203,0.163559,0.147203,0.163559,1080795.6269773527,0
BDF,D,20030425,000000,0.0817797,0.0817797,0.0817797,0.0817797,72467.89637536,0
BDF,D,20030512,000000,0.0654237,0.0654237,0.0654237,0.0654237,467929.3057143525,0
BDF,D,20030513,000000,0.122669,0.196271,0.122669,0.196271,465335.751310125,0
BDF,D,20030515,000000,0.0899576,0.0981356,0.0899576,0.0981356,57390.797929285,0
BDF,D,20030520,000000,0.0817797,0.0817797,0.0654237,0.0654237,45392.704664655,0
BDF,D,20030521,000000,0.0654237,0.0654237,0.0654237,0.0654237,73666.23834431,0
BDF,D,20030523,000000,0.0817797,0.0817797,0.0817797,0.0817797,48635.564768385004,0
BDF,D,20030527,000000,0.0817797,0.0817797,0.0817797,0.0817797,108199.2746148375,0
BDF,D,20030530,000000,0.0817797,0.0981356,0.0817797,0.0899576,835400.87049287,0
BDF,D,20030611,000000,0.114492,0.114492,0.114492,0.114492,864636.7461414675,0
BDF,D,20030613,000000,0.122669,0.139025,0.122669,0.139025,29246.880829945003,0
BDF,D,20030904,000000,0.0817797,0.0817797,0.0817797,0.0817797,10807.088083245,0
BDF,D,20030908,000000,0.0817797,0.0817797,0.0817797,0.0817797,1837351.70990295,0
