<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDX,D,19950525,000000,2.73174,2.73174,2.73174,2.73174,1162255.3021783333,0
BDX,D,19950526,000000,2.73174,2.73174,2.73174,2.73174,910223.1086182706,0
BDX,D,19950529,000000,2.78932,2.78932,2.78932,2.78932,743556.83232001,0
BDX,D,19950530,000000,2.5162,2.5162,2.5162,2.5162,567745.076040429,0
BDX,D,19950531,000000,2.54502,2.54502,2.54502,2.54502,355817.3857451058,0
BDX,D,19950601,000000,2.3292,2.3292,2.3292,2.3292,142968.52910104286,0
BDX,D,19950602,000000,2.35791,2.35791,2.35791,2.35791,223501.6997414913,0
BDX,D,19950605,000000,2.5017,2.5017,2.5017,2.5017,110121.24987111974,0
BDX,D,19950606,000000,2.5017,2.5017,2.5017,2.5017,265016.316889025,0
BDX,D,19950607,000000,2.54502,2.54502,2.54502,2.54502,278601.49450713187,0
BDX,D,19950608,000000,2.54502,2.54502,2.54502,2.54502,226143.6372460686,0
BDX,D,19950609,000000,2.53049,2.53049,2.53049,2.53049,153921.2240011359,0
BDX,D,19950612,000000,2.4586,2.4586,2.4586,2.4586,145406.51335245362,0
BDX,D,19950613,000000,2.47289,2.47289,2.47289,2.47289,135462.77924781432,0
BDX,D,19950614,000000,2.53049,2.53049,2.53049,2.53049,94250.71527053519,0
BDX,D,19950616,000000,2.47289,2.47289,2.47289,2.47289,94015.69629006673,0
BDX,D,19950619,000000,2.38672,2.38672,2.38672,2.38672,66829.13284831721,0
BDX,D,19950620,000000,2.44432,2.44432,2.44432,2.44432,102077.92786716452,0
BDX,D,19950621,000000,2.44432,2.44432,2.44432,2.44432,122736.6365238409,0
BDX,D,19950622,000000,2.44432,2.44432,2.44432,2.44432,167746.8233348959,0
BDX,D,19950623,000000,2.47289,2.47289,2.47289,2.47289,84109.78133171015,0
BDX,D,19950626,000000,2.58802,2.58802,2.58802,2.58802,384662.5888880951,0
BDX,D,19950627,000000,2.67427,2.67427,2.67427,2.67427,386092.9630278434,0
BDX,D,19950628,000000,2.58802,2.58802,2.58802,2.58802,182767.77782792854,0
BDX,D,19950629,000000,2.64547,2.64547,2.64547,2.64547,312039.02255582216,0
BDX,D,19950630,000000,2.65992,2.65992,2.65992,2.65992,190422.102898686,0
