<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFT,D,20110421,000000,91.3283,105.318,91.3283,100.385,42373.86045974,0
BFT,D,20110426,000000,100.135,101.366,98.7281,100.385,1641.1916172861,0
BFT,D,20110427,000000,100.542,100.801,100.135,100.459,1567.7215514695,0
BFT,D,20110428,000000,101.199,106.133,101.199,104.901,2039.8747685558,0
BFT,D,20110429,000000,106.956,106.956,105.401,106.133,2060.4031692986,0
BFT,D,20110502,000000,106.133,106.225,106.049,106.133,471.0727749419,0
BFT,D,20110504,000000,106.133,106.956,102.856,106.956,17563.667498751,0
BFT,D,20110505,000000,106.956,110.825,106.956,110.168,1165.7970737668,0
BFT,D,20110506,000000,106.956,109.02,106.133,109.02,616.93246443079,0
BFT,D,20110509,000000,110.908,110.992,106.956,110.992,4379.0320110998,0
BFT,D,20110510,000000,110.26,110.992,109.02,110.992,311.1673375763,0
BFT,D,20110511,000000,110.992,110.992,110.26,110.325,1258.7150981819,0
BFT,D,20110512,000000,110.908,113.536,110.668,113.536,4133.7716443296,0
BFT,D,20110513,000000,123.329,130.003,119.303,123.413,6418.9067796556,0
BFT,D,20110516,000000,121.774,130.003,121.774,129.178,1844.3147404262,0
BFT,D,20110517,000000,130.816,135.269,127.54,127.54,1785.9708646306,0
BFT,D,20110518,000000,129.178,129.178,116.258,122.598,606.12804298717,0
BFT,D,20110519,000000,117.665,117.665,115.193,116.998,645.02396018421,0
BFT,D,20110520,000000,111.167,119.303,111.167,119.303,1280.3239410692,0
BFT,D,20110523,000000,117.665,119.229,117.665,118.479,273.35186252363,0
BFT,D,20110525,000000,115.193,115.193,115.193,115.193,10.804421443622,0
BFT,D,20110526,000000,115.193,116.831,115.193,116.831,879.4799055108,0
BFT,D,20110530,000000,119.053,126.716,119.053,123.829,133.97482590091,0
BFT,D,20110601,000000,119.72,125.06,119.72,125.06,100.48111942568,0
BFT,D,20110602,000000,125.06,126.716,121.774,126.716,148.02057377762,0
BFT,D,20110603,000000,119.303,128.763,119.303,128.763,288.4780525447,0
BFT,D,20110606,000000,128.763,129.178,128.763,129.178,44.298127918849,0
BFT,D,20110607,000000,127.54,127.54,127.54,127.54,85.354929404611,0
BFT,D,20110608,000000,124.236,127.54,122.598,122.598,224.73196602733,0
BFT,D,20110610,000000,123.413,123.413,123.413,123.413,48.619896496297,0
BFT,D,20110614,000000,119.303,119.303,119.303,119.303,2.1608842887243,0
BFT,D,20110616,000000,119.303,123.413,115.267,123.413,244.17992462585,0
BFT,D,20110620,000000,116.175,122.598,116.175,122.598,121.00952016856,0
BFT,D,20110621,000000,115.193,121.774,115.193,121.774,60.504760084281,0
BFT,D,20110622,000000,120.126,120.126,120.126,120.126,3409.875407607,0
BFT,D,20110624,000000,122.598,123.413,122.598,123.413,115.60730944675,0
BFT,D,20110627,000000,124.319,127.448,123.413,123.413,8893.1192902449,0
BFT,D,20110628,000000,123.413,124.236,123.413,124.236,50.780780785021,0
BFT,D,20110629,000000,127.448,130.816,124.412,130.816,1038.304900732,0
BFT,D,20110630,000000,131.641,131.641,127.605,130.816,6163.9224335861,0
BFT,D,20110701,000000,130.816,130.816,127.938,130.816,3735.08849306,0
BFT,D,20110704,000000,130.816,130.816,130.816,130.816,1.0804421443622,0
BFT,D,20110705,000000,127.938,127.938,127.938,127.938,44.298127918849,0
BFT,D,20110706,000000,127.938,127.938,127.938,127.938,136.13571018963,0
BFT,D,20110707,000000,132.057,132.057,132.057,132.057,153.42278449943,0
BFT,D,20110708,000000,132.057,134.111,132.057,134.111,304.68468471013,0
BFT,D,20110711,000000,133.288,133.288,131.641,131.641,24359.648586789,0
BFT,D,20110712,000000,131.641,131.641,131.641,131.641,14353.673887851,0
BFT,D,20110713,000000,131.567,131.641,127.864,127.864,291.71937897778,0
BFT,D,20110718,000000,127.864,127.864,127.864,127.864,18.367516454157,0
BFT,D,20110719,000000,127.938,127.938,127.54,127.54,603.96715869845,0
BFT,D,20110720,000000,127.54,127.54,127.54,127.54,31.332822186503,0
BFT,D,20110721,000000,123.505,130.816,123.413,130.816,219.32975530552,0
BFT,D,20110725,000000,123.903,123.903,123.903,123.903,16.206632165432,0
BFT,D,20110726,000000,123.903,130.003,123.903,130.003,65.906970806092,0
BFT,D,20110727,000000,130.003,131.641,130.003,131.641,38.895917197038,0
BFT,D,20110729,000000,131.641,131.641,131.641,131.641,60.504760084281,0
BFT,D,20110802,000000,130.003,130.003,130.003,130.003,9752.0707950128,0
BFT,D,20110803,000000,127.54,127.54,127.54,127.54,24384.49875611,0
BFT,D,20110804,000000,127.54,127.54,122.598,127.448,263.62788322437,0
BFT,D,20110805,000000,117.665,124.236,117.665,124.236,9135.1383305821,0
BFT,D,20110808,000000,119.386,124.236,115.267,123.413,962.67395062668,0
BFT,D,20110809,000000,115.267,118.072,115.267,117.239,17450.221073593,0
BFT,D,20110810,000000,117.239,117.239,105.568,114.861,591.0018529661,0
BFT,D,20110811,000000,113.953,113.953,113.953,113.953,16.206632165432,0
BFT,D,20110812,000000,115.767,119.303,115.767,119.303,342.5001597628,0
BFT,D,20110816,000000,119.627,123.413,119.627,123.413,633.13909659623,0
BFT,D,20110817,000000,118.479,118.479,118.479,118.479,63.746086517367,0
BFT,D,20110818,000000,119.303,119.303,119.303,119.303,18.367516454157,0
BFT,D,20110819,000000,114.361,116.591,112.723,116.591,1189.5668009427,0
BFT,D,20110822,000000,112.723,115.934,111.898,115.934,375.99386623803,0
BFT,D,20110823,000000,115.934,115.934,111.075,111.075,137.21615233399,0
BFT,D,20110825,000000,108.196,109.436,106.956,109.436,1632.5480801312,0
BFT,D,20110826,000000,109.436,115.193,108.603,111.075,404.08536199145,0
BFT,D,20110829,000000,111.075,112.556,110.26,112.556,6209.3010036493,0
BFT,D,20110830,000000,115.601,115.601,113.953,113.953,157.74455307688,0
BFT,D,20110831,000000,114.777,114.777,113.536,113.536,3278.0614659948,0
BFT,D,20110901,000000,109.354,109.354,109.354,109.354,18.367516454157,0
BFT,D,20110902,000000,110.26,112.723,110.26,112.723,5425.9804489868,0
BFT,D,20110905,000000,111.075,111.408,106.956,111.408,30.25238004214,0
BFT,D,20110906,000000,111.408,111.408,111.316,111.316,149.10101592198,0
BFT,D,20110907,000000,112.723,115.267,112.723,115.267,60.504760084281,0
BFT,D,20110909,000000,110.26,115.193,108.603,115.193,1525.5843078394,0
BFT,D,20110912,000000,109.436,111.075,109.436,111.075,87.515813693335,0
BFT,D,20110913,000000,111.075,113.139,111.075,113.139,124.25084660165,0
BFT,D,20110914,000000,112.315,112.315,112.315,112.315,66.987412950454,0
BFT,D,20110915,000000,111.075,113.139,106.956,113.139,8570.0670890806,0
BFT,D,20110919,000000,109.178,115.101,109.178,115.101,71.309181527903,0
BFT,D,20110921,000000,113.047,113.047,107.78,111.732,586.68008438865,0
BFT,D,20110922,000000,108.196,111.732,106.549,111.732,202.04268099572,0
