<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BHW,D,19970630,000000,8.87015,8.87015,8.87015,8.87015,3147256,0
BHW,D,19970701,000000,9.0121,9.0121,9.0121,9.0121,5874367,0
BHW,D,19970702,000000,9.36394,9.36394,9.36394,9.36394,5388896,0
BHW,D,19970703,000000,9.47792,9.47792,9.47792,9.47792,2963566,0
BHW,D,19970704,000000,9.66597,9.66597,9.66597,9.66597,1136276,0
BHW,D,19970707,000000,9.8296,10.0655,9.8296,9.92362,1782391,0
BHW,D,19970708,000000,10.1572,10.1572,9.94664,10.0868,1867927,0
BHW,D,19970709,000000,9.94664,10.1111,9.94664,10.0655,861934,0
BHW,D,19970710,000000,9.8296,10.0171,9.8296,9.85392,1199022,0
BHW,D,19970711,000000,9.71497,9.73567,9.52646,9.57259,1152577,0
BHW,D,19970714,000000,9.59608,9.59608,9.31466,9.40868,2160294,0
BHW,D,19970715,000000,9.36394,9.47792,9.36394,9.45778,2603726,0
BHW,D,19970716,000000,9.433,9.52646,9.433,9.47792,1350862,0
BHW,D,19970717,000000,9.59608,9.78477,9.59608,9.78477,1645367,0
BHW,D,19970718,000000,9.71497,9.73567,9.59608,9.59608,1609356,0
BHW,D,19970721,000000,9.47792,9.57259,9.45778,9.5027,205392,0
BHW,D,19970722,000000,9.47792,9.5027,9.45778,9.5027,1493908,0
BHW,D,19970723,000000,9.5027,9.5027,9.47792,9.47792,559124,0
BHW,D,19970724,000000,9.59608,9.59608,9.47792,9.47792,953435,0
BHW,D,19970725,000000,9.59608,9.59608,9.24556,9.36394,1116065,0
BHW,D,19970728,000000,9.36394,9.47792,9.36394,9.38446,642595,0
BHW,D,19970729,000000,9.47792,9.57259,9.47792,9.54818,1049328,0
BHW,D,19970730,000000,9.5027,9.57259,9.5027,9.57259,349831,0
BHW,D,19970731,000000,9.59608,9.62039,9.47792,9.52646,859821,0
BHW,D,19970801,000000,9.47792,9.59608,9.47792,9.47792,389999,0
BHW,D,19970804,000000,9.5027,9.5027,9.1273,9.1273,1090050,0
BHW,D,19970805,000000,9.40868,9.52646,9.40868,9.52646,726482,0
BHW,D,19970806,000000,9.47792,9.54818,9.47792,9.52646,725326,0
BHW,D,19970807,000000,9.59608,10.2991,9.59608,10.2991,1857547,0
BHW,D,19970808,000000,10.5556,11.3519,10.5556,11.1646,2178821,0
BHW,D,19970811,000000,10.7642,10.7642,10.4622,10.5319,808099,0
BHW,D,19970812,000000,10.5319,10.8831,10.5319,10.649,1179508,0
BHW,D,19970813,000000,10.0655,10.0655,10.0655,10.0655,576205,0
BHW,D,19970814,000000,9.99351,9.99351,9.87814,9.87814,589458,0
BHW,D,19970818,000000,9.8296,9.8296,9.59608,9.78477,353150,0
BHW,D,19970819,000000,9.85392,10.0171,9.85392,10.0171,307189,0
BHW,D,19970820,000000,9.99351,10.1111,9.97151,9.97151,174545,0
BHW,D,19970821,000000,10.0655,10.0655,9.97151,9.99351,510221,0
BHW,D,19970822,000000,10.0655,10.0655,10.0655,10.0655,284674,0
BHW,D,19970825,000000,10.0655,10.0655,10.0171,10.0171,125243,0
BHW,D,19970826,000000,10.1111,10.2287,10.1111,10.1353,247509,0
BHW,D,19970827,000000,10.2991,10.5319,10.2287,10.2505,265390,0
BHW,D,19970828,000000,10.2755,10.3227,10.1808,10.1808,194786,0
BHW,D,19970829,000000,10.2505,10.2505,10.0655,10.1111,212777,0
BHW,D,19970901,000000,10.0655,10.0868,10.0171,10.0171,143708,0
BHW,D,19970902,000000,10.2991,10.5556,10.2991,10.4374,885200,0
BHW,D,19970903,000000,10.5805,10.8831,10.5805,10.8575,1052163,0
BHW,D,19970904,000000,10.5556,10.6733,10.5319,10.649,596815,0
BHW,D,19970905,000000,10.7188,10.8831,10.7188,10.8831,829619,0
BHW,D,19970908,000000,10.8371,11.0699,10.7642,11.0464,686628,0
BHW,D,19970909,000000,11.025,11.4909,11.025,11.4678,831329,0
BHW,D,19970910,000000,11.4678,11.6098,11.3519,11.4678,1450007,0
BHW,D,19970911,000000,11.2095,11.3519,11.2095,11.258,447319,0
BHW,D,19970912,000000,11.0464,11.0464,10.931,10.931,310569,0
BHW,D,19970915,000000,11.233,11.4459,11.233,11.3519,378451,0
BHW,D,19970916,000000,11.3519,11.3519,11.258,11.3041,383605,0
BHW,D,19970917,000000,11.4678,11.4678,11.3041,11.3041,702784,0
BHW,D,19970918,000000,11.6098,12.0543,11.6098,12.0543,439047,0
BHW,D,19970919,000000,11.8178,12.0543,11.8178,11.9366,648091,0
BHW,D,19970922,000000,12.0543,12.1696,11.9366,12.1696,668461,0
BHW,D,19970923,000000,11.8178,11.9366,11.8178,11.9366,532596,0
BHW,D,19970924,000000,11.7032,11.7032,11.5605,11.5605,323119,0
BHW,D,19970925,000000,11.4678,11.5855,11.3519,11.4678,333960,0
BHW,D,19970926,000000,11.4909,11.4909,11.3974,11.4678,333813,0
BHW,D,19970929,000000,11.4678,11.7032,11.4678,11.5605,109001,0
BHW,D,19970930,000000,11.4678,11.6098,11.4678,11.5855,866817,0
BHW,D,19971001,000000,11.6335,11.8178,11.6335,11.8178,215933,0
BHW,D,19971002,000000,11.7032,11.7032,11.4678,11.5855,543569,0
BHW,D,19971003,000000,11.6098,11.6098,11.5855,11.6098,518298,0
BHW,D,19971006,000000,10.4622,11.2822,10.4622,11.1881,212889,0
BHW,D,19971007,000000,11.233,11.3519,11.1881,11.1881,585570,0
BHW,D,19971008,000000,11.1155,11.2822,11.1155,11.2095,252073,0
BHW,D,19971009,000000,11.0464,11.0942,11.0008,11.025,638035,0
BHW,D,19971010,000000,11.0464,11.2095,11.0464,11.0942,404980,0
BHW,D,19971013,000000,11.3519,11.8178,11.3519,11.7032,297004,0
BHW,D,19971014,000000,11.8178,12.0543,11.8178,12.0543,522417,0
BHW,D,19971015,000000,12.0543,12.0543,11.9366,11.9366,639710,0
BHW,D,19971016,000000,12.0543,12.0543,11.9366,11.9366,822702,0
BHW,D,19971017,000000,12.0543,12.2873,12.0543,12.1696,522481,0
BHW,D,19971020,000000,12.0543,12.2873,12.0543,12.1696,268503,0
