<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIP,D,20150401,000000,6.67179,7.25277,5.99105,6.05468,15483.41666638515,0
BIP,D,20150402,000000,6.62647,7.84286,6.62647,7.24376,15886.240740451902,0
BIP,D,20150407,000000,8.16962,8.16962,7.34352,7.41615,2408.6740740302803,0
BIP,D,20150408,000000,7.62496,7.62496,7.59774,7.62496,2454.028703659085,0
BIP,D,20150409,000000,7.44336,7.44336,7.44336,7.44336,418.67120369609154,0
BIP,D,20150410,000000,7.27098,7.27098,7.26187,7.26187,595.8424999891665,0
BIP,D,20150413,000000,7.26187,7.26187,7.23466,7.23466,549.4408333233436,0
BIP,D,20150414,000000,6.94421,6.94421,6.94421,6.94421,363.83314814153306,0
BIP,D,20150415,000000,6.64458,6.98963,6.64458,6.98963,649.6263888770776,0
BIP,D,20150416,000000,7.24376,7.24376,7.24376,7.24376,10.545842592400852,0
BIP,D,20150417,000000,7.17112,7.17112,7.1167,7.1167,380.705925919004,0
BIP,D,20150420,000000,6.83526,7.25277,6.83526,7.25277,2777.7851851346804,0
BIP,D,20150422,000000,7.08028,7.08028,7.08028,7.08028,2269.473148106885,0
BIP,D,20150423,000000,7.08028,7.08028,7.08028,7.08028,330.0865740680725,0
BIP,D,20150424,000000,7.12571,7.12571,7.12571,7.12571,101.24053703519631,0
BIP,D,20150427,000000,7.19835,7.19835,7.19835,7.19835,352.232222215818,0
BIP,D,20150428,000000,7.17112,7.17112,7.17112,7.17112,352.232222215818,0
BIP,D,20150429,000000,6.81706,6.81706,6.80805,6.80805,5089.4453702778355,0
BIP,D,20150505,000000,7.16203,7.16203,7.16203,7.16203,118.113518516371,0
BIP,D,20150507,000000,7.12571,7.12571,6.80805,6.80805,1356.19814812349,0
BIP,D,20150508,000000,6.80805,6.80805,6.80805,6.80805,6779.951851728581,0
BIP,D,20150511,000000,7.21655,7.21655,7.21655,7.21655,774.0679629488891,0
BIP,D,20150514,000000,7.09849,7.62496,7.09849,7.62496,5758.05185174716,0
BIP,D,20150515,000000,7.89728,8.14232,7.88828,8.14232,713.957037024056,0
BIP,D,20150518,000000,8.16962,8.16962,7.42535,7.96083,782.5053703561431,0
BIP,D,20150519,000000,7.96083,7.96083,7.62496,7.62496,550.494999989991,0
BIP,D,20150521,000000,7.62496,7.62496,7.62496,7.62496,880.5815740580636,0
BIP,D,20150522,000000,7.62496,7.62496,7.62496,7.62496,572.6416666562551,0
BIP,D,20150525,000000,7.71579,7.71579,7.71579,7.71579,54.83866666566961,0
BIP,D,20150526,000000,7.71579,7.71579,7.53421,7.53421,385.979814807797,0
BIP,D,20150527,000000,7.62496,7.62496,7.62496,7.62496,165.57037036736003,0
BIP,D,20150601,000000,7.70669,7.70669,7.70669,7.70669,26.364657406928053,0
BIP,D,20150603,000000,7.56142,7.56142,7.53421,7.53421,1789.628703671165,0
BIP,D,20150605,000000,7.27098,7.27098,7.27098,7.27098,81.20332407259765,0
BIP,D,20150608,000000,7.56142,7.56142,7.56142,7.56142,22.14636111070845,0
BIP,D,20150610,000000,7.53421,7.53421,7.53421,7.53421,330.0865740680725,0
BIP,D,20150611,000000,7.62496,7.79744,7.62496,7.79744,197.20759258900702,0
BIP,D,20150612,000000,7.80645,7.80645,7.80645,7.80645,64.32993518401555,0
BIP,D,20150615,000000,7.53421,7.75201,7.53421,7.75201,363.83314814153306,0
BIP,D,20150616,000000,7.53421,7.53421,7.53421,7.53421,363.83314814153306,0
BIP,D,20150617,000000,7.28909,7.28909,7.28909,7.28909,826.7976851701526,0
BIP,D,20150618,000000,7.29819,7.29819,7.29819,7.29819,220.40842592191854,0
BIP,D,20150622,000000,7.29819,7.29819,7.29819,7.29819,341.68648147526903,0
BIP,D,20150624,000000,7.3073,7.3073,7.28007,7.29819,1340.380555531185,0
BIP,D,20150625,000000,7.18013,7.54332,7.18013,7.26187,726.6121296164185,0
BIP,D,20150629,000000,7.21655,7.21655,7.18013,7.18933,2549.9935184721553,0
BIP,D,20150709,000000,7.14392,7.14392,7.14392,7.14392,352.232222215818,0
BIP,D,20150714,000000,7.15292,7.27098,7.14392,7.26187,6895.961110985731,0
BIP,D,20150716,000000,7.03496,7.03496,7.03496,7.03496,87.5308703687789,0
BIP,D,20150720,000000,7.16203,7.16203,7.16203,7.16203,220.40842592191854,0
BIP,D,20150722,000000,7.16203,7.16203,7.12571,7.12571,478.783148139443,0
BIP,D,20150723,000000,7.26187,7.26187,7.26187,7.26187,1102.037037017,0
BIP,D,20150724,000000,7.12571,7.26187,7.12571,7.26187,880.5815740580636,0
BIP,D,20150727,000000,7.27098,7.27098,7.27098,7.27098,198.262777774173,0
BIP,D,20150728,000000,7.27098,7.27098,7.27098,7.27098,2423.4425925485302,0
BIP,D,20150730,000000,7.3073,7.35271,7.3073,7.35271,1372.0157407157951,0
BIP,D,20150731,000000,7.44336,7.44336,7.44336,7.44336,550.494999989991,0
