<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNP,D,20110527,000000,52.5015,53.4255,50.9474,51.4514,692811.9811201459,0
BNP,D,20110530,000000,51.5354,51.5354,50.8634,51.1574,89107.08379149238,0
BNP,D,20110531,000000,51.1155,51.2414,50.9054,50.9894,71483.75684699854,0
BNP,D,20110601,000000,50.9054,50.9054,50.4434,50.5274,50672.42196158639,0
BNP,D,20110602,000000,50.4013,50.5274,50.3174,50.5274,79887.09816699193,0
BNP,D,20110603,000000,50.4854,50.7795,50.4013,50.7795,43140.48535135859,0
BNP,D,20110606,000000,50.7795,50.7795,50.4013,50.4013,61918.54258065106,0
BNP,D,20110607,000000,50.4013,50.5694,50.4013,50.5694,18242.35761263332,0
BNP,D,20110608,000000,50.4854,50.5694,50.4013,50.5694,61223.323522586725,0
BNP,D,20110609,000000,50.4013,50.5274,50.3594,50.4013,131289.26205082735,0
BNP,D,20110610,000000,50.4013,50.4013,50.3174,50.3594,167678.7417886879,0
BNP,D,20110613,000000,50.4013,50.4013,50.3174,50.4013,121466.91196848347,0
BNP,D,20110614,000000,50.4013,50.4013,50.2334,50.3594,45565.41894943571,0
BNP,D,20110615,000000,50.0234,50.2754,49.9814,50.1074,36071.6312986428,0
BNP,D,20110616,000000,50.1074,50.1074,49.6874,49.7294,64783.94030798129,0
BNP,D,20110617,000000,49.6453,49.7294,49.4354,49.6034,64613.70687424294,0
BNP,D,20110620,000000,49.0573,49.9814,49.0573,49.9814,70258.79039023792,0
BNP,D,20110621,000000,49.6034,49.8973,49.5613,49.6453,33133.61651216544,0
BNP,D,20110622,000000,49.2253,49.6453,49.2253,49.5613,24143.38650103213,0
BNP,D,20110624,000000,49.0153,49.6453,48.9733,49.5613,23996.96193914529,0
BNP,D,20110627,000000,49.1834,49.2253,48.9733,49.0573,23327.93264011763,0
BNP,D,20110628,000000,48.8053,49.1834,48.7213,49.1414,26350.46892166788,0
BNP,D,20110629,000000,49.0573,49.6453,49.0573,49.3093,10571.139102074123,0
BNP,D,20110630,000000,49.5613,49.6453,49.2674,49.6453,7325.9898687121795,0
BNP,D,20110701,000000,49.5613,49.6453,49.2253,49.6034,21564.8856795127,0
BNP,D,20110704,000000,49.3934,49.5613,49.2674,49.5613,7780.73932107618,0
BNP,D,20110705,000000,49.2253,49.8133,49.2253,49.6453,50311.71755303589,0
BNP,D,20110706,000000,49.2674,49.4773,49.2253,49.2674,9828.302300306752,0
BNP,D,20110707,000000,49.2253,49.2674,48.9314,49.0993,28506.36226782286,0
BNP,D,20110708,000000,49.0993,49.1414,48.9314,49.0993,14668.645947720424,0
BNP,D,20110711,000000,48.8474,49.0573,48.8053,48.9733,8398.57954562308,0
BNP,D,20110712,000000,48.7213,48.7213,48.2173,48.5533,37250.17045529296,0
BNP,D,20110713,000000,48.2173,48.7213,48.1753,48.7213,16969.773412169667,0
BNP,D,20110714,000000,48.1753,48.6373,48.1753,48.5113,5602.227546662256,0
BNP,D,20110715,000000,48.2173,48.3434,48.1753,48.3013,7184.327081195647,0
BNP,D,20110718,000000,48.0913,48.2593,47.8393,48.0493,14768.6432094968,0
BNP,D,20110719,000000,47.5454,47.8813,47.1673,47.6713,12277.044770235412,0
BNP,D,20110720,000000,47.1673,47.7973,47.1673,47.7973,9823.54052593645,0
BNP,D,20110721,000000,47.7132,47.7132,47.2934,47.4613,30425.357339055234,0
BNP,D,20110722,000000,47.2094,47.7973,47.1253,47.7554,7195.04107352883,0
BNP,D,20110725,000000,47.7554,48.1753,47.4613,48.1753,10127.103642043308,0
BNP,D,20110726,000000,48.1333,48.1333,47.5873,47.8813,4657.015334156979,0
BNP,D,20110727,000000,47.7132,47.7132,47.2094,47.7132,4847.486308969125,0
BNP,D,20110728,000000,47.0833,47.1673,46.6633,47.0413,6378.396769021751,0
BNP,D,20110729,000000,46.6633,47.0413,46.6633,46.7053,6083.1667580629255,0
BNP,D,20110801,000000,46.7053,47.3773,46.6213,46.8733,8191.44236051487,0
BNP,D,20110802,000000,46.6213,46.7893,46.2013,46.2433,5687.939485327722,0
BNP,D,20110803,000000,46.1593,46.1593,43.8911,44.8573,14357.94017005811,0
BNP,D,20110804,000000,44.1431,44.5213,42.8412,43.4292,21477.983297254657,0
BNP,D,20110805,000000,41.9171,42.7992,40.7831,42.4211,41100.06503368346,0
BNP,D,20110808,000000,40.2371,41.1611,39.6911,40.4135,53059.261364701095,0
BNP,D,20110809,000000,38.7251,40.321,35.7009,37.6499,39071.5491519341,0
BNP,D,20110810,000000,37.8011,40.2371,37.675,38.6411,33055.04723505543,0
BNP,D,20110811,000000,38.6411,39.5651,37.4315,39.397,17498.330367273375,0
BNP,D,20110812,000000,39.9011,41.1611,39.5063,40.7411,7428.368017673709,0
BNP,D,20110816,000000,41.4131,41.5727,41.0939,41.5644,4599.874041713336,0
BNP,D,20110817,000000,41.2451,41.5895,40.4135,41.5811,5178.42962770523,0
BNP,D,20110818,000000,41.1611,41.1611,39.481,39.6575,13122.259720964308,0
BNP,D,20110819,000000,38.3891,39.6491,37.885,39.6323,4685.585980378801,0
BNP,D,20110822,000000,38.2211,40.6992,38.2211,40.2203,3117.771768956321,0
BNP,D,20110823,000000,40.321,41.1611,39.6911,40.8251,4455.83036701165,0
BNP,D,20110824,000000,40.8251,40.8251,39.8171,40.7411,1910.6619660843435,0
BNP,D,20110825,000000,39.9431,40.8923,39.9095,40.1783,3704.660460096247,0
BNP,D,20110826,000000,39.9011,40.321,39.4894,40.3127,1948.7561610467728,0
BNP,D,20110829,000000,40.3127,40.7328,40.2539,40.7328,3934.416073463399,0
BNP,D,20110830,000000,40.7411,41.1443,40.069,40.1867,4274.8829409401105,0
BNP,D,20110831,000000,40.0019,40.9931,39.9515,40.4891,5045.099945336728,0
BNP,D,20110901,000000,40.321,41.0351,39.985,40.7328,5146.28765070568,0
BNP,D,20110902,000000,40.6404,40.6404,39.061,40.2791,3199.9123768440595,0
BNP,D,20110905,000000,38.935,39.3131,38.2631,38.2715,2288.0325849309083,0
BNP,D,20110906,000000,37.9019,39.4391,37.8011,39.4223,3815.371714205807,0
BNP,D,20110907,000000,39.3131,39.481,38.3051,39.481,8310.486719772463,0
BNP,D,20110908,000000,38.6578,39.0359,38.5654,38.9939,15218.630887490497,0
BNP,D,20110909,000000,38.6411,38.9183,37.8094,38.431,85477.42127772843,0
BNP,D,20110912,000000,38.1875,38.1875,35.7009,37.3811,6972.428121717134,0
BNP,D,20110913,000000,36.7173,37.3305,36.121,36.793,5171.286966149773,0
BNP,D,20110914,000000,36.2554,36.709,35.7514,36.121,5207.000273927052,0
BNP,D,20110915,000000,36.079,36.961,35.7009,36.7846,6609.342825981479,0
BNP,D,20110916,000000,36.8098,36.961,36.5411,36.5578,3215.388143547547,0
BNP,D,20110919,000000,36.5411,36.5411,34.105,35.281,11306.83324228604,0
BNP,D,20110920,000000,35.2642,36.0286,34.6762,36.0286,4651.063116194099,0
BNP,D,20110921,000000,35.4069,35.7009,35.4069,35.491,5978.4077219162455,0
BNP,D,20110922,000000,35.2726,35.2726,34.0209,34.6089,7425.987130488557,0
BNP,D,20110923,000000,34.0714,34.0714,32.8197,33.4665,8030.732475517122,0
BNP,D,20110926,000000,32.8449,33.4665,32.0973,33.1809,7348.608296971122,0
BNP,D,20110927,000000,33.2734,33.8445,33.1809,33.6009,4401.069961753157,0
BNP,D,20110928,000000,33.6009,33.6009,32.8617,33.4245,1810.6647043079665,0
BNP,D,20110929,000000,33.1809,33.6009,32.7778,33.5084,3051.10692777207,0
BNP,D,20110930,000000,33.1809,33.5084,33.1809,33.5084,2436.8380340028975,0
BNP,D,20111003,000000,33.1053,33.1389,32.5929,33.1389,3405.8591183596927,0
BNP,D,20111004,000000,32.7609,32.7609,31.9209,32.3157,40235.80298547335,0
BNP,D,20111005,000000,32.0469,32.3408,31.9629,32.1729,2452.3138007063844,0
BNP,D,20111006,000000,32.1729,32.8449,32.1729,32.7526,3745.1355422438282,0
BNP,D,20111007,000000,33.1809,33.8445,32.7609,33.8445,5362.948384554496,0
BNP,D,20111010,000000,33.8445,38.6327,33.8445,38.2211,17243.575438462125,0
BNP,D,20111011,000000,37.8011,39.4727,36.6334,39.061,10942.557502957809,0
BNP,D,20111012,000000,38.6327,40.6907,37.8011,39.5651,10386.620345224857,0
BNP,D,20111013,000000,38.5571,39.3131,38.5571,38.8175,3487.9997262474303,0
BNP,D,20111014,000000,38.683,38.8175,38.431,38.7251,2179.7022180065005,0
BNP,D,20111017,000000,38.6411,38.7335,37.9271,38.6411,3836.799698872174,0
BNP,D,20111018,000000,36.5494,38.6411,36.5411,37.8094,2839.2079682935573,0
BNP,D,20111019,000000,37.087,37.8094,37.087,37.591,208438.33995489468,0
BNP,D,20111020,000000,37.3811,37.3811,36.7258,36.751,1205.9193592794018,0
BNP,D,20111021,000000,36.121,37.5826,36.121,36.793,1702.3343373835585,0
BNP,D,20111024,000000,37.1291,37.591,36.583,37.4651,2341.6025465968246,0
BNP,D,20111025,000000,37.3811,37.3811,36.835,37.003,1891.614868603129,0
BNP,D,20111026,000000,36.793,37.003,36.331,36.5411,2399.9342826330444,0
BNP,D,20111027,000000,36.5914,37.549,36.5914,37.549,3689.184693392761,0
BNP,D,20111028,000000,37.7087,37.7087,36.9778,37.549,2013.0401150458722,0
BNP,D,20111031,000000,37.045,37.6331,36.667,37.591,2270.17593104227,0
BNP,D,20111102,000000,35.7009,36.961,35.281,36.961,7808.119523705426,0
BNP,D,20111103,000000,35.953,36.793,35.953,36.709,20426.821605010125,0
BNP,D,20111104,000000,36.9694,37.1291,36.2134,36.2217,3223.7212486955777,0
BNP,D,20111107,000000,36.1294,36.2469,35.953,35.953,2214.2250821912016,0
BNP,D,20111108,000000,35.953,36.121,35.7514,36.037,2304.6987952269715,0
BNP,D,20111109,000000,35.869,35.869,35.1129,35.281,3273.719879583766,0
BNP,D,20111110,000000,34.5249,35.449,34.441,35.281,3774.8966320582267,0
BNP,D,20111114,000000,35.365,36.037,34.9534,35.029,3266.5772180283107,0
BNP,D,20111115,000000,35.029,35.029,34.441,34.8609,4020.128012128865,0
BNP,D,20111116,000000,34.4577,35.197,34.4577,35.029,3045.1547098091905,0
BNP,D,20111117,000000,34.5334,35.0205,34.5334,34.9869,1941.6134994913173,0
BNP,D,20111118,000000,34.693,35.281,34.693,35.281,2245.176615598176,0
BNP,D,20111121,000000,35.281,35.281,34.2729,34.6258,3343.956051545745,0
BNP,D,20111122,000000,34.357,34.6089,34.0209,34.1889,3703.470016503671,0
BNP,D,20111123,000000,34.0209,34.0209,33.6345,33.7689,3272.52943599119,0
BNP,D,20111124,000000,33.6094,34.2562,33.6094,33.9453,4282.025602495566,0
BNP,D,20111125,000000,33.7857,36.121,33.7689,35.7009,7400.987815044463,0
BNP,D,20111128,000000,34.9366,37.0702,34.9366,37.045,7227.18305052838,0
BNP,D,20111129,000000,37.0282,37.1291,36.2975,36.961,5306.997535703429,0
BNP,D,20111130,000000,36.961,38.4394,36.373,38.4394,41185.776972348925,0
BNP,D,20111201,000000,37.3811,39.2627,37.3811,38.683,22083.919085875797,0
BNP,D,20111202,000000,37.885,40.7411,37.885,39.9011,12923.455641004131,0
BNP,D,20111205,000000,39.733,39.8927,39.2374,39.5651,6795.052026423322,0
BNP,D,20111206,000000,39.145,39.523,39.0443,39.061,13009.167579669598,0
BNP,D,20111207,000000,38.6411,39.061,38.6411,39.061,5017.7197427074825,0
BNP,D,20111208,000000,38.683,39.145,38.683,38.7671,5685.55859814257,0
BNP,D,20111209,000000,38.1791,39.145,38.1791,38.7251,10218.767798671654,0
BNP,D,20111212,000000,38.6411,38.8091,38.347,38.8091,13978.188664026393,0
BNP,D,20111213,000000,38.4731,39.4727,38.095,38.6411,7236.706599268987,0
BNP,D,20111214,000000,38.1538,38.7166,38.1538,38.5906,7878.355695667406,0
BNP,D,20111215,000000,38.6411,38.6998,38.3218,38.683,11604.44414043002,0
BNP,D,20111216,000000,38.5151,38.6663,38.5151,38.6411,4048.698658350687,0
BNP,D,20111219,000000,38.3051,38.8091,38.3051,38.6494,10287.813527041057,0
BNP,D,20111220,000000,38.599,40.3127,38.599,39.8171,28038.517935940527,0
BNP,D,20111221,000000,39.9011,39.9011,39.1871,39.5819,4942.721796375199,0
BNP,D,20111222,000000,39.5567,39.5567,39.3131,39.3131,8283.106517143216,0
BNP,D,20111223,000000,39.3131,39.6743,39.3131,39.3131,9229.509173241067,0
BNP,D,20111227,000000,39.3131,39.5651,39.1871,39.1871,16913.822563318598,0
BNP,D,20111228,000000,39.1871,39.5651,39.1703,39.4643,5104.622124965523,0
BNP,D,20111229,000000,39.1703,39.481,39.1703,39.397,3716.5648960220065,0
BNP,D,20111230,000000,39.481,39.5651,39.2711,39.3131,6555.772864315563,0
BNP,D,20120102,000000,39.229,39.481,39.1115,39.397,6108.166073507019,0
BNP,D,20120103,000000,39.229,39.481,38.9099,39.481,2139.227135858919,0
