<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOW,D,20120125,000000,5.91134,9.8456,5.91134,6.8966,11549.557825184,0
BOW,D,20120126,000000,7.1267,7.5869,6.56835,6.8966,30939.513155174,0
BOW,D,20120127,000000,7.25759,7.25759,6.60051,6.60051,3051.1751754241,0
BOW,D,20120130,000000,6.73195,6.73195,6.73195,6.73195,241.59281780255,0
BOW,D,20120131,000000,6.62126,6.62126,6.55525,6.56835,1610.1450739429,0
BOW,D,20120201,000000,6.56835,6.56835,6.04271,6.56835,3153.4968394346,0
BOW,D,20120202,000000,6.53534,6.53534,5.9442,6.46294,1924.2157370862,0
BOW,D,20120203,000000,6.49572,6.49572,6.24634,6.48911,69.635576896032,0
BOW,D,20120206,000000,6.46962,6.46962,6.24634,6.44956,71.056711118399,0
BOW,D,20120207,000000,6.2726,6.30538,5.9442,6.10174,6949.3463473794,0
BOW,D,20120208,000000,6.07558,6.07558,5.81936,6.00985,3174.8138527701,0
BOW,D,20120209,000000,6.03616,6.03616,5.91134,6.02948,501.6603804959,0
BOW,D,20120210,000000,5.91134,5.91134,5.91134,5.91134,260.06756269335,0
BOW,D,20120213,000000,5.91134,5.91134,5.91134,5.91134,106.5850666776,0
BOW,D,20120214,000000,6.10174,6.10174,6.10174,6.10174,14.211342223679,0
BOW,D,20120215,000000,6.0033,6.0033,5.67491,5.91134,7593.1201501122,0
BOW,D,20120216,000000,5.62227,5.84561,5.39245,5.84561,3338.2442883424,0
BOW,D,20120217,000000,5.91134,5.91134,5.81282,5.81282,227.38147557888,0
BOW,D,20120220,000000,5.77989,5.77989,5.56985,5.56985,319.7552000328,0
BOW,D,20120221,000000,5.61579,5.61579,5.05751,5.38591,2695.8916198321,0
BOW,D,20120222,000000,5.32025,5.35304,5.32025,5.35304,1858.8435628573,0
BOW,D,20120223,000000,5.57632,5.57632,5.35304,5.35304,29.843818669728,0
BOW,D,20120224,000000,5.25454,5.32025,5.11662,5.32025,3480.3577105792,0
BOW,D,20120227,000000,5.35304,5.35304,5.31364,5.31364,1479.4007254852,0
BOW,D,20120228,000000,5.3071,5.3071,5.29387,5.29387,120.79640890128,0
BOW,D,20120229,000000,5.3071,5.3071,5.28732,5.28732,17.053610668416,0
BOW,D,20120301,000000,5.25454,5.26108,5.15595,5.26108,1004.7418952142,0
BOW,D,20120302,000000,5.38591,5.38591,5.38591,5.38591,2.842268444736,0
BOW,D,20120305,000000,5.38591,5.38591,5.32025,5.32025,261.48869691571,0
BOW,D,20120306,000000,5.28078,5.28078,5.28078,5.28078,75.320113785503,0
BOW,D,20120307,000000,5.51729,5.51729,5.32025,5.32025,295.59591825255,0
BOW,D,20120308,000000,5.38591,5.38591,4.89989,5.25454,3410.7221336831,0
BOW,D,20120309,000000,5.12316,5.12316,5.12316,5.12316,478.92223293801,0
BOW,D,20120312,000000,5.12316,5.12316,5.12316,5.12316,14.211342223679,0
BOW,D,20120313,000000,5.09023,5.09023,4.86703,4.93929,1338.7084374707,0
BOW,D,20120314,000000,5.03774,5.03774,4.80785,4.80785,1881.5817104153,0
BOW,D,20120315,000000,5.05751,5.05751,4.86041,4.86041,524.39852805379,0
BOW,D,20120316,000000,5.05751,5.05751,4.86041,4.86041,227.38147557888,0
BOW,D,20120319,000000,4.95892,4.95892,4.86703,4.86703,189.01085157495,0
BOW,D,20120320,000000,4.95892,4.95892,4.95892,4.95892,29.843818669728,0
BOW,D,20120321,000000,4.95892,4.95892,4.95892,4.95892,29.843818669728,0
BOW,D,20120322,000000,4.95892,4.95892,4.95892,4.95892,4.2634026671039,0
BOW,D,20120323,000000,4.95892,4.95892,4.95892,4.95892,2.842268444736,0
BOW,D,20120326,000000,4.95892,5.05751,4.95892,5.05751,29.843818669728,0
BOW,D,20120327,000000,5.05751,5.05751,4.95892,4.95892,153.48249601574,0
BOW,D,20120328,000000,5.05751,5.05751,4.86703,4.86703,167.69383823942,0
BOW,D,20120329,000000,4.86041,4.86041,4.66339,4.86041,45.476295115775,0
BOW,D,20120330,000000,5.04428,5.04428,5.04428,5.04428,21.31701333552,0
BOW,D,20120402,000000,5.04428,5.04428,5.04428,5.04428,3466.1463683555,0
BOW,D,20120403,000000,5.05751,5.05751,5.05751,5.05751,68.214442673663,0
BOW,D,20120404,000000,4.86041,4.86041,4.86041,4.86041,29.843818669728,0
BOW,D,20120410,000000,5.05751,5.05751,4.79469,4.79469,1580.3012552732,0
BOW,D,20120411,000000,4.92614,4.92614,4.68309,4.68309,208.9067306881,0
BOW,D,20120412,000000,4.56487,4.56487,4.53201,4.53201,1659.8847717258,0
BOW,D,20120413,000000,4.46629,4.46629,4.43357,4.46629,281.38457602886,0
BOW,D,20120416,000000,4.72903,4.72903,4.72903,4.72903,29.843818669728,0
BOW,D,20120417,000000,4.62398,4.62398,4.62398,4.62398,14.211342223679,0
BOW,D,20120418,000000,5.05751,5.05751,4.87358,4.92614,21.31701333552,0
BOW,D,20120419,000000,5.11662,5.11662,4.95238,4.95238,14.211342223679,0
BOW,D,20120420,000000,4.95238,4.95238,4.95238,4.95238,29.843818669728,0
BOW,D,20120423,000000,4.95238,4.95238,4.59766,4.59766,3298.4525301161,0
BOW,D,20120424,000000,4.95238,4.95238,4.95238,4.95238,14.211342223679,0
BOW,D,20120425,000000,4.62398,4.62398,4.59766,4.59766,36.949489781568,0
BOW,D,20120426,000000,4.6306,4.6306,4.6306,4.6306,707.72484273927,0
BOW,D,20120427,000000,4.95238,4.95238,4.58458,4.82755,282.80571025124,0
BOW,D,20120430,000000,4.95238,4.95238,4.95238,4.95238,14.211342223679,0
BOW,D,20120502,000000,4.95238,4.95238,4.95238,4.95238,14.211342223679,0
BOW,D,20120504,000000,4.95238,4.95238,4.92614,4.92614,21.31701333552,0
BOW,D,20120507,000000,4.91946,4.91946,4.67647,4.67647,153.48249601574,0
BOW,D,20120508,000000,4.99833,4.99833,4.60428,4.60428,99.47939556576,0
BOW,D,20120509,000000,4.60428,4.60428,4.46629,4.5123,1875.8971735258,0
BOW,D,20120510,000000,4.50577,4.50577,4.50577,4.50577,227.38147557888,0
BOW,D,20120511,000000,4.50577,4.50577,4.40063,4.40063,103.74279823286,0
BOW,D,20120514,000000,4.40063,4.40063,4.40063,4.40063,1.4211342223679,0
BOW,D,20120515,000000,4.46629,4.46629,4.46629,4.46629,14.211342223679,0
BOW,D,20120517,000000,4.26926,4.26926,4.18398,4.18398,295.59591825255,0
BOW,D,20120524,000000,3.97373,3.97373,3.97373,3.97373,1887.2662473047,0
BOW,D,20120528,000000,3.7767,3.7767,3.7767,3.7767,1986.7456428704,0
BOW,D,20120529,000000,3.58622,3.58622,3.41544,3.41544,2094.7518437705,0
BOW,D,20120530,000000,3.40235,3.40235,3.2118,3.40235,571.29595739194,0
BOW,D,20120604,000000,3.40235,3.40235,3.38919,3.38919,541.45213872221,0
BOW,D,20120605,000000,3.38257,3.38919,3.38257,3.38919,319.7552000328,0
BOW,D,20120613,000000,3.96063,3.96711,3.96063,3.96711,181.90518046311,0
