<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRS,D,19960520,000000,0.162189,0.162189,0.162189,0.162189,19381156.71707889,0
BRS,D,19960521,000000,0.14884,0.14884,0.14884,0.14884,19137595.381112467,0
BRS,D,19960522,000000,0.142165,0.142165,0.142165,0.142165,10524924.163465265,0
BRS,D,19960523,000000,0.133487,0.133487,0.133487,0.133487,9781770.637532149,0
BRS,D,19960524,000000,0.131484,0.131484,0.131484,0.131484,10108427.239362935,0
BRS,D,19960527,000000,0.132823,0.132823,0.132823,0.132823,7232969.929568017,0
BRS,D,19960528,000000,0.128816,0.128816,0.128816,0.128816,9119152.790556177,0
BRS,D,19960529,000000,0.128816,0.128816,0.128816,0.128816,7761090.173609914,0
BRS,D,19960530,000000,0.126812,0.126812,0.126812,0.126812,4880158.764543018,0
BRS,D,19960531,000000,0.131484,0.131484,0.131484,0.131484,6608377.706267287,0
BRS,D,19960603,000000,0.140163,0.140163,0.140163,0.140163,4258578.253109711,0
BRS,D,19960604,000000,0.14884,0.14884,0.14884,0.14884,6428502.662718243,0
BRS,D,19960605,000000,0.144833,0.144833,0.144833,0.144833,17452284.12900063,0
BRS,D,19960607,000000,0.144833,0.144833,0.144833,0.144833,16459542.897927724,0
BRS,D,19960610,000000,0.152182,0.152182,0.152182,0.152182,9869789.205486046,0
BRS,D,19960611,000000,0.151508,0.151508,0.151508,0.151508,9468126.987320198,0
BRS,D,19960612,000000,0.153512,0.153512,0.153512,0.153512,7673025.951344103,0
BRS,D,19960613,000000,0.147509,0.147509,0.147509,0.147509,3006389.4582395493,0
BRS,D,19960614,000000,0.143503,0.143503,0.143503,0.143503,5415722.134148582,0
BRS,D,19960617,000000,0.144833,0.144833,0.144833,0.144833,3752509.04172807,0
BRS,D,19960618,000000,0.142165,0.142165,0.142165,0.142165,4470642.53200606,0
BRS,D,19960619,000000,0.140163,0.140163,0.140163,0.140163,4618924.791702261,0
BRS,D,19960620,000000,0.138832,0.138832,0.138832,0.138832,3749952.4002603223,0
BRS,D,19960621,000000,0.140163,0.140163,0.140163,0.140163,2339755.5045339284,0
BRS,D,19960624,000000,0.141501,0.141501,0.141501,0.141501,1440422.9956609486,0
BRS,D,19960625,000000,0.141501,0.141501,0.141501,0.141501,4423845.389562164,0
BRS,D,19960626,000000,0.142165,0.142165,0.142165,0.142165,3722605.4674164914,0
BRS,D,19960627,000000,0.144833,0.144833,0.144833,0.144833,7391112.047920525,0
BRS,D,19960628,000000,0.145507,0.145507,0.145507,0.145507,2540220.642761537,0
BRS,D,19960701,000000,0.147509,0.147509,0.147509,0.147509,2015568.6537064207,0
BRS,D,19960702,000000,0.146838,0.146838,0.146838,0.146838,4964117.044175138,0
BRS,D,19960703,000000,0.146838,0.146838,0.146838,0.146838,3969134.3336578934,0
BRS,D,19960704,000000,0.145507,0.145507,0.145507,0.145507,3120295.493775164,0
BRS,D,19960705,000000,0.144833,0.144833,0.144833,0.144833,2974341.603987137,0
BRS,D,19960708,000000,0.142165,0.142165,0.142165,0.142165,1309803.0638011016,0
BRS,D,19960709,000000,0.141501,0.141501,0.141501,0.141501,1571265.3082014327,0
BRS,D,19960710,000000,0.140163,0.140163,0.140163,0.140163,1298209.8140114036,0
BRS,D,19960711,000000,0.138159,0.138159,0.138159,0.138159,913075.9294823642,0
BRS,D,19960712,000000,0.138159,0.138159,0.138159,0.138159,1996440.969729121,0
BRS,D,19960715,000000,0.138159,0.138159,0.138159,0.138159,3279081.1906539425,0
BRS,D,19960716,000000,0.13549,0.13549,0.13549,0.13549,1446995.743858558,0
BRS,D,19960717,000000,0.131484,0.131484,0.131484,0.131484,2526250.4233121765,0
BRS,D,19960718,000000,0.131484,0.131484,0.131484,0.131484,3172934.9154259283,0
BRS,D,19960719,000000,0.124809,0.124809,0.124809,0.124809,1173302.562021194,0
BRS,D,19960722,000000,0.121476,0.121476,0.121476,0.121476,1883629.164959882,0
BRS,D,19960723,000000,0.119473,0.119473,0.119473,0.119473,1407186.6565787578,0
BRS,D,19960724,000000,0.121476,0.121476,0.121476,0.121476,662164.2492961439,0
BRS,D,19960725,000000,0.126148,0.126148,0.126148,0.126148,2040584.2712023987,0
BRS,D,19960726,000000,0.124809,0.124809,0.124809,0.124809,1978403.0983590477,0
BRS,D,19960729,000000,0.126812,0.126812,0.126812,0.126812,1908734.6183600079,0
BRS,D,19960730,000000,0.124809,0.124809,0.124809,0.124809,1693981.1532191064,0
BRS,D,19960731,000000,0.121476,0.121476,0.121476,0.121476,1501141.757802717,0
BRS,D,19960801,000000,0.11747,0.11747,0.11747,0.11747,1736486.7903420767,0
BRS,D,19960802,000000,0.114136,0.114136,0.114136,0.114136,1694442.1144976132,0
BRS,D,19960805,000000,0.11747,0.11747,0.11747,0.11747,2180376.301600048,0
BRS,D,19960806,000000,0.11614,0.11614,0.11614,0.11614,1627969.4363333366,0
BRS,D,19960807,000000,0.114802,0.114802,0.114802,0.114802,2230550.39040679,0
BRS,D,19960808,000000,0.11614,0.11614,0.11614,0.11614,1761551.0075893318,0
BRS,D,19960809,000000,0.121476,0.121476,0.121476,0.121476,2015341.8548664232,0
BRS,D,19960812,000000,0.122814,0.122814,0.122814,0.122814,1263739.3357875193,0
BRS,D,19960813,000000,0.121476,0.121476,0.121476,0.121476,2525288.73732229,0
BRS,D,19960814,000000,0.122814,0.122814,0.122814,0.122814,5046290.387482699,0
BRS,D,19960816,000000,0.126148,0.126148,0.126148,0.126148,1949232.9384777823,0
BRS,D,19960819,000000,0.131484,0.131484,0.131484,0.131484,4443660.833657757,0
BRS,D,19960820,000000,0.131484,0.131484,0.131484,0.131484,4177316.5233208677,0
BRS,D,19960821,000000,0.131484,0.131484,0.131484,0.131484,1594043.8644130656,0
BRS,D,19960822,000000,0.140163,0.140163,0.140163,0.140163,3623766.827536187,0
BRS,D,19960823,000000,0.142165,0.142165,0.142165,0.142165,7996343.897525129,0
BRS,D,19960826,000000,0.138832,0.138832,0.138832,0.138832,722472.1226306803,0
BRS,D,19960827,000000,0.138159,0.138159,0.138159,0.138159,2431243.800194183,0
BRS,D,19960828,000000,0.140163,0.140163,0.140163,0.140163,2496759.2105277223,0
BRS,D,19960829,000000,0.140163,0.140163,0.140163,0.140163,2821219.9872268233,0
BRS,D,19960830,000000,0.144833,0.144833,0.144833,0.144833,9348743.90707303,0
BRS,D,19960902,000000,0.145507,0.145507,0.145507,0.145507,3336602.6782412664,0
BRS,D,19960903,000000,0.146838,0.146838,0.146838,0.146838,6408553.20112627,0
BRS,D,19960904,000000,0.143503,0.143503,0.143503,0.143503,1010727.5572526561,0
BRS,D,19960905,000000,0.128816,0.128816,0.128816,0.128816,4936765.693172157,0
BRS,D,19960906,000000,0.131484,0.131484,0.131484,0.131484,3758900.6453978075,0
BRS,D,19960909,000000,0.132823,0.132823,0.132823,0.132823,1520497.713339695,0
BRS,D,19960910,000000,0.13549,0.13549,0.13549,0.13549,3700236.327292514,0
BRS,D,19960911,000000,0.133487,0.133487,0.133487,0.133487,1968407.7494866778,0
BRS,D,19960912,000000,0.13549,0.13549,0.13549,0.13549,3055833.07805534,0
BRS,D,19960913,000000,0.140163,0.140163,0.140163,0.140163,4822130.661365273,0
BRS,D,19960916,000000,0.140163,0.140163,0.140163,0.140163,6291723.816907593,0
BRS,D,19960917,000000,0.138832,0.138832,0.138832,0.138832,1153898.0067329386,0
BRS,D,19960918,000000,0.138832,0.138832,0.138832,0.138832,1782914.2801312946,0
BRS,D,19960919,000000,0.136828,0.136828,0.136828,0.136828,2626096.403494388,0
BRS,D,19960920,000000,0.13549,0.13549,0.13549,0.13549,6292226.014338759,0
BRS,D,19960923,000000,0.138159,0.138159,0.138159,0.138159,3123401.45970599,0
BRS,D,19960924,000000,0.134826,0.134826,0.134826,0.134826,887188.4619005738,0
BRS,D,19960925,000000,0.131484,0.131484,0.131484,0.131484,4397962.340139598,0
BRS,D,19960926,000000,0.131484,0.131484,0.131484,0.131484,5154994.776898246,0
BRS,D,19960927,000000,0.13549,0.13549,0.13549,0.13549,4911427.5500532035,0
BRS,D,19960930,000000,0.136828,0.136828,0.136828,0.136828,2191287.6821503895,0
BRS,D,19961001,000000,0.138832,0.138832,0.138832,0.138832,3203021.1069851657,0
BRS,D,19961002,000000,0.133487,0.133487,0.133487,0.133487,2933712.211812449,0
BRS,D,19961003,000000,0.133487,0.133487,0.133487,0.133487,2656818.809981067,0
BRS,D,19961004,000000,0.134826,0.134826,0.134826,0.134826,2316106.5709561324,0
BRS,D,19961007,000000,0.140163,0.140163,0.140163,0.140163,7778939.536853182,0
BRS,D,19961008,000000,0.145507,0.145507,0.145507,0.145507,14344954.45981218,0
BRS,D,19961009,000000,0.147509,0.147509,0.147509,0.147509,11528481.048306167,0
BRS,D,19961010,000000,0.145507,0.145507,0.145507,0.145507,4881250.049870137,0
BRS,D,19961011,000000,0.143503,0.143503,0.143503,0.143503,7036338.280822401,0
BRS,D,19961014,000000,0.141501,0.141501,0.141501,0.141501,6943662.973051944,0
BRS,D,19961015,000000,0.143503,0.143503,0.143503,0.143503,4206309.956833305,0
BRS,D,19961016,000000,0.140163,0.140163,0.140163,0.140163,2464617.1022120123,0
BRS,D,19961017,000000,0.140163,0.140163,0.140163,0.140163,731144.9691768797,0
BRS,D,19961018,000000,0.13549,0.13549,0.13549,0.13549,3269493.7851494425,0
BRS,D,19961021,000000,0.13549,0.13549,0.13549,0.13549,3210418.5782369175,0
