<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CBF,D,20171229,000000,20.4869,20.4869,16.6135,16.767,30924.988743514343,0
CBF,D,20180103,000000,16.7857,16.7857,15.8914,16.2524,6931.850071315471,0
CBF,D,20180104,000000,16.2983,16.2983,14.9888,15.8456,9518.999542719535,0
CBF,D,20180105,000000,16.6135,16.6135,16.5144,16.5144,137.91003380624267,0
CBF,D,20180108,000000,16.7043,17.1467,16.2524,16.2524,2432.134317125679,0
CBF,D,20180109,000000,16.0719,16.0719,15.8548,15.8548,6250.852462520379,0
CBF,D,20180110,000000,15.9728,16.2431,15.9728,16.2431,223.43563616670986,0
CBF,D,20180111,000000,16.4788,16.4788,15.8914,16.2524,9258.146455520135,0
CBF,D,20180112,000000,15.8456,16.5228,15.8456,16.5228,166.77492460290432,0
CBF,D,20180115,000000,17.0654,17.0654,16.6135,16.8398,539.880364900419,0
CBF,D,20180116,000000,17.1467,17.1467,16.5591,16.8567,11853.848487160112,0
CBF,D,20180117,000000,16.8567,16.8567,16.4872,16.6135,10009.702686262637,0
CBF,D,20180118,000000,16.6135,16.7857,15.9354,16.695,3562.141338313309,0
CBF,D,20180119,000000,16.695,16.695,16.5228,16.6135,7036.618934207063,0
CBF,D,20180122,000000,16.695,16.7043,16.6135,16.7043,1938.223963493991,0
CBF,D,20180123,000000,16.6135,16.8118,16.5228,16.7043,13417.8979403274,0
CBF,D,20180124,000000,16.7043,16.794,16.5591,16.7585,1122.5235309810357,0
CBF,D,20180125,000000,16.7585,18.0587,16.5958,17.9138,14049.718327765331,0
CBF,D,20180126,000000,17.1561,17.8417,17.1561,17.6968,7043.033354384128,0
CBF,D,20180129,000000,17.2271,17.6968,17.2271,17.6968,7225.844329429626,0
CBF,D,20180130,000000,17.7707,17.7707,17.2271,17.5172,22676.04439584722,0
CBF,D,20180131,000000,17.3178,17.9138,17.3178,17.5172,10961.175012522677,0
CBF,D,20180201,000000,17.8959,18.0587,17.4984,18.0587,4111.643333479224,0
CBF,D,20180202,000000,18.0587,18.0587,18.0587,18.0587,37.41745103270221,0
CBF,D,20180205,000000,17.606,17.9503,16.9755,17.606,14725.37058641309,0
CBF,D,20180206,000000,17.1561,17.4264,15.8015,17.4264,33143.30905473883,0
CBF,D,20180207,000000,17.968,17.968,17.4264,17.5892,210.6067958126403,0
CBF,D,20180208,000000,17.4076,17.606,16.7043,17.606,1836.662310690983,0
CBF,D,20180209,000000,17.1738,17.5526,16.8847,17.5172,2097.5153978903836,0
CBF,D,20180212,000000,17.5892,17.606,17.5714,17.606,12712.311720853266,0
CBF,D,20180213,000000,17.6612,18.4197,17.6612,17.8959,10303.69694437628,0
CBF,D,20180214,000000,18.1485,18.3289,18.0587,18.2392,5956.858204406226,0
CBF,D,20180215,000000,18.3739,18.4646,18.2832,18.4646,3547.174357900224,0
CBF,D,20180216,000000,18.4646,18.5105,18.2392,18.4197,4217.481266400343,0
CBF,D,20180219,000000,18.5105,18.9165,18.5105,18.7808,91772.17854286564,0
CBF,D,20180220,000000,18.7808,18.7808,18.4197,18.7808,660.6852782345723,0
CBF,D,20180221,000000,18.691,18.691,18.0587,18.3289,2726.1285752397307,0
CBF,D,20180222,000000,18.4646,18.4646,17.3367,18.3289,7106.108486124948,0
CBF,D,20180223,000000,18.1934,18.1934,17.3909,17.606,4264.520347698552,0
CBF,D,20180226,000000,17.7865,18.2392,17.7865,18.0587,2542.248530164809,0
CBF,D,20180227,000000,18.0587,18.0587,18.0587,18.0587,7.483490206540544,0
CBF,D,20180228,000000,17.6612,17.968,17.2094,17.968,2457.791997833839,0
CBF,D,20180301,000000,17.7865,18.04,17.3367,17.3367,1224.085183784146,0
CBF,D,20180302,000000,17.4264,17.5892,17.0288,17.5172,3158.032867160128,0
CBF,D,20180305,000000,17.6968,17.6968,17.2459,17.5172,411.59196135972326,0
CBF,D,20180306,000000,17.5172,18.0587,17.5172,18.04,7555.117898517384,0
CBF,D,20180307,000000,18.0045,18.0045,17.606,17.8781,599.748286552747,0
CBF,D,20180308,000000,17.6246,17.7707,17.5172,17.606,3723.570912768655,0
CBF,D,20180309,000000,17.5172,18.04,17.5172,18.04,16080.951383826516,0
CBF,D,20180312,000000,18.04,18.04,17.3367,17.68,2276.050092817768,0
CBF,D,20180313,000000,17.7865,17.7865,17.4264,17.4264,601.886426611762,0
CBF,D,20180314,000000,17.7865,17.7865,17.4264,17.4264,521.7061743988221,0
CBF,D,20180315,000000,17.4264,17.4264,17.4264,17.4264,56.66071156380656,0
CBF,D,20180316,000000,17.3367,17.3367,17.2459,17.2459,25.65768070813913,0
CBF,D,20180319,000000,17.2459,17.2459,17.084,17.1561,191.36353528153595,0
CBF,D,20180320,000000,16.9755,17.4264,16.9755,17.4264,1132.1451612465826,0
CBF,D,20180321,000000,17.4264,17.606,17.4264,17.5172,1391.929178416558,0
CBF,D,20180322,000000,17.5172,17.5172,17.4264,17.4264,1426.1394193607364,0
CBF,D,20180323,000000,17.4264,17.5172,17.3367,17.4806,790.0427518047754,0
CBF,D,20180326,000000,17.4806,17.4806,17.4806,17.4806,8.552560236046306,0
CBF,D,20180327,000000,17.2459,17.4806,17.2459,17.4806,83.38746230145114,0
CBF,D,20180328,000000,17.4806,17.5172,17.1561,17.5172,11575.890279488982,0
CBF,D,20180329,000000,17.5172,17.6968,16.9755,17.6968,23318.55548358044,0
CBF,D,20180403,000000,17.6612,18.4197,17.1738,18.2832,4575.619726284743,0
CBF,D,20180404,000000,18.4197,18.4197,17.7519,18.3289,54.52257150479462,0
CBF,D,20180405,000000,18.3289,18.3289,18.0587,18.2832,168.9130646619091,0
CBF,D,20180406,000000,18.0587,18.2832,18.0587,18.2832,45.970011268748934,0
CBF,D,20180409,000000,18.2832,18.5554,18.0587,18.5554,1239.0521641972307,0
CBF,D,20180410,000000,18.5105,18.5105,17.7865,17.8959,1754.3439184189665,0
CBF,D,20180411,000000,18.4646,18.4646,17.8052,18.3289,26.726750737644583,0
CBF,D,20180412,000000,18.3289,18.5105,18.0587,18.5105,147682.40294595953,0
CBF,D,20180413,000000,18.5105,20.2251,18.1485,19.7292,50214.21928588696,0
CBF,D,20180416,000000,19.8639,20.2251,19.1419,20.0445,3068.2309846816206,0
CBF,D,20180417,000000,19.8639,19.8639,19.1879,19.5479,22104.09193006204,0
CBF,D,20180418,000000,19.8639,19.8639,18.6452,18.7808,1697.6832068552126,0
CBF,D,20180419,000000,18.6002,18.9603,18.0587,18.0587,3334.4294220285583,0
CBF,D,20180420,000000,18.6452,18.6452,17.7707,18.0587,2921.7683906393586,0
CBF,D,20180423,000000,18.5554,18.5554,18.0587,18.5554,91.94002253749787,0
CBF,D,20180424,000000,18.8705,18.8705,17.7865,18.3739,560.1926954610308,0
CBF,D,20180425,000000,18.3289,18.3289,17.6968,18.3289,549.5019951659763,0
CBF,D,20180426,000000,18.1485,18.2392,17.8052,18.2392,1054.103049092678,0
CBF,D,20180427,000000,18.2392,18.691,17.8781,18.0587,225601.5720464856,0
CBF,D,20180430,000000,18.5105,18.7808,18.0587,18.7808,10081.33037823958,0
CBF,D,20180502,000000,18.9603,18.9603,18.2392,18.2392,190.29446525202843,0
CBF,D,20180504,000000,18.9603,18.9603,17.6246,18.0587,2561.4917906959035,0
CBF,D,20180507,000000,18.0587,18.0587,17.968,18.0223,489.6340735136481,0
CBF,D,20180508,000000,18.0223,18.0223,16.8118,17.7707,1645.2987754093651,0
CBF,D,20180509,000000,18.0223,18.0223,17.0465,17.606,889.4662645488094,0
CBF,D,20180510,000000,17.606,17.606,17.3367,17.5172,544.1566450184489,0
CBF,D,20180511,000000,17.5172,17.5172,16.9569,17.5172,412.6610313892308,0
CBF,D,20180514,000000,17.5172,17.7865,16.794,17.534,2610.6690120531666,0
CBF,D,20180515,000000,16.8847,17.5172,16.8847,17.5172,719.4841298573929,0
CBF,D,20180516,000000,17.5172,17.5172,16.9755,17.5172,560.1926954610308,0
CBF,D,20180517,000000,17.5172,17.5172,16.8118,17.3178,1714.7883273272505,0
CBF,D,20180518,000000,17.5172,17.5172,17.2271,17.4806,987.8207072633461,0
CBF,D,20180521,000000,17.4806,17.4806,16.8305,17.4628,42.76280118023154,0
CBF,D,20180522,000000,17.4442,18.4197,17.1738,17.2991,2325.227314175134,0
CBF,D,20180523,000000,18.0223,18.0223,17.3367,17.3367,1135.3523713351665,0
CBF,D,20180524,000000,17.8781,17.8781,16.1262,17.3367,57589.73341944671,0
CBF,D,20180525,000000,17.4264,17.606,15.8193,17.5172,62234.84269764955,0
CBF,D,20180528,000000,17.4264,18.0587,17.4264,17.606,39022.12514699115,0
CBF,D,20180529,000000,17.4264,17.8781,17.1738,17.8781,3174.0689176026376,0
CBF,D,20180530,000000,17.8781,18.0587,17.3367,18.0587,7254.709220226267,0
CBF,D,20180601,000000,18.0587,18.0587,17.3178,17.606,2775.305796596994,0
CBF,D,20180604,000000,17.606,17.606,17.2459,17.606,718.4150598278852,0
CBF,D,20180605,000000,18.3289,18.3289,17.2645,17.5172,117.59770324564109,0
CBF,D,20180606,000000,17.606,17.606,17.606,17.606,169.98213469141658,0
CBF,D,20180607,000000,17.5172,17.5172,16.7043,17.3367,3366.501522913681,0
CBF,D,20180608,000000,17.4806,17.4806,17.3367,17.3367,37.41745103270221,0
CBF,D,20180611,000000,17.606,17.606,16.7398,17.3367,1165.2863321613358,0
CBF,D,20180612,000000,17.4984,17.4984,16.794,17.4264,1468.9022205409342,0
CBF,D,20180613,000000,17.968,17.968,16.8305,16.8305,182.81097504548612,0
CBF,D,20180614,000000,17.5892,17.5892,17.2459,17.2459,487.49593345464336,0
CBF,D,20180615,000000,17.3367,17.4264,17.1561,17.1561,432.9733619498427,0
CBF,D,20180618,000000,17.1561,17.1561,17.1561,17.1561,12.828840354069564,0
CBF,D,20180619,000000,17.1561,17.1561,16.2524,17.1561,4219.619406459297,0
CBF,D,20180620,000000,17.1561,17.1561,16.7043,17.1561,1202.703783193996,0
CBF,D,20180621,000000,17.3367,17.3367,16.8661,17.1561,1011.3402479124702,0
CBF,D,20180622,000000,17.1561,17.606,17.1561,17.1561,1386.5838282690204,0
CBF,D,20180625,000000,16.8661,17.1561,16.8661,17.1561,481.0815132776086,0
CBF,D,20180626,000000,17.1187,17.1561,16.7043,17.1561,6120.425918920627,0
CBF,D,20180627,000000,17.4264,17.4264,17.1561,17.1561,112.25235309810354,0
CBF,D,20180628,000000,17.1561,17.1561,17.1561,17.1561,62.00606171133588,0
