<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEZ,D,19990223,000000,1.67162,1.67162,1.67162,1.67162,4282548.923391796,0
CEZ,D,19990224,000000,1.69847,1.69847,1.69847,1.69847,4972555.706620677,0
CEZ,D,19990225,000000,1.73866,1.73866,1.73866,1.73866,2538079.3302617306,0
CEZ,D,19990226,000000,1.72534,1.72534,1.72534,1.72534,2529039.7642167816,0
CEZ,D,19990301,000000,1.74188,1.74188,1.74188,1.74188,2110865.744823842,0
CEZ,D,19990302,000000,1.76205,1.76205,1.76205,1.76205,4220053.843959821,0
CEZ,D,19990303,000000,1.74528,1.74528,1.74528,1.74528,2697272.351709027,0
CEZ,D,19990304,000000,1.72187,1.72187,1.72187,1.72187,2565477.1730847084,0
CEZ,D,19990305,000000,1.69515,1.69515,1.69515,1.69515,2558772.145451429,0
CEZ,D,19990308,000000,1.69515,1.69515,1.69515,1.69515,1239445.46746074,0
CEZ,D,19990309,000000,1.68494,1.68494,1.68494,1.68494,1247390.6752258579,0
CEZ,D,19990310,000000,1.72187,1.72187,1.72187,1.72187,1320427.9801682348,0
CEZ,D,19990311,000000,1.819,1.819,1.819,1.819,5548672.845872273,0
CEZ,D,19990312,000000,1.86588,1.86588,1.86588,1.86588,7876518.7289248435,0
CEZ,D,19990315,000000,1.92276,1.92276,1.92276,1.92276,5653286.831282313,0
CEZ,D,19990316,000000,1.9631,1.9631,1.9631,1.9631,7282132.194785968,0
CEZ,D,19990317,000000,1.9363,1.9363,1.9363,1.9363,5187738.764120851,0
CEZ,D,19990318,000000,1.83578,1.83578,1.83578,1.83578,4560872.8428114075,0
CEZ,D,19990319,000000,1.90613,1.90613,1.90613,1.90613,3683461.370500092,0
CEZ,D,19990322,000000,1.88266,1.88266,1.88266,1.88266,4087428.1751688295,0
CEZ,D,19990323,000000,1.83917,1.83917,1.83917,1.83917,2601984.0209297817,0
CEZ,D,19990324,000000,1.76876,1.76876,1.76876,1.76876,2003579.7475732008,0
CEZ,D,19990325,000000,1.80223,1.80223,1.80223,1.80223,3257394.916964666,0
CEZ,D,19990326,000000,1.74859,1.74859,1.74859,1.74859,3779028.845967467,0
CEZ,D,19990329,000000,1.69515,1.69515,1.69515,1.69515,628199.1496706599,0
CEZ,D,19990330,000000,1.83578,1.83578,1.83578,1.83578,3375799.4832360265,0
CEZ,D,19990331,000000,1.86588,1.86588,1.86588,1.86588,4205316.115450219,0
CEZ,D,19990401,000000,1.83917,1.83917,1.83917,1.83917,2286375.537121055,0
CEZ,D,19990402,000000,1.85918,1.85918,1.85918,1.85918,9995.046370487047,0
CEZ,D,19990406,000000,1.88935,1.88935,1.88935,1.88935,2347790.146068627,0
CEZ,D,19990407,000000,1.88935,1.88935,1.88935,1.88935,1591991.3207728486,0
CEZ,D,19990408,000000,1.92276,1.92276,1.92276,1.92276,3653903.975487854,0
CEZ,D,19990409,000000,1.9497,1.9497,1.9497,1.9497,7389544.570975017,0
CEZ,D,19990412,000000,1.89937,1.89937,1.89937,1.89937,1428570.8543968655,0
CEZ,D,19990413,000000,1.86264,1.86264,1.86264,1.86264,3196045.5806556116,0
CEZ,D,19990414,000000,1.86941,1.86941,1.86941,1.86941,984819.6821617335,0
CEZ,D,19990415,000000,1.86588,1.86588,1.86588,1.86588,2582999.404577891,0
CEZ,D,19990416,000000,1.8491,1.8491,1.8491,1.8491,2235203.177302612,0
CEZ,D,19990419,000000,1.87597,1.87597,1.87597,1.87597,2948855.321029467,0
CEZ,D,19990420,000000,1.83578,1.83578,1.83578,1.83578,975039.8966204012,0
CEZ,D,19990421,000000,1.82909,1.82909,1.82909,1.82909,1333458.8986195726,0
CEZ,D,19990422,000000,1.82909,1.82909,1.82909,1.82909,2585832.5148454737,0
CEZ,D,19990423,000000,1.82231,1.82231,1.82231,1.82231,3258550.3815443856,0
CEZ,D,19990426,000000,1.84248,1.84248,1.84248,1.84248,3490184.9215101404,0
CEZ,D,19990427,000000,1.88935,1.88935,1.88935,1.88935,3807073.8600574504,0
CEZ,D,19990428,000000,1.89267,1.89267,1.89267,1.89267,3538425.5677134525,0
CEZ,D,19990429,000000,1.88612,1.88612,1.88612,1.88612,3316644.4186048056,0
CEZ,D,19990430,000000,1.87265,1.87265,1.87265,1.87265,4610453.661273648,0
CEZ,D,19990503,000000,1.9363,1.9363,1.9363,1.9363,2719735.860815964,0
CEZ,D,19990504,000000,1.97303,1.97303,1.97303,1.97303,5331546.885791537,0
CEZ,D,19990505,000000,2.02681,2.02681,2.02681,2.02681,4036718.2789381826,0
CEZ,D,19990506,000000,2.17413,2.17413,2.17413,2.17413,5593241.558964072,0
CEZ,D,19990507,000000,2.23779,2.23779,2.23779,2.23779,9250449.440984564,0
CEZ,D,19990510,000000,2.31138,2.31138,2.31138,2.31138,6664026.694833342,0
CEZ,D,19990511,000000,2.61964,2.61964,2.61964,2.61964,15379821.009820567,0
CEZ,D,19990512,000000,2.65318,2.65318,2.65318,2.65318,30014149.327333454,0
CEZ,D,19990513,000000,2.54597,2.54597,2.54597,2.54597,19041039.687161047,0
CEZ,D,19990514,000000,2.53265,2.53265,2.53265,2.53265,6652022.0844642315,0
CEZ,D,19990517,000000,2.43214,2.43214,2.43214,2.43214,2350616.3124384955,0
CEZ,D,19990518,000000,2.43545,2.43545,2.43545,2.43545,3820583.9074511006,0
CEZ,D,19990519,000000,2.58608,2.58608,2.58608,2.58608,6313589.008867405,0
CEZ,D,19990520,000000,2.55937,2.55937,2.55937,2.55937,12630720.794348832,0
CEZ,D,19990521,000000,2.67652,2.67652,2.67652,2.67652,9520587.89377813,0
CEZ,D,19990524,000000,2.7772,2.7772,2.7772,2.7772,7462579.098358304,0
