<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLD,D,20120518,000000,1.44789,1.73746,1.44789,1.73746,196807.74289954282,0
CLD,D,20120521,000000,1.76548,2.53146,1.76548,2.51278,12650.481110546529,0
CLD,D,20120522,000000,2.89575,3.17599,2.44737,3.12929,11067.163723518906,0
CLD,D,20120523,000000,3.07324,3.07324,2.89575,2.89575,252.6456412024082,0
CLD,D,20120524,000000,2.89575,2.89575,2.33529,2.70893,1742.826711345415,0
CLD,D,20120525,000000,2.70893,2.70893,2.34463,2.69026,1552.2719480655846,0
CLD,D,20120528,000000,2.35397,2.69026,2.35397,2.68091,536.336721366126,0
CLD,D,20120529,000000,2.5221,2.69959,2.5221,2.69959,443.2004044821868,0
CLD,D,20120530,000000,2.71827,3.23204,2.61553,3.17599,8568.54115332218,0
CLD,D,20120531,000000,3.11061,3.11061,2.5221,2.72762,7416.648314619771,0
CLD,D,20120601,000000,2.61553,2.61553,2.5221,2.5221,2092.8907989436625,0
CLD,D,20120604,000000,2.59683,2.59683,2.47541,2.47541,568.4526927054133,0
CLD,D,20120605,000000,2.5221,2.59683,2.47541,2.47541,38098.10626741969,0
CLD,D,20120606,000000,2.59683,2.59683,2.59683,2.59683,107.05323779762759,0
CLD,D,20120608,000000,2.47541,2.47541,2.47541,2.47541,711.9040313542282,0
CLD,D,20120611,000000,2.47541,2.47541,2.14846,2.14846,3749.004387672952,0
CLD,D,20120612,000000,2.05505,2.05505,2.05505,2.05505,460.328922529808,0
CLD,D,20120613,000000,2.05505,2.15781,2.05505,2.15781,902.4587946340171,0
CLD,D,20120614,000000,2.0644,2.15781,2.0644,2.15781,433.5656130803985,0
CLD,D,20120615,000000,2.05505,2.05505,2.05505,2.05505,321.15971339288274,0
CLD,D,20120618,000000,2.05505,2.05505,1.72812,1.72812,1391.692091369148,0
CLD,D,20120619,000000,1.76548,1.94295,1.76548,1.94295,2768.396729446651,0
CLD,D,20120620,000000,1.77482,1.77482,1.77482,1.77482,1071.6029103542953,0
CLD,D,20120621,000000,1.85889,1.85889,1.77482,1.82152,355.4167494881253,0
CLD,D,20120622,000000,1.72812,1.72812,1.72812,1.72812,80.28992834822226,0
CLD,D,20120625,000000,1.72812,1.72812,1.72812,1.72812,642.3194267857759,0
