<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLN,D,20161017,000000,18.3722,19.7725,17.6476,18.5238,1868927.2016442765,0
CLN,D,20161018,000000,18.4763,18.5521,17.7722,18.1058,235052.1736258529,0
CLN,D,20161019,000000,18.1058,18.1437,17.7235,18.0482,368095.2576914965,0
CLN,D,20161020,000000,18.0093,18.3244,17.8286,18.2097,844381.7247234138,0
CLN,D,20161021,000000,18.2486,18.7902,18.2486,18.5812,163353.15769195018,0
CLN,D,20161024,000000,18.7252,19.3436,18.6289,18.868,312609.3958784329,0
CLN,D,20161025,000000,19.2493,19.2493,18.5716,18.6484,58969.73104382602,0
CLN,D,20161026,000000,18.6484,18.6765,18.4392,18.4392,28995.910439496456,0
CLN,D,20161027,000000,18.4849,18.6765,18.4392,18.4392,28886.910988947646,0
CLN,D,20161028,000000,18.4948,18.5617,18.0775,18.2001,30951.73076916268,0
CLN,D,20161031,000000,18.2001,18.4197,18.058,18.2001,33125.549999927534,0
CLN,D,20161102,000000,18.2001,18.2001,17.4871,17.495,68416.69285699275,0
CLN,D,20161103,000000,17.6193,17.8665,16.7227,16.8667,153845.5263732831,0
CLN,D,20161104,000000,16.6673,18.0959,16.4282,17.3909,111901.30384590385,0
CLN,D,20161107,000000,17.6193,18.0863,17.6193,17.9335,31546.086263666668,0
CLN,D,20161108,000000,17.9335,18.0482,17.4677,17.4677,22593.735164785663,0
CLN,D,20161109,000000,17.4386,17.914,17.1624,17.8003,72924.74560423498,0
CLN,D,20161110,000000,17.885,18.5142,17.8187,18.0093,42003.86373617114,0
CLN,D,20161114,000000,17.7624,17.9627,17.4677,17.914,13400.76263733336,0
CLN,D,20161115,000000,17.5912,17.914,17.5912,17.8665,4012.41373625491,0
CLN,D,20161116,000000,17.8665,18.3916,17.8187,17.8187,14993.59423073635,0
CLN,D,20161117,000000,17.7624,18.2486,17.6565,17.914,217301.71593358408,0
CLN,D,20161118,000000,17.7722,18.2953,17.5524,18.2865,197681.81483472817,0
