<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMP,D,20050114,000000,8.80008,9.0113,7.04006,7.56804,198082.49999919,0
CMP,D,20050117,000000,7.70904,7.92026,6.96966,7.00496,56174.239130204995,0
CMP,D,20050118,000000,6.86414,7.04006,6.86414,7.04006,18753.1521738365,0
CMP,D,20050119,000000,6.8816,7.04006,6.8816,6.9522,6332.7173912785,0
CMP,D,20050120,000000,6.8816,7.04006,6.86414,6.9522,6492.499999973499,0
CMP,D,20050121,000000,6.81138,6.9522,6.81138,6.93436,4101.086956505,0
CMP,D,20050124,000000,6.9522,6.9522,6.86414,6.89944,26912.7173911945,0
CMP,D,20050125,000000,6.70568,7.07536,6.70568,7.07536,63.913043478000006,0
CMP,D,20050126,000000,6.89944,7.11066,6.8816,6.9522,11131.521739085,0
CMP,D,20050127,000000,7.02242,7.02242,7.02242,7.02242,63.913043478000006,0
CMP,D,20050128,000000,6.93436,6.93436,6.86414,6.86414,11616.1956521265,0
CMP,D,20050131,000000,6.86414,6.86414,6.77608,6.77608,16425.652173846,0
CMP,D,20050201,000000,6.86414,7.04006,6.86414,7.04006,13064.891304294499,0
CMP,D,20050202,000000,6.9873,7.7265,6.9873,7.4274,42502.17391287,0
CMP,D,20050203,000000,7.56804,7.56804,7.30404,7.30404,4495.217391286,0
CMP,D,20050204,000000,7.3921,7.3921,7.12812,7.12812,7728.1521738815,0
CMP,D,20050207,000000,7.12812,7.16342,7.12812,7.14558,4617.7173912855,0
CMP,D,20050208,000000,7.14558,7.14558,7.12812,7.14558,3579.1304347679998,0
CMP,D,20050209,000000,7.14558,7.14558,7.04006,7.04006,2982.6086956400004,0
CMP,D,20050210,000000,7.04006,7.44486,7.00496,7.44486,35242.7173911605,0
CMP,D,20050211,000000,7.44486,7.51528,7.37464,7.51528,292205.10869446,0
CMP,D,20050214,000000,7.55058,7.7265,7.53292,7.7265,2961.3043478140003,0
CMP,D,20050215,000000,7.70904,7.70904,7.63862,7.63862,9810.652173873,0
CMP,D,20050216,000000,7.65608,7.65608,7.56804,7.60334,12335.217391254,0
CMP,D,20050217,000000,7.49782,7.60334,7.4274,7.60334,19754.4565216585,0
CMP,D,20050218,000000,7.56804,7.63862,7.56804,7.56804,1501.956521733,0
CMP,D,20050221,000000,7.56804,7.63862,7.49782,7.63862,16414.999999933,0
CMP,D,20050222,000000,7.37464,7.6208,7.37464,7.56804,8883.913043442,0
CMP,D,20050223,000000,7.60334,7.69138,7.60334,7.67374,4500.5434782425,0
CMP,D,20050224,000000,7.74414,7.74414,7.56804,7.56804,5342.0652173695,0
CMP,D,20050225,000000,7.56804,7.56804,7.3921,7.3921,4031.8478260705,0
CMP,D,20050228,000000,7.3921,7.3921,7.25128,7.25128,2418.043478251,0
CMP,D,20050301,000000,7.40976,7.40976,7.04006,7.25128,9288.695652136,0
CMP,D,20050302,000000,7.23364,7.44486,7.23364,7.44486,5118.3695651965,0
CMP,D,20050303,000000,7.48016,7.48016,7.3217,7.3217,1139.782608691,0
CMP,D,20050304,000000,7.3921,7.55058,7.18088,7.55058,13693.3695651615,0
CMP,D,20050307,000000,7.21618,7.48016,7.14558,7.48016,11190.108695606501,0
CMP,D,20050308,000000,7.25128,7.48016,7.25128,7.48016,1475.3260869504998,0
CMP,D,20050309,000000,7.46252,7.48016,7.46252,7.48016,7813.3695651855,0
CMP,D,20050310,000000,7.44486,7.6208,7.30404,7.6208,9379.2391303965,0
CMP,D,20050311,000000,7.56804,7.56804,7.56804,7.56804,26.6304347825,0
CMP,D,20050314,000000,7.3921,7.56804,7.3921,7.56804,5342.0652173695,0
CMP,D,20050315,000000,7.46252,7.56804,7.44486,7.56804,4479.2391304165,0
CMP,D,20050316,000000,7.44486,7.56804,7.44486,7.56804,6183.5869564965005,0
CMP,D,20050317,000000,7.53292,7.56804,7.3217,7.55058,6082.391304323,0
CMP,D,20050318,000000,7.56804,7.58586,7.3921,7.58586,5118.3695651965,0
CMP,D,20050321,000000,7.58586,7.6208,7.49782,7.6208,1938.695652166,0
CMP,D,20050322,000000,7.56804,7.92026,7.56804,7.74414,12953.043478208001,0
CMP,D,20050324,000000,7.74414,7.77926,7.58586,7.74414,10641.521739087,0
CMP,D,20050329,000000,7.92026,7.92026,7.92026,7.92026,26.6304347825,0
CMP,D,20050330,000000,7.77926,7.86732,7.77926,7.86732,596.521739128,0
CMP,D,20050331,000000,7.84986,7.84986,7.74414,7.74414,1262.2826086905,0
CMP,D,20050401,000000,7.58586,7.7971,7.56804,7.7971,852.17391304,0
CMP,D,20050404,000000,7.60334,7.60334,7.56804,7.56804,1411.4130434725002,0
CMP,D,20050405,000000,7.69138,7.69138,7.48016,7.6208,2380.7608695555,0
CMP,D,20050406,000000,7.69138,7.69138,7.69138,7.69138,26.6304347825,0
CMP,D,20050407,000000,7.69138,7.69138,7.69138,7.69138,26.6304347825,0
CMP,D,20050411,000000,7.49782,7.53292,7.33934,7.53292,8447.173913008999,0
CMP,D,20050412,000000,7.3921,7.3921,7.3568,7.3568,2924.0217391185,0
CMP,D,20050413,000000,7.3568,7.48016,7.3568,7.48016,3408.69565216,0
CMP,D,20050414,000000,7.48016,7.56804,7.48016,7.56804,2758.913043467,0
CMP,D,20050415,000000,7.3568,7.56804,7.33934,7.56804,4260.8695652,0
CMP,D,20050418,000000,7.49782,7.49782,7.49782,7.49782,26.6304347825,0
CMP,D,20050419,000000,7.3921,7.56804,7.3217,7.56804,2870.7608695535,0
CMP,D,20050421,000000,7.53292,7.53292,7.53292,7.53292,1134.4565217345,0
CMP,D,20050426,000000,7.56804,7.56804,7.3921,7.56804,2157.0652173825,0
CMP,D,20050427,000000,7.56804,7.56804,7.56804,7.56804,26.6304347825,0
CMP,D,20050428,000000,7.53292,7.53292,7.11066,7.48016,12841.1956521215,0
CMP,D,20050429,000000,7.60334,7.60334,7.3921,7.60334,836.1956521704999,0
CMP,D,20050502,000000,7.7265,7.7265,7.7265,7.7265,26.6304347825,0
CMP,D,20050504,000000,7.60334,7.6208,7.58586,7.6208,793.5869565185,0
CMP,D,20050505,000000,7.55058,7.55058,7.3568,7.53292,8282.0652173575,0
CMP,D,20050506,000000,7.51528,7.53292,7.33934,7.53292,2093.1521739044997,0
CMP,D,20050509,000000,7.65608,7.65608,7.33934,7.46252,2268.913043469,0
