<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRI,D,20211012,000000,64.2447,64.2447,59.4132,61.6245,58478.893549646404,0
CRI,D,20211013,000000,62.6676,74.2665,61.7497,72.5976,44432.5983880536,0
CRI,D,20211014,000000,75.5182,108.579,75.0175,108.462,91148.1241955112,0
CRI,D,20211015,000000,112.568,125.168,92.2073,94.3101,86342.59193734321,0
CRI,D,20211018,000000,96.9637,102.638,86.1825,94.7106,14946.283871289601,0
CRI,D,20211019,000000,94.3769,99.0498,87.6345,94.2934,5687.545161412801,0
CRI,D,20211020,000000,91.0724,91.7734,80.1911,83.4455,12259.500000264,0
CRI,D,20211021,000000,84.0296,100.151,80.3747,95.5284,11645.9258067024,0
CRI,D,20211022,000000,99.2668,99.2668,88.7026,97.6312,6513.233871108,0
CRI,D,20211025,000000,99.3001,99.3001,92.6245,92.8748,5885.2790323848,0
CRI,D,20211026,000000,94.961,95.2948,90.3047,92.8748,3000.7612903872005,0
CRI,D,20211027,000000,92.541,92.541,84.2799,87.1838,2110.3596774648004,0
CRI,D,20211028,000000,87.1838,92.4576,83.4371,92.4576,3221.2645161984,0
CRI,D,20211029,000000,90.1378,90.1378,84.814,89.4536,2469.8758065048,0
CRI,D,20211102,000000,88.4522,89.2867,82.611,89.1865,3837.2354839536,0
CRI,D,20211103,000000,87.6178,87.6178,84.2799,85.031,1435.6677419664002,0
CRI,D,20211104,000000,85.5316,86.7833,82.6194,86.7833,757.3806451776001,0
CRI,D,20211105,000000,86.1491,96.7968,83.4455,91.7233,3918.725806536,0
CRI,D,20211108,000000,93.2587,97.4643,89.2867,95.1279,6522.8209678824005,0
CRI,D,20211109,000000,95.1279,99.9677,92.6412,95.0444,8350.3612905024,0
CRI,D,20211110,000000,99.1332,99.3001,95.1112,97.6312,3535.2419355600005,0
CRI,D,20211112,000000,97.6312,99.3001,95.3949,99.3001,3126.5919355512,0
CRI,D,20211115,000000,100.118,106.727,97.0304,99.9677,2028.8693548824,0
CRI,D,20211116,000000,98.0651,99.9176,89.2867,92.6245,1924.6096774608002,0
CRI,D,20211117,000000,94.1599,94.2934,89.2867,91.79,686.6758064664001,0
CRI,D,20211118,000000,94.2767,94.2767,84.3634,89.7039,2390.7822581160003,0
CRI,D,20211119,000000,90.9556,90.9556,87.6178,90.1211,1072.556451636,0
CRI,D,20211122,000000,90.1211,90.9556,88.4522,88.4522,444.6016129128,0
CRI,D,20211123,000000,88.8528,90.8888,84.2799,87.6178,974.2887096984001,0
CRI,D,20211124,000000,90.5384,90.7052,87.6011,90.7052,971.8919355048001,0
