<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRIA,D,20260622,000000,741,741,741,741,1,0
CRIA,D,20260623,000000,760,776,760,776,122,0
CRIA,D,20260624,000000,750,750,730,745,325,0
CRIA,D,20260625,000000,745,755,745,755,15,0
CRIA,D,20260626,000000,713,713,713,713,100,0
CRIA,D,20260629,000000,728,729,728,729,276,0
CRIA,D,20260630,000000,749,749,740,740,164,0
CRIA,D,20260701,000000,759,760,742,755,365,0
CRIA,D,20260702,000000,764,779,764,775,309,0
CRIA,D,20260703,000000,779,784,771,784,100,0
CRIA,D,20260706,000000,809,817,800,817,154,0
CRIA,D,20260707,000000,805,830,805,830,69,0
CRIA,D,20260708,000000,825,850,810,818,131,0
CRIA,D,20260709,000000,850,860,828,841,1438,0
CRIA,D,20260710,000000,830,830,810,810,120,0
CRIA,D,20260713,000000,813,813,776,790,716,0
CRIA,D,20260714,000000,790,820,790,795,1168,0
CRIA,D,20260715,000000,788,788,760,760,109,0
CRIA,D,20260716,000000,764,780,756,766,279,0
CRIA,D,20260717,000000,756,780,756,775,118,0
CRIA,D,20260720,000000,785,785,752,752,39,0
CRIA,D,20260721,000000,750,785,733,780,98,0
CRIA,D,20260722,000000,763,780,759,763,1556,0
