<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRJ,D,20180806,000000,86.1171,98.1729,77.5055,85.0666,38389.53940346419,0
CRJ,D,20180807,000000,84.9978,89.0452,80.0889,80.2612,5621.408356084945,0
CRJ,D,20180808,000000,81.6391,85.1614,78.2891,83.9557,2857.73310562388,0
CRJ,D,20180809,000000,85.1699,85.1699,79.2278,79.2278,1879.9958951665742,0
CRJ,D,20180810,000000,79.314,79.4863,72.3384,75.697,2353.7687952456813,0
CRJ,D,20180813,000000,72.3384,81.8113,70.616,79.2278,1376.0315847883755,0
CRJ,D,20180814,000000,80.0889,84.8255,79.2278,80.9502,848.8431126416317,0
CRJ,D,20180816,000000,84.8255,96.0203,84.8255,92.1459,6465.6066363728505,0
CRJ,D,20180817,000000,94.7289,105.063,92.1459,101.188,3941.140252128213,0
CRJ,D,20180820,000000,102.479,106.785,99.0354,99.0354,2056.49952460779,0
CRJ,D,20180821,000000,98.6037,99.4661,92.1459,96.4514,2307.32047170853,0
CRJ,D,20180822,000000,94.7289,97.3117,91.2845,95.5901,2265.5169805250225,0
CRJ,D,20180823,000000,93.0062,97.3117,91.2845,93.8676,819.8129104308994,0
CRJ,D,20180824,000000,91.2845,93.7812,88.7007,93.7812,426.1633684534526,0
CRJ,D,20180827,000000,95.5038,95.5038,83.6198,88.7007,3325.699965260728,0
CRJ,D,20180828,000000,91.2845,92.1459,86.1171,87.8395,4541.484833845947,0
CRJ,D,20180829,000000,86.1171,101.619,80.1751,84.3949,27996.727012024156,0
CRJ,D,20180830,000000,83.3615,83.5336,71.0468,73.2857,18426.049947192125,0
CRJ,D,20180831,000000,74.7497,79.6585,65.0271,75.7831,11384.484098958677,0
CRJ,D,20180903,000000,90.4232,108.508,87.8395,102.479,26654.370461800103,0
CRJ,D,20180904,000000,104.201,140.371,101.619,121.425,34466.978480751066,0
CRJ,D,20180905,000000,120.478,133.482,112.899,120.564,15111.962062815912,0
CRJ,D,20180906,000000,120.581,127.453,111.953,117.98,7831.187348365426,0
CRJ,D,20180907,000000,118.842,124.87,114.535,124.87,4335.9510021940505,0
CRJ,D,20180910,000000,132.62,136.927,126.593,133.741,4664.5728912194445,0
CRJ,D,20180911,000000,136.927,160.179,130.898,155.7,9287.342291255483,0
CRJ,D,20180912,000000,150.705,153.203,143.815,146.4,3634.581316782933,0
CRJ,D,20180913,000000,144.677,150.705,130.898,142.955,5427.486605317361,0
CRJ,D,20180914,000000,142.955,145.538,136.066,145.108,2157.5246283011734,0
