<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRQ,D,20260417,000000,220,220,212,220,35193,0
CRQ,D,20260420,000000,260,286,251,259.95,208020,0
CRQ,D,20260421,000000,264.5,264.5,222,223.1,105430,0
CRQ,D,20260422,000000,223.1,224.9,180.72,191.98,169871,0
CRQ,D,20260423,000000,188.14,234.5,188,217,88240,0
CRQ,D,20260424,000000,221.85,223.95,205,212,19591,0
CRQ,D,20260427,000000,210,210.3,188.1,188.1,27378,0
CRQ,D,20260428,000000,197,197,186,191,18475,0
CRQ,D,20260429,000000,196,207,181.62,199,47614,0
CRQ,D,20260430,000000,200,206.55,195.04,196.2,8220,0
CRQ,D,20260504,000000,200,202,188.8,191.2,7945,0
CRQ,D,20260505,000000,182,191.2,176,189.78,35260,0
CRQ,D,20260506,000000,190,230,190,224,56177,0
CRQ,D,20260507,000000,224,224,205,216.95,21698,0
CRQ,D,20260508,000000,216.8,216.9,209.5,211,5856,0
CRQ,D,20260511,000000,220,250,219,237,34781,0
CRQ,D,20260512,000000,242,255,235.1,244,23904,0
CRQ,D,20260513,000000,250,264,245.05,253.95,31180,0
CRQ,D,20260514,000000,258,270,248,267,28815,0
CRQ,D,20260515,000000,267,274,255,255,22425,0
CRQ,D,20260518,000000,258.1,266.5,253,260.2,20518,0
CRQ,D,20260519,000000,260.25,262.9,244,247.9,15721,0
CRQ,D,20260520,000000,247.95,255,243,251,8369,0
CRQ,D,20260521,000000,252.6,274,242,267,29606,0
CRQ,D,20260522,000000,271,373,268.25,373,103256,0
CRQ,D,20260525,000000,368,445,345.2,387.15,110915,0
CRQ,D,20260526,000000,390,429,370.05,402,70969,0
CRQ,D,20260527,000000,410,413.8,385.2,404,28557,0
CRQ,D,20260528,000000,395.05,402.3,371,395.6,38259,0
CRQ,D,20260529,000000,401.55,485.85,398,454,92548,0
CRQ,D,20260601,000000,456,456,387.2,419.95,56854,0
CRQ,D,20260602,000000,406.95,424,363,375,76919,0
CRQ,D,20260603,000000,365,390,351,372,54979,0
CRQ,D,20260605,000000,380,399.95,350,369.25,34999,0
CRQ,D,20260608,000000,351,377,333,372,29879,0
CRQ,D,20260609,000000,386.25,396.05,358,365,13504,0
CRQ,D,20260610,000000,364.95,374,344,359,13317,0
CRQ,D,20260611,000000,357,398,352.05,384,32039,0
CRQ,D,20260612,000000,402.4,411,354.2,360,31374,0
CRQ,D,20260615,000000,372,380,341.85,344,16348,0
CRQ,D,20260616,000000,341.45,358.95,334,342,20310,0
CRQ,D,20260617,000000,343,359,338.4,350,16552,0
CRQ,D,20260618,000000,357.95,365,352.05,360.1,8484,0
CRQ,D,20260619,000000,363.45,368,350,368,23028,0
CRQ,D,20260622,000000,368.05,369,336.85,338.35,17485,0
CRQ,D,20260623,000000,337,337,320,332,14264,0
CRQ,D,20260624,000000,332,335,301,310,12727,0
CRQ,D,20260625,000000,302,307.75,291,300,15338,0
CRQ,D,20260626,000000,292,293.65,272.5,281.05,28012,0
CRQ,D,20260629,000000,280,293.9,277,291.7,12768,0
CRQ,D,20260630,000000,302,317.9,296.25,298,18224,0
CRQ,D,20260701,000000,300.05,310,290,309.4,10390,0
CRQ,D,20260702,000000,305,312,297.05,307,8697,0
CRQ,D,20260703,000000,307,307,296,297.8,5902,0
CRQ,D,20260706,000000,299.9,306.15,295,306,8407,0
CRQ,D,20260707,000000,306.95,313.5,293.55,309.05,6418,0
CRQ,D,20260708,000000,309.05,319,298.6,306,9970,0
CRQ,D,20260709,000000,306.05,315.3,300,300.4,13703,0
CRQ,D,20260710,000000,302.2,305,302.2,304.1,8508,0
CRQ,D,20260713,000000,304.1,304.15,295,296.35,8410,0
CRQ,D,20260714,000000,296.4,297.4,256.5,261,32596,0
CRQ,D,20260715,000000,260,270,238,243,69284,0
CRQ,D,20260716,000000,248,253,239.6,241,21601,0
CRQ,D,20260717,000000,239.8,240,231.05,240,14717,0
CRQ,D,20260720,000000,243.55,252.65,232,234,19649,0
CRQ,D,20260721,000000,234,244,231.6,242.75,13092,0
CRQ,D,20260722,000000,244.8,247.8,238.5,242,10190,0
CRQ,D,20260723,000000,240.05,242,235,235.3,9692,0
CRQ,D,20260724,000000,235,239.2,232.5,235.25,4179,0
CRQ,D,20260727,000000,237,246,235.3,236.3,9264,0
CRQ,D,20260728,000000,236.5,239.5,223.7,227,11215,0
CRQ,D,20260729,000000,227,229,210,223.5,24578,0
CRQ,D,20260730,000000,220,231.9,212.5,231,9528,0
CRQ,D,20260731,000000,232,244.9,230.5,237,13594,0
CRQ,D,20260803,000000,239,240,228,228.05,8072,0
CRQ,D,20260804,000000,231.8,245,230,245,11292,0
CRQ,D,20260805,000000,248,248.8,239,243,9101,0
CRQ,D,20260806,000000,241.85,242,231,242,5680,0
CRQ,D,20260807,000000,242.55,261,240.05,257,16046,0
CRQ,D,20260810,000000,257,269.9,248.3,251.9,12002,0
CRQ,D,20260811,000000,254.55,254.55,241.25,242,11392,0
CRQ,D,20260812,000000,243.8,245,237,242,7159,0
CRQ,D,20260813,000000,243.8,243.8,232.25,236.6,8999,0
CRQ,D,20260814,000000,233.8,236.5,230,232,7540,0
CRQ,D,20260817,000000,230,237.5,230,230.2,4671,0
CRQ,D,20260818,000000,230.1,234.8,230.05,230.05,3566,0
