<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRQA,D,20260603,000000,374.95,374.95,354,367,4609,0
CRQA,D,20260605,000000,374,387.95,359,360,800,0
CRQA,D,20260608,000000,359.5,372,350,367,1051,0
CRQA,D,20260609,000000,370,390,370,388,713,0
CRQA,D,20260610,000000,351,372,351,372,26,0
CRQA,D,20260611,000000,372,392,372,392,319,0
CRQA,D,20260612,000000,393.05,393.05,354,377,173,0
CRQA,D,20260615,000000,355.5,357,345,345,130,0
CRQA,D,20260616,000000,336.05,349.9,336,349.9,61,0
CRQA,D,20260617,000000,349.9,350,349.5,349.5,33,0
CRQA,D,20260618,000000,350,360.5,350,360.5,163,0
CRQA,D,20260619,000000,360.5,360.5,360.5,360.5,44,0
CRQA,D,20260622,000000,355,355,333.1,340,27,0
CRQA,D,20260623,000000,333.25,340,323.35,340,145,0
CRQA,D,20260624,000000,321,321,321,321,6,0
CRQA,D,20260625,000000,303,303,287,295,170,0
CRQA,D,20260626,000000,295,295,271,279,156,0
CRQA,D,20260629,000000,284,290,284,290,210,0
CRQA,D,20260630,000000,303,306,300,300,232,0
CRQA,D,20260701,000000,308,308,308,308,1,0
CRQA,D,20260702,000000,306,306,302,302,12,0
CRQA,D,20260703,000000,302,304.4,302,304.4,120,0
