<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSR,D,20111208,000000,5.46046,7.6941,5.46046,6.21738,8142.954091996713,0
CSR,D,20111209,000000,6.45328,6.81939,4.97639,4.98898,2009.3003603628051,0
CSR,D,20111212,000000,5.21212,5.21212,4.43035,4.59291,2702.567736160586,0
CSR,D,20111213,000000,4.83971,4.96396,4.59154,4.71581,1968.1743295952003,0
CSR,D,20111214,000000,4.79034,4.79034,4.79034,4.79034,804.8951735956414,0
CSR,D,20111215,000000,4.72839,4.72839,4.70337,4.70337,969.39929666628,0
CSR,D,20111216,000000,4.65367,4.65367,4.65367,4.65367,399.5100131715535,0
CSR,D,20111219,000000,4.59154,4.59154,4.59154,4.59154,129.2532395555054,0
CSR,D,20111220,000000,4.59154,4.59154,4.59154,4.59154,522.888105474535,0
CSR,D,20111222,000000,4.59154,4.59154,4.59154,4.59154,734.3934065653649,0
CSR,D,20111228,000000,4.83971,4.83971,4.83971,4.83971,199.755006585782,0
CSR,D,20111229,000000,4.9517,4.96396,4.9517,4.96396,646.2661977775165,0
CSR,D,20120111,000000,4.7529,4.7529,4.7529,4.7529,517.0129582220111,0
CSR,D,20120127,000000,4.74082,4.74082,4.74082,4.74082,317.25795163623957,0
CSR,D,20120131,000000,4.96396,4.96396,4.96396,4.96396,399.5100131715535,0
CSR,D,20120202,000000,4.96396,4.96396,4.96396,4.96396,199.755006585782,0
CSR,D,20120227,000000,5.08805,5.9556,5.08805,5.9556,2931.6984790088936,0
CSR,D,20120229,000000,6.20512,6.45328,6.20512,6.45328,129.2532395555054,0
CSR,D,20120301,000000,6.57736,6.82553,6.57736,6.82553,235.00589010091508,0
CSR,D,20120302,000000,6.82553,8.19043,6.82553,8.19043,434.7608966866971,0
CSR,D,20120305,000000,6.81939,6.81939,6.57736,6.57736,105.75265054540971,0
CSR,D,20120309,000000,6.57635,7.19778,6.57635,7.07353,1739.0435867467884,0
CSR,D,20120314,000000,5.70863,5.70863,5.70863,5.70863,769.6442900804979,0
CSR,D,20120315,000000,5.70863,5.70863,5.58453,5.58453,499.38751646444973,0
CSR,D,20120525,000000,4.96396,4.96396,4.96396,4.96396,446.5111911917449,0
CSR,D,20120720,000000,4.83971,4.96295,4.83971,4.96295,6674.167278866047,0
CSR,D,20120829,000000,4.90217,4.90217,4.90217,4.90217,305.5076571311917,0
CSR,D,20120830,000000,4.90217,4.96396,4.90217,4.90217,1762.544175756863,0
CSR,D,20120913,000000,4.77775,4.77775,4.77775,4.77775,317.25795163623957,0
CSR,D,20121120,000000,4.74082,4.74082,4.61657,4.61657,329.0082461412874,0
CSR,D,20121217,000000,4.38593,4.38593,4.38593,4.38593,346.6336878988487,0
CSR,D,20121220,000000,4.15734,4.15734,3.72331,3.72331,928.2732658986229,0
CSR,D,20121221,000000,3.46358,3.46358,3.46358,3.46358,346.6336878988487,0
CSR,D,20130110,000000,3.53676,3.53676,3.53676,3.53676,804.8951735956414,0
CSR,D,20130111,000000,3.73557,3.73557,3.73557,3.73557,1204.4051867671951,0
