<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTS,D,20151116,000000,3.91324,3.96966,3.91324,3.96966,509.2336448618803,0
CTS,D,20151120,000000,4.03724,4.03724,4.03724,4.03724,36.37383177584859,0
CTS,D,20151123,000000,4.11046,4.11046,4.11046,4.11046,8.213445884869037,0
CTS,D,20151124,000000,4.16679,4.50454,4.11046,4.11046,70.4009647274489,0
CTS,D,20151125,000000,4.02599,4.39196,4.02599,4.3075,123.20168827303556,0
CTS,D,20151126,000000,4.08233,4.08233,4.08233,4.08233,11.733494121241483,0
CTS,D,20151127,000000,4.3075,4.64533,4.3075,4.64533,134.93518239427704,0
CTS,D,20151130,000000,4.22867,4.36384,4.05412,4.05412,438.8326801344314,0
CTS,D,20151201,000000,4.05412,4.05412,4.05412,4.05412,14.080192945489777,0
CTS,D,20151209,000000,4.05412,4.05412,4.05412,4.05412,89.17455532143526,0
CTS,D,20151210,000000,4.05412,4.05412,4.05412,4.05412,41.067229424345186,0
CTS,D,20160107,000000,4.19483,4.19483,4.19483,4.19483,711.0497437472337,0
CTS,D,20160108,000000,4.20054,4.50454,4.20054,4.50454,2130.8025324174528,0
CTS,D,20160111,000000,4.50454,4.50454,4.50454,4.50454,354.3515224614927,0
CTS,D,20160112,000000,4.50454,4.50454,4.50454,4.50454,712.2230931593579,0
CTS,D,20160203,000000,4.27937,4.27937,4.27937,4.27937,1.1733494121241481,0
CTS,D,20160216,000000,4.25688,4.25688,4.05412,4.05412,354.3515224614927,0
CTS,D,20160308,000000,3.94145,3.94145,3.94145,3.94145,1.1733494121241481,0
CTS,D,20160413,000000,4.07679,4.07679,4.07679,4.07679,283.95055773404385,0
CTS,D,20160414,000000,4.07679,4.37517,4.07679,4.37517,1267.21736509408,0
CTS,D,20160415,000000,4.50454,5.06771,4.50454,5.06771,782.6240578868069,0
CTS,D,20160418,000000,5.57447,6.19415,5.57447,6.19415,274.5637624370507,0
CTS,D,20160419,000000,6.19415,6.48648,5.26475,6.19415,1109.9885438694441,0
CTS,D,20160420,000000,6.75672,7.37683,5.63097,6.08097,2956.8405185528536,0
CTS,D,20160425,000000,5.56884,5.56884,5.56884,5.56884,157.22882122463585,0
CTS,D,20160426,000000,5.54626,5.95194,5.54626,5.95194,195.94935182473276,0
CTS,D,20160428,000000,4.67917,4.67917,4.67917,4.67917,288.64395538254047,0
CTS,D,20160429,000000,5.06771,5.06771,4.67917,5.06771,210.02954477022251,0
CTS,D,20160502,000000,5.34922,5.92355,5.34922,5.92355,71.57431413957305,0
CTS,D,20160504,000000,5.92355,5.92355,5.92355,5.92355,36.37383177584859,0
CTS,D,20160505,000000,6.19415,6.75672,6.19415,6.19415,1251.963822736466,0
CTS,D,20160506,000000,5.63097,6.19415,5.63097,6.19415,550.3008742862255,0
CTS,D,20160510,000000,5.35484,5.35484,5.35484,5.35484,17.600241181862224,0
CTS,D,20160511,000000,5.062,5.062,5.062,5.062,17.600241181862224,0
CTS,D,20160517,000000,5.062,5.062,5.062,5.062,1.1733494121241481,0
CTS,D,20160518,000000,5.062,5.062,4.57221,5.062,22.293638830358816,0
CTS,D,20160519,000000,5.062,5.062,4.56658,4.56658,52.80072354558667,0
CTS,D,20160520,000000,4.78612,4.78612,4.78612,4.78612,118.50829062453896,0
CTS,D,20160523,000000,5.062,5.062,5.062,5.062,17.600241181862224,0
CTS,D,20160530,000000,5.31666,5.31666,5.31666,5.31666,1.1733494121241481,0
CTS,D,20160601,000000,5.30481,5.30481,5.30481,5.30481,21.12028941823467,0
CTS,D,20160602,000000,5.3107,5.3107,5.3107,5.3107,1.1733494121241481,0
CTS,D,20160606,000000,4.78383,4.78383,4.78383,4.78383,41.067229424345186,0
CTS,D,20160607,000000,4.31014,4.31014,3.67665,3.68262,25476.935785451627,0
CTS,D,20160608,000000,3.84242,3.85427,3.68262,3.85427,66.88091649107645,0
CTS,D,20160609,000000,3.86611,4.24503,3.86611,4.24503,2200.030147732778,0
CTS,D,20160610,000000,4.44633,4.60017,4.2746,4.29233,31409.39041315132,0
CTS,D,20160613,000000,4.55883,4.77198,4.26284,4.26284,17600.241181862224,0
CTS,D,20160614,000000,4.36937,4.38113,4.36937,4.38113,362.56496834636175,0
CTS,D,20160615,000000,4.45809,4.46406,4.32199,4.32199,688.756104916875,0
CTS,D,20160616,000000,4.57655,4.57655,4.26872,4.26872,20349.398854469102,0
CTS,D,20160617,000000,4.55883,4.55883,4.38113,4.38113,2548.51492313365,0
CTS,D,20160620,000000,4.55883,4.55883,4.36937,4.36937,4207.630991877196,0
CTS,D,20160621,000000,4.38113,4.44037,4.28057,4.38113,11942.35031659958,0
CTS,D,20160622,000000,4.33384,4.41088,4.33384,4.41088,10804.201386839157,0
CTS,D,20160623,000000,4.41088,4.45222,4.36937,4.45222,13321.035875845453,0
CTS,D,20160624,000000,4.48187,4.48187,4.2746,4.2746,7602.130841152356,0
CTS,D,20160627,000000,4.2746,4.32199,4.2746,4.31014,6234.005426615599,0
CTS,D,20160628,000000,4.29233,4.60017,4.15613,4.35156,20386.946035657074,0
CTS,D,20160629,000000,4.55883,4.55883,4.44037,4.55883,7131.617726890573,0
CTS,D,20160630,000000,4.55883,4.73635,4.51144,4.73635,9966.429906582514,0
CTS,D,20160701,000000,4.73635,4.73635,4.26872,4.26872,9179.112451047211,0
CTS,D,20160704,000000,4.55295,4.55295,4.55295,4.55295,84.48115767293868,0
CTS,D,20160705,000000,3.84839,3.84839,3.84839,3.84839,125.54838709728385,0
CTS,D,20160706,000000,4.52926,4.52926,4.52926,4.52926,1689.6231534587735,0
CTS,D,20160707,000000,4.49959,4.49959,4.48767,4.48767,848.3316249657591,0
CTS,D,20160708,000000,4.48187,4.48187,4.4286,4.4286,2709.2637925946583,0
CTS,D,20160711,000000,4.48767,4.48767,4.48767,4.48767,1789.3578534893259,0
CTS,D,20160712,000000,4.5648,4.5648,4.5648,4.5648,1791.7045523135741,0
CTS,D,20160713,000000,4.65351,4.65351,4.65351,4.65351,1825.7316852651747,0
CTS,D,20160714,000000,4.67721,4.67721,4.67721,4.67721,1351.6985227670189,0
CTS,D,20160715,000000,4.73635,4.73635,4.73635,4.73635,170.13566475800147,0
CTS,D,20160718,000000,4.73635,4.73635,4.73635,4.73635,194.7760024126086,0
CTS,D,20160719,000000,4.80752,4.80752,4.80752,4.80752,858.8917696748765,0
CTS,D,20160720,000000,4.73635,4.73635,4.73635,4.73635,16.426891769738074,0
CTS,D,20160803,000000,4.36937,4.41676,4.36937,4.41676,12006.884534266408,0
CTS,D,20160804,000000,4.39306,4.43448,4.39306,4.43448,10994.283991603268,0
CTS,D,20160805,000000,4.40491,4.58243,4.40491,4.58243,8255.686463705506,0
CTS,D,20160808,000000,4.55883,4.61797,4.55883,4.61797,4163.043714216477,0
CTS,D,20160809,000000,4.61797,4.73635,4.61797,4.73048,3726.5577329062944,0
CTS,D,20160810,000000,4.67721,4.73635,4.67721,4.73635,7261.859511636353,0
CTS,D,20160811,000000,4.73635,4.8549,4.73635,4.84298,5275.378956910171,0
CTS,D,20160812,000000,4.84298,4.90809,4.76602,4.90809,7943.575520080483,0
CTS,D,20160816,000000,4.94362,4.94959,4.90809,4.90809,6549.636418476995,0
CTS,D,20160817,000000,4.92582,4.92582,4.73635,4.73635,12847.002713347298,0
CTS,D,20160818,000000,4.73635,4.87852,4.73635,4.87852,3250.17787158389,0
CTS,D,20160819,000000,4.87255,4.8844,4.74829,4.8844,9626.158577066511,0
CTS,D,20160822,000000,4.86667,4.92582,4.78971,4.8844,6932.148326829468,0
CTS,D,20160823,000000,4.87852,4.87852,4.71275,4.87852,8945.615918034506,0
CTS,D,20160824,000000,4.8844,4.8844,4.73635,4.82525,17829.04431722643,0
CTS,D,20160825,000000,4.78383,4.79559,4.69502,4.79559,8848.227916828202,0
CTS,D,20160826,000000,4.51144,4.51144,4.42263,4.42263,2650.5963219884507,0
CTS,D,20160829,000000,4.64176,4.73635,4.64176,4.73635,9694.212842969713,0
CTS,D,20160830,000000,4.79559,4.82525,4.73635,4.82525,16479.692493283663,0
CTS,D,20160831,000000,4.79559,4.86667,4.73635,4.86667,16218.035574379977,0
CTS,D,20160901,000000,4.8549,4.8844,4.79559,4.8844,11748.747663599095,0
CTS,D,20160902,000000,4.8844,4.94959,4.84298,4.92582,18076.621043184627,0
CTS,D,20160905,000000,4.91405,4.94362,4.7246,4.94362,22965.968043505953,0
CTS,D,20160906,000000,4.94362,4.94362,4.84298,4.90212,9143.911968683486,0
CTS,D,20160907,000000,4.90212,4.93178,4.79559,4.93178,8649.93186617922,0
CTS,D,20160908,000000,4.90212,4.91405,4.84298,4.91405,9984.030147764377,0
CTS,D,20160909,000000,4.94362,4.94362,4.89035,4.94362,13561.572505330905,0
CTS,D,20160912,000000,4.90212,4.92582,4.73635,4.92582,16291.956587343797,0
CTS,D,20160913,000000,4.91405,4.91405,4.8549,4.91405,10401.742538480572,0
CTS,D,20160914,000000,4.94362,4.94362,4.8549,4.91405,18636.30871276785,0
CTS,D,20160915,000000,4.89035,4.94362,4.84298,4.94362,8006.936388335187,0
CTS,D,20160916,000000,4.83113,4.94362,4.73635,4.91405,17562.69400067425,0
CTS,D,20160919,000000,4.91405,4.94959,4.86667,4.94959,7988.162797741201,0
CTS,D,20160920,000000,4.94362,5.00286,4.89035,5.00286,6394.754296076608,0
CTS,D,20160921,000000,5.00286,5.03243,4.92582,5.03243,8402.355140221025,0
CTS,D,20160922,000000,4.94959,5.03243,4.8844,5.03243,9617.945131181643,0
CTS,D,20160923,000000,5.03243,5.1509,4.91405,5.03243,21532.13506189024,0
CTS,D,20160926,000000,4.98513,5.1509,4.91405,5.1509,4975.001507406389,0
CTS,D,20160927,000000,4.82525,5.1509,4.82525,5.1509,6590.70364790134,0
CTS,D,20160928,000000,5.00882,5.1509,4.91405,5.1509,6900.467892702115,0
CTS,D,20160929,000000,5.02058,5.1509,4.94959,5.1509,8478.622852009095,0
CTS,D,20160930,000000,5.02655,5.03243,4.91405,5.03243,11806.24178479318,0
CTS,D,20161003,000000,4.84885,5.07991,4.73635,5.07991,22055.44889969761,0
CTS,D,20161004,000000,5.03243,5.12124,4.94959,5.12124,12463.3174555827,0
CTS,D,20161005,000000,5.09166,5.11536,4.84298,5.07394,26514.176665769377,0
CTS,D,20161006,000000,5.03243,5.07394,4.8549,4.86667,16618.14772391431,0
CTS,D,20161007,000000,5.04428,5.04428,4.90809,5.00882,15264.102502323043,0
CTS,D,20161010,000000,5.00286,5.04428,4.8549,5.04428,9156.818812216852,0
CTS,D,20161011,000000,4.99698,4.99698,4.8549,4.97328,12798.895387450208,0
CTS,D,20161012,000000,5.05612,5.062,4.92582,5.062,15372.050648238466,0
CTS,D,20161013,000000,5.05612,5.12124,4.94959,5.12124,16953.72565578182,0
CTS,D,20161014,000000,5.10351,5.10351,4.91405,5.05612,16925.565269890838,0
CTS,D,20161017,000000,4.82525,5.05612,4.82525,5.05612,12472.704250879695,0
CTS,D,20161018,000000,5.03243,5.05015,4.92582,5.05015,14242.115164362911,0
CTS,D,20161019,000000,5.05612,5.1509,4.97328,5.1509,15420.157974135554,0
CTS,D,20161020,000000,4.94959,5.18644,4.91994,5.18644,13757.521857155638,0
CTS,D,20161021,000000,5.14493,5.26331,5.04428,5.26331,12706.2007838924,0
CTS,D,20161024,000000,5.26331,5.3285,5.13905,5.26928,9705.946337090954,0
CTS,D,20161025,000000,5.26928,5.3285,5.09166,5.3285,16140.594513179782,0
CTS,D,20161026,000000,5.3285,5.50603,5.15678,5.50603,11109.272233991434,0
CTS,D,20161027,000000,5.56535,5.73111,5.3285,5.73111,12988.977992214319,0
CTS,D,20161028,000000,5.71338,5.92048,5.62441,5.92048,12727.321073310635,0
CTS,D,20161102,000000,5.62441,5.62441,5.62441,5.62441,996.1736508934017,0
CTS,D,20161103,000000,5.62441,5.62441,5.62441,5.62441,8783.693699161373,0
CTS,D,20161104,000000,5.62441,5.62441,5.62441,5.62441,6839.453723271659,0
CTS,D,20161107,000000,5.62441,5.62441,5.62441,5.62441,84.48115767293868,0
CTS,D,20161108,000000,5.61256,5.62441,5.50603,5.62441,10492.090443214132,0
CTS,D,20161109,000000,5.61256,5.62441,5.50603,5.62441,16629.881218035553,0
CTS,D,20161110,000000,5.62441,5.62441,5.512,5.62441,11930.61682247834,0
CTS,D,20161114,000000,5.62441,5.62441,5.43513,5.62441,11984.59089543605,0
CTS,D,20161115,000000,5.60668,5.62441,5.512,5.61256,5366.900211055854,0
CTS,D,20161116,000000,5.62441,5.62441,5.60668,5.60668,18748.950256331762,0
CTS,D,20161117,000000,5.57123,5.62441,5.51788,5.62441,5748.238769996202,0
CTS,D,20161118,000000,5.61853,5.77842,5.51788,5.77842,21374.90624066561,0
CTS,D,20161121,000000,5.77253,5.86134,5.63038,5.63038,11854.34911069027,0
CTS,D,20161122,000000,5.63634,5.68373,5.52393,5.68373,13229.51462169977,0
