<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBC,D,19941124,000000,4.68558,4.68558,4.68558,4.68558,214345.6190124781,0
DBC,D,19941125,000000,4.68558,4.68558,4.68558,4.68558,436108.4211767455,0
DBC,D,19941128,000000,5.14869,5.14869,5.14869,5.14869,0,0
DBC,D,19941129,000000,5.64509,5.64509,5.64509,5.64509,311671.4562125882,0
DBC,D,19941130,000000,6.17876,6.17876,6.17876,6.17876,298926.0372266083,0
DBC,D,19941201,000000,6.78052,6.78052,6.78052,6.78052,187371.3444101513,0
DBC,D,19941202,000000,6.88895,6.88895,6.88895,6.88895,396142.13368382055,0
DBC,D,19941205,000000,6.39223,6.39223,6.39223,6.39223,309581.2178274292,0
DBC,D,19941206,000000,6.56681,6.56681,6.56681,6.56681,274390.5892515603,0
DBC,D,19941207,000000,6.28364,6.28364,6.28364,6.28364,339235.7486914007,0
DBC,D,19941208,000000,5.68266,5.68266,5.68266,5.68266,763623.8585275159,0
DBC,D,19941209,000000,5.85771,5.85771,5.85771,5.85771,156600.04010383386,0
DBC,D,19941212,000000,6.42623,6.42623,6.42623,6.42623,263379.0740032349,0
DBC,D,19941213,000000,6.21221,6.21221,6.21221,6.21221,176920.15248434513,0
DBC,D,19941214,000000,5.8959,5.8959,5.8959,5.8959,83348.73975863267,0
DBC,D,19941215,000000,5.96699,5.96699,5.96699,5.96699,76145.87382236664,0
DBC,D,19941216,000000,6.35482,6.35482,6.35482,6.35482,103672.72534183507,0
DBC,D,19941219,000000,6.35482,6.35482,6.35482,6.35482,105181.98332346129,0
DBC,D,19941220,000000,6.10851,6.10851,6.10851,6.10851,57875.976732549774,0
DBC,D,19941221,000000,6.17876,6.17876,6.17876,6.17876,38755.26611844562,0
DBC,D,19941222,000000,6.21221,6.21221,6.21221,6.21221,59950.72230695,0
DBC,D,19941223,000000,6.32089,6.32089,6.32089,6.32089,66413.80652938205,0
DBC,D,19941227,000000,6.32089,6.32089,6.32089,6.32089,76409.25160530268,0
DBC,D,19941228,000000,6.07064,6.07064,6.07064,6.07064,42083.6382969171,0
DBC,D,19941229,000000,6.21221,6.21221,6.21221,6.21221,58273.62554208008,0
DBC,D,19950102,000000,6.56681,6.56681,6.56681,6.56681,124462.78631543157,0
DBC,D,19950103,000000,6.74675,6.74675,6.74675,6.74675,176332.7167429915,0
DBC,D,19950104,000000,6.56681,6.56681,6.56681,6.56681,75666.88775634249,0
DBC,D,19950105,000000,6.56681,6.56681,6.56681,6.56681,60746.01992601061,0
DBC,D,19950106,000000,6.25079,6.25079,6.25079,6.25079,97294.85157858917,0
DBC,D,19950109,000000,6.39223,6.39223,6.39223,6.39223,63297.169431309914,0
DBC,D,19950110,000000,6.39223,6.39223,6.39223,6.39223,87851.98341980662,0
DBC,D,19950111,000000,6.35482,6.35482,6.35482,6.35482,107154.73456035179,0
DBC,D,19950112,000000,6.17876,6.17876,6.17876,6.17876,65395.15422185107,0
DBC,D,19950113,000000,6.39223,6.39223,6.39223,6.39223,59303.89745768213,0
DBC,D,19950116,000000,6.5349,6.5349,6.5349,6.5349,171212.342786508,0
DBC,D,19950117,000000,6.39223,6.39223,6.39223,6.39223,106873.28183152851,0
DBC,D,19950118,000000,6.35482,6.35482,6.35482,6.35482,115413.69376348704,0
DBC,D,19950119,000000,6.35482,6.35482,6.35482,6.35482,23364.449695033214,0
DBC,D,19950120,000000,6.28364,6.28364,6.28364,6.28364,55377.76099735206,0
DBC,D,19950123,000000,6.07064,6.07064,6.07064,6.07064,107471.04611338708,0
DBC,D,19950124,000000,6.03772,6.03772,6.03772,6.03772,162533.78662526756,0
DBC,D,19950125,000000,6.03772,6.03772,6.03772,6.03772,48874.65368045434,0
DBC,D,19950126,000000,5.82518,5.82518,5.82518,5.82518,93772.8192656056,0
DBC,D,19950127,000000,5.53689,5.53689,5.53689,5.53689,33583.249459424216,0
DBC,D,19950130,000000,5.53689,5.53689,5.53689,5.53689,62287.554596722555,0
DBC,D,19950131,000000,5.29019,5.29019,5.29019,5.29019,59638.283956604675,0
DBC,D,19950201,000000,5.68266,5.68266,5.68266,5.68266,91539.27238090648,0
DBC,D,19950202,000000,5.53689,5.53689,5.53689,5.53689,99123.00324837807,0
DBC,D,19950203,000000,5.32405,5.32405,5.32405,5.32405,143082.56271493554,0
DBC,D,19950206,000000,5.7162,5.7162,5.7162,5.7162,21955.894983353006,0
DBC,D,19950207,000000,6.03772,6.03772,6.03772,6.03772,106036.67005043851,0
DBC,D,19950208,000000,6.03772,6.03772,6.03772,6.03772,229134.7979513443,0
DBC,D,19950209,000000,6.07064,6.07064,6.07064,6.07064,102448.79329172213,0
DBC,D,19950210,000000,6.03772,6.03772,6.03772,6.03772,155988.07407877795,0
DBC,D,19950213,000000,5.85771,5.85771,5.85771,5.85771,33886.650336825915,0
DBC,D,19950214,000000,6.03772,6.03772,6.03772,6.03772,80517.42859207376,0
DBC,D,19950215,000000,6.03772,6.03772,6.03772,6.03772,72649.66286065262,0
DBC,D,19950216,000000,6.03772,6.03772,6.03772,6.03772,56161.43900834162,0
DBC,D,19950217,000000,6.35482,6.35482,6.35482,6.35482,187172.52000538906,0
DBC,D,19950220,000000,6.32089,6.32089,6.32089,6.32089,201592.4536211137,0
DBC,D,19950221,000000,6.39223,6.39223,6.39223,6.39223,297619.4768524331,0
DBC,D,19950222,000000,6.17876,6.17876,6.17876,6.17876,204117.78177514818,0
DBC,D,19950223,000000,6.39223,6.39223,6.39223,6.39223,195985.34719322962,0
DBC,D,19950224,000000,6.74675,6.74675,6.74675,6.74675,237330.4948438765,0
DBC,D,19950227,000000,6.35482,6.35482,6.35482,6.35482,113761.12728232177,0
DBC,D,19950228,000000,6.25079,6.25079,6.25079,6.25079,35605.06126372519,0
DBC,D,19950301,000000,6.25079,6.25079,6.25079,6.25079,25523.11466105471,0
DBC,D,19950302,000000,6.39223,6.39223,6.39223,6.39223,54764.50390473129,0
DBC,D,19950303,000000,6.56681,6.56681,6.56681,6.56681,103683.05388234241,0
DBC,D,19950306,000000,6.56681,6.56681,6.56681,6.56681,35625.71834473988,0
DBC,D,19950307,000000,6.56681,6.56681,6.56681,6.56681,69573.04885704612,0
DBC,D,19950308,000000,6.56681,6.56681,6.56681,6.56681,41787.98382489651,0
DBC,D,19950309,000000,6.60492,6.60492,6.60492,6.60492,39062.54019853728,0
DBC,D,19950310,000000,6.56681,6.56681,6.56681,6.56681,119973.74439745373,0
DBC,D,19950313,000000,6.5349,6.5349,6.5349,6.5349,170685.58722063593,0
DBC,D,19950314,000000,6.56681,6.56681,6.56681,6.56681,75438.36879761843,0
DBC,D,19950315,000000,6.56681,6.56681,6.56681,6.56681,77035.41937355703,0
DBC,D,19950316,000000,6.49687,6.49687,6.49687,6.49687,18544.89448082396,0
DBC,D,19950317,000000,6.49687,6.49687,6.49687,6.49687,34472.79501061461,0
DBC,D,19950320,000000,6.49687,6.49687,6.49687,6.49687,29472.49033752688,0
DBC,D,19950321,000000,6.56681,6.56681,6.56681,6.56681,82669.63822027907,0
DBC,D,19950322,000000,6.49687,6.49687,6.49687,6.49687,38553.85957855363,0
DBC,D,19950323,000000,6.49687,6.49687,6.49687,6.49687,83958.1236485623,0
DBC,D,19950324,000000,6.49687,6.49687,6.49687,6.49687,43015.78907769941,0
DBC,D,19950327,000000,6.60492,6.60492,6.60492,6.60492,76699.74180706961,0
DBC,D,19950328,000000,6.56681,6.56681,6.56681,6.56681,68284.5634287629,0
DBC,D,19950329,000000,6.56681,6.56681,6.56681,6.56681,50470.41318882923,0
DBC,D,19950330,000000,6.63822,6.63822,6.63822,6.63822,50986.840214193966,0
DBC,D,19950331,000000,6.67618,6.67618,6.67618,6.67618,53034.47336976213,0
DBC,D,19950403,000000,6.67618,6.67618,6.67618,6.67618,40894.56507101614,0
DBC,D,19950404,000000,6.81785,6.81785,6.81785,6.81785,123298.24337322939,0
DBC,D,19950405,000000,6.92194,6.92194,6.92194,6.92194,71930.53822783336,0
DBC,D,19950406,000000,7.59837,7.59837,7.59837,7.59837,164913.22414463674,0
DBC,D,19950407,000000,8.34427,8.34427,8.34427,8.34427,231197.9239176688,0
DBC,D,19950410,000000,9.15911,9.15911,9.15911,9.15911,362770.6193048015,0
DBC,D,19950411,000000,9.51685,9.51685,9.51685,9.51685,283864.4430318613,0
DBC,D,19950412,000000,9.40928,9.40928,9.40928,9.40928,334802.2226786519,0
DBC,D,19950413,000000,9.30006,9.30006,9.30006,9.30006,414856.1580154531,0
DBC,D,19950414,000000,10.0475,10.0475,10.0475,10.0475,207608.82846661087,0
DBC,D,19950418,000000,11.0404,11.0404,11.0404,11.0404,112162.78563882061,0
DBC,D,19950419,000000,12.1419,12.1419,12.1419,12.1419,239737.04478206832,0
DBC,D,19950420,000000,12.4238,12.4238,12.4238,12.4238,267776.4501242045,0
DBC,D,19950421,000000,11.1815,11.1815,11.1815,11.1815,260152.69616226843,0
DBC,D,19950424,000000,12.2836,12.2836,12.2836,12.2836,199400.2208984416,0
DBC,D,19950425,000000,11.7152,11.7152,11.7152,11.7152,196008.58640936002,0
DBC,D,19950426,000000,10.5432,10.5432,10.5432,10.5432,254393.24376189458,0
DBC,D,19950427,000000,11.0404,11.0404,11.0404,11.0404,275229.7831677729,0
DBC,D,19950428,000000,10.6516,10.6516,10.6516,10.6516,170544.8608562231,0
DBC,D,19950504,000000,10.6516,10.6516,10.6516,10.6516,173311.6186446117,0
DBC,D,19950505,000000,10.6516,10.6516,10.6516,10.6516,117731.1600398051,0
DBC,D,19950509,000000,10.6516,10.6516,10.6516,10.6516,97262.57488950343,0
DBC,D,19950510,000000,10.8646,10.8646,10.8646,10.8646,87485.32023179835,0
DBC,D,19950511,000000,11.54,11.54,11.54,11.54,261157.14672660796,0
DBC,D,19950512,000000,11.7152,11.7152,11.7152,11.7152,209532.51913608276,0
DBC,D,19950515,000000,11.7152,11.7152,11.7152,11.7152,184955.75699901464,0
DBC,D,19950516,000000,11.4324,11.4324,11.4324,11.4324,124384.03119406046,0
DBC,D,19950517,000000,10.6516,10.6516,10.6516,10.6516,74779.92434027951,0
DBC,D,19950518,000000,9.94131,9.94131,9.94131,9.94131,111453.98954650752,0
DBC,D,19950519,000000,10.2961,10.2961,10.2961,10.2961,128059.70054708808,0
DBC,D,19950522,000000,9.94131,9.94131,9.94131,9.94131,116840.32342105568,0
DBC,D,19950523,000000,9.94131,9.94131,9.94131,9.94131,190422.1370624859,0
DBC,D,19950524,000000,10.6516,10.6516,10.6516,10.6516,58631.25125714474,0
DBC,D,19950525,000000,11.54,11.54,11.54,11.54,215661.21685959812,0
DBC,D,19950526,000000,11.1118,11.1118,11.1118,11.1118,199183.32154778976,0
