<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEK,D,20150108,000000,12.253,12.4168,11.6896,11.8859,2321.837575129459,0
DEK,D,20150109,000000,11.6321,11.7959,11.5507,11.5996,1243.1335284219,0
DEK,D,20150112,000000,11.8696,11.8696,11.681,11.7634,1262.9583595505796,0
DEK,D,20150113,000000,11.6896,11.6896,11.6896,11.6896,69.96999221886867,0
DEK,D,20150114,000000,11.6896,11.6896,11.681,11.681,248.3934723769838,0
DEK,D,20150116,000000,11.7556,11.8457,11.7556,11.8457,330.0251299656639,0
DEK,D,20150119,000000,11.7145,11.7145,11.7059,11.7059,122.44748638302019,0
DEK,D,20150121,000000,11.681,11.8859,11.681,11.8859,188.91897899094542,0
DEK,D,20150127,000000,11.8457,11.8457,11.8457,11.8457,61.80682646000066,0
DEK,D,20150130,000000,11.453,11.453,11.453,11.453,170.2603143992471,0
DEK,D,20150203,000000,11.453,11.453,11.453,11.453,1.1661665369811447,0
DEK,D,20150205,000000,11.453,11.453,11.453,11.453,23.323330739622897,0
DEK,D,20150206,000000,12.4082,12.4082,12.4082,12.4082,1.1661665369811447,0
DEK,D,20150211,000000,11.2076,11.7634,11.2076,11.7634,361.5116264641548,0
DEK,D,20150212,000000,11.8037,11.8037,11.7634,11.8037,569.0892700467986,0
DEK,D,20150213,000000,11.8037,11.8037,11.8037,11.8037,102.62265525434071,0
DEK,D,20150217,000000,11.8037,11.8037,11.8037,11.8037,574.9201027317042,0
DEK,D,20150218,000000,12.0815,12.1552,12.0815,12.1552,660.0502599313278,0
DEK,D,20150219,000000,12.0901,12.1886,12.0497,12.1715,1163.8342039071822,0
DEK,D,20150220,000000,12.1715,12.1715,12.0086,12.1552,201.74681089773802,0
DEK,D,20150223,000000,12.1715,12.2213,12.1715,12.2213,389.49962335170227,0
DEK,D,20150224,000000,12.0901,12.2213,12.0901,12.2213,207.57764358264376,0
DEK,D,20150226,000000,12.0901,12.2213,12.0901,12.2213,8.163165758868011,0
DEK,D,20150227,000000,12.2041,12.4082,12.2041,12.4082,2149.2449276562493,0
DEK,D,20150302,000000,12.367,12.367,12.367,12.367,501.4516109018922,0
DEK,D,20150303,000000,12.4005,12.5805,12.367,12.5805,6862.890070134036,0
DEK,D,20150304,000000,12.5805,13.1516,12.5805,13.1516,1180.1605354249182,0
DEK,D,20150305,000000,13.3977,14.2878,13.3977,14.2878,4078.0843798230626,0
DEK,D,20150306,000000,13.8874,15.0956,13.8463,15.0956,2341.6624062581386,0
DEK,D,20150309,000000,15.0956,16.2404,15.0313,15.5132,726.521752539253,0
DEK,D,20150310,000000,15.9214,15.9291,15.2354,15.8476,860.6309042920848,0
DEK,D,20150311,000000,15.2757,15.9291,15.2757,15.9214,25961.19944627424,0
DEK,D,20150312,000000,15.7662,15.7662,15.5209,15.6847,8.163165758868011,0
DEK,D,20150313,000000,15.6436,16.3304,15.1531,16.0114,9166.068980671796,0
DEK,D,20150316,000000,15.2594,15.8073,15.2594,15.8073,123.61365292000131,0
DEK,D,20150317,000000,15.8974,15.8974,15.5697,15.7902,6143.365316816669,0
DEK,D,20150318,000000,15.6847,15.8974,15.5783,15.84,1170.8312031290693,0
DEK,D,20150319,000000,15.8974,16.297,15.6847,15.8476,8172.495091163862,0
DEK,D,20150320,000000,16.2644,16.2644,15.6024,15.9291,29.154163424528615,0
DEK,D,20150323,000000,16.2644,16.2644,15.611,15.9291,38.483495720377775,0
DEK,D,20150324,000000,15.9291,16.0114,15.6925,16.0114,712.5277540954793,0
DEK,D,20150325,000000,16.0114,16.0114,15.5459,15.6847,872.2925696618961,0
