<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGA,D,20040420,000000,46.8393,49.3308,46.8393,48.5714,111112.44605835763,0
DGA,D,20040421,000000,48.0847,49.2224,47.6512,48.4097,33389.91767486959,0
DGA,D,20040422,000000,48.4097,48.4097,47.0018,47.0018,16224.662190266608,0
DGA,D,20040423,000000,46.8393,47.0018,46.2434,46.4059,9371.60472094535,0
DGA,D,20040426,000000,46.2434,46.2434,45.594,45.7564,7170.021389675643,0
DGA,D,20040427,000000,46.5693,46.5693,44.8363,45.7564,4036.9989567149396,0
DGA,D,20040428,000000,45.594,45.594,44.8363,45.1604,3389.339827037838,0
DGA,D,20040429,000000,44.998,45.2688,43.7527,44.0236,5681.320810682928,0
DGA,D,20040430,000000,43.2659,43.7527,42.9407,43.7527,5683.609358844403,0
DGA,D,20040504,000000,44.5103,44.5103,43.7527,44.5103,3276.0566930484383,0
DGA,D,20040505,000000,43.7527,43.7527,43.1033,43.7527,6187.089954352981,0
DGA,D,20040506,000000,43.7527,44.0236,43.1033,43.2659,1492.133401234771,0
DGA,D,20040507,000000,43.4275,43.8618,43.4275,43.8618,3550.682472416745,0
DGA,D,20040510,000000,43.7527,43.7527,42.9407,43.2659,2818.34706076779,0
DGA,D,20040511,000000,43.2659,43.7527,43.2659,43.7527,1946.41021127326,0
DGA,D,20040512,000000,43.7527,44.3478,43.7527,44.3478,505.7691436700632,0
DGA,D,20040513,000000,44.0236,44.0236,43.1033,43.1033,1648.8989502908335,0
DGA,D,20040514,000000,42.9407,43.7527,42.9407,43.7527,360.44633542097824,0
DGA,D,20040517,000000,43.4275,43.4275,42.9407,43.4275,2042.5292340521723,0
DGA,D,20040518,000000,43.4275,43.4275,42.9407,42.9407,217.41207533328475,0
DGA,D,20040519,000000,43.4275,43.4275,43.2659,43.2659,924.5734572068105,0
DGA,D,20040520,000000,43.1033,43.4275,42.9407,42.9407,704.8728337121241,0
DGA,D,20040521,000000,42.5073,42.5073,41.3704,42.5073,2105.464308490796,0
DGA,D,20040524,000000,43.4275,43.4275,42.7774,42.7774,538.9530920104033,0
DGA,D,20040525,000000,42.7774,43.2659,41.6946,41.6946,458.85390636130273,0
DGA,D,20040526,000000,42.183,42.9407,42.183,42.6156,195.67086779995316,0
DGA,D,20040527,000000,41.6946,43.1033,41.6946,43.1033,501.1920473472598,0
DGA,D,20040528,000000,42.183,42.6156,42.183,42.183,226.56626797890178,0
DGA,D,20040531,000000,41.6946,42.3438,41.3704,41.3704,511.49051407357257,0
DGA,D,20040601,000000,41.3704,42.183,41.3704,42.183,146.46708232979094,0
DGA,D,20040602,000000,42.5073,42.5073,42.183,42.183,332.98375748413724,0
DGA,D,20040603,000000,42.7774,43.1033,42.183,43.1033,1217.5076218663614,0
DGA,D,20040604,000000,43.2659,43.2659,43.2659,43.2659,72.08926708419463,0
DGA,D,20040607,000000,43.4275,43.4275,42.5073,42.9407,883.3795903015593,0
DGA,D,20040608,000000,42.5073,43.1033,42.5073,43.1033,1384.5716376487985,0
DGA,D,20040609,000000,43.1033,43.591,42.9407,43.1033,4573.66350056391,0
DGA,D,20040611,000000,43.1033,43.8618,43.1033,43.7527,4788.787027735753,0
DGA,D,20040614,000000,43.4275,44.0236,43.4275,44.0236,1676.3615282276949,0
DGA,D,20040615,000000,44.0236,45.594,44.0236,44.8363,8492.802226966503,0
DGA,D,20040616,000000,44.998,45.4314,44.5103,44.998,2031.0864932452153,0
DGA,D,20040617,000000,44.5103,44.6728,44.5103,44.6728,2164.966560687261,0
DGA,D,20040618,000000,44.5103,44.998,44.5103,44.998,1975.0170632908068,0
DGA,D,20040621,000000,45.2688,45.4314,45.1604,45.4314,2005.9124634697246,0
DGA,D,20040622,000000,45.594,45.7564,45.594,45.594,1521.8845273330035,0
DGA,D,20040623,000000,44.0236,46.0808,44.0236,45.919,1640.8890317259327,0
DGA,D,20040625,000000,45.919,46.4059,45.7564,46.4059,2773.7203716204417,0
DGA,D,20040628,000000,46.4059,46.4059,46.4059,46.4059,28.606852017537676,0
DGA,D,20040629,000000,45.4314,46.4059,45.4314,46.2434,738.0567820524743,0
DGA,D,20040630,000000,46.2434,46.2434,45.594,46.2434,2170.6879310907907,0
DGA,D,20040701,000000,45.594,45.919,45.594,45.919,167.0640157824165,0
DGA,D,20040702,000000,45.594,45.7564,45.594,45.7564,457.7096322805967,0
