<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIA,D,20250207,000000,119.962,128.928,119.962,124.282,4056179.7265193327,0
DIA,D,20250210,000000,125.219,125.888,123.365,123.557,587372.8093495413,0
DIA,D,20250211,000000,124.168,125.009,123.403,124.646,153232.64730189237,0
DIA,D,20250212,000000,124.417,124.55,123.308,124.072,242491.33651543944,0
DIA,D,20250213,000000,124.264,124.435,123.748,124.072,133281.2588584845,0
DIA,D,20250214,000000,124.264,124.264,122.352,123.308,136592.36705540057,0
DIA,D,20250217,000000,123.308,123.308,119.427,119.484,260565.90723206452,0
DIA,D,20250218,000000,120.326,121.759,119.484,121.243,91584.31117934309,0
DIA,D,20250219,000000,121.817,124.78,120.459,122.83,366301.67515064403,0
DIA,D,20250220,000000,122.715,123.212,121.588,121.588,43166.807716003044,0
DIA,D,20250221,000000,122.715,123.939,120.918,121.588,49406.12818564199,0
DIA,D,20250224,000000,121.588,122.734,120.019,121.874,65209.47745029087,0
DIA,D,20250225,000000,121.874,121.874,119.006,119.312,70798.08408154694,0
DIA,D,20250226,000000,119.484,121.357,119.484,120.841,96464.6649672146,0
DIA,D,20250227,000000,120.879,120.879,119.503,119.523,46823.14994292929,0
DIA,D,20250228,000000,119.503,120.057,118.643,120.057,188806.39868512555,0
DIA,D,20250303,000000,120.096,122.237,119.503,122.237,24537.77022390702,0
DIA,D,20250304,000000,122.237,123.804,118.566,119.274,70855.62308654864,0
DIA,D,20250305,000000,119.503,121.874,119.197,121.74,115109.39491522018,0
DIA,D,20250306,000000,121.74,122.257,120.631,121.874,59960.87403040848,0
DIA,D,20250307,000000,122.199,122.199,119.064,119.828,84536.30614849844,0
DIA,D,20250310,000000,120.23,121.453,117.381,120.918,127509.57357495031,0
DIA,D,20250311,000000,119.828,120.593,118.261,119.771,73345.49275753132,0
DIA,D,20250312,000000,119.81,123.231,119.81,122.83,90394.82302139886,0
DIA,D,20250313,000000,122.83,146.23,122.504,136.69,282678.6699360817,0
DIA,D,20250314,000000,136.116,139.252,128.68,129.042,150440.43631371894,0
DIA,D,20250317,000000,129.865,131.127,127.762,130.458,66104.99360086278,0
DIA,D,20250318,000000,133.784,135.198,131.051,133.402,105911.52342476654,0
DIA,D,20250319,000000,133.822,134.262,129.808,133.918,57846.577137527805,0
DIA,D,20250320,000000,133.822,134.243,130.209,130.209,58176.11871162846,0
DIA,D,20250321,000000,129.999,131.777,128.087,128.565,77845.04294866431,0
DIA,D,20250324,000000,128.66,129.884,125.812,126.099,49395.66654836896,0
DIA,D,20250325,000000,127.131,129.521,125.773,128.373,73600.75670699342,0
DIA,D,20250326,000000,130.477,131.815,127.724,129.999,163652.4380258367,0
DIA,D,20250327,000000,130.342,130.342,127.896,128.851,38402.578101862244,0
DIA,D,20250328,000000,129.081,129.081,126.673,128.011,23811.73259715829,0
DIA,D,20250331,000000,128.565,128.851,126.386,127.609,30698.628413998194,0
DIA,D,20250401,000000,131.242,131.911,128.182,129.712,63283.49002832486,0
DIA,D,20250402,000000,130.286,133.631,129.042,132.866,247470.0296936775,0
DIA,D,20250403,000000,131.911,132.58,129.999,130.955,138425.24590563655,0
DIA,D,20250404,000000,130.955,131.337,126.223,127.8,201919.01484314943,0
DIA,D,20250407,000000,124.311,126.366,120.583,123.595,89709.58578001497,0
DIA,D,20250408,000000,125.506,129.617,124.933,129.617,69605.4574324208,0
DIA,D,20250409,000000,127.704,129.904,126.653,126.701,77153.5287249166,0
DIA,D,20250410,000000,131.72,132.102,128.469,129.617,99637.67955212656,0
DIA,D,20250411,000000,129.999,131.481,128.087,129.999,169767.2650119265,0
DIA,D,20250414,000000,130.668,134.205,130.62,133.822,60160.691302323474,0
DIA,D,20250415,000000,133.87,137.645,133.87,135.399,75310.18823740758,0
DIA,D,20250416,000000,135.113,141.469,133.822,141.469,123128.23988500264,0
DIA,D,20250417,000000,140.991,143.19,140.561,141.66,101096.03178798786,0
DIA,D,20250422,000000,141.899,142.807,138.793,140.179,43382.3174438276,0
DIA,D,20250423,000000,142.425,145.101,138.841,145.101,92186.90148627,0
DIA,D,20250424,000000,145.101,145.101,141.183,141.947,87397.5639426739,0
DIA,D,20250425,000000,142.425,146.057,142.234,145.292,43278.747234824536,0
DIA,D,20250428,000000,145.292,145.961,143.524,144.432,26974.28554479721,0
DIA,D,20250429,000000,145.627,147.874,144.91,147.874,30362.80985753372,0
DIA,D,20250430,000000,148.017,149.546,144.098,145.149,50977.466104052066,0
DIA,D,20250502,000000,147.109,154.277,146.631,151.984,37922.38895102987,0
DIA,D,20250505,000000,151.984,156.763,150.168,156.763,105625.92072721262,0
DIA,D,20250506,000000,156.763,160.586,156.286,159.153,147855.3657435516,0
DIA,D,20250507,000000,160.252,164.411,160.156,162.498,99270.47608384298,0
DIA,D,20250508,000000,162.594,165.366,160.586,162.498,109246.69338741055,0
DIA,D,20250509,000000,162.498,164.172,159.105,162.641,88866.37781580823,0
DIA,D,20250512,000000,163.455,167.23,163.264,164.219,53998.786948504996,0
DIA,D,20250513,000000,165.94,165.94,160.586,163.407,81166.6127828534,0
DIA,D,20250514,000000,162.977,169.954,162.977,168.234,93733.13147522479,0
DIA,D,20250515,000000,168.234,168.998,164.888,165.318,62075.170923289144,0
DIA,D,20250516,000000,165.366,166.513,159.631,161.447,128197.9493075161,0
DIA,D,20250519,000000,162.498,165.366,158.866,162.785,55537.693791368656,0
DIA,D,20250520,000000,164.888,166.704,163.694,163.694,39042.83030297208,0
DIA,D,20250521,000000,163.837,165.366,160.921,161.447,39079.446033427696,0
DIA,D,20250522,000000,162.498,164.172,162.068,163.55,46938.22795293269,0
DIA,D,20250523,000000,162.785,165.366,161.112,161.59,39249.9707209782,0
DIA,D,20250526,000000,161.542,164.554,161.399,163.455,50457.52273158216,0
DIA,D,20250527,000000,164.411,164.411,162.211,162.45,69807.36703179039,0
DIA,D,20250528,000000,164.411,165.605,162.689,163.598,72666.53249851127,0
DIA,D,20250529,000000,164.363,167.373,160.682,161.542,207625.8379755908,0
DIA,D,20250530,000000,163.455,164.315,160.156,161.303,470267.3340426258,0
DIA,D,20250602,000000,160.204,161.399,157.719,158.627,33604.87124844772,0
DIA,D,20250603,000000,160.822,160.919,154.238,155.067,72671.380976457,0
DIA,D,20250604,000000,156.043,157.993,151.947,153.117,62347.028815552505,0
DIA,D,20250605,000000,153.117,153.117,149.655,151.166,54142.0962510915,0
DIA,D,20250606,000000,151.166,155.263,150.045,153.507,50676.3786720015,0
DIA,D,20250609,000000,154.092,154.531,151.02,152.483,26377.391929612502,0
DIA,D,20250610,000000,153.117,158.627,151.166,158.627,63838.92795093,0
DIA,D,20250611,000000,158.237,158.969,155.555,158.773,49036.827663432,0
DIA,D,20250612,000000,158.822,160.334,156.482,156.482,23519.712967209,0
DIA,D,20250613,000000,156.482,160.919,155.555,158.676,33621.561958095,0
DIA,D,20250616,000000,158.481,160.87,156.043,156.043,40715.004032694,0
DIA,D,20250617,000000,156.043,158.237,155.067,155.994,47544.9285280545,0
DIA,D,20250618,000000,155.896,156.091,153.848,154.385,16297.075503567,0
DIA,D,20250620,000000,154.092,159.407,154.092,158.481,60253.243224871505,0
DIA,D,20250623,000000,158.286,158.676,153.263,153.995,24470.2219008825,0
DIA,D,20250624,000000,155.165,161.504,155.165,159.944,68476.6322734815,0
DIA,D,20250625,000000,160.431,161.163,158.237,158.725,17052.7659934455,0
DIA,D,20250626,000000,160.822,164.918,158.383,162.87,70990.8155586675,0
DIA,D,20250627,000000,164.235,165.795,160.773,165.6,37640.974061655004,0
DIA,D,20250630,000000,166.771,167.258,161.455,163.065,147158.6749211295,0
DIA,D,20250701,000000,161.065,165.113,161.017,163.308,16991.244379615502,0
DIA,D,20250702,000000,163.308,163.796,157.311,162.041,33794.8478370495,0
DIA,D,20250703,000000,162.528,163.065,159.944,163.065,24549.174638631,0
DIA,D,20250704,000000,163.552,163.552,160.529,161.212,63179.6213227185,0
DIA,D,20250707,000000,162.284,162.382,157.554,157.944,16803.603457434,0
DIA,D,20250708,000000,157.603,159.505,157.067,157.359,14187.9095094285,0
DIA,D,20250709,000000,157.359,162.577,157.262,160.919,45783.3596520555,0
DIA,D,20250710,000000,161.797,163.113,157.847,159.7,27199.7308344735,0
DIA,D,20250711,000000,159.164,160.724,155.945,157.018,25179.7711803885,0
DIA,D,20250714,000000,156.969,157.408,154.824,155.653,58889.5141183065,0
DIA,D,20250715,000000,155.653,159.407,155.604,157.944,54999.297403789504,0
DIA,D,20250716,000000,158.091,159.31,156.189,159.115,17432.1492787305,0
DIA,D,20250717,000000,159.407,166.185,158.773,165.113,40814.4639750525,0
DIA,D,20250718,000000,165.308,168.087,163.942,167.697,65068.3348672995,0
DIA,D,20250721,000000,167.746,168.721,166.429,167.941,22366.1827078965,0
DIA,D,20250722,000000,167.941,169.111,165.795,165.795,38264.393081799004,0
DIA,D,20250723,000000,165.795,169.111,164.82,168.331,19108.613255598,0
DIA,D,20250724,000000,167.941,168.331,165.893,167.941,27056.1804022035,0
DIA,D,20250725,000000,167.746,174.378,166.088,172.622,45874.61671257,0
DIA,D,20250728,000000,173.598,174.378,169.843,172.135,60667.4887579935,0
DIA,D,20250729,000000,172.135,177.499,171.647,175.743,100091.564260488,0
DIA,D,20250730,000000,175.548,177.304,174.67,176.133,37259.540055909,0
DIA,D,20250731,000000,177.108,181.253,175.304,178.718,122544.902587977,0
DIA,D,20250801,000000,179.644,181.01,175.841,180.132,63962.9965388205,0
DIA,D,20250804,000000,181.595,184.277,177.742,180.229,82013.4380365425,0
DIA,D,20250805,000000,180.912,182.863,179.547,181.595,24061.103168913,0
DIA,D,20250806,000000,182.375,183.789,180.132,183.058,43833.1244936445,0
DIA,D,20250807,000000,183.838,184.325,181.448,183.35,52959.855905325,0
DIA,D,20250808,000000,184.325,190.47,183.35,189.202,87522.698555019,0
DIA,D,20250811,000000,190.177,192.42,187.398,190.47,143144.389618722,0
DIA,D,20250812,000000,190.665,194.078,187.788,194.078,97581.482416224,0
DIA,D,20250813,000000,194.371,198.759,194.078,194.858,123386.7233372175,0
DIA,D,20250814,000000,195.541,198.077,193.054,198.077,66694.55619287251,0
DIA,D,20250818,000000,198.369,203.831,198.369,201.198,55356.1227640035,0
DIA,D,20250819,000000,202.856,202.856,186.471,199.052,113626.319303088,0
DIA,D,20250820,000000,199.052,200.905,194.615,199.247,46064.3083552125,0
DIA,D,20250821,000000,198.954,202.563,198.954,200.125,24960.3440910615,0
DIA,D,20250822,000000,200.125,200.417,193.688,198.857,54686.562533487,0
DIA,D,20250825,000000,198.662,198.759,192.079,192.079,53621.2132539975,0
DIA,D,20250826,000000,191.786,198.759,190.86,198.759,97814.23918854751,0
DIA,D,20250827,000000,199.052,199.442,195.444,196.906,16083.800575623,0
DIA,D,20250828,000000,198.369,200.417,196.419,198.759,52950.6276632505,0
DIA,D,20250829,000000,200.807,200.807,196.711,197.492,23502.2818432905,0
DIA,D,20250901,000000,198.564,199.93,196.711,197.784,35031.4322750325,0
DIA,D,20250902,000000,198.857,198.857,193.103,195.151,35361.5982692535,0
DIA,D,20250903,000000,197.687,197.687,194.663,197.394,47676.1746375585,0
DIA,D,20250904,000000,197.394,197.687,194.078,196.029,56243.059363386004,0
DIA,D,20250905,000000,198.954,200.905,195.053,196.321,25476.100287003,0
DIA,D,20250908,000000,198.662,212.413,198.174,205.781,94070.648986992,0
DIA,D,20250909,000000,208.024,211.243,205.976,209.877,99479.4242028795,0
DIA,D,20250910,000000,208.317,209.585,203.538,206.757,46662.093369594004,0
DIA,D,20250911,000000,206.757,213.291,206.659,208.707,68276.687028534,0
DIA,D,20250912,000000,210.56,214.461,208.22,211.34,124792.49221323301,0
DIA,D,20250915,000000,211.243,211.243,200.125,200.32,59639.052446802,0
DIA,D,20250916,000000,201.588,205.196,201.588,203.051,68711.439766266,0
DIA,D,20250917,000000,205.196,208.122,203.148,208.024,33156.048413448,0
DIA,D,20250918,000000,208.707,211.926,205.879,210.658,43587.0380383245,0
DIA,D,20250919,000000,211.633,211.633,201.295,204.318,243423.5948013915,0
DIA,D,20250922,000000,206.757,209.292,202.368,209.292,22808.112967242,0
DIA,D,20250923,000000,209.682,209.975,202.465,202.465,27042.850719207,0
DIA,D,20250924,000000,204.806,207.342,202.563,204.709,30372.195387640502,0
DIA,D,20250925,000000,203.051,204.513,199.15,199.15,28329.6778084845,0
DIA,D,20250926,000000,198.954,200.027,197.492,200.027,14900.534869626,0
DIA,D,20250929,000000,201.88,201.88,193.005,197.199,25650.411526188,0
DIA,D,20250930,000000,197.004,197.882,184.716,185.496,124921.687602276,0
DIA,D,20251001,000000,186.276,190.811,185.252,187.251,43786.983283272,0
DIA,D,20251002,000000,187.69,189.933,182.472,186.861,29857.4645519295,0
DIA,D,20251003,000000,187.446,188.178,183.399,185.691,22186.744667559,0
DIA,D,20251006,000000,185.447,186.471,180.229,182.082,28651.6409208615,0
DIA,D,20251007,000000,182.814,185.203,179.108,181.985,48797.918729725505,0
DIA,D,20251008,000000,181.985,184.325,176.036,180.424,37737.357923322,0
DIA,D,20251009,000000,177.499,182.472,174.573,175.548,81049.5994198725,0
DIA,D,20251010,000000,175.548,178.328,174.817,176.523,59884.1135418915,0
DIA,D,20251013,000000,176.475,178.864,174.183,176.523,48912.7590755415,0
DIA,D,20251014,000000,175.792,176.036,171.647,173.598,65004.7625330085,0
DIA,D,20251015,000000,173.451,178.474,173.402,175.548,93409.2916383195,0
DIA,D,20251016,000000,176.913,177.986,173.402,175.548,127415.36368285201,0
DIA,D,20251017,000000,176.426,184.228,175.987,180.424,119947.6651241205,0
