<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIG,D,20101130,000000,9.89856,9.89856,8.92474,9.17688,42228.09888774098,0
DIG,D,20101201,000000,9.21002,9.21002,8.26051,8.63388,17289.699565113726,0
DIG,D,20101202,000000,8.37527,8.77772,8.3292,8.4383,83462.5226573327,0
DIG,D,20101203,000000,8.63388,8.63388,8.31789,8.57083,13759.244880082186,0
DIG,D,20101206,000000,8.36396,8.37527,8.3292,8.34698,6268.939163818202,0
DIG,D,20101207,000000,8.3292,8.34698,8.2896,8.34698,1285.7141317029677,0
DIG,D,20101208,000000,8.2896,8.43264,8.07061,8.34698,6695.860603122848,0
DIG,D,20101209,000000,8.16838,8.30657,8.11586,8.30657,3644.300402180128,0
DIG,D,20101210,000000,8.11586,8.14495,8.10455,8.14495,4402.859365350406,0
DIG,D,20101213,000000,8.19748,8.49083,8.19748,8.49083,6709.472591042739,0
DIG,D,20101214,000000,8.57649,8.61691,8.57649,8.59992,8289.700643193497,0
DIG,D,20101215,000000,8.25405,8.59992,8.25405,8.59992,12146.843038301857,0
DIG,D,20101216,000000,8.55951,8.59992,8.55951,8.59992,15298.636968473273,0
DIG,D,20101217,000000,8.59992,9.45738,8.59992,9.45092,13790.181216263902,0
DIG,D,20101220,000000,9.73377,9.73377,8.81895,8.81895,1708.9232106657857,0
DIG,D,20101221,000000,9.54946,9.54946,8.59992,8.81895,19580.22589599176,0
DIG,D,20101222,000000,8.83591,8.83591,8.40437,8.80113,1711.3981175603012,0
DIG,D,20101223,000000,8.3979,8.62337,8.21445,8.52477,6720.6096720681135,0
DIG,D,20101227,000000,8.46738,8.69208,8.46738,8.52477,1742.3344537418004,0
DIG,D,20101228,000000,8.5191,8.5191,8.5191,8.5191,14210.915388331552,0
DIG,D,20101229,000000,8.5191,8.77041,8.5191,8.63465,631.1012581025077,0
DIG,D,20101230,000000,8.77686,8.80113,8.63465,8.80113,456.62032203887605,0
DIG,D,20101231,000000,8.80759,8.80759,8.74621,8.80759,13015.535358279109,0
DIG,D,20110103,000000,9.31352,9.31352,8.63388,8.64034,3280.489088685793,0
DIG,D,20110104,000000,8.74862,8.74862,8.52477,8.52477,10665.611261932374,0
DIG,D,20110105,000000,8.74458,8.74458,8.43264,8.59427,4027.910970830696,0
DIG,D,20110107,000000,8.59992,8.59992,8.37527,8.59427,8730.23407041803,0
DIG,D,20110110,000000,8.59992,8.59992,8.30657,8.5191,4067.509481143054,0
DIG,D,20110111,000000,8.59992,8.6282,8.34698,8.59992,10158.255348555807,0
DIG,D,20110112,000000,8.57649,8.57649,8.57083,8.57083,127.45770506775933,0
DIG,D,20110113,000000,8.59427,8.59427,8.59427,8.59427,1.2374534472598593,0
DIG,D,20110114,000000,8.5191,8.60557,8.38658,8.57649,3693.7985400705484,0
DIG,D,20110117,000000,8.61691,8.80682,8.57649,8.67993,6254.089722451109,0
DIG,D,20110118,000000,8.79545,8.79545,8.79545,8.79545,58.16031202121089,0
DIG,D,20110119,000000,8.79545,8.79545,8.58295,8.58295,183.1431101944579,0
DIG,D,20110120,000000,8.79545,8.80682,8.60557,8.79545,5707.135298762294,0
DIG,D,20110121,000000,8.79545,9.14133,8.34698,9.14133,5989.2746847375065,0
DIG,D,20110124,000000,9.12919,9.12919,8.74862,9.07754,222.74162050676165,0
DIG,D,20110125,000000,9.06618,9.06618,8.4383,8.53042,14283.925141719708,0
DIG,D,20110126,000000,8.40921,8.87628,8.1797,8.1797,2481.0941617559533,0
DIG,D,20110127,000000,8.57649,8.57649,8.26051,8.26051,1757.183895108894,0
DIG,D,20110128,000000,8.80682,8.80682,8.20799,8.80113,3596.0397177370196,0
DIG,D,20110131,000000,8.70902,8.70902,8.63465,8.63465,8753.745685915985,0
DIG,D,20110201,000000,8.63388,8.63388,8.63388,8.63388,2.4749068945196107,0
DIG,D,20110202,000000,8.6282,8.63388,8.51345,8.62337,10249.826903653102,0
DIG,D,20110203,000000,8.63388,8.69208,8.46173,8.69208,4783.995027106459,0
DIG,D,20110204,000000,8.66297,8.66297,8.46173,8.46173,33.41124307601479,0
DIG,D,20110207,000000,8.63388,8.63388,8.63388,8.63388,6320.912208603139,0
DIG,D,20110208,000000,8.62337,8.74862,8.46173,8.63388,13852.05388862625,0
DIG,D,20110209,000000,8.63388,8.63388,8.63388,8.63388,5350.748705951398,0
DIG,D,20110210,000000,8.6282,8.65652,8.34698,8.6282,11734.77104036539,0
DIG,D,20110211,000000,8.6282,8.6282,8.62337,8.62337,452.9079616970918,0
DIG,D,20110214,000000,8.6282,8.86415,8.60557,8.60557,5494.2933058336275,0
DIG,D,20110215,000000,8.69208,8.86415,8.69208,8.80682,5842.0177245135565,0
DIG,D,20110216,000000,8.80682,8.97976,8.80682,8.86415,7890.003179728631,0
DIG,D,20110217,000000,8.96839,9.07754,8.86415,8.86415,6318.437301708624,0
DIG,D,20110218,000000,9.06058,9.07754,8.86415,8.86415,6135.294191514144,0
DIG,D,20110221,000000,8.92234,9.17533,8.89893,9.09528,4960.950870064595,0
DIG,D,20110222,000000,9.17533,9.20357,9.17042,9.20357,7041.110114908371,0
DIG,D,20110223,000000,9.09528,9.31916,9.09528,9.21002,8908.427366823373,0
DIG,D,20110224,000000,9.21002,9.47999,9.20357,9.44686,5978.137603712133,0
DIG,D,20110225,000000,9.47999,9.54375,9.47999,9.54375,2429.1211169710173,0
DIG,D,20110228,000000,9.22052,9.76839,9.22052,9.72475,5839.542817619042,0
DIG,D,20110301,000000,9.67062,9.76839,9.46947,9.46947,6396.396868886027,0
DIG,D,20110302,000000,9.4404,9.76839,9.4404,9.72804,6835.69284266325,0
DIG,D,20110303,000000,9.75074,9.76839,9.72242,9.75074,6447.132460223651,0
DIG,D,20110304,000000,9.74502,9.76839,9.74017,9.76839,6782.482344431111,0
DIG,D,20110307,000000,9.90012,9.90012,9.5551,9.69896,2106.145767236244,0
DIG,D,20110308,000000,9.67062,9.90012,9.67062,9.90012,5220.816093989166,0
DIG,D,20110309,000000,9.90012,9.90012,9.69896,9.89527,4435.033154979216,0
DIG,D,20110310,000000,9.89527,9.89527,9.88964,9.88964,4512.992722156512,0
DIG,D,20110311,000000,9.89527,9.89527,9.88964,9.88964,3649.2502159691594,0
DIG,D,20110314,000000,10.0157,10.1305,9.84929,10.0845,19814.104597523976,0
DIG,D,20110315,000000,10.0845,10.1022,9.84929,10.0157,7109.170054507604,0
DIG,D,20110316,000000,10.0157,10.0157,9.87267,9.98741,811.7694614024391,0
DIG,D,20110317,000000,9.98431,10.1256,9.98431,10.0706,5629.175731584891,0
DIG,D,20110318,000000,10.1248,10.3608,9.87267,10.1887,9186.854392456864,0
DIG,D,20110321,000000,10.0845,10.1887,10.0845,10.1708,5420.046098998051,0
DIG,D,20110322,000000,10.1708,10.1708,10.1708,10.1708,639.7634322333232,0
DIG,D,20110323,000000,10.1482,10.1887,10.1305,10.1887,3478.481640247366,0
DIG,D,20110324,000000,10.2169,10.2169,9.70467,10.1305,4293.9634619916105,0
DIG,D,20110325,000000,9.33124,9.78624,9.32478,9.77974,8935.651342663152,0
DIG,D,20110328,000000,9.77412,9.77412,9.29009,9.7167,367.5236738361627,0
DIG,D,20110329,000000,9.63593,9.63593,9.26748,9.60687,1491.1314039480876,0
DIG,D,20110330,000000,9.58334,9.58334,9.27394,9.38218,199.23000500883094,0
DIG,D,20110331,000000,9.66416,9.66416,9.01695,9.49207,2585.0402513257172,0
DIG,D,20110401,000000,9.49207,9.49207,9.32478,9.49207,322.97534973481686,0
DIG,D,20110404,000000,9.49207,9.49771,9.49207,9.49771,118.79553093694389,0
DIG,D,20110405,000000,9.26748,9.5551,9.26748,9.5551,194.28019121978892,0
DIG,D,20110406,000000,9.5551,9.78624,9.46947,9.76267,5422.521005892567,0
DIG,D,20110407,000000,9.76267,9.78624,9.75714,9.78624,2182.867880966336,0
DIG,D,20110408,000000,9.75714,9.75714,9.40561,9.69415,741.2346149086253,0
DIG,D,20110411,000000,9.75714,9.75714,9.49771,9.69415,8747.558418679642,0
DIG,D,20110412,000000,9.72475,9.72475,9.49207,9.72475,3290.3887162638553,0
DIG,D,20110413,000000,9.78624,9.78624,9.77974,9.78624,6534.991654979118,0
DIG,D,20110414,000000,9.78624,9.78624,9.78624,9.78624,1.2374534472598593,0
DIG,D,20110415,000000,9.78624,9.78624,9.78624,9.78624,1.2374534472598593,0
DIG,D,20110418,000000,9.78624,9.78624,9.78624,9.78624,1.2374534472598593,0
