<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMG,D,20130710,000000,1.33851,1.69607,1.33851,1.65017,18132.4192881201,0
DMG,D,20130711,000000,1.65017,1.66851,1.6135,1.6594,5450.565876903678,0
DMG,D,20130712,000000,1.65017,1.65017,1.65017,1.65017,327.30758596583195,0
DMG,D,20130715,000000,1.65017,1.65017,1.49435,1.49435,20957.157425522557,0
DMG,D,20130716,000000,1.60428,1.64105,1.53102,1.59516,4750.695958359374,0
DMG,D,20130717,000000,1.59516,1.60428,1.53102,1.59516,4592.830563199006,0
DMG,D,20130718,000000,1.59516,1.59516,1.476,1.54935,7812.2321885027995,0
DMG,D,20130719,000000,1.54935,1.54935,1.46679,1.54024,9230.915873010648,0
DMG,D,20130722,000000,1.54024,1.54935,1.43933,1.54935,15220.328965394845,0
DMG,D,20130723,000000,1.54935,1.54935,1.41177,1.51268,5203.243424485766,0
DMG,D,20130724,000000,1.51268,1.51268,1.40266,1.51268,14789.882654590801,0
DMG,D,20130725,000000,1.51268,1.58594,1.51268,1.58594,7885.902706244306,0
DMG,D,20130726,000000,1.57682,1.57682,1.57682,1.57682,1188.2002075737116,0
DMG,D,20130729,000000,1.56761,1.56761,1.52189,1.56761,1607.0697227325575,0
DMG,D,20130730,000000,1.56761,1.56761,1.52189,1.52189,928.2485235429704,0
DMG,D,20130731,000000,1.56761,1.56761,1.48512,1.54935,5861.015904320637,0
DMG,D,20130801,000000,1.54935,1.54935,1.46679,1.53102,10118.119393811925,0
DMG,D,20130802,000000,1.54935,1.54935,1.54935,1.54935,5.26217983867897,0
DMG,D,20130805,000000,1.54935,1.54935,1.52189,1.52189,4952.763664164647,0
DMG,D,20130806,000000,1.53102,1.53102,1.53102,1.53102,5.26217983867897,0
DMG,D,20130807,000000,1.53102,1.53102,1.53102,1.53102,1.0524359677357942,0
DMG,D,20130808,000000,1.54935,1.54935,1.45766,1.50346,7268.122793183395,0
DMG,D,20130809,000000,1.50346,1.50346,1.50346,1.50346,1.0524359677357942,0
DMG,D,20130812,000000,1.49435,1.49435,1.49435,1.49435,725.1283817699622,0
DMG,D,20130813,000000,1.53102,1.55848,1.46679,1.55848,8515.25941495031,0
DMG,D,20130814,000000,1.58594,1.60428,1.56761,1.60428,8909.922902851233,0
DMG,D,20130816,000000,1.60428,1.65017,1.60428,1.65017,2731.071336274386,0
DMG,D,20130819,000000,1.69607,1.69607,1.6594,1.68684,5962.049757223273,0
DMG,D,20130820,000000,1.68684,1.68684,1.67773,1.68684,6062.031174158174,0
DMG,D,20130821,000000,1.68684,1.68684,1.68684,1.68684,217.85424532130938,0
DMG,D,20130822,000000,1.68684,1.68684,1.6135,1.67773,9820.280014942695,0
DMG,D,20130823,000000,1.68684,1.68684,1.68684,1.68684,110.50577661225837,0
DMG,D,20130826,000000,1.68684,1.68684,1.68684,1.68684,1.0524359677357942,0
DMG,D,20130827,000000,1.68684,1.68684,1.68684,1.68684,4.209743870943177,0
DMG,D,20130828,000000,1.68684,1.68684,1.65017,1.65017,2736.3335161130644,0
DMG,D,20130829,000000,1.68684,1.68684,1.65017,1.65017,3590.911521914529,0
DMG,D,20130830,000000,1.65017,1.65017,1.65017,1.65017,10.52435967735794,0
DMG,D,20130902,000000,1.65017,1.65017,1.65017,1.65017,24.206027257923264,0
DMG,D,20130903,000000,1.65017,1.65017,1.60428,1.60428,841.9487741886353,0
DMG,D,20130904,000000,1.65017,1.67773,1.65017,1.67773,38.94013080622438,0
DMG,D,20130905,000000,1.66851,1.66851,1.66851,1.66851,5.26217983867897,0
DMG,D,20130906,000000,1.66851,1.66851,1.58594,1.64105,1157.6795645093734,0
DMG,D,20130909,000000,1.64105,1.64105,1.64105,1.64105,5.26217983867897,0
DMG,D,20130910,000000,1.60428,1.7143,1.60428,1.7143,25239.519378239605,0
DMG,D,20130911,000000,1.72353,1.72353,1.70509,1.72353,11576.795645093736,0
DMG,D,20130912,000000,1.73265,1.73265,1.66851,1.66851,1587.0734393455773,0
DMG,D,20130913,000000,1.66851,1.66851,1.66851,1.66851,654.6151719316639,0
DMG,D,20130916,000000,1.66851,1.77854,1.66851,1.77854,27319.132850485952,0
DMG,D,20130917,000000,1.78766,2.03518,1.78766,1.98026,111710.81579531638,0
DMG,D,20130918,000000,1.98026,1.98026,1.84277,1.94359,380959.719165032,0
DMG,D,20130919,000000,1.94359,1.95271,1.90681,1.94359,4001.361549331489,0
DMG,D,20130920,000000,1.94359,2.06274,1.94359,2.06274,44719.05670506153,0
DMG,D,20130923,000000,2.13609,2.13609,2.01685,2.03518,34090.505866897634,0
DMG,D,20130924,000000,2.14531,2.14531,2.00762,2.03518,15384.508976362047,0
DMG,D,20130925,000000,2.06274,2.06274,1.98026,2.06274,21273.940651810928,0
DMG,D,20130926,000000,2.06274,2.06274,1.98026,2.06274,32611.833332229366,0
DMG,D,20130927,000000,2.06274,2.06274,1.91603,1.93437,22871.53845083407,0
DMG,D,20130930,000000,1.93437,1.93437,1.87014,1.93437,12129.324528155548,0
DMG,D,20131001,000000,1.93437,1.93437,1.8977,1.93437,4050.826039815071,0
DMG,D,20131002,000000,1.93437,1.93437,1.84277,1.93437,9282.485235429704,0
