<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOM,D,20061024,000000,39.9106,42.8152,35.3224,37.1589,2090562,0
DOM,D,20061025,000000,39.1496,39.3924,37.464,38.8419,376782,0
DOM,D,20061026,000000,39.5746,39.5746,37.0054,37.0054,184707,0
DOM,D,20061027,000000,37.0054,37.464,36.6995,37.1589,167642,0
DOM,D,20061030,000000,37.74,37.74,35.4751,36.2402,84647.5,0
DOM,D,20061031,000000,36.6385,36.7296,36.0872,36.6995,54835.8,0
DOM,D,20061102,000000,36.8216,36.8216,36.3939,36.5459,158697,0
DOM,D,20061103,000000,36.6995,36.6995,36.332,36.485,25937.3,0
DOM,D,20061106,000000,36.6995,37.6175,36.0872,37.0054,39249.5,0
DOM,D,20061107,000000,37.9239,39.0262,37.0054,38.9651,123949,0
DOM,D,20061108,000000,39.1496,39.1496,37.9239,39.1496,33621.8,0
DOM,D,20061109,000000,38.8419,39.1182,38.534,38.534,24929.3,0
DOM,D,20061110,000000,38.534,38.534,38.0145,38.2928,16322.9,0
DOM,D,20061113,000000,38.534,38.534,37.9239,37.9239,50290.5,0
DOM,D,20061114,000000,37.7696,38.0769,37.0054,37.6175,62994.4,0
DOM,D,20061115,000000,38.1987,38.1987,36.7296,37.067,33149.1,0
DOM,D,20061116,000000,37.2809,38.1987,37.2809,37.6175,113945,0
DOM,D,20061117,000000,37.6784,38.0769,37.3728,37.6175,90922.8,0
DOM,D,20061120,000000,37.6175,37.9239,37.3728,37.7696,49756.6,0
DOM,D,20061121,000000,37.9239,38.4422,37.7696,38.229,67452.2,0
DOM,D,20061122,000000,38.229,38.811,38.229,38.6876,153540,0
DOM,D,20061123,000000,38.811,38.811,38.534,38.6876,43794.8,0
DOM,D,20061124,000000,38.6876,39.4533,38.534,39.2683,106647,0
DOM,D,20061127,000000,39.4533,41.2872,39.4533,41.1021,230873,0
DOM,D,20061128,000000,40.2746,41.1938,39.8488,41.1938,85120.1,0
DOM,D,20061129,000000,41.1342,42.205,40.675,42.142,101093,0
