<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVL,D,20070629,000000,2.87148,2.94977,2.63646,2.63646,28140677.394160293,0
DVL,D,20070702,000000,2.68008,2.68008,2.36678,2.53643,11504766.917277137,0
DVL,D,20070703,000000,2.61045,2.67128,2.58858,2.61905,9408559.266866663,0
DVL,D,20070704,000000,2.65387,2.70615,2.62339,2.65387,3613118.2180326697,0
DVL,D,20070705,000000,2.68435,2.68435,2.58858,2.63646,2883207.053476693,0
DVL,D,20070706,000000,2.64521,2.64954,2.60172,2.60606,1074274.4356819831,0
DVL,D,20070709,000000,2.61473,2.61473,2.50169,2.51895,1786265.0552659617,0
DVL,D,20070710,000000,2.51029,2.52337,2.40586,2.42772,3535088.4709668653,0
DVL,D,20070711,000000,2.4364,2.4364,2.30583,2.35364,2585958.1161657847,0
DVL,D,20070712,000000,2.32323,2.38418,2.30583,2.34496,1681786.3733656094,0
DVL,D,20070713,000000,2.34496,2.42772,2.32323,2.41459,1734908.6743465853,0
DVL,D,20070716,000000,2.42333,2.47114,2.2232,2.34937,944220.9198473741,0
DVL,D,20070717,000000,2.33203,2.33203,2.23621,2.29282,1280922.5194020907,0
DVL,D,20070718,000000,2.30583,2.30583,2.2406,2.25368,1783842.0830076982,0
DVL,D,20070719,000000,2.26234,2.48856,2.26234,2.44507,3063679.3588935966,0
DVL,D,20070720,000000,2.47988,2.47988,2.37112,2.37985,1288928.2205505024,0
DVL,D,20070723,000000,2.37985,2.42772,2.30583,2.34937,789702.9144649116,0
DVL,D,20070724,000000,2.40152,2.40152,2.24927,2.258,2051293.3340631938,0
DVL,D,20070725,000000,2.17538,2.25368,2.07961,2.2406,3378209.507241247,0
DVL,D,20070726,000000,2.2406,2.25368,2.16664,2.16664,2006445.4611966752,0
DVL,D,20070727,000000,2.09262,2.19713,2.08395,2.08835,2656800.1551552555,0
DVL,D,20070730,000000,2.11009,2.17538,2.11009,2.13177,945303.2103198544,0
DVL,D,20070731,000000,2.17091,2.2406,2.17091,2.19713,1588892.4814342484,0
DVL,D,20070801,000000,2.17538,2.17538,2.1231,2.14057,923644.112174085,0
DVL,D,20070802,000000,2.20139,2.21446,2.10576,2.10576,2770359.446067555,0
DVL,D,20070803,000000,2.1449,2.1449,2.07961,2.08835,516448.9327725228,0
DVL,D,20070806,000000,2.04481,2.05349,1.95778,2.00133,1368289.7902716245,0
DVL,D,20070807,000000,2.04481,2.06221,1.84027,1.84027,2221865.560874465,0
