<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EAH,D,20110616,000000,26.8523,27.5782,21.482,21.4971,22155.5,0
EAH,D,20110617,000000,21.7727,22.715,19.2317,19.2317,2770.08,0
EAH,D,20110620,000000,19.6022,20.0666,18.1432,18.216,3609.46,0
EAH,D,20110621,000000,18.1432,19.8131,16.6188,19.2317,2232.01,0
EAH,D,20110622,000000,18.8691,19.2317,18.0706,19.2317,5580.67,0
EAH,D,20110624,000000,19.588,19.9585,18.5066,19.9585,2466.23,0
EAH,D,20110627,000000,18.8691,18.8691,17.5628,18.8691,646.943,0
EAH,D,20110628,000000,18.216,19.7396,17.4183,19.7396,1474.92,0
EAH,D,20110629,000000,19.7396,19.7396,17.6432,17.6432,2149.72,0
EAH,D,20110630,000000,17.8534,19.6669,17.8534,19.2317,206.363,0
EAH,D,20110701,000000,19.1598,19.7333,18.1432,18.9419,634.282,0
EAH,D,20110704,000000,18.9419,18.9419,18.9419,18.9419,54.4394,0
EAH,D,20110705,000000,19.0872,19.2688,19.0872,19.2688,82.2921,0
EAH,D,20110706,000000,19.2688,19.7333,19.2688,19.7333,54.4394,0
EAH,D,20110707,000000,19.2688,19.9585,19.0145,19.9585,6613.75,0
EAH,D,20110708,000000,19.9585,19.9585,19.595,19.9505,4422.25,0
EAH,D,20110711,000000,19.9585,19.9585,18.8691,19.595,248.142,0
EAH,D,20110712,000000,19.595,19.595,19.595,19.595,165.85,0
EAH,D,20110713,000000,19.4497,19.4497,18.1432,18.5793,365.883,0
EAH,D,20110714,000000,18.7965,19.0145,18.7602,19.0145,1509.11,0
EAH,D,20110715,000000,18.8691,18.8691,18.1432,18.8691,212.693,0
EAH,D,20110718,000000,18.6519,18.8691,18.0706,18.8691,1109.04,0
EAH,D,20110719,000000,18.8691,18.8691,18.8691,18.8691,2038.31,0
EAH,D,20110720,000000,18.8691,19.3043,18.8691,18.8691,179.776,0
EAH,D,20110721,000000,18.7965,18.7965,18.1432,18.1432,274.729,0
EAH,D,20110722,000000,17.8171,17.8171,17.8171,17.8171,173.446,0
EAH,D,20110725,000000,17.9332,17.9332,17.9332,17.9332,69.6318,0
EAH,D,20110726,000000,17.9253,18.1363,17.9253,18.1363,88.6223,0
EAH,D,20110727,000000,18.325,19.595,18.325,18.5066,1459.73,0
EAH,D,20110728,000000,19.3771,19.3771,19.2317,19.2317,69.6318,0
EAH,D,20110802,000000,19.5224,19.5224,17.9253,17.9253,158.254,0
EAH,D,20110803,000000,17.9253,17.9332,17.9253,17.9332,72.1639,0
EAH,D,20110804,000000,17.9253,18.216,17.7807,17.7807,1171.08,0
EAH,D,20110805,000000,17.7807,17.7807,16.6188,17.7807,4170.31,0
EAH,D,20110808,000000,17.7807,18.3975,17.7807,17.7879,1520.5,0
EAH,D,20110809,000000,18.1432,19.595,18.1432,19.595,559.586,0
