<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EAT,D,20050427,000000,2.3586,2.3586,2.22382,2.31046,4508022,0
EAT,D,20050428,000000,2.26233,2.32009,2.26233,2.32009,549666,0
EAT,D,20050429,000000,2.31046,2.32009,2.30083,2.32009,640567,0
EAT,D,20050502,000000,2.32009,2.32009,2.31046,2.31046,211116,0
EAT,D,20050504,000000,2.31046,2.34897,2.31046,2.33934,982411,0
EAT,D,20050505,000000,2.33934,2.34897,2.31046,2.33934,866392,0
EAT,D,20050506,000000,2.33934,2.33934,2.31046,2.33934,249830,0
EAT,D,20050509,000000,2.31046,2.36822,2.31046,2.36822,1533241,0
EAT,D,20050510,000000,2.36822,2.36822,2.34897,2.36822,211656,0
EAT,D,20050511,000000,2.3586,2.36822,2.32972,2.36822,1225043,0
EAT,D,20050512,000000,2.3586,2.40673,2.3586,2.37785,1657818,0
EAT,D,20050513,000000,2.37785,2.38748,2.37785,2.38748,168433,0
EAT,D,20050516,000000,2.37785,2.38748,2.36822,2.36822,261495,0
EAT,D,20050517,000000,2.33934,2.37785,2.33934,2.3586,248033,0
EAT,D,20050518,000000,2.34897,2.36822,2.34897,2.36822,239110,0
EAT,D,20050519,000000,2.36822,2.3971,2.33934,2.3971,432027,0
EAT,D,20050520,000000,2.38748,2.44524,2.38748,2.42599,488421,0
EAT,D,20050523,000000,2.42599,2.44524,2.42599,2.43561,287412,0
EAT,D,20050524,000000,2.43561,2.44524,2.3971,2.42599,320829,0
EAT,D,20050525,000000,2.40673,2.41636,2.38748,2.40673,181532,0
EAT,D,20050527,000000,2.40673,2.40673,2.37785,2.37785,126987,0
EAT,D,20050530,000000,2.36822,2.3971,2.33934,2.3971,10366.7,0
EAT,D,20050531,000000,2.3971,2.41636,2.36822,2.40673,566026,0
EAT,D,20050601,000000,2.40673,2.43561,2.40673,2.42599,786585,0
EAT,D,20050602,000000,2.43561,2.48375,2.43561,2.48375,465070,0
EAT,D,20050603,000000,2.48375,2.51262,2.45487,2.51262,695081,0
EAT,D,20050606,000000,2.503,2.51262,2.503,2.51262,317463,0
EAT,D,20050607,000000,2.51262,2.51262,2.48375,2.51262,437782,0
EAT,D,20050608,000000,2.49338,2.503,2.49338,2.503,34808.6,0
EAT,D,20050609,000000,2.49338,2.49338,2.47412,2.49338,491402,0
EAT,D,20050610,000000,2.503,2.51262,2.49338,2.51262,550102,0
EAT,D,20050613,000000,2.51262,2.51262,2.46449,2.51262,70915.6,0
EAT,D,20050614,000000,2.503,2.503,2.44524,2.49338,7832.19,0
EAT,D,20050615,000000,2.503,2.503,2.44524,2.49338,3074.7,0
EAT,D,20050616,000000,2.49338,2.49338,2.49338,2.49338,6336.39,0
EAT,D,20050617,000000,2.49338,2.49338,2.46449,2.49338,84315.5,0
EAT,D,20050620,000000,2.49338,2.49338,2.42599,2.45487,70842.9,0
EAT,D,20050621,000000,2.45487,2.45487,2.42599,2.45487,2950.05,0
EAT,D,20050622,000000,2.43561,2.43561,2.3586,2.42599,168319,0
EAT,D,20050623,000000,2.42599,2.43561,2.40673,2.43561,70562.5,0
EAT,D,20050624,000000,2.43561,2.43561,2.40673,2.40673,73024.3,0
EAT,D,20050627,000000,2.3971,2.41636,2.3971,2.40673,204665,0
EAT,D,20050628,000000,2.3971,2.40673,2.34897,2.40673,314721,0
EAT,D,20050629,000000,2.40673,2.47412,2.40673,2.45487,511149,0
EAT,D,20050630,000000,2.48375,2.48375,2.41636,2.47412,533680,0
EAT,D,20050701,000000,2.47412,2.503,2.47412,2.503,480973,0
EAT,D,20050704,000000,2.53188,2.55114,2.47412,2.503,1716196,0
EAT,D,20050705,000000,2.49338,2.503,2.43561,2.503,216912,0
EAT,D,20050706,000000,2.503,2.503,2.45487,2.503,34787.8,0
EAT,D,20050707,000000,2.45487,2.503,2.41636,2.503,124712,0
EAT,D,20050708,000000,2.46449,2.55114,2.43561,2.55114,228099,0
EAT,D,20050711,000000,2.54151,2.54151,2.49338,2.503,139338,0
EAT,D,20050712,000000,2.53188,2.53188,2.503,2.503,107043,0
EAT,D,20050713,000000,2.46449,2.503,2.45487,2.45487,77002.7,0
EAT,D,20050714,000000,2.43561,2.49338,2.43561,2.49338,4643.22,0
EAT,D,20050715,000000,2.46449,2.48375,2.45487,2.45487,25823.4,0
EAT,D,20050718,000000,2.41636,2.503,2.41636,2.503,1302721,0
EAT,D,20050719,000000,2.47412,2.47412,2.45487,2.45487,147451,0
EAT,D,20050720,000000,2.43561,2.45487,2.42599,2.42599,450818,0
EAT,D,20050721,000000,2.43561,2.45487,2.42599,2.45487,28950,0
EAT,D,20050722,000000,2.44524,2.53188,2.44524,2.51262,814060,0
EAT,D,20050725,000000,2.503,2.69554,2.503,2.69554,1530228,0
EAT,D,20050726,000000,2.66666,2.74367,2.66666,2.74367,874453,0
EAT,D,20050727,000000,2.77255,2.77255,2.66666,2.71479,295037,0
EAT,D,20050728,000000,2.69554,2.71479,2.67628,2.69554,32648,0
EAT,D,20050729,000000,2.70517,2.70517,2.67628,2.69554,23081,0
EAT,D,20050801,000000,2.69554,2.77255,2.59927,2.77255,240325,0
EAT,D,20050802,000000,2.74367,2.81106,2.69554,2.79181,887541,0
EAT,D,20050803,000000,2.79181,2.79181,2.75331,2.78218,27963.2,0
EAT,D,20050804,000000,2.74367,2.75331,2.71479,2.75331,48790.2,0
EAT,D,20050805,000000,2.75331,2.75331,2.70517,2.75331,19944,0
