<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EBP,D,19930622,000000,3.87852,3.87852,3.87852,3.87852,1584678.524078025,0
EBP,D,19930624,000000,3.54177,3.54177,3.54177,3.54177,1404711.799870515,0
EBP,D,19930628,000000,3.54177,3.54177,3.54177,3.54177,667869.5173250703,0
EBP,D,19930629,000000,3.74811,3.74811,3.74811,3.74811,541158.8246902648,0
EBP,D,19930701,000000,3.87852,3.87852,3.87852,3.87852,875797.4708407625,0
EBP,D,19930705,000000,4.05782,4.05782,4.05782,4.05782,567664.3955199841,0
EBP,D,19930706,000000,4.07961,4.07961,4.07961,4.07961,396636.83719469974,0
EBP,D,19930708,000000,3.6721,3.6721,3.6721,3.6721,430571.19142513786,0
EBP,D,19930712,000000,3.74811,3.74811,3.74811,3.74811,202827.67644058488,0
EBP,D,19930713,000000,3.72093,3.72093,3.72093,3.72093,259014.1783713008,0
EBP,D,19930715,000000,3.6721,3.6721,3.6721,3.6721,469217.28230972134,0
EBP,D,19930719,000000,3.6721,3.6721,3.6721,3.6721,400210.31458745466,0
EBP,D,19930720,000000,3.61779,3.61779,3.61779,3.61779,490043.86973310885,0
EBP,D,19930722,000000,3.69922,3.69922,3.69922,3.69922,566660.2100658142,0
EBP,D,19930726,000000,3.69922,3.69922,3.69922,3.69922,367730.2507354812,0
EBP,D,19930727,000000,3.64483,3.64483,3.64483,3.64483,280847.68744900357,0
EBP,D,19930729,000000,3.69922,3.69922,3.69922,3.69922,369490.99553045,0
EBP,D,19930802,000000,3.74811,3.74811,3.74811,3.74811,298230.766986659,0
EBP,D,19930803,000000,3.74811,3.74811,3.74811,3.74811,317551.0762287918,0
EBP,D,19930805,000000,3.72093,3.72093,3.72093,3.72093,329728.53498565307,0
EBP,D,19930809,000000,4.07961,4.07961,4.07961,4.07961,859466.4602598692,0
EBP,D,19930810,000000,4.49236,4.49236,4.49236,4.49236,0,0
EBP,D,19930812,000000,4.95417,4.95417,4.95417,4.95417,0,0
EBP,D,19930816,000000,5.41583,5.41583,5.41583,5.41583,1050647.500772225,0
EBP,D,19930817,000000,5.95943,5.95943,5.95943,5.95943,1324292.1413327036,0
EBP,D,19930819,000000,6.52387,6.52387,6.52387,6.52387,897126.1509912485,0
EBP,D,19930823,000000,7.11059,7.11059,7.11059,7.11059,0,0
EBP,D,19930824,000000,7.77939,7.77939,7.77939,7.77939,384976.52026574354,0
EBP,D,19930826,000000,8.57835,8.57835,8.57835,8.57835,798832.2649892375,0
EBP,D,19930830,000000,7.72969,7.72969,7.72969,7.72969,774871.3602967813,0
EBP,D,19930831,000000,6.9856,6.9856,6.9856,6.9856,890546.9577363544,0
EBP,D,19930902,000000,7.6266,7.6266,7.6266,7.6266,545699.5488351926,0
EBP,D,19930906,000000,8.34368,8.34368,8.34368,8.34368,1225568.6719075227,0
EBP,D,19930907,000000,7.49649,7.49649,7.49649,7.49649,1153237.2210059515,0
EBP,D,19930909,000000,7.18734,7.18734,7.18734,7.18734,534310.1157208364,0
EBP,D,19930913,000000,7.11059,7.11059,7.11059,7.11059,311266.0244897813,0
EBP,D,19930914,000000,7.18734,7.18734,7.18734,7.18734,341438.1035172677,0
EBP,D,19930916,000000,7.41978,7.41978,7.41978,7.41978,560131.6365136579,0
EBP,D,19930920,000000,6.67583,6.67583,6.67583,6.67583,428040.2062886159,0
EBP,D,19930921,000000,6.00782,6.00782,6.00782,6.00782,352541.60371618986,0
EBP,D,19930923,000000,5.41583,5.41583,5.41583,5.41583,428249.52559991006,0
EBP,D,19930927,000000,4.98122,4.98122,4.98122,4.98122,683304.4223576396,0
EBP,D,19930928,000000,5.47014,5.47014,5.47014,5.47014,0,0
EBP,D,19930930,000000,5.95943,5.95943,5.95943,5.95943,463313.9304912889,0
EBP,D,19931004,000000,6.52387,6.52387,6.52387,6.52387,1048368.2460492852,0
EBP,D,19931005,000000,6.82853,6.82853,6.82853,6.82853,1000836.3451853996,0
EBP,D,19931007,000000,6.82853,6.82853,6.82853,6.82853,1068242.6358213201,0
EBP,D,19931011,000000,7.24143,7.24143,7.24143,7.24143,1018402.7501329341,0
EBP,D,19931012,000000,7.67637,7.67637,7.67637,7.67637,903771.0130496735,0
EBP,D,19931014,000000,7.67637,7.67637,7.67637,7.67637,768947.4869772511,0
EBP,D,19931018,000000,8.29394,8.29394,8.29394,8.29394,1621864.8521839073,0
EBP,D,19931019,000000,7.98484,7.98484,7.98484,7.98484,582639.6189277563,0
EBP,D,19931021,000000,7.55062,7.55062,7.55062,7.55062,787701.4027888478,0
EBP,D,19931026,000000,7.24143,7.24143,7.24143,7.24143,594527.0404689589,0
EBP,D,19931028,000000,7.67637,7.67637,7.67637,7.67637,774541.6481790072,0
EBP,D,19931102,000000,7.67637,7.67637,7.67637,7.67637,463043.04667667503,0
EBP,D,19931104,000000,7.72969,7.72969,7.72969,7.72969,903151.2637162404,0
EBP,D,19931108,000000,7.41978,7.41978,7.41978,7.41978,507613.01088078856,0
EBP,D,19931109,000000,7.24143,7.24143,7.24143,7.24143,660610.3783335168,0
EBP,D,19931110,000000,7.67637,7.67637,7.67637,7.67637,418752.1748876116,0
EBP,D,19931115,000000,7.9307,7.9307,7.9307,7.9307,737815.0016979489,0
EBP,D,19931116,000000,7.85543,7.85543,7.85543,7.85543,544113.9208496663,0
EBP,D,19931118,000000,7.06235,7.06235,7.06235,7.06235,720693.229274405,0
EBP,D,19931122,000000,7.06235,7.06235,7.06235,7.06235,532189.5606064531,0
EBP,D,19931123,000000,7.49649,7.49649,7.49649,7.49649,297201.95573115326,0
EBP,D,19931125,000000,7.55062,7.55062,7.55062,7.55062,460001.7602126317,0
EBP,D,19931129,000000,7.55062,7.55062,7.55062,7.55062,589626.5060046301,0
EBP,D,19931130,000000,7.6266,7.6266,7.6266,7.6266,366032.4385438978,0
EBP,D,19931202,000000,7.72969,7.72969,7.72969,7.72969,712728.1506447631,0
EBP,D,19931206,000000,8.52274,8.52274,8.52274,8.52274,1171320.7677813773,0
EBP,D,19931207,000000,8.83198,8.83198,8.83198,8.83198,962554.1689204558,0
EBP,D,19931209,000000,8.77854,8.77854,8.77854,8.77854,664181.1195261263,0
EBP,D,19931213,000000,9.03805,9.03805,9.03805,9.03805,688261.0489249968,0
EBP,D,19931214,000000,9.03805,9.03805,9.03805,9.03805,487144.86567673605,0
EBP,D,19931216,000000,9.26687,9.26687,9.26687,9.26687,605267.9941483348,0
EBP,D,19931220,000000,9.93493,9.93493,9.93493,9.93493,867420.5940889159,0
EBP,D,19931221,000000,10.1425,10.1425,10.1425,10.1425,626146.569374526,0
EBP,D,19931223,000000,10.5277,10.5277,10.5277,10.5277,978095.7857587644,0
EBP,D,19931227,000000,11.0379,11.0379,11.0379,11.0379,892350.1136336246,0
EBP,D,19931228,000000,9.93493,9.93493,9.93493,9.93493,762797.8771455408,0
EBP,D,19931230,000000,10.9342,10.9342,10.9342,10.9342,1026161.2456514406,0
EBP,D,19940103,000000,11.603,11.603,11.603,11.603,795075.4621866038,0
EBP,D,19940104,000000,12.0649,12.0649,12.0649,12.0649,1269379.3405706915,0
