<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECH,D,19960305,000000,0.0253708,0.0253708,0.0253708,0.0253708,6219657,0
ECH,D,19960306,000000,0.0277522,0.0277522,0.0277522,0.0277522,14288614,0
ECH,D,19960307,000000,0.0283109,0.0283109,0.0283109,0.0283109,4598969,0
ECH,D,19960308,000000,0.0280381,0.0280381,0.0280381,0.0280381,3735680,0
ECH,D,19960311,000000,0.0264882,0.0264882,0.0264882,0.0264882,528534,0
ECH,D,19960312,000000,0.023834,0.023834,0.023834,0.023834,251423,0
ECH,D,19960313,000000,0.0249516,0.0249516,0.0249516,0.0249516,1099014,0
ECH,D,19960314,000000,0.0256501,0.0256501,0.0256501,0.0256501,643829,0
ECH,D,19960315,000000,0.0257832,0.0257832,0.0257832,0.0257832,873561,0
ECH,D,19960318,000000,0.0262088,0.0262088,0.0262088,0.0262088,324763,0
ECH,D,19960319,000000,0.0280381,0.0280381,0.0280381,0.0280381,804213,0
ECH,D,19960320,000000,0.0264882,0.0264882,0.0264882,0.0264882,717169,0
ECH,D,19960321,000000,0.0264882,0.0264882,0.0264882,0.0264882,264264,0
ECH,D,19960322,000000,0.023834,0.023834,0.023834,0.023834,356728,0
ECH,D,19960325,000000,0.0262088,0.0262088,0.0262088,0.0262088,896676,0
ECH,D,19960326,000000,0.0242465,0.0242465,0.0242465,0.0242465,823332,0
ECH,D,19960327,000000,0.0257832,0.0257832,0.0257832,0.0257832,368716,0
ECH,D,19960328,000000,0.0243995,0.0243995,0.0243995,0.0243995,818480,0
ECH,D,19960329,000000,0.0249516,0.0249516,0.0249516,0.0249516,499132,0
ECH,D,19960401,000000,0.0243995,0.0243995,0.0243995,0.0243995,879556,0
ECH,D,19960402,000000,0.0243995,0.0243995,0.0243995,0.0243995,1186627,0
ECH,D,19960403,000000,0.0241069,0.0241069,0.0241069,0.0241069,517685,0
ECH,D,19960404,000000,0.0249516,0.0249516,0.0249516,0.0249516,180071,0
ECH,D,19960405,000000,0.0243995,0.0243995,0.0243995,0.0243995,798221,0
ECH,D,19960409,000000,0.0249516,0.0249516,0.0249516,0.0249516,519681,0
ECH,D,19960410,000000,0.0243995,0.0243995,0.0243995,0.0243995,491147,0
ECH,D,19960411,000000,0.0243995,0.0243995,0.0243995,0.0243995,245147,0
ECH,D,19960412,000000,0.0248054,0.0248054,0.0248054,0.0248054,1185768,0
ECH,D,19960415,000000,0.0242465,0.0242465,0.0242465,0.0242465,575903,0
ECH,D,19960416,000000,0.0249516,0.0249516,0.0249516,0.0249516,279961,0
ECH,D,19960417,000000,0.0248054,0.0248054,0.0248054,0.0248054,763401,0
ECH,D,19960418,000000,0.0249516,0.0249516,0.0249516,0.0249516,319912,0
ECH,D,19960419,000000,0.0249516,0.0249516,0.0249516,0.0249516,3096419,0
ECH,D,19960422,000000,0.0264882,0.0264882,0.0264882,0.0264882,1377551,0
ECH,D,19960423,000000,0.0271934,0.0271934,0.0271934,0.0271934,3542758,0
ECH,D,19960424,000000,0.0264882,0.0264882,0.0264882,0.0264882,1056775,0
ECH,D,19960425,000000,0.0264882,0.0264882,0.0264882,0.0264882,434065,0
ECH,D,19960426,000000,0.0259294,0.0259294,0.0259294,0.0259294,694908,0
ECH,D,19960429,000000,0.0249516,0.0249516,0.0249516,0.0249516,1358424,0
