<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFK,D,19930422,000000,1.27923,1.27923,1.27923,1.27923,60803.254719140496,0
EFK,D,19930429,000000,1.40277,1.40277,1.40277,1.40277,41473.603775057796,0
EFK,D,19930506,000000,1.53611,1.53611,1.53611,1.53611,75172.54717248099,0
EFK,D,19930513,000000,1.65964,1.65964,1.65964,1.65964,149677.8584958817,0
EFK,D,19930520,000000,1.79516,1.79516,1.79516,1.79516,52297.76415280069,0
EFK,D,19930527,000000,1.61605,1.61605,1.61605,1.61605,45792.97169973949,0
EFK,D,19930603,000000,1.45854,1.45854,1.45854,1.45854,21779.5471705848,0
EFK,D,19930609,000000,1.31311,1.31311,1.31311,1.31311,13036.839623104499,0
EFK,D,19930617,000000,1.43675,1.43675,1.43675,1.43675,56246.669813318294,0
EFK,D,19930624,000000,1.30103,1.30103,1.30103,1.30103,24139.6037744422,0
EFK,D,19930701,000000,1.34471,1.34471,1.34471,1.34471,102679.62264515599,0
EFK,D,19930708,000000,1.48033,1.48033,1.48033,1.48033,138878.9339671963,0
EFK,D,19930715,000000,1.62566,1.62566,1.62566,1.62566,186871.46227078748,0
EFK,D,19930722,000000,1.78328,1.78328,1.78328,1.78328,0,0
EFK,D,19930729,000000,1.9503,1.9503,1.9503,1.9503,0,0
EFK,D,19930805,000000,3.11799,3.11799,3.11799,3.11799,97030.8301921252,0
EFK,D,19930812,000000,3.40864,3.40864,3.40864,3.40864,303856.78302965907,0
EFK,D,19930819,000000,3.74576,3.74576,3.74576,3.74576,588661.5094548679,0
EFK,D,19930826,000000,4.10438,4.10438,4.10438,4.10438,482197.51888504927,0
EFK,D,19930902,000000,4.50886,4.50886,4.50886,4.50886,0,0
EFK,D,19930907,000000,4.95694,4.95694,4.95694,4.95694,0,0
EFK,D,19930909,000000,5.45137,5.45137,5.45137,5.45137,127439.0188724504,0
EFK,D,19930914,000000,5.9892,5.9892,5.9892,5.9892,0,0
EFK,D,19930916,000000,8.97146,8.97146,8.97146,8.97146,274186.49057577515,0
EFK,D,19930921,000000,8.07492,8.07492,8.07492,8.07492,164661.8962322629,0
EFK,D,19930923,000000,7.26793,7.26793,7.26793,7.26793,111486.93396622349,0
EFK,D,19930928,000000,6.54832,6.54832,6.54832,6.54832,450757.68869525346,0
EFK,D,19930930,000000,7.17878,7.17878,7.17878,7.17878,248158.23585786967,0
EFK,D,19931005,000000,7.46953,7.46953,7.46953,7.46953,188034.3301953571,0
EFK,D,19931007,000000,7.37928,7.37928,7.37928,7.37928,114605.07547576819,0
EFK,D,19931012,000000,8.09731,8.09731,8.09731,8.09731,197875.3018938198,0
EFK,D,19931014,000000,8.47941,8.47941,8.47941,8.47941,137687.8018916823,0
EFK,D,19931019,000000,8.97146,8.97146,8.97146,8.97146,200925.81132789038,0
EFK,D,19931021,000000,8.61324,8.61324,8.61324,8.61324,141333.87736350988,0
EFK,D,19931026,000000,7.76069,7.76069,7.76069,7.76069,88640.4150974876,0
EFK,D,19931028,000000,8.52339,8.52339,8.52339,8.52339,177449.4056666793,0
EFK,D,19931102,000000,8.86011,8.86011,8.86011,8.86011,85824.09434267059,0
EFK,D,19931104,000000,8.97146,8.97146,8.97146,8.97146,178524.4528365288,0
EFK,D,19931109,000000,8.74857,8.74857,8.74857,8.74857,315529.8773696963,0
EFK,D,19931110,000000,8.97146,8.97146,8.97146,8.97146,161297.45283591698,0
EFK,D,19931116,000000,9.86989,9.86989,9.86989,9.86989,294443.8113312116,0
EFK,D,19931118,000000,9.19704,9.19704,9.19704,9.19704,111145.74528696609,0
EFK,D,19931123,000000,9.08529,9.08529,9.08529,9.08529,65383.0566060956,0
EFK,D,19931125,000000,8.18637,8.18637,8.18637,8.18637,101715.61321115949,0
EFK,D,19931130,000000,8.99544,8.99544,8.99544,8.99544,249794.52831075797,0
EFK,D,19931202,000000,9.19704,9.19704,9.19704,9.19704,95389.4905694254,0
EFK,D,19931207,000000,9.75695,9.75695,9.75695,9.75695,183680.6415159572,0
EFK,D,19931209,000000,9.64501,9.64501,9.64501,9.64501,77704.2075499294,0
EFK,D,19931214,000000,9.96103,9.96103,9.96103,9.96103,154910.7641564449,0
EFK,D,19931216,000000,10.7456,10.7456,10.7456,10.7456,227603.13208355478,0
EFK,D,19931221,000000,11.1468,11.1468,11.1468,11.1468,193643.75472385818,0
EFK,D,19931223,000000,12.2257,12.2257,12.2257,12.2257,295807.5566142789,0
EFK,D,19931228,000000,12.6744,12.6744,12.6744,12.6744,174364.5754778905,0
EFK,D,19931230,000000,12.5615,12.5615,12.5615,12.5615,87993.3679276533,0
EFK,D,19940103,000000,13.0103,13.0103,13.0103,13.0103,48298.386794168095,0
EFK,D,19940104,000000,12.3366,12.3366,12.3366,12.3366,44487.7735864856,0
EFK,D,19940106,000000,12.3366,12.3366,12.3366,12.3366,90806.66038058339,0
EFK,D,19940110,000000,13.57,13.57,13.57,13.57,270750.377368106,0
EFK,D,19940111,000000,14.9163,14.9163,14.9163,14.9163,121852.81132508219,0
EFK,D,19940113,000000,16.3755,16.3755,16.3755,16.3755,0,0
EFK,D,19940117,000000,17.9447,17.9447,17.9447,17.9447,0,0
EFK,D,19940118,000000,19.7378,19.7378,19.7378,19.7378,288317.55661401286,0
EFK,D,19940120,000000,21.6448,21.6448,21.6448,21.6448,209642.2735923509,0
EFK,D,19940124,000000,23.7767,23.7767,23.7767,23.7767,280984.0188779034,0
EFK,D,19940125,000000,26.1325,26.1325,26.1325,26.1325,170393.4622702023,0
EFK,D,19940127,000000,28.7121,28.7121,28.7121,28.7121,287524.14151964505,0
EFK,D,19940131,000000,25.9066,25.9066,25.9066,25.9066,164950.5943454807,0
EFK,D,19940201,000000,23.3289,23.3289,23.3289,23.3289,134834.1320802602,0
EFK,D,19940203,000000,15.7019,15.7019,15.7019,15.7019,345553.4717103852,0
EFK,D,19940207,000000,17.1601,17.1601,17.1601,17.1601,180940.0283083127,0
EFK,D,19940208,000000,18.3935,18.3935,18.3935,18.3935,143470.849061699,0
EFK,D,19940210,000000,16.5974,16.5974,16.5974,16.5974,163359.7264208959,0
EFK,D,19940214,000000,17.9447,17.9447,17.9447,17.9447,153742.8490620638,0
EFK,D,19940215,000000,18.3935,18.3935,18.3935,18.3935,145444.2924579955,0
EFK,D,19940217,000000,17.9447,17.9447,17.9447,17.9447,74356.92453094259,0
EFK,D,19940221,000000,16.2616,16.2616,16.2616,16.2616,97448.73585251739,0
EFK,D,19940222,000000,16.7104,16.7104,16.7104,16.7104,83399.433965226,0
EFK,D,19940224,000000,16.8233,16.8233,16.8233,16.8233,75197.78302153849,0
EFK,D,19940228,000000,16.8233,16.8233,16.8233,16.8233,76456.5471725266,0
EFK,D,19940301,000000,16.8233,16.8233,16.8233,16.8233,60785.084907819095,0
EFK,D,19940303,000000,16.8233,16.8233,16.8233,16.8233,64352.4245305873,0
EFK,D,19940307,000000,15.477,15.477,15.477,15.477,43991.132077033995,0
EFK,D,19940308,000000,15.9248,15.9248,15.9248,15.9248,40428.8396240773,0
EFK,D,19940310,000000,15.2531,15.2531,15.2531,15.2531,59429.4150964502,0
EFK,D,19940314,000000,15.477,15.477,15.477,15.477,62013.566039938196,0
EFK,D,19940315,000000,15.8128,15.8128,15.8128,15.8128,66519.6792476454,0
EFK,D,19940317,000000,16.3755,16.3755,16.3755,16.3755,89380.3301918535,0
EFK,D,19940321,000000,17.0462,17.0462,17.0462,17.0462,129445.77358950279,0
EFK,D,19940322,000000,15.365,15.365,15.365,15.365,64121.264153220596,0
EFK,D,19940324,000000,16.8233,16.8233,16.8233,16.8233,70936.96226667019,0
EFK,D,19940328,000000,16.8233,16.8233,16.8233,16.8233,70781.509436476,0
EFK,D,19940329,000000,15.1402,15.1402,15.1402,15.1402,21786.613208320898,0
EFK,D,19940331,000000,13.6839,13.6839,13.6839,13.6839,0,0
EFK,D,19940405,000000,12.3366,12.3366,12.3366,12.3366,77291.3490593487,0
EFK,D,19940407,000000,11.1033,11.1033,11.1033,11.1033,30156.839623712498,0
EFK,D,19940408,000000,11.1033,11.1033,11.1033,11.1033,71112.6037761104,0
EFK,D,19940411,000000,10.0026,10.0026,10.0026,10.0026,0,0
EFK,D,19940412,000000,9.01733,9.01733,9.01733,9.01733,0,0
EFK,D,19940414,000000,7.22236,7.22236,7.22236,7.22236,23478.4245291357,0
EFK,D,19940418,000000,8.00716,8.00716,8.00716,8.00716,55164.556605732694,0
EFK,D,19940419,000000,8.74857,8.74857,8.74857,8.74857,55381.5849076272,0
EFK,D,19940421,000000,10.0938,10.0938,10.0938,10.0938,93265.6415127462,0
EFK,D,19940425,000000,10.7664,10.7664,10.7664,10.7664,85142.7264181181,0
EFK,D,19940426,000000,9.69157,9.69157,9.69157,9.69157,0,0
EFK,D,19940428,000000,8.72697,8.72697,8.72697,8.72697,0,0
EFK,D,19940505,000000,8.07492,8.07492,8.07492,8.07492,42217.5566052729,0
EFK,D,19940506,000000,8.88201,8.88201,8.88201,8.88201,84124.2075501574,0
EFK,D,19940509,000000,8.63524,8.63524,8.63524,8.63524,29192.830189715998,0
EFK,D,19940510,000000,8.41164,8.41164,8.41164,8.41164,18146.5943402671,0
EFK,D,19940512,000000,7.85014,7.85014,7.85014,7.85014,35894.4622654257,0
EFK,D,19940516,000000,8.63524,8.63524,8.63524,8.63524,0,0
EFK,D,19940517,000000,9.39784,9.39784,9.39784,9.39784,117607.13207964839,0
EFK,D,19940519,000000,9.30809,9.30809,9.30809,9.30809,54550.8207566543,0
EFK,D,19940523,000000,9.57764,9.57764,9.57764,9.57764,82082.1226444245,0
EFK,D,19940524,000000,10.0938,10.0938,10.0938,10.0938,73265.72641769629,0
EFK,D,19940526,000000,10.0938,10.0938,10.0938,10.0938,91687.8962296713,0
EFK,D,19940530,000000,10.0492,10.0492,10.0492,10.0492,44154.660378926594,0
EFK,D,19940531,000000,9.86989,9.86989,9.86989,9.86989,39834.2830202826,0
EFK,D,19940601,000000,8.88201,8.88201,8.88201,8.88201,38234.3301900371,0
EFK,D,19940606,000000,8.45513,8.45513,8.45513,8.45513,32279.679246429398,0
EFK,D,19940607,000000,8.47941,8.47941,8.47941,8.47941,29787.386793510697,0
EFK,D,19940609,000000,7.64844,7.64844,7.64844,7.64844,59140.71698323239,0
EFK,D,19940613,000000,6.88534,6.88534,6.88534,6.88534,0,0
EFK,D,19940614,000000,6.21437,6.21437,6.21437,6.21437,87737.9811351914,0
