<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EKP,D,19971128,000000,6.9825,6.9825,4.9175,4.9175,6468.8,0
EKP,D,19971202,000000,3.43,3.43,3.43,3.43,286.40000000000003,0
EKP,D,19971203,000000,3.675,3.675,3.675,3.675,364,0
EKP,D,19971204,000000,3.5,3.675,3.185,3.185,1638.4,0
EKP,D,19971205,000000,3.185,3.185,3.185,3.185,220.8,0
EKP,D,19971208,000000,3.01,3.01,3.01,3.01,556,0
EKP,D,19971210,000000,2.73,2.73,2.73,2.73,773.6,0
EKP,D,19971212,000000,2.555,2.555,2.555,2.555,286.40000000000003,0
EKP,D,19971215,000000,2.485,2.66,2.485,2.66,2451.2000000000003,0
EKP,D,19971222,000000,2.485,2.485,2.485,2.485,54.400000000000006,0
EKP,D,19971230,000000,2.485,2.485,2.485,2.485,257.6,0
EKP,D,19971231,000000,2.485,2.485,2.485,2.485,572.8000000000001,0
EKP,D,19980105,000000,2.485,2.485,2.1,2.1,1263.2,0
EKP,D,19980106,000000,2.45,2.45,2.45,2.45,286.40000000000003,0
EKP,D,19980108,000000,2.45,2.45,2.45,2.45,710.4000000000001,0
EKP,D,19980109,000000,2.59,2.59,2.59,2.59,572.8000000000001,0
EKP,D,19980113,000000,2.59,2.59,2.59,2.59,652.8000000000001,0
EKP,D,19980114,000000,2.8,2.8,2.8,2.8,286.40000000000003,0
EKP,D,19980115,000000,2.8175,3.115,2.8175,3.115,1360,0
EKP,D,19980116,000000,2.905,2.94,2.905,2.94,567.2,0
EKP,D,19980119,000000,2.975,3.3075,2.975,3.3075,1858.4,0
EKP,D,19980120,000000,2.87,2.87,2.52,2.59,3851.2000000000003,0
EKP,D,19980127,000000,2.415,2.415,2.415,2.415,378.40000000000003,0
EKP,D,19980128,000000,2.7475,2.7475,2.7475,2.7475,284,0
EKP,D,19980129,000000,2.415,2.625,2.415,2.52,2311.2000000000003,0
EKP,D,19980130,000000,2.625,2.625,2.6075,2.6075,636,0
EKP,D,19980202,000000,2.415,2.415,2.17,2.415,844.8000000000001,0
EKP,D,19980203,000000,2.24,2.45,2.24,2.45,309.6,0
EKP,D,19980204,000000,2.31,2.31,2.31,2.31,440.8,0
EKP,D,19980205,000000,2.275,2.275,2.17,2.17,768,0
