<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELT,D,20070411,000000,9.44598,12.1138,9.44598,11.71,1947906.8222297481,0
ELT,D,20070412,000000,11.4758,11.4758,10.1749,10.6735,356036.37676627067,0
ELT,D,20070413,000000,10.6894,11.5182,10.1938,11.1924,244251.86670565594,0
ELT,D,20070416,000000,11.2887,11.4796,10.9425,11.1349,93425.86058138017,0
ELT,D,20070417,000000,11.1349,11.1349,10.9038,11.1349,192021.4429463858,0
ELT,D,20070418,000000,10.8272,11.2955,10.5045,11.1349,171716.06392135515,0
ELT,D,20070419,000000,11.1304,11.3651,10.8007,11.3651,122881.52837992954,0
ELT,D,20070420,000000,11.2887,13.6307,11.2538,13.6307,106383.82036478567,0
ELT,D,20070423,000000,14.13,15.1657,13.5526,14.2065,154740.5822821006,0
ELT,D,20070424,000000,15.09,15.09,13.6677,14.1945,219955.36215759927,0
ELT,D,20070425,000000,14.8975,14.8975,13.4383,14.2065,86869.01150784557,0
ELT,D,20070426,000000,14.2065,14.2209,13.661,14.0103,42173.42095324486,0
ELT,D,20070427,000000,13.8807,13.8807,12.7472,13.5655,39345.053891131254,0
ELT,D,20070430,000000,13.4383,13.4383,13.1079,13.4072,8453.425586954387,0
ELT,D,20070502,000000,13.4184,14.0148,13.3268,14.0148,226394.74755007192,0
ELT,D,20070504,000000,14.3989,14.3989,14.0148,14.0717,28888.146642819476,0
ELT,D,20070507,000000,14.0527,14.0527,13.4768,13.6307,75646.61060763124,0
ELT,D,20070508,000000,13.4003,13.8224,13.092,13.4307,178019.50819977693,0
ELT,D,20070509,000000,13.092,13.7458,13.092,13.7458,51841.077850114234,0
ELT,D,20070510,000000,13.7458,13.7458,12.479,12.8821,52821.70161453336,0
ELT,D,20070511,000000,12.1516,13.0162,12.0948,13.0162,36532.524628711246,0
ELT,D,20070514,000000,13.3844,13.5761,12.7093,13.5761,22411.806384398802,0
ELT,D,20070515,000000,13.5928,13.5928,12.9011,12.9579,43608.06164224136,0
ELT,D,20070516,000000,12.9625,14.2065,12.9579,14.0914,354308.7367829345,0
ELT,D,20070517,000000,14.0793,14.2065,13.6337,14.0148,67561.4138635747,0
ELT,D,20070518,000000,13.9907,14.5899,13.4768,14.5899,88700.91700584645,0
ELT,D,20070521,000000,14.7475,14.9203,14.4179,14.8392,37247.86524824766,0
ELT,D,20070522,000000,15.1393,15.7272,14.5975,15.1082,39801.71044899071,0
ELT,D,20070523,000000,15.1657,15.4536,14.2869,14.7748,48649.76121166663,0
ELT,D,20070524,000000,14.7831,14.9324,14.3989,14.7748,20742.23833326737,0
ELT,D,20070525,000000,14.3217,15.1657,14.3217,14.9664,43175.16178392393,0
ELT,D,20070528,000000,14.4179,15.1278,14.4179,15.1278,33331.96927377579,0
ELT,D,20070529,000000,15.1476,15.7378,14.974,15.4348,66547.79468312461,0
ELT,D,20070530,000000,15.1657,15.4741,14.974,15.4536,41937.173774469426,0
ELT,D,20070531,000000,15.3589,15.5499,15.1657,15.3196,94348.41241358692,0
ELT,D,20070601,000000,15.1657,15.3589,14.974,15.3589,33015.213279885334,0
ELT,D,20070604,000000,15.393,15.5075,15.0551,15.462,17310.715066119563,0
ELT,D,20070605,000000,15.462,15.462,15.1657,15.3536,6732.384686815659,0
ELT,D,20070606,000000,15.3506,15.3589,14.6285,15.2044,77407.24600700602,0
ELT,D,20070608,000000,14.5899,15.3589,14.5899,15.3589,66865.87049365554,0
ELT,D,20070611,000000,15.3589,15.3589,15.0135,15.2779,15457.692501858739,0
ELT,D,20070612,000000,15.2733,15.3196,15.0316,15.2044,24545.949893235942,0
ELT,D,20070613,000000,15.1855,16.5107,15.1855,16.4712,295649.48616432445,0
ELT,D,20070614,000000,16.7023,19.0057,16.7023,18.3912,285768.01897157345,0
ELT,D,20070615,000000,18.814,19.755,18.7753,19.1974,361049.04036959086,0
ELT,D,20070618,000000,19.7353,19.7353,18.8519,19.3906,139622.08265703602,0
ELT,D,20070619,000000,18.8564,19.3708,18.8216,19.1974,260581.95800734876,0
ELT,D,20070620,000000,19.2747,21.8462,18.814,20.3491,1581315.8717837024,0
ELT,D,20070621,000000,20.6575,20.9256,19.6005,19.7739,75164.87753358926,0
ELT,D,20070622,000000,19.9657,21.0408,19.8505,20.7332,86837.3359084562,0
ELT,D,20070625,000000,20.043,20.715,19.6209,20.715,107334.08834645811,0
ELT,D,20070626,000000,20.3491,20.5028,19.7739,20.5028,31271.73549684464,0
ELT,D,20070627,000000,20.5028,21.4818,20.3884,20.9832,125746.85030798685,0
ELT,D,20070628,000000,21.3099,21.4818,21.3099,21.4629,30622.385709370148,0
ELT,D,20070629,000000,21.4629,21.4629,20.6953,20.6953,24441.684378581074,0
ELT,D,20070702,000000,20.7725,21.1181,18.814,21.1181,88753.70967149468,0
ELT,D,20070703,000000,21.8281,21.8281,20.3884,20.4643,36706.74042535061,0
ELT,D,20070704,000000,20.3884,20.6575,19.6777,20.6575,39115.40579556048,0
ELT,D,20070705,000000,20.5423,20.9256,20.1581,20.5423,30487.764411966407,0
ELT,D,20070706,000000,20.5423,21.0211,19.9657,21.0211,32984.857497136465,0
ELT,D,20070709,000000,20.5423,21.1181,20.2543,20.9256,30404.6159635704,0
ELT,D,20070710,000000,20.7332,20.7332,19.9657,19.9657,22534.549332030434,0
ELT,D,20070711,000000,19.7739,19.9459,19.1974,19.7148,27857.369846034202,0
ELT,D,20070712,000000,19.9657,19.9657,18.814,19.5807,35777.58950993921,0
ELT,D,20070713,000000,19.7353,19.9657,19.2368,19.3125,11309.508798534018,0
ELT,D,20070716,000000,19.1603,20.715,18.6996,20.715,68202.84475120295,0
ELT,D,20070717,000000,19.5807,20.6575,19.5807,20.5423,12412.87551058697,0
