<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENT,D,20151214,000000,12.5814,12.66,10.6157,10.8675,53700.23953263392,0
ENT,D,20151215,000000,10.9309,11.1277,10.772,11.0795,2204.4102826289018,0
ENT,D,20151216,000000,11.0872,11.1125,11.0094,11.0094,88133.7911278335,0
ENT,D,20151217,000000,10.9705,11.0795,10.9705,11.0795,11390.242389459003,0
ENT,D,20151218,000000,11.0795,11.0795,11.0094,11.0094,555.2461990080317,0
ENT,D,20151221,000000,11.0094,11.0094,9.91731,10.9309,6363.429253023816,0
ENT,D,20151222,000000,10.1453,11.0872,10.1453,10.6006,12835.77673698311,0
ENT,D,20151223,000000,11.0094,11.0872,10.7028,11.0872,18924.5426250392,0
ENT,D,20151228,000000,10.4985,11.4022,10.4985,11.3236,9793.16963367684,0
ENT,D,20151229,000000,10.9072,11.5592,10.9072,11.246,10409.978311039706,0
ENT,D,20151230,000000,10.9462,11.6776,10.9462,11.6776,9445.104852209117,0
ENT,D,20160104,000000,11.6691,11.6691,11.3236,11.3236,165.74513403224825,0
ENT,D,20160105,000000,11.0094,11.4022,11.0094,11.4022,208.36531135482636,0
ENT,D,20160107,000000,11.0254,11.3236,11.0094,11.3236,948.2989454273633,0
ENT,D,20160108,000000,11.3236,11.3236,11.0728,11.0872,377.6621268306228,0
ENT,D,20160111,000000,11.0483,11.0872,10.9462,10.9462,2653.106038330488,0
ENT,D,20160112,000000,10.9462,10.9462,10.2704,10.8921,570.6368185967405,0
ENT,D,20160113,000000,10.8523,10.8523,10.8523,10.8523,879.6331041854319,0
ENT,D,20160114,000000,11.0094,11.0094,10.9309,10.9309,1207.57169080638,0
ENT,D,20160118,000000,10.9934,10.9934,10.9309,10.9782,367.00708249997825,0
ENT,D,20160119,000000,10.9309,10.9309,10.9309,10.9309,329.1224804354644,0
ENT,D,20160120,000000,10.9857,10.9857,10.6471,10.7341,395.42053404836366,0
ENT,D,20160121,000000,10.7341,10.7341,10.3878,10.6471,150.3545144435395,0
ENT,D,20160122,000000,10.664,10.664,10.419,10.4351,797.9444309838237,0
ENT,D,20160125,000000,10.6006,10.6006,10.2238,10.5221,114.83770000805772,0
ENT,D,20160126,000000,10.4908,10.4908,9.87679,10.3489,626.2798278789952,0
ENT,D,20160127,000000,10.2154,10.2238,10.1048,10.1048,1334.2483289595984,0
ENT,D,20160128,000000,10.1369,10.2238,9.83024,9.924,8483.783074822079,0
ENT,D,20160129,000000,10.2154,10.2154,9.83024,9.95526,13998.360462837882,0
ENT,D,20160201,000000,9.95526,9.97132,9.83024,9.95526,1368.5812495805642,0
ENT,D,20160202,000000,9.97132,10.1369,9.83024,10.1369,647.5899165402842,0
ENT,D,20160203,000000,10.9309,10.9309,9.89284,10.8523,913.9660248063975,0
ENT,D,20160204,000000,10.8523,10.8523,10.8523,10.8523,1.183893814516059,0
ENT,D,20160205,000000,10.2154,10.2154,9.95526,10.207,706.7846072660873,0
ENT,D,20160208,000000,10.1994,10.1994,10.1673,10.1673,1272.6858506047633,0
ENT,D,20160209,000000,10.2154,10.2154,9.94771,9.94771,949.4828392418792,0
ENT,D,20160210,000000,10.2154,10.2154,9.75932,10.1048,372.9265515725586,0
ENT,D,20160211,000000,10.1048,10.1048,10.1048,10.1048,1.183893814516059,0
ENT,D,20160212,000000,10.1369,10.1369,10.1369,10.1369,1.183893814516059,0
ENT,D,20160215,000000,10.0186,10.2154,9.80663,9.83024,40299.74544612665,0
ENT,D,20160216,000000,9.83024,10.1369,9.7509,10.1369,284.13451548385416,0
ENT,D,20160217,000000,10.9309,10.9309,10.1369,10.1369,197.71026702418183,0
ENT,D,20160218,000000,10.9225,10.9225,10.1453,10.4037,524.4649598306141,0
ENT,D,20160219,000000,10.3953,10.9225,9.59377,10.9225,5400.923581822261,0
ENT,D,20160222,000000,10.9225,10.9225,10.9225,10.9225,1.183893814516059,0
ENT,D,20160223,000000,10.9225,10.9225,10.9225,10.9225,1.183893814516059,0
ENT,D,20160224,000000,10.9225,10.9225,10.9225,10.9225,1.183893814516059,0
ENT,D,20160225,000000,10.8921,10.8921,10.8921,10.8921,1.183893814516059,0
ENT,D,20160226,000000,10.8921,10.8921,10.5685,10.5685,52.09132783870659,0
ENT,D,20160229,000000,10.8921,10.8921,10.8921,10.8921,1.183893814516059,0
ENT,D,20160301,000000,10.8675,10.8675,10.3176,10.8675,3.5516814435481767,0
ENT,D,20160302,000000,10.8675,10.8675,10.191,10.6157,47.35575258064236,0
ENT,D,20160303,000000,10.561,10.561,10.0659,10.5305,415.5467288951367,0
ENT,D,20160304,000000,10.5769,10.5769,10.4587,10.4587,36.700708249997824,0
ENT,D,20160307,000000,10.3016,10.6555,10.1369,10.6555,1986.573820757947,0
ENT,D,20160308,000000,10.9934,10.9934,10.6157,10.6157,37.884602064513885,0
ENT,D,20160309,000000,10.8523,10.8523,10.8059,10.8059,17.758407217740885,0
ENT,D,20160310,000000,10.8059,10.8059,10.419,10.419,224.9398247580512,0
ENT,D,20160311,000000,10.772,10.772,10.2788,10.2788,823.990094903177,0
ENT,D,20160314,000000,10.772,10.772,10.0254,10.0254,1534.3263836128124,0
ENT,D,20160315,000000,10.3016,10.3016,10.1048,10.2154,121.94106289515408,0
ENT,D,20160316,000000,10.3793,10.3793,10.3793,10.3793,1.183893814516059,0
ENT,D,20160317,000000,10.2238,10.2238,10.1453,10.1453,34.33292062096571,0
ENT,D,20160318,000000,10.1453,10.1453,9.98661,9.98661,583.6596505564171,0
ENT,D,20160321,000000,9.97973,10.0574,9.86914,9.86914,1527.2230207257162,0
ENT,D,20160322,000000,10.332,11.1666,10.332,10.6157,22813.633805724454,0
ENT,D,20160323,000000,10.6944,10.7028,10.2238,10.4351,19098.57501577306,0
ENT,D,20160324,000000,10.7028,11.0483,10.2619,11.0094,181164.16707250537,0
ENT,D,20160329,000000,11.0407,11.0407,11.0094,11.0331,325.57079899191626,0
ENT,D,20160330,000000,11.0094,11.0094,10.6555,10.9225,203.62973609676214,0
ENT,D,20160331,000000,11.0094,11.1125,10.5051,11.1125,10469.17300176551,0
ENT,D,20160401,000000,11.1277,11.7958,11.0956,11.7958,3398.9591414756055,0
ENT,D,20160404,000000,11.229,11.442,10.5051,10.8438,5136.91526118518,0
ENT,D,20160405,000000,10.8438,11.1902,10.5051,11.0094,968.4251402741362,0
ENT,D,20160406,000000,11.1277,11.1277,10.6944,10.6944,116.02159382257378,0
