<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ERB,D,20070511,000000,54.4198,68.9809,53.6105,67.2892,1293539.5344152255,0
ERB,D,20070514,000000,75.7468,78.6092,70.5977,78.6092,328100.70222836785,0
ERB,D,20070515,000000,77.2141,77.2141,73.1718,75.0104,106637.80436566897,0
ERB,D,20070516,000000,71.3332,74.275,69.8623,71.9218,72454.0137642565,0
ERB,D,20070517,000000,71.3332,73.5395,68.5384,71.9218,51887.596724176765,0
ERB,D,20070518,000000,70.9655,71.2593,68.8331,70.5977,40705.66152079269,0
ERB,D,20070521,000000,70.5977,76.1163,70.5977,74.275,40758.91939832409,0
ERB,D,20070522,000000,74.9366,75.7468,73.5395,75.0104,59676.561313158316,0
ERB,D,20070523,000000,75.0104,75.7468,74.0524,75.7468,40825.49174523782,0
ERB,D,20070524,000000,76.0397,76.0397,72.8032,75.3745,16339.073011017166,0
ERB,D,20070525,000000,72.2164,74.6391,72.2164,72.8032,17028.096801580847,0
ERB,D,20070528,000000,72.1416,73.4656,70.7438,72.8032,16320.210846058171,0
ERB,D,20070529,000000,73.3926,73.3926,70.5977,71.9218,11728.937987197012,0
ERB,D,20070530,000000,70.9655,70.9655,68.5384,70.9655,16637.53903301654,0
ERB,D,20070531,000000,71.4071,72.8032,70.6708,72.8032,22681.198593726538,0
ERB,D,20070601,000000,73.1718,73.1718,70.8925,72.8032,20657.39924752911,0
ERB,D,20070604,000000,70.5977,72.0687,69.1268,72.0687,14092.256302657386,0
ERB,D,20070605,000000,70.6708,72.3994,70.5977,72.0687,13111.423724785498,0
ERB,D,20070606,000000,70.7087,72.0687,69.7524,72.0687,18995.309652900247,0
ERB,D,20070608,000000,69.8992,69.9363,67.9507,69.8623,17319.905588889058,0
ERB,D,20070611,000000,69.8623,71.3332,69.1268,71.3332,11393.857174395194,0
ERB,D,20070612,000000,71.7019,72.4364,70.5977,72.0687,23412.38487066933,0
ERB,D,20070613,000000,72.0687,77.2141,72.0687,74.275,28200.046152928186,0
ERB,D,20070614,000000,74.6391,75.7468,73.5395,75.7468,17781.473860828217,0
ERB,D,20070615,000000,75.0104,75.3745,74.4237,75.0104,7117.693424261526,0
ERB,D,20070618,000000,73.0988,75.5972,73.0988,75.5972,69821.07744379248,0
ERB,D,20070619,000000,74.275,74.275,68.2445,69.1268,85013.99654876793,0
ERB,D,20070620,000000,69.1999,70.5977,68.5384,69.4947,65630.34820553342,0
ERB,D,20070621,000000,69.4947,69.8623,68.1716,68.3915,24513.04767298635,0
ERB,D,20070622,000000,68.3915,68.907,66.0382,68.7601,97284.38962420121,0
ERB,D,20070625,000000,68.3915,68.3915,66.3321,66.6998,13126.95727239891,0
ERB,D,20070626,000000,67.9877,67.9877,66.1482,66.8476,141862.34265717695,0
ERB,D,20070627,000000,66.8476,67.5821,63.3903,65.6706,25234.2480978924,0
ERB,D,20070628,000000,64.0897,66.1861,63.5382,65.0829,10974.451388834103,0
ERB,D,20070629,000000,64.7143,65.0829,62.2151,62.5088,10487.363717243737,0
ERB,D,20070702,000000,59.9349,61.2579,59.677,60.6711,37431.41159172078,0
ERB,D,20070703,000000,60.3025,63.6111,60.3025,63.2443,13162.462524086859,0
ERB,D,20070704,000000,63.2443,64.6782,61.6625,63.6111,5615.377462227285,0
ERB,D,20070705,000000,64.2357,64.2357,61.1101,62.8027,5796.232338011255,0
ERB,D,20070706,000000,62.5088,63.8319,61.7724,63.8319,26502.451306611376,0
ERB,D,20070709,000000,64.6421,66.1861,63.8319,65.5236,24098.080043887432,0
ERB,D,20070710,000000,65.3406,65.4137,64.3475,65.0829,15094.17012371831,0
ERB,D,20070711,000000,65.0829,65.0829,63.9796,65.0829,10850.183007926802,0
ERB,D,20070712,000000,66.0003,69.1268,66.0003,66.9215,18261.904297727415,0
ERB,D,20070713,000000,68.3915,69.8623,68.0238,69.5316,17256.661859319862,0
ERB,D,20070716,000000,69.5316,69.5316,65.8922,67.9507,13577.430153185782,0
ERB,D,20070717,000000,66.1861,69.1268,66.1861,68.0238,13808.214289155883,0
ERB,D,20070718,000000,69.1268,69.1268,66.5529,68.3915,4812.071142793783,0
ERB,D,20070719,000000,68.3175,68.7601,67.656,68.3915,5462.261064324141,0
ERB,D,20070720,000000,68.4653,68.943,66.4429,68.0238,5212.614763395253,0
ERB,D,20070723,000000,66.5529,67.9877,65.9283,66.9215,60281.26013096377,0
ERB,D,20070724,000000,67.5821,67.5821,63.6111,65.7813,16985.93431520173,0
ERB,D,20070725,000000,64.7143,64.7513,63.4641,64.7143,4731.074787381348,0
ERB,D,20070726,000000,64.3475,65.3406,63.9796,63.9796,26853.065667026607,0
