<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETL,D,20061229,000000,3.96361,3.96612,3.68074,3.84735,1422153.4102902,0
ETL,D,20070102,000000,3.94188,3.96612,3.82815,3.88411,316851.26003231,0
ETL,D,20070103,000000,3.89096,3.89096,3.63247,3.68794,110695.68456229,0
ETL,D,20070104,000000,3.68074,3.68074,3.44153,3.58161,105574.1447562,0
ETL,D,20070105,000000,3.54542,3.66649,3.49225,3.60571,59566.170343899,0
ETL,D,20070108,000000,3.56714,3.60843,3.51167,3.60843,53197.883424593,0
ETL,D,20070109,000000,3.62051,3.62051,3.57203,3.60843,10771.265243376,0
ETL,D,20070110,000000,3.60571,3.60571,3.53095,3.59363,6376.8753035534,0
ETL,D,20070111,000000,3.5552,3.63247,3.46571,3.63247,57881.415634072,0
ETL,D,20070112,000000,3.6347,3.70492,3.59635,3.63247,75934.199321707,0
ETL,D,20070115,000000,3.69289,3.69289,3.58419,3.60843,52018.411987977,0
ETL,D,20070116,000000,3.67843,3.67843,3.60347,3.62051,29934.813293651,0
ETL,D,20070117,000000,3.62275,3.67584,3.59865,3.62051,40754.74604776,0
ETL,D,20070118,000000,3.59635,3.59635,3.57441,3.59635,48736.217808168,0
ETL,D,20070119,000000,3.67096,3.67096,3.53822,3.66649,33586.307996089,0
ETL,D,20070122,000000,3.68074,3.70492,3.60843,3.65182,28132.68399911,0
ETL,D,20070123,000000,3.65656,3.65656,3.58419,3.58419,10371.905375881,0
ETL,D,20070124,000000,3.60843,3.68074,3.58419,3.63247,30278.348663539,0
ETL,D,20070125,000000,3.60843,3.7508,3.60843,3.7508,132651.88889028,0
ETL,D,20070126,000000,3.72677,3.7508,3.63247,3.7316,20481.865032221,0
ETL,D,20070129,000000,3.78706,3.82325,3.72677,3.82325,52834.308491462,0
ETL,D,20070130,000000,3.78706,3.79916,3.71693,3.78218,56029.187431424,0
ETL,D,20070131,000000,3.70749,3.82325,3.70492,3.82102,137750.52633838,0
ETL,D,20070201,000000,3.78706,3.82325,3.77498,3.77498,62646.537493899,0
ETL,D,20070202,000000,3.82584,4.52649,3.77498,4.3964,1572475.8997691,0
ETL,D,20070205,000000,4.3964,4.49267,4.11835,4.26583,384586.41519269,0
