<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUR,D,20050204,000000,2.05733,2.1648,2.05733,2.1147,10971814.48155421,0
EUR,D,20050207,000000,2.1147,2.15762,2.07177,2.15762,1864057.9228445478,0
EUR,D,20050208,000000,2.15762,2.15762,2.12178,2.15046,1235008.9867129878,0
EUR,D,20050209,000000,2.15046,2.17197,2.1362,2.1648,1542133.0454313944,0
EUR,D,20050210,000000,2.17197,2.18622,2.15762,2.17197,603737.6433644006,0
EUR,D,20050211,000000,2.1648,2.19348,2.15046,2.1648,689936.1494188084,0
EUR,D,20050214,000000,2.1362,2.17197,2.1362,2.14319,146826.819235072,0
EUR,D,20050215,000000,2.1362,2.15046,2.1362,2.15046,90534.53893089278,0
EUR,D,20050216,000000,2.14319,2.14319,2.07885,2.1362,791617.5345326827,0
EUR,D,20050217,000000,2.10036,2.1362,2.07177,2.1362,558652.0390997516,0
EUR,D,20050218,000000,2.10743,2.12178,2.07885,2.12178,66435.07271270349,0
EUR,D,20050221,000000,2.12904,2.12904,2.0429,2.07177,225802.22988057736,0
EUR,D,20050222,000000,2.07177,2.09309,2.06441,2.09309,253316.34918439537,0
EUR,D,20050223,000000,2.08593,2.09309,2.07177,2.07885,190876.82307363042,0
EUR,D,20050224,000000,2.07177,2.10743,2.07177,2.10743,258337.70587226382,0
EUR,D,20050225,000000,2.10743,2.15046,2.10743,2.1362,745606.1992148772,0
EUR,D,20050228,000000,2.1362,2.1362,2.09309,2.1147,85350.00990697455,0
EUR,D,20050301,000000,2.1147,2.1147,2.06441,2.10036,40394.94351115995,0
EUR,D,20050302,000000,2.10036,2.10743,2.06441,2.10743,59948.42844715112,0
EUR,D,20050303,000000,2.10743,2.12904,2.08593,2.10036,52248.86981700074,0
EUR,D,20050304,000000,2.09309,2.10036,2.07885,2.10036,146177.39333761876,0
EUR,D,20050307,000000,2.10036,2.10743,2.10036,2.10743,33913.73832347466,0
EUR,D,20050308,000000,2.10743,2.10743,2.10743,2.10743,25081.763681176122,0
EUR,D,20050309,000000,2.10743,2.12178,2.08593,2.10743,71325.8915317428,0
EUR,D,20050310,000000,2.10743,2.12178,2.10743,2.10743,340770.19441076217,0
EUR,D,20050311,000000,2.10743,2.10743,2.07177,2.10743,76074.2065106358,0
EUR,D,20050314,000000,2.10743,2.10743,2.07885,2.07885,147417.5030915586,0
EUR,D,20050315,000000,2.07885,2.10036,2.07177,2.09309,46659.67339969274,0
EUR,D,20050316,000000,2.09309,2.09309,2.07885,2.07885,110489.42781354919,0
EUR,D,20050317,000000,1.98554,2.07177,1.98554,2.07177,109348.3092768201,0
EUR,D,20050318,000000,2.05733,2.09309,2.02139,2.08593,205660.23671925813,0
EUR,D,20050321,000000,2.08593,2.08593,2.06441,2.07177,108157.1512236947,0
EUR,D,20050322,000000,2.05017,2.06441,2.03582,2.05017,726656.451922244,0
EUR,D,20050323,000000,2.05017,2.05017,2.01422,2.01422,18674.52995249807,0
