<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEE,D,20130510,000000,8.02213,8.11434,7.74543,7.83773,82054.0818727903,0
FEE,D,20130513,000000,7.97598,8.28029,7.97598,8.28029,6607.719298362,0
FEE,D,20130514,000000,8.29875,8.39095,8.20654,8.38172,2461.9415205111995,0
FEE,D,20130515,000000,8.39095,8.62151,8.3448,8.61228,4706.7134503752995,0
FEE,D,20130516,000000,8.61228,8.66756,8.61228,8.66756,5142.081871435599,0
FEE,D,20130517,000000,8.66756,8.66756,8.57536,8.57536,146.15204678619997,0
FEE,D,20130520,000000,8.57536,8.73217,8.57536,8.73217,3025.9649123339996,0
FEE,D,20130521,000000,8.75977,9.12829,8.66756,8.94466,3639.3918129296,0
FEE,D,20130522,000000,9.11061,9.94035,9.11061,9.6819,8197.8947369865,0
FEE,D,20130523,000000,9.6819,10.1891,9.5896,9.7742,4241.4970760981,0
FEE,D,20130524,000000,9.95784,10.2347,9.86553,10.0501,17610.292397971,0
FEE,D,20130527,000000,10.0501,10.0501,9.73728,9.95784,2660.5847953684997,0
FEE,D,20130528,000000,10.0414,10.0501,9.04532,9.12829,5337.637426994599,0
FEE,D,20130529,000000,9.67316,9.67316,9.22992,9.54297,3298.7134503505,0
FEE,D,20130531,000000,9.6819,9.6819,9.6819,9.6819,1.0292397661,0
FEE,D,20130605,000000,9.55268,9.55268,8.94466,9.405,601.0760234024,0
FEE,D,20130606,000000,9.39626,9.56143,9.39626,9.4973,2175.8128655354,0
FEE,D,20130612,000000,8.86169,9.39626,8.86169,9.39626,58.66666666769999,0
FEE,D,20130613,000000,8.75977,9.22069,8.75977,9.22069,163.64912280989998,0
FEE,D,20130614,000000,9.22069,9.22069,9.20203,9.22069,1085.8479532355,0
FEE,D,20130617,000000,9.22069,9.22069,8.85197,8.94466,15921.309941800899,0
FEE,D,20130618,000000,9.02763,9.44289,9.02763,9.44289,4656.280701836399,0
FEE,D,20130619,000000,9.26703,9.35934,9.22069,9.35934,7065.7309942765,0
FEE,D,20130620,000000,9.23886,9.29424,9.22069,9.25829,8084.678362715499,0
FEE,D,20130621,000000,9.17493,9.37682,9.17493,9.37682,2527.8128655416,0
FEE,D,20130624,000000,9.23886,9.44289,9.22069,9.44289,1703.3918128955,0
FEE,D,20130625,000000,9.405,9.58086,9.22069,9.44289,7683.274853936499,0
FEE,D,20130626,000000,9.5896,9.5896,9.45066,9.4973,2169.6374269387998,0
FEE,D,20130627,000000,9.4973,9.4973,9.39626,9.4973,2742.9239766564997,0
FEE,D,20130628,000000,9.4973,9.5896,9.4973,9.5896,264.51461988769995,0
FEE,D,20130701,000000,9.5896,9.81987,9.5896,9.7742,860.4444444595999,0
FEE,D,20130702,000000,9.72757,9.72757,9.56143,9.72757,547.5555555651999,0
FEE,D,20130703,000000,9.72757,9.72757,9.5896,9.72757,465.2163742772,0
FEE,D,20130704,000000,9.72757,10.1424,9.72757,10.1424,3508.6783626348997,0
FEE,D,20130705,000000,10.1424,10.1424,10.1424,10.1424,25.730994152499996,0
FEE,D,20130708,000000,9.86553,9.86553,9.86553,9.86553,23.6725146203,0
FEE,D,20130709,000000,9.86553,9.86553,9.63527,9.86553,1604.5847953498999,0
FEE,D,20130710,000000,9.86553,9.86553,9.64498,9.86553,1326.6900585028998,0
FEE,D,20130711,000000,9.64498,9.86553,9.64498,9.86553,240.84210526739997,0
FEE,D,20130712,000000,9.95784,10.0501,9.86553,10.0501,2920.9824561918,0
FEE,D,20130715,000000,9.95784,10.0501,9.95784,10.0501,2025.5438596847998,0
FEE,D,20130716,000000,10.0501,10.6039,10.0501,10.4193,3125.8011696456997,0
FEE,D,20130717,000000,10.4106,11.3783,10.4106,10.5116,709.1461988428999,0
FEE,D,20130718,000000,11.2501,11.8952,11.0645,11.526,1780.584795353,0
FEE,D,20130719,000000,11.7475,11.7475,11.0742,11.3783,1890.7134503256998,0
FEE,D,20130722,000000,11.7572,11.7572,11.4249,11.4249,82.33918128799999,0
FEE,D,20130723,000000,11.7009,11.7009,11.4249,11.4249,19.5555555559,0
FEE,D,20130724,000000,10.6953,11.3424,10.5116,11.2501,907.7894737001999,0
FEE,D,20130725,000000,10.5214,11.388,10.5116,11.0645,852.2105263307999,0
FEE,D,20130726,000000,10.9265,11.2685,10.9265,11.0373,1127.0175438795,0
FEE,D,20130729,000000,11.4803,11.4803,11.0742,11.4803,126.59649123029999,0
FEE,D,20130730,000000,11.7572,11.7572,10.9916,11.0645,2225.2163743081996,0
FEE,D,20130731,000000,11.1111,11.4347,11.0645,11.4347,1156.8654970963998,0
FEE,D,20130801,000000,11.4249,11.4249,10.9722,11.0373,912.9356725306999,0
FEE,D,20130802,000000,11.3326,11.388,10.8255,11.388,724.5847953343999,0
FEE,D,20130805,000000,11.388,11.388,11.0645,11.3424,571.2280701855,0
FEE,D,20130806,000000,11.0004,11.388,10.9722,11.388,185.26315789799997,0
FEE,D,20130807,000000,11.0188,11.388,11.0188,11.0188,611.3684210634,0
FEE,D,20130808,000000,11.0188,11.0645,10.9722,11.0188,1219.6491228285,0
FEE,D,20130809,000000,11.0188,11.0188,11.0188,11.0188,123.50877193199999,0
FEE,D,20130812,000000,11.0645,11.7572,11.0645,11.7106,2546.3391813313997,0
FEE,D,20130813,000000,11.7106,13.9239,11.6183,13.9239,9289.9181288186,0
FEE,D,20130814,000000,13.9239,14.8459,13.8316,14.1075,6200.140350986399,0
FEE,D,20130816,000000,14.3844,15.6669,14.2921,15.6669,3010.5263158424996,0
FEE,D,20130819,000000,15.7029,16.7813,14.7993,15.629,3745.4035088378996,0
FEE,D,20130820,000000,14.7993,15.6756,14.7993,15.6756,671.0643274971999,0
FEE,D,20130821,000000,15.6756,16.5054,15.2141,16.0905,901.6140351035999,0
FEE,D,20130822,000000,16.0905,16.0905,15.5095,15.6756,759.5789473817999,0
FEE,D,20130823,000000,15.6756,15.6756,15.6572,15.6756,841.9181286697999,0
FEE,D,20130826,000000,15.6756,15.6756,15.1685,15.4813,3098.0116959609995,0
FEE,D,20130827,000000,15.491,15.491,15.2239,15.2239,2170.6666667049,0
FEE,D,20130828,000000,15.2141,15.2141,14.6147,15.1685,2268.4444444844,0
FEE,D,20130829,000000,15.1685,15.1685,15.0295,15.0295,223.34502924369997,0
FEE,D,20130830,000000,15.1588,15.1588,15.0198,15.0295,1394.6198830654998,0
FEE,D,20130902,000000,15.0295,15.2141,14.7993,15.0295,2742.9239766564997,0
FEE,D,20130903,000000,14.7536,14.9372,14.7536,14.9372,593.8713450396999,0
FEE,D,20130904,000000,15.2141,15.3987,14.6613,14.9285,1253.6140351098,0
FEE,D,20130905,000000,14.6798,15.1588,13.5547,14.2464,10846.1286551618,0
FEE,D,20130906,000000,14.707,15.491,14.2921,15.491,4300.1637427658,0
FEE,D,20130909,000000,15.491,16.7357,15.2141,16.7357,3738.1988304751994,0
FEE,D,20130910,000000,16.5977,18.2572,16.5977,17.4274,7527.859649255399,0
FEE,D,20130911,000000,17.6111,17.9803,16.4131,17.3808,3786.5730994818996,0
FEE,D,20130912,000000,17.7957,17.7957,16.8377,17.7869,1191.8596491438,0
FEE,D,20130913,000000,17.8695,17.8695,17.0864,17.7034,86.45614035239998,0
FEE,D,20130916,000000,17.7957,17.888,17.2428,17.2885,1254.6432748758998,0
FEE,D,20130917,000000,17.888,17.888,17.2885,17.888,550.6432748635,0
FEE,D,20130918,000000,17.888,17.888,17.8423,17.8423,84.39766082019999,0
FEE,D,20130919,000000,17.888,17.888,17.7957,17.7957,835.7426900731999,0
FEE,D,20130920,000000,17.2982,17.7034,17.2982,17.7034,248.04678363009998,0
FEE,D,20130923,000000,17.8792,17.8792,17.3351,17.8792,102.92397660999998,0
FEE,D,20130924,000000,17.8792,17.8792,17.5188,17.6392,222.3157894776,0
FEE,D,20130925,000000,17.888,17.888,17.8608,17.8608,23.6725146203,0
FEE,D,20130926,000000,17.5188,17.7957,17.2623,17.5188,1584.0000000279,0
FEE,D,20130927,000000,17.8695,17.8695,17.7957,17.7957,2.0584795322,0
FEE,D,20130930,000000,17.7957,17.888,17.7957,17.7957,655.6257310056999,0
FEE,D,20131001,000000,17.7957,18.2572,17.5285,18.2572,1445.0526316044,0
FEE,D,20131002,000000,18.2572,18.2572,18.2105,18.2105,28.818713450799997,0
FEE,D,20131003,000000,17.3448,18.2572,17.3351,18.1095,631.9532163854,0
FEE,D,20131004,000000,18.2484,18.2484,18.2484,18.2484,1.0292397661,0
FEE,D,20131007,000000,18.2105,18.2105,17.9715,18.0726,5938.713450396999,0
FEE,D,20131008,000000,18.0726,18.1649,17.9803,18.1649,1738.3859649428998,0
FEE,D,20131009,000000,17.3448,18.1649,17.3448,18.1182,1497.5438596754998,0
FEE,D,20131010,000000,18.1649,18.1649,17.7957,18.1095,8252.444444589799,0
FEE,D,20131011,000000,18.1095,18.1095,17.9803,17.9803,4.1169590644,0
FEE,D,20131014,000000,18.3407,18.4146,17.9803,18.4146,463.15789474499996,0
FEE,D,20131015,000000,18.4146,20.2402,18.4146,20.2402,9193.169590805199,0
FEE,D,20131016,000000,20.2402,22.1299,19.3638,19.3638,761.6374269139999,0
FEE,D,20131017,000000,20.1935,22.1299,20.1935,22.1299,373.61403509429994,0
FEE,D,20131018,000000,22.1299,22.1299,21.1059,21.3925,1080.701754405,0
FEE,D,20131021,000000,22.1299,22.5905,21.1156,22.1299,8199.9532165187,0
FEE,D,20131022,000000,22.2319,23.974,21.3002,22.4068,5212.0701755304,0
FEE,D,20131023,000000,22.4068,22.4068,21.6869,22.1202,780.1637427037999,0
FEE,D,20131024,000000,22.4068,22.4068,21.3925,21.6597,2027.6023392169998,0
FEE,D,20131025,000000,21.6228,21.9453,21.6228,21.6694,1139.3684210727,0
FEE,D,20131028,000000,22.1299,22.1299,21.3002,21.8997,2125.3801169965,0
FEE,D,20131029,000000,21.8812,22.1202,21.6694,22.1115,1204.210526337,0
FEE,D,20131030,000000,22.1115,22.1115,21.6597,21.8433,302.59649123339995,0
FEE,D,20131031,000000,21.7976,21.7976,21.2263,21.6597,164.67836257599998,0
FEE,D,20131104,000000,21.6597,21.6597,21.2166,21.613,590.7836257414,0
FEE,D,20131105,000000,21.613,21.613,21.2166,21.5771,313.9181286605,0
FEE,D,20131106,000000,21.5674,21.8433,21.4848,21.6043,918.0818713611999,0
FEE,D,20131107,000000,21.6043,22.0094,21.3925,22.0094,544.4678362668999,0
FEE,D,20131108,000000,21.7704,22.1299,21.3186,22.1299,1116.7251462185,0
FEE,D,20131112,000000,22.1299,22.7751,22.1299,22.6828,6229.9883042033,0
FEE,D,20131113,000000,22.6828,22.6828,22.2319,22.4894,833.684210541,0
FEE,D,20131114,000000,22.4991,23.052,22.4991,22.5905,1690.0116959361999,0
FEE,D,20131115,000000,23.0432,23.0432,22.1581,22.8674,5044.304093656099,0
FEE,D,20131118,000000,23.3289,24.8873,23.3289,23.5125,2249.9181286946,0
FEE,D,20131119,000000,23.9274,23.9274,23.3842,23.5504,1017.9181286728999,0
FEE,D,20131120,000000,23.5504,23.6048,23.5504,23.6048,2417.6842105688997,0
FEE,D,20131121,000000,23.6048,23.6048,22.7848,23.5591,4568.795321717899,0
FEE,D,20131122,000000,23.5504,23.5504,22.8674,23.4484,403.46198831119995,0
FEE,D,20131125,000000,23.4484,23.4484,22.2222,22.812,2208.7485380505996,0
FEE,D,20131126,000000,22.9043,22.9043,22.2222,22.7653,360.23391813499995,0
FEE,D,20131127,000000,22.5448,22.5448,22.0843,22.3145,1097.1695906625998,0
FEE,D,20131128,000000,22.3145,23.0063,21.2079,22.9966,2317.8479532571996,0
FEE,D,20131129,000000,22.914,23.4581,22.1299,23.2278,1623.1111111397,0
FEE,D,20131202,000000,22.8674,23.3745,22.8674,23.3745,448.74853801959995,0
FEE,D,20131203,000000,23.4668,23.4668,22.8674,22.8674,82.33918128799999,0
FEE,D,20131204,000000,23.4581,23.4581,22.1484,22.7751,1399.7660818959998,0
FEE,D,20131205,000000,23.4581,23.4668,22.6828,23.2366,1819.6959064648,0
FEE,D,20131206,000000,23.4668,23.4668,23.4212,23.4212,652.5380117074,0
FEE,D,20131209,000000,23.4212,23.4668,23.4124,23.4668,1043.6491228254,0
FEE,D,20131210,000000,23.4766,24.4258,23.4766,23.974,2150.0818713829,0
FEE,D,20131211,000000,23.974,24.4345,23.6048,24.4345,480.65497076869997,0
FEE,D,20131212,000000,24.4345,24.4345,24.4345,24.4345,69.98830409479999,0
FEE,D,20131213,000000,24.4345,24.4345,23.6612,24.2509,177.0292397692,0
FEE,D,20131216,000000,24.5268,24.5268,23.974,23.974,244.95906433179996,0
FEE,D,20131217,000000,24.4345,24.7309,23.4853,23.6048,1701.3333333632997,0
FEE,D,20131218,000000,24.6191,24.6191,22.1581,23.0063,1736.3274854106999,0
FEE,D,20131219,000000,24.3704,24.3704,23.974,23.974,3.0877192982999997,0
FEE,D,20131220,000000,23.974,23.974,22.6468,23.2735,2097.5906433118,0
FEE,D,20131223,000000,24.1499,24.1499,22.6828,22.6828,468.30409357549996,0
FEE,D,20131227,000000,23.5591,23.5591,22.6371,23.2084,212.02339181659997,0
FEE,D,20131230,000000,23.2181,23.7807,22.5905,23.5047,1292.7251462216,0
FEE,D,20140102,000000,23.5047,23.974,22.8771,22.8771,924.2573099577999,0
FEE,D,20140103,000000,23.5047,23.8817,22.3145,22.3145,453.89473685009995,0
FEE,D,20140107,000000,21.9453,23.5047,21.9453,22.9597,285.0994152097,0
