<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FRO,D,20100414,000000,5.65461,5.82607,5.37626,5.38447,293180.0181092059,0
FRO,D,20100415,000000,5.53054,5.55623,5.38447,5.38447,125677.40376033314,0
FRO,D,20100416,000000,5.51796,5.51796,5.3123,5.46154,493.81040811656516,0
FRO,D,20100419,000000,5.3123,5.3123,4.98227,5.30786,795.1409528543618,0
FRO,D,20100420,000000,5.48354,5.50478,5.19208,5.4409,333059.1909066195,0
FRO,D,20100421,000000,5.19208,5.4409,5.19208,5.4409,495.1378554502119,0
FRO,D,20100422,000000,5.39321,5.39773,5.39321,5.39321,1407.0941736654813,0
FRO,D,20100423,000000,5.18357,5.33423,5.18357,5.20895,3175.25402208286,0
FRO,D,20100426,000000,5.39773,5.50478,5.23463,5.39773,3621.2763261881446,0
FRO,D,20100427,000000,5.3123,5.3123,5.23907,5.23907,1168.153653609079,0
FRO,D,20100428,000000,5.18357,5.18357,5.14069,5.18357,1193.3751529483661,0
FRO,D,20100429,000000,5.44458,5.50478,5.22641,5.22641,1008.8599735714773,0
FRO,D,20100430,000000,5.14469,5.46154,5.14069,5.46154,1485.4135663506356,0
FRO,D,20100505,000000,5.3123,5.3123,5.09798,5.09798,312388.18102707335,0
FRO,D,20100507,000000,5.05971,5.09798,5.05474,5.05474,41776.09503719469,0
FRO,D,20100510,000000,5.14069,5.14069,5.14069,5.14069,488.5006187819784,0
FRO,D,20100511,000000,5.14469,5.14469,4.99071,4.99071,25553.361172698602,0
FRO,D,20100512,000000,5.18357,5.18357,5.14069,5.14069,1111.0734182622716,0
FRO,D,20100513,000000,5.16638,5.16638,5.16638,5.16638,2366.8385958920317,0
FRO,D,20100514,000000,5.14069,5.26959,5.14069,5.26959,4263.760835673138,0
FRO,D,20100517,000000,5.26959,5.26959,5.26959,5.26959,500.44764478479857,0
FRO,D,20100518,000000,5.26959,5.26959,5.26959,5.26959,7324.8543870623835,0
FRO,D,20100520,000000,5.26033,5.26522,4.92697,5.26033,2421.2639365715454,0
