<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOP,D,20200417,000000,34.1051,34.1832,29.5214,34.1832,120060.28131511204,0
GOP,D,20200420,000000,37.912,37.912,31.3085,36.8944,569379.353737455,0
GOP,D,20200421,000000,37.2907,37.9079,33.8723,35.3482,89997.24405791309,0
GOP,D,20200422,000000,34.1832,35.3482,32.862,33.4058,103712.65049357018,0
GOP,D,20200423,000000,34.4934,38.3785,33.1727,33.4058,406768.33128965355,0
GOP,D,20200424,000000,31.8522,32.4503,27.968,30.7647,555306.5466586603,0
GOP,D,20200427,000000,30.842,33.4058,29.6146,30.2981,139685.9657549042,0
GOP,D,20200428,000000,30.291,30.6873,27.968,30.2209,96878.14696661381,0
GOP,D,20200429,000000,30.2209,30.2599,28.7448,28.9003,52401.20447292552,0
GOP,D,20200430,000000,28.9003,28.9003,26.5853,28.3173,60023.24345216459,0
GOP,D,20200504,000000,29.5997,31.0757,29.5214,31.0757,51424.3093816409,0
GOP,D,20200505,000000,32.629,32.629,30.7647,31.6195,35908.10531943164,0
GOP,D,20200506,000000,31.775,31.775,30.0111,30.0262,23791.596497878883,0
GOP,D,20200507,000000,30.9042,30.9042,29.5525,29.5606,19802.503705354997,0
GOP,D,20200508,000000,29.5525,30.1434,28.3093,29.2885,32251.332423172953,0
GOP,D,20200511,000000,29.5214,29.7544,28.3563,28.807,15371.989767604477,0
GOP,D,20200512,000000,29.0247,29.0247,27.8746,28.2783,15232.79162237715,0
GOP,D,20200513,000000,28.4729,28.4729,27.1986,28.3563,15853.540107853067,0
GOP,D,20200514,000000,28.7289,28.7289,27.1906,27.5797,24233.01764310551,0
GOP,D,20200515,000000,27.5797,28.5502,27.2688,28.3173,10938.96775516523,0
GOP,D,20200518,000000,28.4338,28.4338,27.6571,28.3524,15368.22765557081,0
GOP,D,20200519,000000,28.0455,28.3563,27.9721,28.0455,3305.642439827447,0
GOP,D,20200520,000000,27.9753,30.1434,27.9753,30.0653,25727.83015762587,0
GOP,D,20200521,000000,30.0653,30.0653,28.9776,29.3779,12016.185834001302,0
GOP,D,20200522,000000,29.102,29.102,28.0685,28.5892,5900.2457053824355,0
GOP,D,20200525,000000,28.0534,28.1236,27.5015,27.929,25731.59226965839,0
GOP,D,20200526,000000,27.968,28.5119,27.6571,28.2009,11971.040489603032,0
GOP,D,20200527,000000,28.3524,28.3524,27.7344,27.7344,21686.067796637522,0
GOP,D,20200528,000000,27.968,28.2783,27.696,28.2783,6719.13209127311,0
GOP,D,20200529,000000,28.2783,29.2112,27.7344,28.24,7321.0700165829885,0
GOP,D,20200601,000000,27.968,28.2783,27.2688,27.968,17076.22651863772,0
GOP,D,20200602,000000,28.2009,28.2009,27.673,27.7344,5090.13758090277,0
GOP,D,20200603,000000,27.7344,28.7407,27.5797,27.886,15739.422709511882,0
GOP,D,20200604,000000,27.8899,28.3134,27.4242,27.5095,10229.18261823702,0
GOP,D,20200605,000000,27.9448,28.1236,27.3461,27.968,13384.340576736824,0
GOP,D,20200608,000000,28.1236,28.1236,26.8804,27.8899,27575.027165921252,0
GOP,D,20200609,000000,28.1236,28.4338,27.4625,27.968,17457.453871334856,0
GOP,D,20200610,000000,28.1236,28.5502,27.6571,28.2783,9778.983211599034,0
GOP,D,20200612,000000,26.9968,28.2783,26.9657,28.2783,7135.472489612453,0
GOP,D,20200615,000000,28.2783,28.2783,27.5015,27.7344,4654.986622397502,0
GOP,D,20200616,000000,27.968,28.2783,27.6571,28.2009,4128.290937751216,0
GOP,D,20200617,000000,28.1547,28.2009,27.7735,28.1077,3873.7213568387956,0
GOP,D,20200618,000000,28.2783,34.5715,28.1236,34.5715,124614.94494995636,0
GOP,D,20200619,000000,34.944,36.8633,33.266,34.9599,114104.85796657986,0
