<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPP,D,20211209,000000,60.7071,60.9532,57.4256,57.4256,2667531.2064410243,0
GPP,D,20211210,000000,56.6216,57.0073,53.3238,55.3747,1167746.494805113,0
GPP,D,20211213,000000,55.424,55.4896,54.5544,55.3747,222457.91359156775,0
GPP,D,20211214,000000,55.5059,55.7849,54.5544,54.9646,118766.44239113388,0
GPP,D,20211215,000000,55.2927,55.3747,54.5626,55.3747,95470.7543159919,0
GPP,D,20211216,000000,55.7849,55.8588,55.1778,55.6784,71246.2129985712,0
GPP,D,20211217,000000,55.7849,55.8014,54.9646,55.4568,90731.40863883498,0
GPP,D,20211220,000000,54.9646,55.7766,54.9646,54.9646,59882.99787448334,0
GPP,D,20211221,000000,54.9646,55.3584,54.579,54.9646,105722.27107136384,0
GPP,D,20211222,000000,55.2106,55.7849,55.2025,55.5387,95334.22995492163,0
GPP,D,20211223,000000,55.7849,56.5232,55.6701,56.4412,5515.827980744113,0
GPP,D,20211227,000000,56.6053,58.164,56.6053,57.4339,43034.42895739043,0
GPP,D,20211228,000000,57.8276,57.8276,57.4421,57.6717,18118.733062051215,0
GPP,D,20211229,000000,57.7538,59.4192,57.68,58.8531,25844.549137621252,0
GPP,D,20211230,000000,59.0663,59.7226,59.0663,59.4767,46870.519709965505,0
GPP,D,20220103,000000,59.4767,60.2969,59.4767,60.1902,16020.889978104124,0
GPP,D,20220104,000000,60.6661,62.676,59.8949,61.3633,97541.78011472795,0
GPP,D,20220105,000000,60.8711,62.3396,60.8711,61.9459,55515.43728774184,0
GPP,D,20220107,000000,61.9377,62.3396,61.5275,61.6915,93932.41731893092,0
GPP,D,20220110,000000,61.6915,62.1427,61.6915,61.9787,34045.762541919445,0
GPP,D,20220111,000000,62.2657,62.6677,61.5357,62.1427,240913.08168625625,0
GPP,D,20220112,000000,62.1838,63.5784,62.1838,62.9467,84194.08588508258,0
GPP,D,20220113,000000,63.9065,63.9065,63.0042,63.7425,41209.6345955839,0
GPP,D,20220114,000000,63.5784,63.8656,63.1764,63.6604,158512.09700773237,0
GPP,D,20220117,000000,63.9886,64.1526,63.5702,64.1526,14138.804143348492,0
GPP,D,20220118,000000,64.1526,65.3832,63.3323,63.9886,144535.4155431566,0
GPP,D,20220119,000000,63.5784,65.5309,62.3479,64.932,97848.95992713691,0
GPP,D,20220120,000000,64.932,64.932,59.3371,60.7071,235159.55504115068,0
GPP,D,20220121,000000,60.7071,62.2166,60.0508,61.2814,66738.47114823021,0
GPP,D,20220124,000000,61.5275,61.5686,60.3789,60.6169,77650.66829378146,0
GPP,D,20220125,000000,59.9031,61.1994,59.9031,60.6497,35809.608528247634,0
GPP,D,20220126,000000,60.6497,60.748,59.8949,60.2559,12249.404503535505,0
GPP,D,20220127,000000,59.3452,60.2395,59.0663,59.6817,18490.518152465535,0
GPP,D,20220128,000000,59.6817,59.8868,57.6143,58.2461,8307.263577628979,0
GPP,D,20220131,000000,59.6242,59.6242,57.4584,59.0663,7885.500819322355,0
GPP,D,20220201,000000,59.4767,60.7399,59.3946,59.8949,10908.540243023024,0
GPP,D,20220202,000000,60.2969,61.5275,60.2969,61.5275,22123.041330944387,0
GPP,D,20220203,000000,61.5275,61.7736,61.1173,61.1173,18329.6144412048,0
GPP,D,20220204,000000,61.7736,61.7736,61.1173,61.1173,21055.22579257368,0
GPP,D,20220207,000000,59.8868,59.8868,56.7693,59.1157,45004.28045283433,0
GPP,D,20220208,000000,60.6906,60.8711,59.7638,60.5431,10334.406546021883,0
GPP,D,20220209,000000,61.5275,62.3314,60.6333,61.4208,61140.972344345304,0
GPP,D,20220210,000000,62.3479,62.3479,58.4348,58.9023,270299.9504066563,0
GPP,D,20220211,000000,58.328,59.4602,58.328,59.4356,2901.142672744989,0
GPP,D,20220214,000000,59.452,59.8868,58.2705,59.8868,5155.013597915383,0
GPP,D,20220215,000000,60.2969,60.5431,59.8949,60.3132,1954.0049178194502,0
GPP,D,20220216,000000,60.3132,60.7564,59.8868,60.2969,6544.636558809983,0
GPP,D,20220217,000000,60.3461,60.3461,58.689,59.0663,3890.9442905050323,0
GPP,D,20220218,000000,59.4683,59.4683,57.4339,57.9179,1045.8741231996607,0
GPP,D,20220221,000000,58.2378,58.2542,53.4387,57.7538,12428.592727440182,0
GPP,D,20220222,000000,57.762,57.762,54.9646,56.1951,17526.31485240646,0
GPP,D,20220223,000000,56.1951,56.2853,54.9646,54.9646,1405.4695385189445,0
GPP,D,20220224,000000,45.9404,51.683,45.6698,45.6698,21072.291337706774,0
GPP,D,20220225,000000,46.3506,50.9857,46.3425,49.222,55494.71484007951,0
GPP,D,20220228,000000,49.222,49.829,47.5812,47.5812,58437.3024081485,0
GPP,D,20220301,000000,47.007,48.4017,44.2998,45.3171,49956.94544416322,0
GPP,D,20220302,000000,44.2998,45.1201,42.6672,43.9143,84368.39823894938,0
GPP,D,20220303,000000,43.9143,44.2998,43.0692,43.0692,76558.47340521919,0
GPP,D,20220304,000000,43.0692,43.0692,40.034,40.6081,32959.6624909037,0
GPP,D,20220307,000000,40.6081,41.0183,39.3775,39.5417,36252.09373421714,0
GPP,D,20220308,000000,39.5006,40.559,39.4227,39.5417,18619.728708478462,0
GPP,D,20220309,000000,40.28,40.28,36.9165,39.5417,178456.84339910647,0
GPP,D,20220310,000000,40.198,41.4202,38.4834,40.198,71733.80000239349,0
GPP,D,20220311,000000,40.362,41.3874,39.6278,40.079,17753.042809184502,0
GPP,D,20220314,000000,41.8388,42.3966,40.0749,40.198,5875.42339606343,0
GPP,D,20220315,000000,41.8388,42.2488,41.0183,42.2488,1344.5211630410495,0
GPP,D,20220316,000000,42.2488,44.792,41.7648,43.504,2657.3491708336287,0
GPP,D,20220317,000000,43.8896,48.4017,43.7419,48.4017,12437.125500007282,0
GPP,D,20220318,000000,49.9604,49.9604,46.359,49.8783,10327.092740964525,0
GPP,D,20220321,000000,49.8783,49.8783,46.8675,47.5731,9128.84767907027,0
GPP,D,20220322,000000,47.5812,49.2138,46.4001,47.6632,8519.36392429187,0
GPP,D,20220323,000000,47.5812,48.3934,47.007,47.4992,1260.4124048816732,0
GPP,D,20220324,000000,47.491,49.1236,47.4829,48.4017,59028.501650283506,0
