<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPW,D,20101109,000000,21.357,22.7249,21.2499,22.7249,26347632.77834999,0
GPW,D,20101110,000000,22.7249,22.7249,21.8823,21.8823,3176596.0302214054,0
GPW,D,20101112,000000,21.5038,22.5561,21.0406,22.5561,3909898.255582066,0
GPW,D,20101115,000000,22.4712,22.6401,21.8823,22.1347,900614.9268228901,0
GPW,D,20101116,000000,22.0078,22.0933,21.5458,21.5458,835250.3473111578,0
GPW,D,20101117,000000,21.5245,21.8823,21.3356,21.3356,1001561.9063343703,0
GPW,D,20101118,000000,21.672,21.9244,21.4824,21.4824,612034.8438981045,0
GPW,D,20101119,000000,21.672,21.7141,21.4404,21.5458,858314.8507256287,0
GPW,D,20101122,000000,21.5458,21.672,21.4824,21.5657,817437.4507259182,0
GPW,D,20101123,000000,21.5458,21.5458,21.104,21.104,704300.0897511096,0
GPW,D,20101124,000000,21.2499,21.4618,21.104,21.4618,833525.9853599506,0
GPW,D,20101125,000000,21.5245,21.5657,21.1674,21.419,193261.81755960692,0
GPW,D,20101126,000000,21.419,21.419,21.002,21.2937,939507.6058470049,0
GPW,D,20101129,000000,21.1246,21.1467,20.9321,20.9778,378019.60682659113,0
GPW,D,20101130,000000,20.8301,21.2499,20.8301,21.2499,233455.258534932,0
GPW,D,20101201,000000,21.2499,21.9672,21.1246,21.9244,516337.404874392,0
GPW,D,20101202,000000,21.9244,22.0306,21.7561,21.9037,547622.8478009998,0
GPW,D,20101203,000000,21.8823,21.9244,21.672,21.7561,135955.96975513472,0
GPW,D,20101206,000000,21.7355,21.7561,21.419,21.5038,120386.0868284157,0
GPW,D,20101207,000000,21.3356,21.4618,21.2095,21.357,194002.6009742358,0
GPW,D,20101208,000000,21.2722,21.5038,21.2095,21.5038,757502.1834092694,0
GPW,D,20101209,000000,21.4618,21.5458,21.2937,21.4618,309966.7170709755,0
GPW,D,20101210,000000,21.4618,21.5038,21.3356,21.3991,117507.67316989951,0
GPW,D,20101213,000000,21.419,21.672,21.419,21.672,183268.99024260452,0
GPW,D,20101214,000000,21.5038,21.6292,21.2937,21.2937,160370.8273159374,0
