<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTC,D,20040506,000000,6.50199,6.95885,6.50199,6.95885,4885535.7179624,0
GTC,D,20040507,000000,7.1697,7.3102,6.92359,7.1697,1361594.2110542,0
GTC,D,20040510,000000,6.68464,6.95186,6.68464,6.85342,278455.40537494,0
GTC,D,20040511,000000,6.78317,6.88851,6.78317,6.83938,239717.16156705,0
GTC,D,20040512,000000,6.84628,6.92359,6.84628,6.91679,95758.756966937,0
GTC,D,20040513,000000,6.93773,6.9729,6.88851,6.88851,197421.0082427,0
GTC,D,20040514,000000,6.84628,6.84628,6.59337,6.82523,333867.12466567,0
GTC,D,20040517,000000,6.74801,6.88154,6.67767,6.83938,71631.432400461,0
GTC,D,20040518,000000,6.84628,6.95885,6.84628,6.92359,1523349.0384242,0
GTC,D,20040519,000000,6.92359,6.98687,6.92359,6.95885,978173.02682347,0
GTC,D,20040520,000000,6.95885,6.95885,6.82523,6.92359,47489.211594463,0
GTC,D,20040521,000000,6.88851,6.9729,6.88851,6.95885,298558.45354146,0
GTC,D,20040524,000000,6.90954,6.95885,6.85342,6.95885,31910.036784157,0
GTC,D,20040525,000000,6.88851,6.91679,6.81826,6.91679,70547.444509129,0
GTC,D,20040526,000000,6.88851,6.88851,6.83938,6.88851,101689.75202564,0
GTC,D,20040527,000000,6.87446,6.95885,6.86747,6.95885,202884.49055334,0
GTC,D,20040528,000000,6.89566,7.00807,6.88851,6.99394,204322.55059944,0
GTC,D,20040531,000000,6.95885,6.95885,6.91679,6.93066,19860.124875863,0
GTC,D,20040601,000000,6.98687,7.01505,6.95885,7.001,75813.83811226,0
GTC,D,20040602,000000,7.01505,7.09935,7.00807,7.0291,102360.08280411,0
GTC,D,20040603,000000,7.0291,7.1697,7.0291,7.1697,142320.96411733,0
GTC,D,20040604,000000,7.20478,7.2752,7.1697,7.2752,140401.64094822,0
GTC,D,20040607,000000,7.2752,7.45027,7.2752,7.38072,141170.51608045,0
GTC,D,20040608,000000,7.41598,7.45027,7.34546,7.41598,62013.045127902,0
GTC,D,20040609,000000,7.41598,7.48623,7.38072,7.45027,166136.61351844,0
GTC,D,20040611,000000,7.48623,7.66198,7.48623,7.66198,39563.26630446,0
GTC,D,20040614,000000,7.62665,7.80188,7.62665,7.80188,576986.35816652,0
GTC,D,20040615,000000,7.87257,7.90801,7.80188,7.87257,622895.42250713,0
GTC,D,20040616,000000,7.90801,7.90801,7.73198,7.87257,850976.32927875,0
GTC,D,20040617,000000,7.87257,7.87257,7.73198,7.76732,312045.27963129,0
GTC,D,20040618,000000,7.59156,7.83722,7.59156,7.83722,234881.61304546,0
GTC,D,20040621,000000,7.80188,7.80188,7.66198,7.80188,53790.320912047,0
GTC,D,20040622,000000,7.76732,7.87257,7.73198,7.80188,233257.92293763,0
GTC,D,20040623,000000,7.83722,8.04754,7.83722,7.94309,220340.59154335,0
GTC,D,20040624,000000,7.94309,8.01324,7.87257,7.94309,146505.66155829,0
GTC,D,20040625,000000,7.87257,7.94309,7.87257,7.94309,5889.7439338756,0
GTC,D,20040628,000000,7.87257,7.94309,7.83722,7.87257,155067.5616894,0
GTC,D,20040629,000000,7.83722,8.04754,7.83722,7.97904,1338319.4097342,0
