<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTN,D,20010510,000000,0.0449858,0.045489,0.0439918,0.0447342,2948921.165668712,0
GTN,D,20010511,000000,0.0444887,0.0502315,0.0444887,0.0492314,6317235.470389495,0
GTN,D,20010514,000000,0.0497285,0.0554838,0.0497285,0.0529864,1896168.1096428048,0
GTN,D,20010515,000000,0.054729,0.054729,0.0492314,0.0492314,2285115.6407457725,0
GTN,D,20010516,000000,0.0487346,0.0499801,0.0462374,0.0464827,1027653.3578236145,0
GTN,D,20010517,000000,0.0499801,0.0499801,0.0459858,0.048483,205491.55515194152,0
GTN,D,20010518,000000,0.0479859,0.0487346,0.047483,0.047483,127910.66979952483,0
GTN,D,20010521,000000,0.0464827,0.0477343,0.0459858,0.047483,43093.248082307444,0
GTN,D,20010522,000000,0.047483,0.0479859,0.0462374,0.0462374,679908.44818517,0
GTN,D,20010523,000000,0.0467343,0.0467343,0.0457342,0.0467343,390903.35174208315,0
GTN,D,20010524,000000,0.0462374,0.0467343,0.0459858,0.0459858,163702.1874957251,0
GTN,D,20010525,000000,0.0459858,0.0467343,0.0459858,0.0459858,145513.0555517532,0
GTN,D,20010528,000000,0.0457342,0.0459858,0.0457342,0.0457342,92640.70427376383,0
GTN,D,20010529,000000,0.0457342,0.0457342,0.0449858,0.0449858,299566.5278944093,0
GTN,D,20010530,000000,0.0447342,0.0447342,0.0434886,0.0442373,470114.0876271109,0
GTN,D,20010531,000000,0.0424825,0.0442373,0.0424825,0.0442373,50460.17248972157,0
GTN,D,20010601,000000,0.0442373,0.0449858,0.0434886,0.0449858,217422.06105067494,0
GTN,D,20010604,000000,0.0442373,0.0442373,0.0442373,0.0442373,557539.2701965092,0
GTN,D,20010605,000000,0.0459858,0.0479859,0.0442373,0.0442373,203470.54049149956,0
GTN,D,20010606,000000,0.0442373,0.0442373,0.0442373,0.0442373,147403.68216958668,0
GTN,D,20010607,000000,0.0442373,0.0442373,0.0442373,0.0442373,127910.66979952483,0
GTN,D,20010608,000000,0.0447342,0.045489,0.0447342,0.045489,152032.45768220857,0
