<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICE,D,20180925,000000,13.02,13.02,9.01,10.8,16440,0
ICE,D,20180926,000000,10.78,11,9.9,9.9,5525,0
ICE,D,20180927,000000,9.9,9.9,8.1,9,3251,0
ICE,D,20180928,000000,9.5,9.5,8.7,8.7,903,0
ICE,D,20181001,000000,8.8,8.9,8.7,8.9,410,0
ICE,D,20181002,000000,9,9,7.9,7.9,1775,0
ICE,D,20181003,000000,7.9,7.9,7.2,7.7,580,0
ICE,D,20181004,000000,7.7,7.7,7,7.6,660,0
ICE,D,20181005,000000,7.9,8.5,7.9,8.4,1687,0
ICE,D,20181008,000000,8.39,8.39,7.95,8.2,149,0
ICE,D,20181009,000000,8.2,9,8.2,9,2373,0
ICE,D,20181010,000000,9.2,9.2,8,8,3993,0
ICE,D,20181011,000000,8.36,8.8,8.36,8.8,20,0
ICE,D,20181012,000000,8.8,8.8,7.7,8.5,194,0
ICE,D,20181015,000000,8.38,8.38,7.66,7.66,305,0
ICE,D,20181016,000000,7.66,7.7,7.3,7.45,839,0
ICE,D,20181017,000000,7.5,7.69,7.5,7.69,75,0
ICE,D,20181018,000000,7.69,7.69,7.69,7.69,5,0
ICE,D,20181019,000000,7.69,7.69,7.2,7.66,259,0
ICE,D,20181022,000000,7.3,7.3,7.11,7.11,76,0
ICE,D,20181023,000000,7.11,7.11,6.6,6.6,295,0
ICE,D,20181024,000000,6.52,6.52,6.52,6.52,10,0
ICE,D,20181025,000000,6.55,6.55,6.4,6.4,251,0
ICE,D,20181026,000000,6.3,6.3,6.1,6.25,260,0
ICE,D,20181031,000000,6.1,6.1,6.1,6.1,3310,0
ICE,D,20181102,000000,6.3,6.5,6.3,6.5,17,0
ICE,D,20181107,000000,6.3,6.3,6.15,6.15,3587,0
ICE,D,20181108,000000,6.15,6.55,6.15,6.55,49,0
ICE,D,20181109,000000,6.15,6.2,6.15,6.2,1260,0
ICE,D,20181113,000000,6.2,7.44,5,7.44,3376,0
ICE,D,20181114,000000,7.3,7.3,7.3,7.3,10,0
ICE,D,20181115,000000,7.3,7.3,7.3,7.3,5,0
ICE,D,20181116,000000,7.29,7.29,7.29,7.29,5,0
ICE,D,20181119,000000,7.19,7.19,7.19,7.19,5,0
ICE,D,20181120,000000,7.1,7.1,6.8,6.8,160,0
ICE,D,20181128,000000,6.8,6.8,6.65,6.65,140,0
ICE,D,20181129,000000,6.6,6.6,6.2,6.55,374,0
ICE,D,20181130,000000,6.55,6.55,6.55,6.55,15,0
ICE,D,20181206,000000,6.5,6.55,6.5,6.55,200,0
ICE,D,20181207,000000,6.5,6.5,5.6,6.25,1215,0
ICE,D,20181210,000000,6,6.1,6,6.1,72,0
ICE,D,20181211,000000,6.1,6.7,6.1,6.5,455,0
ICE,D,20181213,000000,6.4,7.2,6.4,7.2,510,0
ICE,D,20181214,000000,7.19,7.19,6.85,6.85,320,0
ICE,D,20181217,000000,6.9,6.9,6.62,6.62,670,0
ICE,D,20181218,000000,6.6,6.65,6.4,6.4,1455,0
ICE,D,20181219,000000,6.45,6.6,6.35,6.6,5020,0
ICE,D,20181220,000000,6.5,7.5,6.5,6.9,10910,0
ICE,D,20181221,000000,6.8,6.8,6.4,6.45,1310,0
ICE,D,20181227,000000,6.45,6.45,6.45,6.45,2,0
ICE,D,20181228,000000,6.45,6.6,6.4,6.4,2052,0
ICE,D,20190103,000000,6.6,7.6,6.6,7.6,1200,0
ICE,D,20190104,000000,6.7,6.7,6.5,6.5,4184,0
ICE,D,20190109,000000,6.5,6.5,6.4,6.4,1010,0
ICE,D,20190110,000000,6.5,6.72,6.3,6.3,4910,0
ICE,D,20190111,000000,6.25,6.4,6.2,6.21,901,0
ICE,D,20190114,000000,6.22,6.5,6.21,6.3,826,0
ICE,D,20190115,000000,6.46,6.5,6.46,6.5,200,0
ICE,D,20190116,000000,6.5,6.5,6.5,6.5,5,0
ICE,D,20190117,000000,6.5,6.5,6.5,6.5,2,0
ICE,D,20190118,000000,6.5,6.5,6.5,6.5,10,0
ICE,D,20190121,000000,6.49,6.49,6.43,6.44,2646,0
ICE,D,20190122,000000,6.43,6.44,6.4,6.4,2300,0
ICE,D,20190123,000000,6.55,7.15,6.55,6.78,18325,0
ICE,D,20190124,000000,6.8,6.8,6.8,6.8,1174,0
ICE,D,20190125,000000,6.88,7.1,6.64,6.64,7569,0
ICE,D,20190128,000000,6.96,6.96,6.8,6.8,2920,0
ICE,D,20190129,000000,6.86,6.86,6.84,6.86,240,0
ICE,D,20190130,000000,6.84,6.84,6.71,6.71,6005,0
ICE,D,20190131,000000,6.62,6.88,6.62,6.88,445,0
ICE,D,20190201,000000,6.7,7,6.7,6.98,2710,0
ICE,D,20190204,000000,6.98,7,6.61,6.61,4130,0
ICE,D,20190205,000000,6.62,6.62,6.62,6.62,5,0
ICE,D,20190206,000000,6.61,6.61,6.61,6.61,800,0
ICE,D,20190207,000000,6.52,6.52,6.3,6.3,405,0
ICE,D,20190211,000000,6.23,6.23,6.23,6.23,500,0
ICE,D,20190212,000000,6.23,6.25,6.23,6.23,1450,0
ICE,D,20190213,000000,6.23,6.23,6.23,6.23,505,0
ICE,D,20190214,000000,6.3,6.3,6.3,6.3,10,0
ICE,D,20190215,000000,6.3,6.5,6.3,6.5,104,0
ICE,D,20190218,000000,6.4,6.5,6.4,6.5,20,0
ICE,D,20190219,000000,6.5,6.6,6.5,6.5,52,0
ICE,D,20190222,000000,6.5,6.5,6.5,6.5,10,0
ICE,D,20190225,000000,4.95,6.1,4.95,6.1,1355,0
ICE,D,20190226,000000,6.1,6.5,6.1,6.5,500,0
ICE,D,20190227,000000,6.7,6.86,6.7,6.86,190,0
ICE,D,20190228,000000,7,8.2,7,7.3,1290,0
ICE,D,20190301,000000,7.4,8.3,7.4,8.3,315,0
ICE,D,20190304,000000,8.35,8.35,8.35,8.35,5,0
ICE,D,20190305,000000,8.35,8.35,8.35,8.35,5,0
ICE,D,20190306,000000,8.35,8.35,8.35,8.35,5,0
ICE,D,20190307,000000,8.35,8.35,8.35,8.35,3,0
ICE,D,20190308,000000,8.3,8.3,8,8,11,0
ICE,D,20190311,000000,7.9,7.9,7.9,7.9,5,0
ICE,D,20190312,000000,7.9,7.9,7.9,7.9,5,0
ICE,D,20190313,000000,7.9,7.9,7.4,7.5,300,0
ICE,D,20190315,000000,7.5,7.5,7.2,7.2,425,0
ICE,D,20190318,000000,7.2,7.2,7.2,7.2,50,0
ICE,D,20190319,000000,7.3,7.5,7.3,7.4,70,0
ICE,D,20190320,000000,7.4,7.4,6.7,7.3,1575,0
ICE,D,20190321,000000,7.1,7.6,6.5,7.2,2692,0
ICE,D,20190322,000000,7,7,6.5,6.95,1244,0
ICE,D,20190325,000000,6.6,6.6,5.6,6.4,5285,0
ICE,D,20190327,000000,6.4,7.3,6.4,7,3702,0
ICE,D,20190328,000000,7,7,7,7,80,0
ICE,D,20190329,000000,7,7.5,7,7.25,354,0
ICE,D,20190401,000000,7.25,7.25,6.95,6.95,170,0
ICE,D,20190402,000000,6.95,6.95,6.95,6.95,15,0
ICE,D,20190403,000000,6.95,6.95,6.95,6.95,225,0
ICE,D,20190404,000000,6.95,6.95,6.6,6.95,420,0
ICE,D,20190405,000000,6.95,6.95,6.95,6.95,5,0
ICE,D,20190408,000000,6.95,6.95,6.95,6.95,26,0
ICE,D,20190409,000000,6.7,6.7,6,6.2,2530,0
ICE,D,20190410,000000,6.1,6.2,6,6.2,40,0
ICE,D,20190411,000000,6.2,6.25,6.2,6.25,20,0
ICE,D,20190412,000000,6.15,6.15,5.6,5.6,5487,0
ICE,D,20190415,000000,5.65,5.8,5.55,5.55,3918,0
ICE,D,20190416,000000,5.5,5.5,5.4,5.4,2220,0
ICE,D,20190417,000000,5.4,5.5,5.4,5.4,953,0
ICE,D,20190418,000000,5.45,5.5,5.45,5.45,1841,0
ICE,D,20190423,000000,5.5,5.5,5.4,5.4,890,0
ICE,D,20190424,000000,5.5,5.5,5.4,5.4,520,0
ICE,D,20190425,000000,5.45,5.5,5.45,5.5,600,0
ICE,D,20190426,000000,5.5,5.5,5.5,5.5,5,0
ICE,D,20190429,000000,5.4,5.4,5.4,5.4,193,0
ICE,D,20190430,000000,5.55,6.3,5.55,6.3,422,0
ICE,D,20190502,000000,6.3,6.3,6.3,6.3,159,0
ICE,D,20190506,000000,6.2,6.2,5.6,5.6,447,0
ICE,D,20190507,000000,5.7,5.8,5.4,5.4,3967,0
ICE,D,20190508,000000,5.45,5.45,5.3,5.3,3895,0
ICE,D,20190509,000000,5.3,5.4,5.3,5.4,218,0
ICE,D,20190510,000000,5.4,5.65,5.4,5.65,1940,0
ICE,D,20190513,000000,5.65,5.7,5.6,5.7,3095,0
ICE,D,20190514,000000,5.6,5.6,5.5,5.5,3185,0
ICE,D,20190515,000000,5.5,5.5,5.4,5.45,6540,0
ICE,D,20190516,000000,5.55,5.6,5.5,5.5,1607,0
ICE,D,20190517,000000,5.5,5.5,5,5.3,2815,0
ICE,D,20190520,000000,5.25,5.4,5,5.4,4619,0
ICE,D,20190521,000000,5.35,5.4,5,5.1,8719,0
ICE,D,20190522,000000,5.25,5.9,5.25,5.9,3890,0
ICE,D,20190523,000000,5.9,6.15,5.9,6.15,220,0
ICE,D,20190524,000000,6.1,6.1,6.1,6.1,300,0
ICE,D,20190527,000000,6.1,6.1,6.1,6.1,10,0
ICE,D,20190529,000000,6.15,7.3,6.15,6.65,8093,0
ICE,D,20190530,000000,6.75,6.8,6.75,6.8,75,0
ICE,D,20190531,000000,6.8,6.8,6.45,6.45,690,0
ICE,D,20190603,000000,6.55,6.8,6.5,6.5,563,0
ICE,D,20190604,000000,6.7,7.4,6.7,6.7,4952,0
ICE,D,20190605,000000,6.85,7.4,6.85,7,3456,0
ICE,D,20190606,000000,7.2,7.35,7.2,7.35,838,0
ICE,D,20190607,000000,7.4,7.4,6.9,7.25,2196,0
ICE,D,20190610,000000,7.2,7.25,6.85,7.25,2647,0
ICE,D,20190611,000000,7.25,7.25,7.25,7.25,10,0
ICE,D,20190612,000000,7.25,7.25,7,7.25,1667,0
ICE,D,20190613,000000,7.2,7.2,7.2,7.2,10,0
ICE,D,20190614,000000,7.2,7.2,6.8,6.95,225,0
ICE,D,20190617,000000,6.9,6.95,6.3,6.5,2795,0
ICE,D,20190618,000000,6.5,6.8,6.3,6.8,2439,0
ICE,D,20190619,000000,6.75,6.75,6.35,6.6,2645,0
ICE,D,20190621,000000,6.65,6.75,6.4,6.75,3778,0
ICE,D,20190624,000000,6.75,6.75,6.5,6.7,644,0
ICE,D,20190625,000000,6.6,6.65,6.5,6.65,195,0
ICE,D,20190626,000000,6.3,6.75,6.25,6.75,343,0
ICE,D,20190627,000000,6.35,6.75,6.3,6.75,832,0
ICE,D,20190628,000000,6.85,7.25,6.85,7.25,815,0
ICE,D,20190701,000000,7.3,8.6,7.3,8.4,295,0
ICE,D,20190702,000000,8,8.3,8,8.3,35,0
ICE,D,20190703,000000,7.9,8.7,7.9,8.7,2494,0
ICE,D,20190704,000000,6.9,8.7,6.9,8.4,3860,0
ICE,D,20190705,000000,8.4,8.7,8.35,8.35,885,0
ICE,D,20190708,000000,8.35,8.7,8.35,8.7,95,0
ICE,D,20190709,000000,8.7,8.7,8.35,8.35,212,0
ICE,D,20190710,000000,8.7,8.7,8,8.5,1656,0
ICE,D,20190711,000000,8.5,8.7,8.5,8.7,13859,0
ICE,D,20190712,000000,8.7,8.8,8.7,8.8,3422,0
ICE,D,20190715,000000,8.8,8.8,8.6,8.8,826,0
ICE,D,20190716,000000,8.8,8.8,8.6,8.6,1719,0
