<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFC,D,20080228,000000,419.559,453.621,359.1,361.011,4538.523845832,0
IFC,D,20080229,000000,361.011,368.55,292.95,343.98,642.9047670479999,0
IFC,D,20080303,000000,336.441,340.179,308.091,340.179,258.047621112,0
IFC,D,20080304,000000,343.98,368.55,326.949,347.781,108.71428658399999,0
IFC,D,20080305,000000,364.749,364.749,332.64,340.179,47.285714664,0
IFC,D,20080306,000000,343.98,343.98,330.75,330.75,15.952381079999999,0
IFC,D,20080307,000000,336.441,336.441,313.719,334.551,20.71428588,0
IFC,D,20080310,000000,317.52,319.41,308.091,309.981,120.047620008,0
IFC,D,20080311,000000,298.599,332.64,287.259,332.64,243.238097184,0
IFC,D,20080312,000000,326.949,349.671,323.211,340.179,259.095240168,0
IFC,D,20080313,000000,328.86,338.289,311.829,338.289,238.57143047999998,0
IFC,D,20080314,000000,334.551,334.551,321.321,332.64,7.761904823999999,0
IFC,D,20080317,000000,332.64,332.64,311.829,317.52,21.571428744,0
IFC,D,20080318,000000,304.29,323.211,304.29,309.981,20.71428588,0
IFC,D,20080319,000000,306.18,321.321,302.4,321.321,74.666667264,0
IFC,D,20080320,000000,321.321,328.86,321.321,326.949,16.142857272,0
IFC,D,20080325,000000,330.75,347.781,313.719,334.551,36.571428864,0
IFC,D,20080326,000000,334.551,334.551,334.551,334.551,0.047619048,0
IFC,D,20080327,000000,313.719,326.949,302.4,302.4,272.23809741599996,0
IFC,D,20080328,000000,302.4,311.829,302.4,304.29,55.904762352,0
IFC,D,20080331,000000,308.091,308.091,283.521,296.751,185.523811008,0
IFC,D,20080401,000000,289.17,296.751,283.521,283.521,94.809524568,0
IFC,D,20080402,000000,294.861,294.861,283.521,289.17,59.52381,0
IFC,D,20080403,000000,292.95,296.751,291.06,296.751,28.904762136,0
IFC,D,20080404,000000,292.95,296.751,292.95,296.751,4.428571464,0
IFC,D,20080407,000000,291.06,294.861,289.17,289.17,20.428571591999997,0
IFC,D,20080408,000000,294.861,294.861,275.94,275.94,6.42857148,0
IFC,D,20080409,000000,289.17,289.17,266.49,266.49,34.380952656,0
IFC,D,20080410,000000,258.909,268.401,255.171,268.401,35.333333616,0
IFC,D,20080411,000000,258.909,262.71,255.171,262.71,17.380952519999997,0
IFC,D,20080414,000000,264.6,264.6,264.6,264.6,13.238095344,0
IFC,D,20080415,000000,243.831,321.321,243.831,321.321,84.333334008,0
IFC,D,20080416,000000,270.291,298.599,270.291,298.599,1.8095238239999998,0
IFC,D,20080417,000000,277.83,292.95,270.291,292.95,39.380952695999994,0
IFC,D,20080418,000000,285.369,296.751,275.94,275.94,21.857143032,0
IFC,D,20080421,000000,275.94,289.17,266.49,266.49,22.428571608,0
IFC,D,20080422,000000,291.06,291.06,251.37,274.029,24.095238287999997,0
IFC,D,20080423,000000,262.71,262.71,262.71,262.71,0.047619048,0
IFC,D,20080424,000000,274.029,274.029,253.26,253.26,4.333333368,0
IFC,D,20080425,000000,270.291,270.291,253.26,264.6,12.85714296,0
IFC,D,20080428,000000,253.26,262.71,253.26,253.26,10.714285799999999,0
IFC,D,20080429,000000,253.26,262.71,253.26,262.71,0.190476192,0
IFC,D,20080430,000000,260.799,260.799,236.25,260.799,6.523809576,0
IFC,D,20080505,000000,264.6,264.6,245.679,260.799,12.190476288,0
