<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IFI,D,20080320,000000,2.46977,2.58222,2.41103,2.41103,255898.9331171504,0
IFI,D,20080325,000000,2.3092,2.43786,2.12685,2.14308,58598.9729290504,0
IFI,D,20080326,000000,2.13228,2.1966,1.98235,2.01442,128009.12420188638,0
IFI,D,20080327,000000,2.12685,2.12685,2.01969,2.06247,14256.255573032879,0
IFI,D,20080328,000000,2.08423,2.08423,1.98235,2.05738,14589.832802327199,0
IFI,D,20080331,000000,1.98235,2.07883,1.90206,2.07336,30939.262738385758,0
IFI,D,20080401,000000,2.07883,2.11108,1.98235,2.02515,8663.493073117432,0
IFI,D,20080402,000000,2.03587,2.04135,1.93973,1.99309,12929.22691063256,0
IFI,D,20080403,000000,1.96099,1.96099,1.8217,1.82687,31424.410827550397,0
IFI,D,20080404,000000,1.83775,1.83775,1.68755,1.76271,52351.199839972876,0
IFI,D,20080407,000000,1.74118,1.75206,1.68755,1.74118,27466.581209775835,0
IFI,D,20080408,000000,1.68243,2.03047,1.66081,2.03047,110932.88216392799,0
IFI,D,20080409,000000,2.02515,2.2394,1.97704,2.2394,121290.05573065039,0
IFI,D,20080410,000000,2.25021,2.2769,2.17531,2.20733,14510.356687678719,0
IFI,D,20080411,000000,2.25021,2.56626,2.25021,2.53419,152019.8089148992,0
IFI,D,20080414,000000,2.3038,2.44852,2.3038,2.40571,7297.373487150823,0
IFI,D,20080415,000000,2.41103,2.42158,2.25586,2.2611,1439.4277069846078,0
IFI,D,20080416,000000,2.40571,2.49129,2.2611,2.43786,79696.84792873144,0
IFI,D,20080417,000000,2.41103,2.41103,2.2611,2.26626,6127.982563601624,0
IFI,D,20080418,000000,2.25021,2.26626,2.12156,2.26626,19078.00875767336,0
IFI,D,20080421,000000,2.29325,2.34645,2.29325,2.34645,4557.803503115808,0
IFI,D,20080422,000000,2.29325,2.3841,2.29325,2.3841,2353.4333598370317,0
IFI,D,20080423,000000,2.4003,2.4003,2.4003,2.4003,21.994761942342638,0
IFI,D,20080424,000000,2.25021,2.3841,2.25021,2.3841,940.8869824698519,0
IFI,D,20080425,000000,2.25586,2.31453,2.25586,2.31453,905.4513534894959,0
IFI,D,20080428,000000,2.33065,2.33065,2.15927,2.28235,3803.872452171792,0
IFI,D,20080429,000000,2.28235,2.28235,2.14308,2.14308,25730.1393308212,0
IFI,D,20080430,000000,2.24481,2.35199,2.24481,2.35199,32604.722133265037,0
IFI,D,20080505,000000,2.35199,2.3841,2.25021,2.35199,21634.28821623344,0
IFI,D,20080506,000000,2.61454,2.61454,2.33065,2.46486,2142.0430732160235,0
IFI,D,20080507,000000,2.5075,2.5075,2.5075,2.5075,1.221930095522928,0
IFI,D,20080508,000000,2.2769,2.29865,2.1966,2.20733,13113.761146298559,0
IFI,D,20080509,000000,2.20733,2.28235,2.1966,2.28235,3249.1170381674397,0
IFI,D,20080512,000000,2.28235,2.37895,2.28235,2.37895,130.746297768724,0
IFI,D,20080513,000000,2.14308,2.31453,2.13752,2.31453,2376.64928340356,0
IFI,D,20080515,000000,2.08949,2.25021,2.08949,2.25021,15318.060509322559,0
IFI,D,20080516,000000,2.04135,2.11633,1.98235,1.98235,23965.6886939052,0
IFI,D,20080519,000000,2.03587,2.08949,1.98235,2.08949,37501.09792936935,0
IFI,D,20080520,000000,2.08423,2.08423,2.08423,2.08423,19.550820859577037,0
IFI,D,20080521,000000,1.89127,2.07883,1.89127,2.07883,1798.6779458326798,0
IFI,D,20080523,000000,2.08423,2.14308,2.08423,2.12156,2316.7792993280314,0
IFI,D,20080526,000000,2.12685,2.12685,2.07336,2.07336,142.966003182552,0
IFI,D,20080527,000000,1.98235,2.11633,1.98235,2.11633,546.2031369344176,0
IFI,D,20080529,000000,1.95559,2.11633,1.90748,1.92892,5085.672531770248,0
IFI,D,20080530,000000,1.98235,1.98235,1.79486,1.97704,10790.854299199918,0
IFI,D,20080602,000000,1.86965,1.86965,1.86965,1.86965,1864.6653662138476,0
IFI,D,20080603,000000,1.84848,1.84848,1.77333,1.84305,3725.6703821092797,0
IFI,D,20080604,000000,1.74118,1.83775,1.74118,1.74118,2726.121735627576,0
IFI,D,20080605,000000,1.79486,1.91271,1.79486,1.91271,2666.251751552048,0
IFI,D,20080606,000000,1.87531,2.03047,1.87531,2.03047,400.79319266909994,0
IFI,D,20080609,000000,2.07336,2.07336,2.07336,2.07336,1.221930095522928,0
IFI,D,20080610,000000,1.66081,1.66081,1.66081,1.66081,114.86118630399599,0
IFI,D,20080611,000000,1.98235,1.98235,1.98235,1.98235,114.86118630399599,0
IFI,D,20080612,000000,1.97704,2.03587,1.67162,1.92892,1721.699363031296,0
IFI,D,20080613,000000,1.92341,1.92341,1.92341,1.92341,2575.8249203432238,0
IFI,D,20080616,000000,1.92892,1.92892,1.92892,1.92892,2.443860191045856,0
IFI,D,20080617,000000,1.97704,1.97704,1.97704,1.97704,6.109660589079607,0
IFI,D,20080618,000000,2.03587,2.03587,2.03587,2.03587,1.221930095522928,0
IFI,D,20080619,000000,2.06247,2.11633,2.06247,2.11633,2.443860191045856,0
IFI,D,20080620,000000,2.1056,2.1056,2.1056,2.1056,279.8216480849416,0
IFI,D,20080624,000000,2.00934,2.00934,1.97704,1.97704,246.8299601873512,0
IFI,D,20080626,000000,2.00934,2.00934,2.00934,2.00934,17.106980891461117,0
IFI,D,20080627,000000,1.74657,1.91271,1.66081,1.87531,32180.748407156796,0
IFI,D,20080630,000000,1.87531,1.87531,1.87531,1.87531,685.5037340660696,0
IFI,D,20080701,000000,1.66081,1.74118,1.63397,1.71441,6334.489012643087,0
IFI,D,20080702,000000,1.60728,1.71441,1.56988,1.70902,1401.55015921448,0
IFI,D,20080703,000000,1.60728,1.68755,1.58594,1.67669,21570.68710158472,0
IFI,D,20080707,000000,1.68243,1.68243,1.58053,1.66081,2425.528105058872,0
IFI,D,20080708,000000,1.60728,1.60728,1.60728,1.60728,279.8216480849416,0
IFI,D,20080711,000000,1.60728,1.67669,1.58053,1.66081,3866.1894107695757,0
IFI,D,20080714,000000,1.68755,1.68755,1.68755,1.68755,95.31066878836799,0
IFI,D,20080715,000000,1.53217,1.59674,1.4519,1.59674,4332.964968087359,0
IFI,D,20080716,000000,1.4519,1.55378,1.4519,1.55378,2104.1655254458956,0
IFI,D,20080717,000000,1.55908,1.67162,1.55908,1.67162,243.16354298995438,0
IFI,D,20080718,000000,1.67162,1.67162,1.67162,1.67162,279.8216480849416,0
IFI,D,20080723,000000,1.60728,1.60728,1.60728,1.60728,1477.315366219704,0
IFI,D,20080729,000000,1.53773,1.53773,1.53217,1.53217,530.3180254696895,0
IFI,D,20080730,000000,1.527,1.63397,1.527,1.63397,431.34195063042154,0
IFI,D,20080805,000000,1.60197,1.60197,1.50017,1.50017,2953.4072451782795,0
IFI,D,20080806,000000,1.58053,1.58053,1.527,1.527,1483.4226910603759,0
