<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMC,D,20110504,000000,5.79275,5.99806,5.65898,5.66958,478141.3858134995,0
IMC,D,20110505,000000,5.68018,5.68018,5.38757,5.5514,86937.9203429996,0
IMC,D,20110506,000000,5.61839,5.61839,5.4954,5.54667,149975.33510893426,0
IMC,D,20110509,000000,5.56183,5.59273,5.53615,5.56183,41091.300923599185,0
IMC,D,20110510,000000,5.56722,5.60266,5.39759,5.53615,19967.18486046567,0
IMC,D,20110511,000000,5.42318,5.5514,5.42318,5.49018,43960.93197666396,0
IMC,D,20110512,000000,5.42848,5.54146,5.41797,5.50534,13123.746633020048,0
IMC,D,20110513,000000,5.50013,5.54146,5.44364,5.54146,79840.52160765129,0
IMC,D,20110516,000000,5.44885,5.54146,5.44885,5.54146,43873.824749315696,0
IMC,D,20110517,000000,5.53615,5.54146,5.42848,5.44364,64680.18346198158,0
IMC,D,20110518,000000,5.44364,5.53615,5.40281,5.53615,45842.93883232935,0
IMC,D,20110519,000000,5.53615,5.54146,5.51578,5.52107,8930.331096733004,0
IMC,D,20110520,000000,5.44364,5.51578,5.44364,5.49018,1139.7551296695917,0
IMC,D,20110523,000000,5.44885,5.54146,5.43361,5.54146,32946.161735357615,0
IMC,D,20110524,000000,5.46459,5.5514,5.38757,5.5514,359522.19882522774,0
IMC,D,20110525,000000,5.49018,5.54146,5.49018,5.54146,7550.110945087911,0
IMC,D,20110526,000000,5.54146,5.56183,5.51578,5.56183,7719.417950356375,0
IMC,D,20110527,000000,5.55662,5.87507,5.55662,5.87507,558812.4932368519,0
IMC,D,20110530,000000,5.85429,5.9005,5.80285,5.8489,25864.712210650523,0
IMC,D,20110531,000000,5.80806,5.9005,5.80285,5.89511,31326.703424094034,0
IMC,D,20110601,000000,5.88501,5.89511,5.83896,5.8436,21184.23231862739,0
IMC,D,20110602,000000,5.83896,5.8489,5.79805,5.79805,27285.418820077208,0
IMC,D,20110603,000000,5.74652,5.82347,5.74652,5.82347,24570.37242399668,0
IMC,D,20110606,000000,5.8489,5.8489,5.74131,5.77196,9396.53879239979,0
IMC,D,20110607,000000,5.81353,5.8489,5.77742,5.79805,5646.020566996191,0
IMC,D,20110608,000000,5.77196,5.79805,5.76665,5.76665,14530.957756519532,0
IMC,D,20110609,000000,5.78745,5.78745,5.64415,5.70561,12131.214986192597,0
IMC,D,20110610,000000,5.64946,5.71581,5.64946,5.7105,453767.3113666257,0
IMC,D,20110613,000000,5.70561,5.74131,5.64415,5.69501,5996.9032011033005,0
IMC,D,20110614,000000,5.68018,5.7105,5.67497,5.70561,9743.740839435844,0
IMC,D,20110615,000000,5.65898,5.6898,5.65898,5.65898,17690.128325840524,0
IMC,D,20110616,000000,5.64415,5.64415,5.49018,5.4954,36478.29846121203,0
IMC,D,20110617,000000,5.56722,5.59273,5.38757,5.59273,14016.90242892905,0
IMC,D,20110620,000000,5.59273,5.67497,5.49018,5.64946,70948.22324398583,0
IMC,D,20110621,000000,5.65898,5.74131,5.65898,5.66958,74580.96268311572,0
