<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IMS,D,20120104,000000,0.463421,0.66205,0.458366,0.544968,207978.8377193465,0
IMS,D,20120105,000000,0.524526,0.524526,0.473677,0.504231,21369.48368030233,0
IMS,D,20120109,000000,0.483862,0.509286,0.458366,0.509286,25199.257660434854,0
IMS,D,20120110,000000,0.478806,0.509286,0.478806,0.499101,3560.898187514202,0
IMS,D,20120111,000000,0.504231,0.504231,0.483862,0.504231,5569.959947583523,0
IMS,D,20120112,000000,0.504231,0.509286,0.483862,0.509286,4602.280064506631,0
IMS,D,20120113,000000,0.504231,0.504231,0.504231,0.504231,1.3648517391775146,0
IMS,D,20120116,000000,0.458366,0.504231,0.407444,0.504231,21192.052954209677,0
IMS,D,20120117,000000,0.509286,0.509286,0.458366,0.509286,12016.154711719031,0
IMS,D,20120118,000000,0.438068,0.478806,0.432941,0.478806,14382.807627452785,0
IMS,D,20120119,000000,0.438068,0.478806,0.432941,0.478806,7947.531677230741,0
IMS,D,20120120,000000,0.478806,0.478806,0.478806,0.478806,38.21584869697105,0
IMS,D,20120123,000000,0.478806,0.494119,0.468548,0.494119,11548.010565180917,0
IMS,D,20120124,000000,0.494119,0.494119,0.483862,0.494119,14370.523961800358,0
IMS,D,20120125,000000,0.504231,0.504231,0.458366,0.473677,11552.105120399108,0
IMS,D,20120126,000000,0.473677,0.519543,0.473677,0.519543,28529.49590402849,0
IMS,D,20120127,000000,0.514489,0.524526,0.509286,0.519543,10102.632573392058,0
IMS,D,20120130,000000,0.519543,0.524526,0.519543,0.524526,12033.897784327975,0
IMS,D,20120131,000000,0.524526,0.524526,0.509286,0.509286,2593.21830443731,0
IMS,D,20120201,000000,0.524526,0.524526,0.509286,0.509286,38.21584869697105,0
IMS,D,20120202,000000,0.509286,0.509286,0.478806,0.483862,10462.953432534965,0
IMS,D,20120203,000000,0.483862,0.483862,0.483862,0.483862,38.21584869697105,0
IMS,D,20120206,000000,0.483862,0.483862,0.483862,0.483862,38.21584869697105,0
IMS,D,20120207,000000,0.483862,0.483862,0.473677,0.483862,7258.2815489461245,0
IMS,D,20120208,000000,0.483862,0.483862,0.458366,0.483862,2983.5659018421266,0
IMS,D,20120209,000000,0.483862,0.509286,0.478806,0.509286,130520.77181755158,0
IMS,D,20120210,000000,0.499101,0.544968,0.499101,0.509286,16453.287715785642,0
IMS,D,20120213,000000,0.560281,0.560281,0.560281,0.560281,20.472776087663256,0
IMS,D,20120214,000000,0.560281,0.560281,0.555226,0.555226,214.28172305086753,0
IMS,D,20120215,000000,0.560281,0.672381,0.560281,0.672381,20265.31862330815,0
IMS,D,20120216,000000,0.672381,0.672381,0.66205,0.66205,450.4010739285809,0
IMS,D,20120217,000000,0.66205,0.738468,0.66205,0.738468,6791.502254147406,0
IMS,D,20120220,000000,0.789539,0.789539,0.789539,0.789539,290.7134204448118,0
IMS,D,20120221,000000,0.789539,0.789539,0.738468,0.764112,8946.603150308723,0
IMS,D,20120222,000000,0.784337,0.789539,0.769168,0.789539,2099.141974855048,0
IMS,D,20120223,000000,0.789539,0.789539,0.789539,0.789539,464.04959132036356,0
IMS,D,20120224,000000,0.789539,0.865881,0.789539,0.865881,18338.14796758946,0
IMS,D,20120227,000000,0.865881,0.865881,0.865881,0.865881,196.5386504415694,0
IMS,D,20120228,000000,0.957542,0.957542,0.865881,0.865881,2221.9786313810487,0
IMS,D,20120229,000000,0.865881,0.865881,0.865881,0.865881,38.21584869697105,0
IMS,D,20120301,000000,0.871012,0.891298,0.871012,0.871012,1846.6444031072406,0
IMS,D,20120302,000000,0.875993,0.875993,0.855699,0.855699,9824.202818599892,0
IMS,D,20120305,000000,0.840381,0.840381,0.840381,0.840381,38.21584869697105,0
IMS,D,20120307,000000,0.840381,0.840381,0.81503,0.81503,7224.160255466668,0
IMS,D,20120313,000000,0.81503,0.81503,0.81503,0.81503,17.743072609307795,0
IMS,D,20120315,000000,0.809907,0.809907,0.799575,0.799575,38.21584869697105,0
IMS,D,20120316,000000,0.799575,0.799575,0.799575,0.799575,177.43072609307796,0
IMS,D,20120319,000000,0.794592,0.794592,0.789539,0.789539,19.107924348484993,0
IMS,D,20120320,000000,0.789539,0.789539,0.789539,0.789539,38.21584869697105,0
IMS,D,20120321,000000,0.789539,0.789539,0.789539,0.789539,38.21584869697105,0
IMS,D,20120322,000000,0.789539,0.789539,0.789539,0.789539,38.21584869697105,0
IMS,D,20120323,000000,0.733559,0.733559,0.733559,0.733559,902.1669995963443,0
IMS,D,20120328,000000,0.758911,0.758911,0.758911,0.758911,58.68862478463431,0
IMS,D,20120329,000000,0.758911,0.758911,0.758911,0.758911,17.743072609307795,0
IMS,D,20120405,000000,0.758911,0.758911,0.758911,0.758911,2946.714904884305,0
IMS,D,20120413,000000,0.758911,0.758911,0.758911,0.758911,745.2090495909296,0
IMS,D,20120416,000000,0.758911,0.758911,0.758911,0.758911,5.459406956710166,0
IMS,D,20120420,000000,0.713118,0.713118,0.713118,0.713118,196.5386504415694,0
IMS,D,20120424,000000,0.758911,0.758911,0.758911,0.758911,757.4927152435298,0
IMS,D,20120425,000000,0.707988,0.707988,0.707988,0.707988,408.0906700140825,0
IMS,D,20120426,000000,0.707988,0.707988,0.707988,0.707988,32.75644174026121,0
IMS,D,20120430,000000,0.707988,0.707988,0.707988,0.707988,178.7955778322605,0
IMS,D,20120508,000000,0.707988,0.707988,0.707988,0.707988,3681.005140561838,0
IMS,D,20120509,000000,0.66205,0.66205,0.611348,0.611348,7890.207904185288,0
IMS,D,20120510,000000,0.611348,0.707988,0.611348,0.707988,8661.349136820641,0
IMS,D,20120511,000000,0.707988,0.707988,0.707988,0.707988,7244.633031554299,0
IMS,D,20120514,000000,0.707988,0.707988,0.707988,0.707988,2.729703478355029,0
IMS,D,20120515,000000,0.707988,0.707988,0.707988,0.707988,2.729703478355029,0
IMS,D,20120516,000000,0.707988,0.707988,0.66205,0.66205,10415.183621663791,0
IMS,D,20120518,000000,0.687621,0.707988,0.687621,0.707988,21342.18664551868,0
IMS,D,20120521,000000,0.707988,0.707988,0.707988,0.707988,9.55396217424271,0
IMS,D,20120522,000000,0.707988,0.707988,0.682492,0.682492,2432.165799214412,0
IMS,D,20120523,000000,0.707988,0.707988,0.707988,0.707988,1.3648517391775146,0
IMS,D,20120524,000000,0.63157,0.63157,0.63157,0.63157,3918.489343178745,0
IMS,D,20120604,000000,0.63157,0.707988,0.63157,0.707988,18870.44014586851,0
IMS,D,20120605,000000,0.682492,0.682492,0.682492,0.682492,1665.1191217966043,0
IMS,D,20120615,000000,0.687621,0.687621,0.687621,0.687621,3638.6947366472864,0
IMS,D,20120618,000000,0.687621,0.687621,0.687621,0.687621,196.5386504415694,0
IMS,D,20120619,000000,0.687621,0.687621,0.687621,0.687621,3638.6947366472864,0
IMS,D,20120625,000000,0.702934,0.702934,0.6367,0.6367,8097.665368540286,0
IMS,D,20120626,000000,0.63157,0.63157,0.63157,0.63157,1.3648517391775146,0
IMS,D,20120627,000000,0.585777,0.585777,0.585777,0.585777,536.3867334967708,0
IMS,D,20120628,000000,0.63157,0.63157,0.63157,0.63157,23573.71923907465,0
IMS,D,20120629,000000,0.63157,0.63157,0.606146,0.606146,4308.836940583454,0
IMS,D,20120703,000000,0.63157,0.641828,0.63157,0.641828,79776.94900666589,0
IMS,D,20120704,000000,0.641828,0.641828,0.641828,0.641828,1.3648517391775146,0
IMS,D,20120710,000000,0.611348,0.611348,0.611348,0.611348,197.90350218074124,0
IMS,D,20120711,000000,0.611348,0.611348,0.611348,0.611348,2.729703478355029,0
IMS,D,20120712,000000,0.611348,0.611348,0.611348,0.611348,2.729703478355029,0
IMS,D,20120713,000000,0.611348,0.611348,0.611348,0.611348,2.729703478355029,0
IMS,D,20120716,000000,0.611348,0.611348,0.611348,0.611348,2.729703478355029,0
IMS,D,20120717,000000,0.611348,0.611348,0.611348,0.611348,2.729703478355029,0
IMS,D,20120718,000000,0.611348,0.611348,0.611348,0.611348,2.729703478355029,0
IMS,D,20120719,000000,0.611348,0.611348,0.611348,0.611348,15648.025189670083,0
IMS,D,20120720,000000,0.611348,0.611348,0.611348,0.611348,2.729703478355029,0
IMS,D,20120723,000000,0.611348,0.611348,0.611348,0.611348,2.729703478355029,0
IMS,D,20120724,000000,0.611348,0.611348,0.611348,0.611348,2.729703478355029,0
IMS,D,20120725,000000,0.611348,0.611348,0.611348,0.611348,2.729703478355029,0
IMS,D,20120726,000000,0.560281,0.560281,0.560281,0.560281,5627.283720628977,0
IMS,D,20120727,000000,0.560281,0.560281,0.519543,0.519543,6786.042847190676,0
IMS,D,20120731,000000,0.509286,0.509286,0.509286,0.509286,2867.5535040120385,0
IMS,D,20120803,000000,0.514489,0.534857,0.514489,0.519543,8806.023421173457,0
IMS,D,20120827,000000,0.509286,0.509286,0.509286,0.509286,53.2292178279234,0
IMS,D,20120828,000000,0.509286,0.509286,0.509286,0.509286,1.3648517391775146,0
IMS,D,20120829,000000,0.509286,0.509286,0.509286,0.509286,2.729703478355029,0
IMS,D,20120830,000000,0.509286,0.509286,0.509286,0.509286,2.729703478355029,0
IMS,D,20120831,000000,0.509286,0.509286,0.509286,0.509286,2.729703478355029,0
IMS,D,20120903,000000,0.509286,0.509286,0.509286,0.509286,2.729703478355029,0
IMS,D,20120904,000000,0.509286,0.509286,0.509286,0.509286,1.3648517391775146,0
IMS,D,20120905,000000,0.509286,0.509286,0.509286,0.509286,2.729703478355029,0
IMS,D,20120906,000000,0.509286,0.509286,0.509286,0.509286,2.729703478355029,0
