<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ING,D,19940125,000000,39.9209,39.9209,39.9209,39.9209,549122.0400309335,0
ING,D,19940127,000000,39.9209,39.9209,39.9209,39.9209,756432.0244407741,0
ING,D,19940131,000000,35.9287,35.9287,35.9287,35.9287,0,0
ING,D,19940201,000000,32.3504,32.3504,32.3504,32.3504,0,0
ING,D,19940203,000000,29.1265,29.1265,29.1265,29.1265,303283.18659214367,0
ING,D,19940207,000000,26.6142,26.6142,26.6142,26.6142,972334.2943454726,0
ING,D,19940208,000000,29.2762,29.2762,29.2762,29.2762,356159.18009383255,0
ING,D,19940210,000000,29.2762,29.2762,29.2762,29.2762,957776.5186554706,0
ING,D,19940214,000000,27.7963,27.7963,27.7963,27.7963,839917.1625919284,0
ING,D,19940215,000000,27.2053,27.2053,27.2053,27.2053,808155.7811636442,0
ING,D,19940217,000000,27.2053,27.2053,27.2053,27.2053,1192028.286161035,0
ING,D,19940221,000000,24.8404,24.8404,24.8404,24.8404,1178587.215719255,0
ING,D,19940222,000000,27.3234,27.3234,27.3234,27.3234,312541.68828621035,0
ING,D,19940224,000000,30.0437,30.0437,30.0437,30.0437,803777.7889974543,0
ING,D,19940228,000000,31.9374,31.9374,31.9374,31.9374,835190.200035674,0
ING,D,19940301,000000,31.9075,31.9075,31.9075,31.9075,280070.9452286763,0
ING,D,19940303,000000,31.6418,31.6418,31.6418,31.6418,415132.6380472557,0
ING,D,19940307,000000,30.0437,30.0437,30.0437,30.0437,636925.5281361484,0
ING,D,19940308,000000,29.5709,29.5709,29.5709,29.5709,620735.8400039063,0
ING,D,19940310,000000,29.5417,29.5417,29.5417,29.5417,635822.7817035712,0
ING,D,19940314,000000,28.3881,28.3881,28.3881,28.3881,624558.01751248,0
ING,D,19940315,000000,28.091,28.091,28.091,28.091,542461.1470221385,0
ING,D,19940317,000000,28.9807,28.9807,28.9807,28.9807,735543.2913834868,0
ING,D,19940321,000000,28.091,28.091,28.091,28.091,466254.8967159909,0
ING,D,19940322,000000,25.3124,25.3124,25.3124,25.3124,429087.6466998896,0
ING,D,19940324,000000,26.8806,26.8806,26.8806,26.8806,596648.0002072009,0
ING,D,19940328,000000,25.1658,25.1658,25.1658,25.1658,413938.52482164046,0
ING,D,19940329,000000,22.6512,22.6512,22.6512,22.6512,356159.18009383255,0
ING,D,19940331,000000,20.819,20.819,20.819,20.819,693394.0131805828,0
ING,D,19940405,000000,22.4738,22.4738,22.4738,22.4738,511214.9727879068,0
ING,D,19940407,000000,23.3619,23.3619,23.3619,23.3619,503739.39254123636,0
ING,D,19940408,000000,21.8829,21.8829,21.8829,21.8829,267266.9043716279,0
ING,D,19940411,000000,19.6953,19.6953,19.6953,19.6953,329124.76122179127,0
ING,D,19940412,000000,17.7425,17.7425,17.7425,17.7425,0,0
ING,D,19940414,000000,17.7425,17.7425,17.7425,17.7425,392978.7287031026,0
ING,D,19940418,000000,18.9254,18.9254,18.9254,18.9254,498454.0773608883,0
