<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INK,D,19990428,000000,2.42292,2.42292,2.42292,2.42292,248106.5049902378,0
INK,D,19990429,000000,2.17788,2.17788,2.17788,2.17788,73560.64770767262,0
INK,D,19990430,000000,2.17788,2.17788,2.17788,2.17788,55345.54681765933,0
INK,D,19990504,000000,2.39565,2.39565,2.39565,2.39565,32966.494121253156,0
INK,D,19990505,000000,2.61357,2.61357,2.61357,2.61357,86860.2847685757,0
INK,D,19990506,000000,2.79863,2.79863,2.79863,2.79863,116809.47687516494,0
INK,D,19990507,000000,2.68962,2.68962,2.68962,2.68962,38242.08351199628,0
INK,D,19990510,000000,2.55911,2.55911,2.55911,2.55911,31698.552039666498,0
INK,D,19990511,000000,2.47739,2.47739,2.47739,2.47739,20147.024475862196,0
INK,D,19990512,000000,2.58629,2.58629,2.58629,2.58629,8254.12789009225,0
INK,D,19990513,000000,2.53184,2.53184,2.53184,2.53184,8910.60677848771,0
INK,D,19990514,000000,2.53184,2.53184,2.53184,2.53184,3542.4851253796915,0
INK,D,19990517,000000,2.42292,2.42292,2.42292,2.42292,8773.05882091914,0
INK,D,19990518,000000,2.50457,2.50457,2.50457,2.50457,15645.454955436182,0
INK,D,19990519,000000,2.58629,2.58629,2.58629,2.58629,17606.138568777293,0
INK,D,19990520,000000,2.58629,2.58629,2.58629,2.58629,4657.874017663026,0
INK,D,19990521,000000,2.53184,2.53184,2.53184,2.53184,34364.48154454101,0
INK,D,19990524,000000,2.58629,2.58629,2.58629,2.58629,13168.341283223393,0
INK,D,19990525,000000,2.53184,2.53184,2.53184,2.53184,12570.632885789051,0
INK,D,19990526,000000,2.47739,2.47739,2.47739,2.47739,12656.91296826447,0
INK,D,19990527,000000,2.53184,2.53184,2.53184,2.53184,18756.539668441714,0
INK,D,19990528,000000,2.47739,2.47739,2.47739,2.47739,10386.121232405127,0
INK,D,19990531,000000,2.50457,2.50457,2.50457,2.50457,7821.477041740196,0
INK,D,19990601,000000,2.53184,2.53184,2.53184,2.53184,6077.118852575116,0
INK,D,19990602,000000,2.45034,2.45034,2.45034,2.45034,4624.112246259831,0
INK,D,19990607,000000,2.47739,2.47739,2.47739,2.47739,12039.197595183789,0
INK,D,19990608,000000,2.42292,2.42292,2.42292,2.42292,8799.317976454957,0
INK,D,19990609,000000,2.42292,2.42292,2.42292,2.42292,8152.842575882665,0
INK,D,19990610,000000,2.47739,2.47739,2.47739,2.47739,9276.98452001127,0
INK,D,19990611,000000,2.50457,2.50457,2.50457,2.50457,4465.306877067024,0
INK,D,19990614,000000,2.42292,2.42292,2.42292,2.42292,9251.97580045335,0
INK,D,19990615,000000,2.47739,2.47739,2.47739,2.47739,16653.30635362045,0
INK,D,19990616,000000,2.47739,2.47739,2.47739,2.47739,836.5416692125007,0
INK,D,19990617,000000,2.47739,2.47739,2.47739,2.47739,16135.625858771458,0
INK,D,19990618,000000,2.47739,2.47739,2.47739,2.47739,7173.7512051900085,0
INK,D,19990621,000000,2.42292,2.42292,2.42292,2.42292,14296.234535285688,0
INK,D,19990622,000000,2.47739,2.47739,2.47739,2.47739,167235.8085557809,0
INK,D,19990623,000000,2.53184,2.53184,2.53184,2.53184,46146.08932827821,0
INK,D,19990624,000000,2.63532,2.63532,2.63532,2.63532,90721.6310683189,0
INK,D,19990625,000000,2.58629,2.58629,2.58629,2.58629,47476.55320875967,0
