<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INL,D,20071108,000000,3.4399,3.73604,3.34002,3.73266,138596.3270103925,0
INL,D,20071109,000000,3.76355,3.99434,3.73266,3.84964,50820.887676322374,0
INL,D,20071112,000000,3.61538,3.92196,3.54659,3.71542,12189.354502033219,0
INL,D,20071113,000000,3.71872,3.71872,3.70142,3.70142,441.7234881394664,0
INL,D,20071114,000000,3.78775,3.78775,3.58101,3.68443,1367.8747866921021,0
INL,D,20071115,000000,3.64987,3.64987,2.99562,3.09895,27891.35213193157,0
INL,D,20071116,000000,2.99562,3.03008,2.92697,3.02319,23534.09099461108,0
INL,D,20071119,000000,3.03008,3.15058,3.01294,3.14377,23511.467297929237,0
INL,D,20071120,000000,3.15058,3.20925,3.068,3.09895,27317.48530730286,0
INL,D,20071121,000000,3.0818,3.161,2.92697,3.14377,11486.13459683936,0
INL,D,20071122,000000,3.15058,3.15058,2.84425,2.85452,39298.72274773045,0
INL,D,20071123,000000,2.99929,3.09895,2.93372,3.03008,32207.13649200202,0
INL,D,20071126,000000,2.93027,2.93027,2.82702,2.82702,3943.488388516745,0
INL,D,20071127,000000,2.82356,2.91634,2.55149,2.91634,17161.85450189597,0
INL,D,20071128,000000,2.91993,3.3607,2.82356,3.3607,25039.40473864536,0
INL,D,20071129,000000,3.39164,3.54318,3.39164,3.50524,13295.71611337709,0
INL,D,20071130,000000,3.51213,3.74983,3.309,3.64291,19114.19573406957,0
INL,D,20071203,000000,3.64291,3.66718,3.64291,3.66718,4387.876445376517,0
INL,D,20071204,000000,3.71872,3.71872,3.44327,3.6465,2905.228293758673,0
INL,D,20071205,000000,3.6465,3.6465,3.6465,3.6465,1717.5156397630199,0
INL,D,20071206,000000,3.62927,3.64987,3.44327,3.6465,14292.62511808891,0
INL,D,20071207,000000,3.32614,3.61218,3.32614,3.44679,36034.5213260196,0
INL,D,20071210,000000,3.50524,3.64987,3.50524,3.53283,15609.72227445066,0
INL,D,20071211,000000,3.48119,3.60859,3.48119,3.60859,9519.087961822564,0
INL,D,20071212,000000,3.58101,3.58101,3.50524,3.58101,5422.125023547022,0
INL,D,20071213,000000,3.54659,3.54659,3.54659,3.54659,132.11610426175622,0
INL,D,20071214,000000,3.44679,3.56383,3.38138,3.56383,42189.31895618147,0
INL,D,20071217,000000,3.44327,3.44327,3.36414,3.37456,6823.369762844838,0
INL,D,20071218,000000,3.37456,3.47782,3.27467,3.4399,89771.45686956006,0
INL,D,20071219,000000,3.37456,3.43646,3.27124,3.37795,161013.68719934722,0
INL,D,20071220,000000,3.28846,3.32976,3.13358,3.32285,193438.8909899214,0
INL,D,20071221,000000,3.20228,3.27124,3.10242,3.23331,312642.7298491904,0
INL,D,20071227,000000,3.42274,3.42274,3.27124,3.41577,14786.36635030277,0
INL,D,20071228,000000,3.22289,3.35366,3.22289,3.35366,23148.440757654902,0
INL,D,20080102,000000,3.4399,3.4399,3.27124,3.43308,875.4407013976372,0
INL,D,20080103,000000,3.47085,3.47437,3.35028,3.44327,4889.65118469916,0
INL,D,20080104,000000,3.37456,3.44327,3.30562,3.44327,21466.95544964444,0
INL,D,20080107,000000,3.34002,3.4399,3.27467,3.37456,32514.02274791772,0
INL,D,20080108,000000,3.27124,3.36761,3.23684,3.36761,20105.7630326204,0
INL,D,20080109,000000,3.23684,3.25744,3.09895,3.25744,32957.07014127042,0
INL,D,20080110,000000,3.26771,3.36761,3.11627,3.21952,20107.124643994768,0
INL,D,20080111,000000,3.29184,3.29184,3.06455,3.09895,64665.22843423408,0
INL,D,20080114,000000,3.09895,3.09895,2.90967,2.9888,43355.69620733411,0
INL,D,20080115,000000,2.92697,3.26418,2.85797,3.03008,25753.41279549769,0
INL,D,20080116,000000,2.90967,2.90967,2.75471,2.87866,61159.3933632408,0
INL,D,20080117,000000,3.09544,3.09544,2.82356,3.0061,24169.33507042293,0
INL,D,20080118,000000,2.87866,2.99562,2.82356,2.9577,17718.334596667337,0
INL,D,20080121,000000,2.96122,3.09895,2.92697,3.09895,89551.19004492159,0
INL,D,20080122,000000,2.96122,3.25392,2.92697,3.25392,108666.0142150101,0
INL,D,20080123,000000,3.27124,3.37456,3.23684,3.37456,116452.3364896767,0
INL,D,20080124,000000,3.39853,3.41577,3.39853,3.41577,55761.337439219176,0
INL,D,20080125,000000,3.37456,3.4193,3.17135,3.4193,42719.09052014789,0
INL,D,20080128,000000,3.37097,3.37456,3.23684,3.37456,13559.97345934136,0
INL,D,20080129,000000,3.23684,3.35733,3.23684,3.35733,31690.666823769832,0
INL,D,20080130,000000,3.35733,3.4399,3.20565,3.4399,75209.2326993459,0
INL,D,20080131,000000,3.39164,3.52936,3.36761,3.37456,111467.7914661176,0
INL,D,20080201,000000,3.37456,3.37456,3.24012,3.3607,8727.719431038719,0
INL,D,20080204,000000,3.26771,3.3607,3.14722,3.18505,54018.47488002558,0
INL,D,20080205,000000,3.068,3.18505,3.00251,3.16775,3560.477582840113,0
INL,D,20080206,000000,3.06119,3.09544,3.06119,3.09544,2504.883127892946,0
INL,D,20080207,000000,2.96122,2.96122,2.96122,2.96122,2256.6613743452954,0
INL,D,20080208,000000,3.18159,3.18159,3.08516,3.08516,2.669020142106425,0
INL,D,20080211,000000,2.97172,3.06119,2.89244,3.06119,23506.12559176825,0
INL,D,20080212,000000,3.05766,3.06455,3.05766,3.06455,1190.383507076148,0
INL,D,20080213,000000,3.08516,3.18159,2.94406,3.0507,13238.318956980569,0
INL,D,20080214,000000,3.09544,3.09544,3.03008,3.09206,2482.196587609212,0
INL,D,20080215,000000,3.09895,3.09895,2.99562,3.09544,134.7859099488863,0
INL,D,20080218,000000,3.07498,3.07498,3.07498,3.07498,368.3253033073691,0
INL,D,20080219,000000,3.07827,3.07827,2.96805,3.06455,493.7695118347123,0
INL,D,20080220,000000,3.05766,3.06455,2.89926,3.02671,16427.84123177405,0
INL,D,20080221,000000,2.91304,2.9888,2.89596,2.9888,4701.486966694875,0
INL,D,20080222,000000,2.99232,2.99232,2.99232,2.99232,28.024790046619827,0
INL,D,20080225,000000,2.92697,2.99562,2.86148,2.99562,3778.010710796194,0
INL,D,20080226,000000,2.99562,2.99562,2.86148,2.99232,3053.36113735648,0
INL,D,20080227,000000,2.82356,2.97832,2.82356,2.97172,3812.700379041682,0
