<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INP,D,20110217,000000,3.5895,3.66603,3.50198,3.66603,1174027.9256940917,0
INP,D,20110218,000000,3.65512,3.74821,3.63329,3.74821,143115.99324548818,0
INP,D,20110221,000000,3.74821,3.85762,3.70433,3.83031,398440.94595219597,0
INP,D,20110222,000000,3.85762,3.85762,3.80283,3.83031,104986.94594759279,0
INP,D,20110223,000000,3.85212,3.86303,3.80283,3.81375,70931.42027138291,0
INP,D,20110224,000000,3.83031,3.83031,3.6442,3.73172,22303.885135484998,0
INP,D,20110225,000000,3.65512,3.70991,3.6442,3.70991,9898.200608263372,0
INP,D,20110228,000000,3.70999,3.81142,3.70999,3.7776,25832.292567972778,0
INP,D,20110301,000000,3.69884,3.78643,3.69884,3.78643,105985.58108274359,0
INP,D,20110302,000000,3.78643,3.88502,3.78643,3.83565,103689.54729892379,0
INP,D,20110303,000000,3.85212,3.86303,3.83565,3.85762,117714.89189373839,0
INP,D,20110304,000000,3.85762,3.85762,3.84122,3.85762,25397.586486884877,0
INP,D,20110307,000000,3.85212,3.86853,3.84663,3.86853,24568.9054057908,0
INP,D,20110308,000000,3.86853,3.87394,3.84122,3.87394,10837.25878395378,0
INP,D,20110309,000000,3.87394,3.89044,3.87394,3.89044,23580.50473009962,0
INP,D,20110310,000000,3.88502,3.90134,3.84122,3.89593,10839.739865034899,0
INP,D,20110311,000000,3.89044,3.89044,3.88502,3.88502,2.4018932432809197,0
INP,D,20110314,000000,3.87394,3.87394,3.80283,3.85212,5054.778851430642,0
INP,D,20110315,000000,3.84663,3.84663,3.75362,3.83565,40976.294595237356,0
INP,D,20110316,000000,3.83565,3.83565,3.83031,3.83565,7983.891486611723,0
INP,D,20110317,000000,3.85762,3.86853,3.83031,3.86853,6959.484121730789,0
INP,D,20110318,000000,3.86853,3.89044,3.83031,3.84122,52241.12635217082,0
INP,D,20110321,000000,3.88502,3.88502,3.83031,3.87945,18823.54864894392,0
INP,D,20110322,000000,3.88502,3.90134,3.85762,3.89593,7925.038175799989,0
INP,D,20110323,000000,3.90134,3.90134,3.83565,3.87945,4958.698986564269,0
INP,D,20110324,000000,3.87945,3.87945,3.80283,3.83031,3401.0762838371334,0
INP,D,20110325,000000,3.83031,3.83031,3.73172,3.77544,813.039932445186,0
INP,D,20110328,000000,3.72082,3.81932,3.6114,3.81932,22266.6689192682,0
INP,D,20110329,000000,3.83031,3.83031,3.72082,3.83031,27086.06554096542,0
INP,D,20110330,000000,3.87394,3.87394,3.73172,3.86853,66573.19459563887,0
INP,D,20110331,000000,3.86769,3.87344,3.80575,3.87344,17632.216216492798,0
INP,D,20110401,000000,3.87394,3.87394,3.78101,3.86853,18316.787838125158,0
INP,D,20110404,000000,3.73721,3.85762,3.73721,3.85762,8614.385878513505,0
INP,D,20110405,000000,3.85762,3.88502,3.77544,3.87945,41433.84729794724,0
INP,D,20110406,000000,3.87394,3.89044,3.85762,3.85762,35335.350000554274,0
INP,D,20110407,000000,3.88502,4.09835,3.8249,4.02724,76115.94932551829,0
INP,D,20110408,000000,4.03265,4.03265,3.85762,3.99428,7504.7120271447475,0
INP,D,20110411,000000,3.99428,3.99428,3.87945,3.96695,1405.098243265284,0
INP,D,20110412,000000,3.93963,3.93963,3.87945,3.92866,10549.039865030338,0
INP,D,20110413,000000,3.92866,3.92866,3.88502,3.88502,819.0451824452801,0
INP,D,20110414,000000,3.88502,3.88502,3.88502,3.88502,150855.9324347988,0
INP,D,20110415,000000,3.88502,3.90134,3.87945,3.90134,6933.0606082168615,0
INP,D,20110418,000000,3.90134,3.90134,3.84122,3.90134,16150.287162415498,0
INP,D,20110419,000000,3.90134,3.90134,3.83565,3.89593,1503.5764865100718,0
INP,D,20110420,000000,3.85762,3.90134,3.85212,3.90134,6196.882500097206,0
INP,D,20110421,000000,3.90134,3.90134,3.83565,3.88502,917.5223919062844,0
INP,D,20110426,000000,3.88502,3.89044,3.88502,3.89044,3242.555878429242,0
INP,D,20110427,000000,3.89044,3.90134,3.88502,3.90134,8746.493108245308,0
INP,D,20110428,000000,3.88502,3.90134,3.88502,3.88502,5111.223446026122,0
