<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPE,D,20090526,000000,3.0985,3.0985,2.67473,2.67473,1141078.4633538213,0
IPE,D,20090527,000000,2.75221,2.9071,2.73385,2.73851,235517.59912170653,0
IPE,D,20090528,000000,2.86148,2.86148,2.6337,2.64281,35007.070172505526,0
IPE,D,20090529,000000,2.63053,2.87025,2.60671,2.87025,75662.44947468101,0
IPE,D,20090601,000000,2.98458,3.39463,2.98458,3.18961,175531.726402521,0
IPE,D,20090602,000000,3.32628,3.39463,3.0985,3.1668,129029.48775467188,0
IPE,D,20090603,000000,3.27154,3.28085,2.96184,3.05294,439920.6013352504,0
IPE,D,20090604,000000,3.05294,3.14413,3.00732,3.09391,37296.324528575664,0
IPE,D,20090605,000000,3.1668,3.18961,3.10754,3.13947,26636.845022057816,0
IPE,D,20090608,000000,3.1668,3.1668,2.82962,3.05294,23557.834956093746,0
IPE,D,20090609,000000,3.00732,3.0985,3.00732,3.03931,65760.12788140023,0
IPE,D,20090610,000000,3.00732,3.13501,3.00732,3.00732,20914.449990895853,0
IPE,D,20090612,000000,3.05294,3.05294,2.91622,3.03014,12720.549285996118,0
IPE,D,20090615,000000,3.0028,3.0028,2.84791,2.95272,45370.20607306044,0
IPE,D,20090616,000000,2.84791,2.92983,2.84791,2.87066,74131.83474987849,0
IPE,D,20090617,000000,2.86148,2.96184,2.73385,2.87066,28068.18463886295,0
IPE,D,20090618,000000,2.77043,2.87518,2.73385,2.87518,20429.928195145618,0
IPE,D,20090619,000000,2.9482,2.9482,2.80236,2.91622,5712.023004952554,0
IPE,D,20090622,000000,2.91622,2.91622,2.73851,2.74296,7995.350488903659,0
IPE,D,20090623,000000,2.82503,3.08946,2.82503,3.00732,97196.25760204124,0
IPE,D,20090624,000000,3.0985,3.0985,2.91622,3.0028,19088.973378159662,0
IPE,D,20090625,000000,3.00732,3.00732,2.84325,2.84325,8041.283747828142,0
IPE,D,20090626,000000,3.0028,3.03014,3.0028,3.00732,7884.221636667306,0
IPE,D,20090629,000000,2.93449,3.09391,2.93449,3.09391,35916.84504281443,0
IPE,D,20090630,000000,3.07568,3.09391,2.96184,3.09391,64979.262479685785,0
IPE,D,20090701,000000,2.96636,2.98458,2.96184,2.98458,75505.38736352004,0
IPE,D,20090702,000000,3.01197,3.05294,2.93895,2.93895,31236.097786615646,0
IPE,D,20090703,000000,2.91622,3.0439,2.87976,3.0439,15043.883156752423,0
IPE,D,20090706,000000,3.03931,3.03931,3.03931,3.03931,2151.4545792973204,0
IPE,D,20090707,000000,3.03014,3.03014,2.80236,2.91168,25786.338872941757,0
IPE,D,20090708,000000,2.75673,2.82503,2.73385,2.82503,60024.397387970916,0
IPE,D,20090709,000000,2.87066,2.87066,2.75673,2.8114,12556.078584686838,0
IPE,D,20090710,000000,2.87066,2.87066,2.73851,2.73851,161193.14102796174,0
IPE,D,20090713,000000,2.73851,2.80236,2.73851,2.80236,8879.936152705632,0
IPE,D,20090714,000000,2.80236,2.80236,2.73851,2.79318,41498.476861142604,0
IPE,D,20090715,000000,2.79776,2.82503,2.75673,2.8114,242978.04940185542,0
IPE,D,20090716,000000,2.77955,2.82057,2.76585,2.77043,293593.53730046767,0
IPE,D,20090717,000000,2.77955,2.77955,2.77495,2.77495,39243.30201975863,0
IPE,D,20090720,000000,2.76131,2.78407,2.73385,2.78407,19751.301337488414,0
IPE,D,20090721,000000,2.79776,2.79776,2.76585,2.76585,119014.55559112759,0
IPE,D,20090722,000000,2.77955,2.77955,2.75673,2.77955,2499.6583163047826,0
IPE,D,20090723,000000,2.75673,2.78865,2.73385,2.73385,25165.499018446855,0
IPE,D,20090724,000000,2.77955,2.77955,2.66562,2.72035,34478.09683586035,0
IPE,D,20090727,000000,2.72481,2.80236,2.6883,2.78865,332454.55606853456,0
IPE,D,20090728,000000,2.78865,2.79776,2.73385,2.77495,7922.746305442588,0
IPE,D,20090729,000000,2.72939,2.74768,2.67919,2.73385,14900.15650786007,0
IPE,D,20090730,000000,2.73385,2.75673,2.69296,2.74768,80180.20774759918,0
IPE,D,20090731,000000,2.76131,2.77495,2.74768,2.77043,122554.37996436452,0
IPE,D,20090803,000000,2.77955,2.93895,2.73385,2.89353,198993.24968667718,0
IPE,D,20090804,000000,2.89353,3.0439,2.89353,2.95272,42737.19313407133,0
IPE,D,20090805,000000,2.95272,3.32628,2.95272,3.0439,62767.057461166216,0
IPE,D,20090806,000000,3.12124,3.23064,3.0985,3.14413,21852.37750377125,0
IPE,D,20090807,000000,3.14324,3.31102,3.14324,3.25838,35774.60011195135,0
IPE,D,20090810,000000,3.31588,3.73748,3.28234,3.69922,100641.25202137113,0
IPE,D,20090811,000000,3.70901,3.73641,3.55412,3.69086,36447.30009748889,0
IPE,D,20090812,000000,3.4402,3.60885,3.4402,3.55412,15955.139745091867,0
IPE,D,20090813,000000,3.59974,3.73641,3.59974,3.71359,20769.241623974216,0
