<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JWW,D,20140813,000000,2.97759,3.5731,2.97759,3.5731,11364.924856841502,0
JWW,D,20140814,000000,4.2844,5.13633,4.12725,5.13633,78795.20029469172,0
JWW,D,20140818,000000,5.9138,5.9138,4.7145,4.7145,94612.99943320893,0
JWW,D,20140819,000000,5.11152,5.11152,4.35058,5.04534,2457.9672589318448,0
JWW,D,20140820,000000,4.87993,4.87993,4.72277,4.79722,3596.8778137345566,0
JWW,D,20140821,000000,4.78067,5.04534,4.78067,4.87993,1113.5208290586238,0
JWW,D,20140822,000000,4.82203,5.70703,4.81375,4.97092,25818.933012537855,0
JWW,D,20140825,000000,5.29348,5.29348,4.87993,5.11979,32944.98270469005,0
JWW,D,20140826,000000,5.11979,5.11979,5.11979,5.11979,18.13551838857776,0
JWW,D,20140827,000000,4.92129,5.28521,4.83858,5.28521,7474.251645212444,0
JWW,D,20140828,000000,5.26867,5.26867,4.87993,5.05362,495.7041692877835,0
JWW,D,20140829,000000,5.05362,5.05362,4.79722,5.03709,449.76085603672027,0
JWW,D,20140901,000000,4.87993,4.87993,4.21824,4.21824,1692.6483829339024,0
JWW,D,20140902,000000,4.30095,4.30095,4.30095,4.30095,737.5110811354868,0
JWW,D,20140903,000000,4.46637,4.47464,4.46637,4.47464,120.90345592385174,0
JWW,D,20140904,000000,4.50773,5.28521,4.50773,5.28521,9551.373017984157,0
JWW,D,20140905,000000,5.37619,5.4589,5.12805,5.4589,16950.664520523565,0
JWW,D,20140908,000000,5.29348,5.37619,5.18596,5.37619,495.7041692877835,0
JWW,D,20140909,000000,5.12805,6.15368,5.12805,5.87245,2617.559820751409,0
JWW,D,20140910,000000,6.18674,7.36125,6.18674,7.36125,594.8450031453466,0
JWW,D,20140911,000000,7.36125,7.36125,5.889,6.45143,2302.001800790069,0
JWW,D,20140912,000000,6.53414,6.53414,5.25212,5.87245,4350.106344140123,0
JWW,D,20140915,000000,5.62433,5.62433,4.54908,5.11152,886.2223319218263,0
JWW,D,20140916,000000,5.12805,5.95516,5.12805,5.87245,2804.9601774332996,0
JWW,D,20140917,000000,5.87245,5.87245,5.87245,5.87245,332.48450379059227,0
JWW,D,20140918,000000,5.62433,5.62433,4.96264,4.97092,797.9628090974128,0
JWW,D,20140919,000000,4.97917,5.00399,4.97917,5.00399,124.53055960156469,0
JWW,D,20140922,000000,5.00399,5.04534,4.96264,4.96264,531.9752060649455,0
JWW,D,20140923,000000,5.11979,5.11979,5.11979,5.11979,314.34898540201664,0
JWW,D,20140924,000000,5.12805,5.74839,5.12805,5.74839,423.16209573348107,0
JWW,D,20140925,000000,5.70703,5.70703,5.62433,5.62433,193.44552947816496,0
JWW,D,20140926,000000,5.54161,5.54161,5.54161,5.54161,972.0637856277646,0
JWW,D,20140929,000000,5.54161,5.54161,5.54161,5.54161,12.090345592385173,0
JWW,D,20140930,000000,5.52506,5.52506,5.21077,5.21077,44.73427869182449,0
JWW,D,20141001,000000,5.54161,5.54161,5.21904,5.21904,24.180691184770346,0
JWW,D,20141002,000000,5.37619,6.36871,5.37619,6.36871,1861.913221227282,0
JWW,D,20141003,000000,6.45143,6.45143,6.45143,6.45143,12.090345592385173,0
JWW,D,20141006,000000,6.32736,6.32736,6.32736,6.32736,6.045172796192479,0
JWW,D,20141007,000000,6.28601,6.28601,5.95516,5.95516,192.23649491892726,0
JWW,D,20141008,000000,5.95516,5.95516,5.95516,5.95516,6.045172796192479,0
JWW,D,20141009,000000,5.95516,5.95516,5.33483,5.33483,386.8910589563191,0
JWW,D,20141013,000000,5.21077,5.37619,5.13633,5.37619,217.6262206629288,0
JWW,D,20141014,000000,5.4589,5.62433,5.4589,5.62433,48.36138236954069,0
JWW,D,20141015,000000,5.62433,5.70703,5.62433,5.70703,268.40567215095336,0
JWW,D,20141017,000000,5.70703,5.70703,5.70703,5.70703,2526.882228808531,0
JWW,D,20141020,000000,5.74839,5.74839,5.74839,5.74839,6.045172796192479,0
JWW,D,20141021,000000,5.54161,5.54161,5.0867,5.50026,181.3551838857776,0
JWW,D,20141023,000000,5.04534,5.04534,5.04534,5.04534,36.27103677715552,0
JWW,D,20141024,000000,4.96264,5.16114,4.8882,5.16114,411.07175014109373,0
JWW,D,20141027,000000,4.87993,4.87993,4.84684,4.84684,332.48450379059227,0
JWW,D,20141030,000000,4.87993,5.12805,4.87993,5.12805,398.9814045487064,0
JWW,D,20141031,000000,5.12805,5.37619,5.12805,5.37619,169.26483829339026,0
JWW,D,20141103,000000,5.54161,5.62433,5.54161,5.62433,60.45172796192479,0
JWW,D,20141105,000000,5.78147,5.80629,5.66568,5.66568,392.9362317525181,0
JWW,D,20141106,000000,5.87245,5.87245,5.87245,5.87245,1175.1815915798413,0
JWW,D,20141107,000000,5.95516,7.14621,5.37619,6.03787,1305.7573239776375,0
JWW,D,20141110,000000,6.03787,7.11311,6.03787,6.61685,351.82905673840554,0
