<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KGH,D,19970710,000000,7.57536,7.57536,7.57536,7.57536,7638261,0
KGH,D,19970711,000000,7.73673,7.73673,7.73673,7.73673,4831366,0
KGH,D,19970714,000000,6.96524,6.96524,6.96524,6.96524,1235362,0
KGH,D,19970715,000000,6.28955,6.28955,6.28955,6.28955,2581663,0
KGH,D,19970716,000000,6.89976,6.89976,6.89976,6.89976,1770148,0
KGH,D,19970717,000000,7.03065,7.09159,7.03065,7.09159,2385944,0
KGH,D,19970718,000000,6.93032,6.93032,6.70799,6.73847,829566,0
KGH,D,19970721,000000,6.93032,6.93032,6.86927,6.93032,1135122,0
KGH,D,19970722,000000,6.93032,7.03065,6.93032,6.96524,735992,0
KGH,D,19970723,000000,6.99563,6.99563,6.80388,6.86927,631116,0
KGH,D,19970724,000000,6.93032,6.93032,6.86927,6.86927,769181,0
KGH,D,19970725,000000,6.89976,6.89976,6.83435,6.83435,613911,0
KGH,D,19970728,000000,6.77341,6.77341,6.67325,6.67325,639940,0
KGH,D,19970729,000000,6.61212,6.77341,6.61212,6.70799,366262,0
KGH,D,19970730,000000,6.70799,6.93032,6.70799,6.86927,408246,0
KGH,D,19970731,000000,6.83435,6.83435,6.67325,6.70799,405940,0
KGH,D,19970801,000000,6.70799,6.83435,6.70799,6.70799,302962,0
KGH,D,19970804,000000,6.77341,6.83435,6.77341,6.80388,429682,0
KGH,D,19970805,000000,6.83435,6.93032,6.83435,6.93032,635348,0
KGH,D,19970806,000000,6.93032,6.93032,6.83435,6.86927,464446,0
KGH,D,19970807,000000,6.89976,7.35293,6.89976,7.31819,581116,0
KGH,D,19970808,000000,7.22242,7.73673,7.22242,7.54488,1150234,0
KGH,D,19970811,000000,7.41426,7.41426,7.19194,7.22242,826804,0
KGH,D,19970812,000000,7.19194,7.41426,7.19194,7.31819,683632,0
KGH,D,19970813,000000,7.41426,7.41426,7.41426,7.41426,916311,0
KGH,D,19970814,000000,7.15701,7.25288,7.12653,7.15701,397294,0
KGH,D,19970818,000000,7.06103,7.06103,6.86927,6.93032,381980,0
KGH,D,19970819,000000,7.15701,7.41426,7.15701,7.28782,714590,0
KGH,D,19970820,000000,7.35293,7.35293,7.22242,7.25288,700518,0
KGH,D,19970821,000000,7.09159,7.09159,7.03065,7.03065,242750,0
KGH,D,19970822,000000,6.99563,7.15701,6.99563,7.12653,232630,0
KGH,D,19970825,000000,7.03065,7.12653,6.93032,6.93032,217880,0
KGH,D,19970826,000000,6.93032,7.06103,6.93032,6.99563,254151,0
KGH,D,19970827,000000,6.99563,7.06103,6.99563,7.03065,238876,0
KGH,D,19970828,000000,7.19194,7.35293,7.19194,7.31819,951030,0
KGH,D,19970829,000000,7.25288,7.25288,7.19194,7.22242,1017687,0
KGH,D,19970901,000000,7.12653,7.19194,7.12653,7.12653,270590,0
KGH,D,19970902,000000,7.25288,7.31819,7.25288,7.28782,629318,0
KGH,D,19970903,000000,7.35293,7.51441,7.35293,7.47948,1203254,0
KGH,D,19970904,000000,7.35293,7.35293,7.25288,7.28782,626959,0
KGH,D,19970905,000000,7.25288,7.38369,7.25288,7.31819,539786,0
KGH,D,19970908,000000,7.28782,7.28782,7.22242,7.28782,213927,0
KGH,D,19970909,000000,7.19194,7.25288,7.19194,7.22242,411113,0
KGH,D,19970910,000000,7.19194,7.28782,7.19194,7.22242,400653,0
KGH,D,19970911,000000,7.12653,7.22242,7.12653,7.19194,404461,0
KGH,D,19970912,000000,7.19194,7.25288,7.19194,7.22242,365367,0
KGH,D,19970915,000000,7.15701,7.25288,7.15701,7.22242,326356,0
KGH,D,19970916,000000,7.15701,7.19194,7.09159,7.09159,362550,0
KGH,D,19970917,000000,7.06103,7.06103,6.99563,7.03065,392054,0
KGH,D,19970918,000000,6.96524,7.09159,6.93032,7.09159,570222,0
KGH,D,19970919,000000,7.25288,7.38369,7.25288,7.38369,1451826,0
KGH,D,19970922,000000,7.41426,7.41426,7.28782,7.31819,913145,0
KGH,D,19970923,000000,7.31819,7.31819,7.22242,7.25288,621760,0
KGH,D,19970924,000000,7.12653,7.22242,7.12653,7.19194,442287,0
KGH,D,19970925,000000,7.06103,7.06103,6.96524,6.99563,652075,0
KGH,D,19970926,000000,6.96524,6.99563,6.93032,6.93032,573935,0
KGH,D,19970929,000000,6.99563,7.06103,6.99563,6.99563,460676,0
KGH,D,19970930,000000,7.12653,7.12653,6.99563,7.03065,414305,0
KGH,D,19971001,000000,7.09159,7.12653,7.06103,7.12653,720752,0
KGH,D,19971002,000000,7.06103,7.06103,6.99563,6.99563,570396,0
KGH,D,19971003,000000,7.09159,7.22242,7.09159,7.15701,1504701,0
KGH,D,19971006,000000,7.09159,7.22242,7.09159,7.15701,1571957,0
